ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm,base_street,line_count,color
1,1,44.94011,-93.167196,2025-04-04T03:47:31Z,-0.125385,Grand Avenue West,0.044947,-0.64429,0.6579143068318244,Grand Avenue,2,#990000
2,2,44.940112,-93.167258,2025-04-04T03:47:32Z,0.005362,Grand Avenue West,-0.0377,-0.07059,0.0802059171383259,Grand Avenue,2,#990000
3,3,44.940112,-93.167328,2025-04-04T03:47:33Z,0.356712,Grand Avenue West,0.040121,-0.018814,0.3594539082844975,Grand Avenue,2,#990000
4,4,44.940114,-93.167411,2025-04-04T03:47:34Z,0.419512,Grand Avenue West,0.114845,0.109641,0.44855416735328635,Grand Avenue,2,#990000
5,5,44.940112,-93.167498,2025-04-04T03:47:35Z,0.368983,Grand Avenue West,0.084042,0.051424,0.38191090561674196,Grand Avenue,2,#990000
6,6,44.940115,-93.167607,2025-04-04T03:47:36Z,0.272478,Grand Avenue West,-0.088474,0.1183,0.30994644563214463,Grand Avenue,2,#990000
7,7,44.940118,-93.167716,2025-04-04T03:47:37Z,0.010332,Grand Avenue West,0.055137,0.10321,0.11746975394968698,Grand Avenue,2,#990000
8,8,44.940121,-93.167844,2025-04-04T03:47:38Z,-0.349448,Grand Avenue West,-0.063144,0.212836,0.4140051114853535,Grand Avenue,2,#990000
9,9,44.940121,-93.167974,2025-04-04T03:47:39Z,-0.471634,Grand Avenue West,-0.169091,0.288325,0.57806721223574,Grand Avenue,2,#990000
10,10,44.94012,-93.168097,2025-04-04T03:47:40Z,-0.430648,Grand Avenue West,-0.076742,0.294111,0.5271131897315794,Grand Avenue,2,#990000
11,11,44.940119,-93.168219,2025-04-04T03:47:41Z,-0.369158,Grand Avenue West,-0.139462,0.263472,0.4744942288289711,Grand Avenue,2,#990000
12,12,44.940116,-93.168341,2025-04-04T03:47:42Z,-0.244403,Grand Avenue West,-0.044406,0.183986,0.3091206357411294,Grand Avenue,2,#990000
13,13,44.940114,-93.168468,2025-04-04T03:47:43Z,-0.060378,Grand Avenue West,-0.058272,0.15466,0.17595693924366837,Grand Avenue,2,#990000
14,14,44.940116,-93.168594,2025-04-04T03:47:44Z,-0.086995,Grand Avenue West,0.007524,0.115159,0.14452105688099573,Grand Avenue,2,#990000
15,15,44.940116,-93.168725,2025-04-04T03:47:45Z,-0.006057,Grand Avenue West,-0.081844,0.142087,0.16408486570674333,Grand Avenue,2,#990000
16,16,44.940116,-93.168858,2025-04-04T03:47:46Z,-0.15686,Grand Avenue West,-0.029952,0.175667,0.2374048794633337,Grand Avenue,2,#990000
17,17,44.940117,-93.168997,2025-04-04T03:47:47Z,-0.226132,Grand Avenue West,-0.099556,0.135053,0.2815783929370292,Grand Avenue,2,#990000
18,18,44.940118,-93.169132,2025-04-04T03:47:48Z,-0.21717,Grand Avenue West,-0.063523,0.096411,0.2459533723086553,Grand Avenue,2,#990000
19,19,44.940118,-93.169273,2025-04-04T03:47:49Z,-0.205163,Grand Avenue West,0.014814,0.111233,0.2338462987819136,Grand Avenue,2,#990000
20,20,44.940119,-93.169417,2025-04-04T03:47:50Z,-0.241031,Grand Avenue West,-0.051981,0.129394,0.2784614417796475,Grand Avenue,2,#990000
21,21,44.940116,-93.169556,2025-04-04T03:47:51Z,-0.373225,Grand Avenue West,-0.166702,0.147997,0.43472930593416403,Grand Avenue,2,#990000
22,22,44.940115,-93.169696,2025-04-04T03:47:52Z,-0.277863,Grand Avenue West,0.072153,0.138348,0.3186754952643833,Grand Avenue,2,#990000
23,23,44.940116,-93.169835,2025-04-04T03:47:53Z,-0.131107,Grand Avenue West,-0.109656,0.225178,0.28269880698191846,Grand Avenue,2,#990000
24,24,44.940117,-93.169973,2025-04-04T03:47:54Z,-0.144237,Grand Avenue West,-0.030135,0.050151,0.15565202599066932,Grand Avenue,2,#990000
25,25,44.940118,-93.170109,2025-04-04T03:47:55Z,-0.09902,Grand Avenue West,-0.017957,0.04863,0.11176891852836368,Grand Avenue,2,#990000
26,26,44.940118,-93.170246,2025-04-04T03:47:56Z,-0.061258,Grand Avenue West,-0.016657,0.01264,0.06472841580789693,Grand Avenue,2,#990000
27,27,44.940118,-93.170384,2025-04-04T03:47:57Z,-0.04873,Grand Avenue West,-0.063247,0.049183,0.09377506810448073,Grand Avenue,2,#990000
28,28,44.940118,-93.170522,2025-04-04T03:47:58Z,-0.069568,Grand Avenue West,0.031146,0.072812,0.10541047046664767,Grand Avenue,2,#990000
29,29,44.940118,-93.170661,2025-04-04T03:47:59Z,0.036074,Grand Avenue West,0.01251,0.130522,0.1359920073386668,Grand Avenue,2,#990000
30,30,44.940119,-93.170799,2025-04-04T03:48:00Z,-0.069102,Grand Avenue West,-0.142603,-5.3e-5,0.15846357569485803,Grand Avenue,2,#990000
31,31,44.94012,-93.170938,2025-04-04T03:48:01Z,-0.046186,Grand Avenue West,0.05853,0.070665,0.10272511728394375,Grand Avenue,2,#990000
32,32,44.940119,-93.171076,2025-04-04T03:48:02Z,-0.038773,Grand Avenue West,-0.06338,0.134066,0.15327772925314362,Grand Avenue,2,#990000
33,33,44.940118,-93.171214,2025-04-04T03:48:03Z,-0.085894,Grand Avenue West,0.016726,-0.008797,0.08794842534690431,Grand Avenue,2,#990000
34,34,44.94012,-93.171354,2025-04-04T03:48:04Z,-0.051611,Grand Avenue West,-0.028509,-0.183764,0.1929913627549171,Grand Avenue,2,#990000
35,35,44.940122,-93.171494,2025-04-04T03:48:05Z,0.022299,Grand Avenue West,-0.021983,0.049571,0.05863259955860732,Grand Avenue,2,#990000
36,36,44.94012,-93.171634,2025-04-04T03:48:06Z,0.04785,Grand Avenue West,0.045429,-1.81e-4,0.0659806737007133,Grand Avenue,2,#990000
37,37,44.940118,-93.171773,2025-04-04T03:48:07Z,0.028572,Grand Avenue West,-0.001137,0.090927,0.09531721398572243,Grand Avenue,2,#990000
38,38,44.940119,-93.171915,2025-04-04T03:48:08Z,0.07586,Grand Avenue West,-0.045078,0.020076,0.09049757709463828,Grand Avenue,2,#990000
39,39,44.940118,-93.172058,2025-04-04T03:48:09Z,0.007885,Grand Avenue West,0.138328,0.001891,0.13856545272902623,Grand Avenue,2,#990000
40,40,44.940118,-93.1722,2025-04-04T03:48:10Z,0.110634,Grand Avenue West,-0.16102,0.126765,0.23288771453427934,Grand Avenue,2,#990000
41,41,44.940118,-93.172344,2025-04-04T03:48:11Z,0.112308,Grand Avenue West,0.090448,0.009443,0.1445098537020919,Grand Avenue,2,#990000
