seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,accelerometer_y_new,accelerometer_x_new,L2_norm
1,44.940124,-93.167204,2025-03-21T00:36:00Z,0.594661,0.054423,0.848517,1.0375763428003744
2,44.940121,-93.167265,2025-03-21T00:36:01Z,0.758598,0.187522,-0.029889,0.7820030552427528
3,44.94012,-93.167342,2025-03-21T00:36:02Z,0.48691,0.060754,-0.339362,0.5966062048453737
4,44.940122,-93.167438,2025-03-21T00:36:03Z,0.341507,0.084552,-0.380094,0.5179261729136692
5,44.940123,-93.16755,2025-03-21T00:36:04Z,-0.008519,-0.132351,-0.262821,0.2943879049876201
6,44.940124,-93.167673,2025-03-21T00:36:05Z,-0.165237,-0.014459,-0.126057,0.20833313730417444
7,44.940126,-93.167802,2025-03-21T00:36:06Z,-0.216263,-0.021946,-0.226175,0.3136980119637356
8,44.940127,-93.167937,2025-03-21T00:36:07Z,-0.235268,-0.133508,-0.242615,0.3633695861144683
9,44.940127,-93.168075,2025-03-21T00:36:08Z,-0.363745,-0.019594,-0.135095,0.388516420355691
10,44.940127,-93.168221,2025-03-21T00:36:09Z,-0.423447,-0.174829,-0.105291,0.47006248066719813
11,44.940128,-93.16837,2025-03-21T00:36:10Z,-0.398644,-0.131721,-0.053575,0.42324666708906283
12,44.940129,-93.168523,2025-03-21T00:36:11Z,-0.33458,-0.080097,-0.039143,0.3462534913296904
13,44.940131,-93.168679,2025-03-21T00:36:12Z,-0.305908,-0.157589,-0.121187,0.36482911938879004
14,44.940132,-93.168838,2025-03-21T00:36:13Z,-0.429265,-0.109906,-0.086885,0.4515493021653339
15,44.940118,-93.168999,2025-03-21T00:36:14Z,-0.594606,-0.057505,-0.126039,0.6105316943304417
16,44.940118,-93.169161,2025-03-21T00:36:15Z,-0.361766,-0.224893,0.045491,0.42839343048884393
17,44.940117,-93.169322,2025-03-21T00:36:16Z,-0.486869,0.141397,0.081337,0.5134688328798546
18,44.940116,-93.169484,2025-03-21T00:36:17Z,-0.43355900000000003,-0.248787,0.107754,0.5113504692146082
19,44.940116,-93.169648,2025-03-21T00:36:18Z,-0.520515,-0.01113,-0.16227,0.545335946940049
20,44.940117,-93.169808,2025-03-21T00:36:19Z,-0.42488,-0.334427,0.033559,0.5417477634563893
21,44.940115,-93.169967,2025-03-21T00:36:20Z,-0.304856,-0.065967,0.069196,0.3194947765472857
22,44.940115,-93.170126,2025-03-21T00:36:21Z,-0.451601,-0.087378,0.105587,0.4719396069986074
23,44.940115,-93.170282,2025-03-21T00:36:22Z,-0.204137,-0.134839,0.048992,0.24950688718750832
24,44.940116,-93.170437,2025-03-21T00:36:23Z,-0.263001,-0.037618,0.031265,0.26751100939961325
25,44.940115,-93.170591,2025-03-21T00:36:24Z,-0.172363,-0.068053,0.041583,0.18991935253417436
26,44.940114,-93.170744,2025-03-21T00:36:25Z,-0.081095,-0.100176,0.007263,0.1290905928795743
27,44.940115,-93.170899,2025-03-21T00:36:26Z,-0.121272,-0.031824,-0.069688,0.1434436555027792
28,44.940115,-93.171053,2025-03-21T00:36:27Z,-0.113912,-0.057406,-0.118478,0.17409316202539374
29,44.940115,-93.171209,2025-03-21T00:36:28Z,-0.107236,-0.024634,-0.03277,0.11480534200114557
30,44.940114,-93.171363,2025-03-21T00:36:29Z,-0.115253,-0.005791,0.081622,0.14134688031223044
31,44.940114,-93.171518,2025-03-21T00:36:30Z,-0.066162,-0.081325,0.027528,0.10839260423571342
32,44.940114,-93.171673,2025-03-21T00:36:31Z,0.046713,0.093049,-0.078447,0.13036162233955206
33,44.940113,-93.171828,2025-03-21T00:36:32Z,0.018165,-0.029867,-0.04125,0.05407002324763695
34,44.940112,-93.171983,2025-03-21T00:36:33Z,0.134051,0.046778,-0.044522,0.14879536407092797
35,44.940114,-93.172145,2025-03-21T00:36:34Z,0.029772,-0.059429,0.102181,0.12189805078835346
36,44.940115,-93.172308,2025-03-21T00:36:35Z,0.007375,0.12937,-0.079998,0.1522848236988834
37,44.940117,-93.172472,2025-03-21T00:36:36Z,-0.157559,-0.158373,0.025428,0.22484089662247836
38,44.940116,-93.172637,2025-03-21T00:36:37Z,-0.112393,-0.077233,0.008965,0.13666562831597417
39,44.940117,-93.172799,2025-03-21T00:36:38Z,-0.11474,-0.152111,-0.06144,0.20019464908183734
40,44.940117,-93.172959,2025-03-21T00:36:39Z,-0.187541,0.046859,0.011078,0.19362364175379
41,44.940117,-93.173121,2025-03-21T00:36:40Z,-0.121953,-0.041825,0.045586,0.13674775402177544
42,44.940117,-93.173279,2025-03-21T00:36:41Z,-0.072176,-0.122708,-0.040807,0.1480940224620832
43,44.940117,-93.173438,2025-03-21T00:36:42Z,-0.125683,-0.02008,0.132827,0.18396313439925946
44,44.940117,-93.173595,2025-03-21T00:36:43Z,-0.102371,-0.040955,0.093326,0.14445371557007455
45,44.940117,-93.173754,2025-03-21T00:36:44Z,-0.098395,0.013321,-0.022111,0.10172473340835059
46,44.940117,-93.173911,2025-03-21T00:36:45Z,-0.019253,-0.163543,-0.047007,0.17125025228302584
47,44.940118,-93.174066,2025-03-21T00:36:46Z,0.047734,-0.04546,0.081004,0.10443559916043954
