seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,246.703258,1.678303,112.570862,44.941663,274.113257,255.650023,4.76774,7.5,-93.177021,1.561735,2025-04-04T03:11:31Z,-0.323128,-0.950411,0.050265,2025-04-04T03:11:31Z,-0.590435,0.132184,0.235292,2025-04-04T03:11:31Z
1,247.505188,1.28,26.576007,44.941646,274.915188,221.132812,5.85356,4,-93.177045,3.09,2025-04-04T03:11:32Z,-0.408378,-0.923266,-0.032875,2025-04-04T03:11:32Z,-1.546578,0.435895,-0.604474,2025-04-04T03:11:32Z
2,243.1875,0.53,12.540351,44.941615,270.5975,180,3.683434,4,-93.177078,3.04,2025-04-04T03:11:33Z,-0.384493,-0.928825,-0.039392,2025-04-04T03:11:33Z,-1.317595,0.380617,-0.658219,2025-04-04T03:11:33Z
3,241.738281,0.06,6.609159,44.94159,269.148281,180,3.535534,3,-93.177106,2.3,2025-04-04T03:11:34Z,-0.326389,-0.946511,-0.023646,2025-04-04T03:11:34Z,-0.746874,0.209947,-0.497216,2025-04-04T03:11:34Z
4,241.496887,0.93,7.878224,44.941572,268.906887,180,3.535534,3,-93.177128,0.45,2025-04-04T03:11:35Z,-0.283373,-0.957606,-0.011093,2025-04-04T03:11:35Z,-0.306534,0.098438,-0.365742,2025-04-04T03:11:35Z
5,241.275879,1,8.28361,44.941558,268.685879,180,3.535534,3,-93.177148,0,2025-04-04T03:11:36Z,-0.258443,-0.964626,-0.004328,2025-04-04T03:11:36Z,-0.047109,0.020133,-0.293153,2025-04-04T03:11:36Z
6,241.835754,1,8.497518,44.941548,269.245754,180,3.535534,3,-93.177167,0,2025-04-04T03:11:37Z,-0.258236,-0.964416,-0.004068,2025-04-04T03:11:37Z,-0.024489,0.019224,-0.276832,2025-04-04T03:11:37Z
7,242.377197,1.14,13.633142,44.941539,269.787197,180,3.535534,3,-93.177183,0,2025-04-04T03:11:38Z,-0.258464,-0.964355,-0.004177,2025-04-04T03:11:38Z,-0.007463,0.016301,-0.263163,2025-04-04T03:11:38Z
8,242.861206,0.99,13.640717,44.941533,270.271206,180,3.535534,3,-93.177197,0,2025-04-04T03:11:39Z,-0.258526,-0.964567,-0.003699,2025-04-04T03:11:39Z,0.009542,0.01013,-0.250472,2025-04-04T03:11:39Z
9,243.140686,1,13.739727,44.941527,270.550686,180,3.535534,3,-93.177209,0,2025-04-04T03:11:40Z,-0.258261,-0.964437,-0.004254,2025-04-04T03:11:40Z,0.022234,0.006759,-0.237594,2025-04-04T03:11:40Z
10,243.623413,1.01,14.183847,44.941522,271.033413,180,3.535534,3,-93.17722,0,2025-04-04T03:11:41Z,-0.258306,-0.964191,-0.004425,2025-04-04T03:11:41Z,0.033161,0.005235,-0.225422,2025-04-04T03:11:41Z
11,243.623413,0.07,14.183847,44.941522,271.033413,180,3.535534,3,-93.17722,0,2025-04-04T03:11:42Z,-0.25853,-0.964763,-0.003689,2025-04-04T03:11:42Z,0.043314,0.001748,-0.211247,2025-04-04T03:11:42Z
12,243.623413,0.07,14.183847,44.941522,271.033413,180,3.535534,3,-93.17722,0,2025-04-04T03:11:43Z,-0.258131,-0.964509,-0.004188,2025-04-04T03:11:43Z,0.052557,-2.7e-4,-0.200761,2025-04-04T03:11:43Z
13,243.623413,0.308016,-1,44.941522,271.033413,-1,4.748652,4.029364,-93.17722,0,2025-04-04T03:11:44Z,-0.258181,-0.964413,-0.004189,2025-04-04T03:11:44Z,0.057896,-5.3e-5,-0.189666,2025-04-04T03:11:44Z
14,243.623413,0.308016,-1,44.941522,271.033413,-1,4.748652,4.029364,-93.17722,0,2025-04-04T03:11:45Z,-0.25821,-0.964443,-0.004238,2025-04-04T03:11:45Z,0.063393,-0.001188,-0.179475,2025-04-04T03:11:45Z
15,243.623413,0.308016,-1,44.941522,271.033413,-1,4.748652,4.029364,-93.17722,0,2025-04-04T03:11:46Z,-0.258523,-0.964422,-0.003614,2025-04-04T03:11:46Z,0.062166,-0.003092,-0.162623,2025-04-04T03:11:46Z
