seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,263.140856,0.307923,26.341536,44.940104,290.550856,314.410063,3.439698,3,-93.167147,6.177073,2025-04-04T03:47:30Z,-0.285201,-0.943223,0.162346,2025-04-04T03:47:29Z,-0.445625,0.264386,1.288939,2025-04-04T03:47:29Z
1,263.044314,0.307971,23.350648,44.94011,290.454314,292.092412,3.367713,3,-93.167196,5.847876,2025-04-04T03:47:31Z,-0.247805,-0.975247,0.112389,2025-04-04T03:47:30Z,-0.125385,-0.044947,0.64429,2025-04-04T03:47:30Z
2,262.892569,0.200893,14.975454,44.940112,290.302569,278.834574,3.299328,3,-93.167258,5.925603,2025-04-04T03:47:32Z,-0.231611,-0.96774,0.069753,2025-04-04T03:47:31Z,0.005362,0.0377,0.07059,2025-04-04T03:47:31Z
3,262.890276,0.266054,9.295718,44.940112,290.300276,272.498339,3.266905,3,-93.167328,5.983465,2025-04-04T03:47:33Z,-0.197065,-0.973136,0.069468,2025-04-04T03:47:32Z,0.356712,-0.040121,0.018814,2025-04-04T03:47:32Z
4,262.630764,0.269226,7.345848,44.940114,290.040764,271.412072,3.20356,3,-93.167411,6.57466,2025-04-04T03:47:34Z,-0.185291,-0.98287,0.051765,2025-04-04T03:47:33Z,0.419512,-0.114845,-0.109641,2025-04-04T03:47:33Z
5,262.859634,0.278417,7.258316,44.940112,290.269634,271.671254,3.126576,3,-93.167498,7.15291,2025-04-04T03:47:35Z,-0.195206,-0.979026,0.065358,2025-04-04T03:47:34Z,0.368983,-0.084042,-0.051424,2025-04-04T03:47:34Z
6,262.477696,0.231237,7.256599,44.940115,289.887695,269.802124,2.948748,3,-93.167607,8.167472,2025-04-04T03:47:36Z,-0.206533,-0.962008,0.054677,2025-04-04T03:47:35Z,0.272478,0.088474,-0.1183,2025-04-04T03:47:35Z
7,262.173698,0.23754,7.256059,44.940118,289.583698,269.802124,2.719218,3,-93.167716,8.728735,2025-04-04T03:47:37Z,-0.237556,-0.973262,0.060863,2025-04-04T03:47:36Z,0.010332,-0.055137,-0.10321,2025-04-04T03:47:36Z
8,261.925669,0.217342,7.254892,44.940121,289.335668,269.802124,2.540853,3,-93.167844,9.494492,2025-04-04T03:47:38Z,-0.272597,-0.962035,0.049426,2025-04-04T03:47:37Z,-0.349448,0.063144,-0.212836,2025-04-04T03:47:37Z
9,261.429839,0.204256,7.253313,44.940121,288.839839,270.143555,2.3325,3,-93.167974,9.933807,2025-04-04T03:47:39Z,-0.285329,-0.951984,0.039977,2025-04-04T03:47:38Z,-0.471634,0.169091,-0.288325,2025-04-04T03:47:38Z
10,261.462302,0.263941,7.253466,44.94012,288.872302,270.143555,2.204073,3,-93.168097,9.7103370000000009,2025-04-04T03:47:40Z,-0.28406,-0.960489,0.039682,2025-04-04T03:47:39Z,-0.430648,0.076742,-0.294111,2025-04-04T03:47:39Z
11,261.14733,0.279466,7.254558,44.940119,288.55733,270.143555,2.126063,3,-93.168219,9.599699,2025-04-04T03:47:41Z,-0.279675,-0.953318,0.041675,2025-04-04T03:47:40Z,-0.369158,0.139462,-0.263472,2025-04-04T03:47:40Z
12,260.594246,0.280582,7.254507,44.940116,288.004246,270.143555,2.102166,3,-93.168341,9.646355,2025-04-04T03:47:42Z,-0.270664,-0.962176,0.055275,2025-04-04T03:47:41Z,-0.244403,0.044406,-0.183986,2025-04-04T03:47:41Z
13,260.215702,0.295918,7.251319,44.940114,287.625702,270.150787,2.062464,3,-93.168468,9.763218,2025-04-04T03:47:43Z,-0.252204,-0.960852,0.050899,2025-04-04T03:47:42Z,-0.060378,0.058272,-0.15466,2025-04-04T03:47:42Z
