seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,251.989872,0.55,7.779382,44.940093,279.399872,145.37112,4.748652,4.029364,-93.177157,6.745,2025-04-04T03:49:16Z,-0.31251,-0.942142,0.236014,2025-04-04T03:49:16Z,-1.134532,0.351455,1.602137,2025-04-04T03:49:16Z
1,251.544558,0.81,11.394628,44.940068,278.954558,101.601613,4.748652,4.029364,-93.177003,5.76,2025-04-04T03:49:18Z,-0.239637,-0.966904,0.130439,2025-04-04T03:49:17Z,-0.454803,0.091173,0.57879100000000006,2025-04-04T03:49:17Z
2,251.563601,1.3,18.776649,44.940064,278.973601,90,4.748652,4.029364,-93.176928,5.61,2025-04-04T03:49:19Z,-0.150702,-0.986023,0.097457,2025-04-04T03:49:18Z,0.334546,-0.052745,0.153884,2025-04-04T03:49:18Z
3,251.225344,0.82,11.843733,44.940087,278.635344,90.305824,4.748652,4.029364,-93.176856,5.61,2025-04-04T03:49:20Z,-0.151445,-0.98439,0.08295,2025-04-04T03:49:19Z,0.349564,-0.05691,-0.083177,2025-04-04T03:49:19Z
4,250.974307,0.58,8.187546,44.940088,278.384307,90.305824,4.748652,4.029364,-93.176774,5.74,2025-04-04T03:49:21Z,-0.146593,-0.989341,0.070943,2025-04-04T03:49:20Z,0.352604,-0.101747,-0.165318,2025-04-04T03:49:20Z
5,250.862676,0.308016,7.258975,44.940091,278.272675,90.305824,4.748652,4.029364,-93.176659,7.72,2025-04-04T03:49:22Z,-0.154839,-0.983223,0.070523,2025-04-04T03:49:21Z,0.255564,-0.045299,-0.188534,2025-04-04T03:49:21Z
6,250.756109,0.308016,7.258975,44.940093,278.166109,90,4.748652,4.029364,-93.17655,8.38,2025-04-04T03:49:23Z,-0.174492,-0.983719,0.07558,2025-04-04T03:49:22Z,0.077203,-0.037764,-0.160288,2025-04-04T03:49:22Z
7,250.756475,0.37,7.258975,44.940086,278.166475,90,4.748652,4.029364,-93.176439,8.38,2025-04-04T03:49:24Z,-0.19211,-0.971337,0.051198,2025-04-04T03:49:23Z,-0.147112,0.096376,-0.264016,2025-04-04T03:49:23Z
8,250.520881,0.41,7.258975,44.940094,277.93088,90,4.748652,4.029364,-93.176317,9.08,2025-04-04T03:49:25Z,-0.21171,-0.976871,0.055408,2025-04-04T03:49:24Z,-0.318084,0.040522,-0.223695,2025-04-04T03:49:24Z
9,250.720954,1.78,15.575666,44.940084,278.130954,90,4.748652,4.029364,-93.176191,9.26,2025-04-04T03:49:26Z,-0.201311,-0.977124,0.048424,2025-04-04T03:49:25Z,-0.199144,0.033442,-0.289642,2025-04-04T03:49:25Z
10,251.232978,0.99,8.588671,44.940094,278.642978,90.211678,4.748652,4.029364,-93.176072,9.34,2025-04-04T03:49:27Z,-0.229053,-0.975177,0.039838,2025-04-04T03:49:26Z,-0.422623,0.041909,-0.304132,2025-04-04T03:49:26Z
11,251.469246,1.4,11.658773,44.940087,278.879246,90.211678,4.748652,4.029364,-93.175945,9.73,2025-04-04T03:49:28Z,-0.216035,-0.973136,0.04742,2025-04-04T03:49:27Z,-0.294425,0.053598,-0.266662,2025-04-04T03:49:27Z
12,251.525703,0.49,7.258975,44.940086,278.935703,90.211678,4.748652,4.029364,-93.175824,9.67,2025-04-04T03:49:29Z,-0.229074,-0.969822,0.045783,2025-04-04T03:49:28Z,-0.368364,0.103451,-0.238694,2025-04-04T03:49:28Z
13,252.050056,0.308017,7.258975,44.940087,279.460056,90.211678,4.748652,4.029364,-93.175702,9.67,2025-04-04T03:49:30Z,-0.237839,-0.970545,0.051865,2025-04-04T03:49:29Z,-0.40338,0.062369,-0.190738,2025-04-04T03:49:29Z
14,252.362556,0.67,7.258975,44.940087,279.772556,90.211678,4.748652,4.029364,-93.175579,9.67,2025-04-04T03:49:31Z,-0.22311,-0.961674,0.044191,2025-04-04T03:49:30Z,-0.229036,0.145446,-0.234994,2025-04-04T03:49:30Z
15,252.422737,0.308016,7.258975,44.940085,279.832737,90.211678,4.748652,4.029364,-93.175456,9.57,2025-04-04T03:49:32Z,-0.225348,-0.959443,0.056374,2025-04-04T03:49:31Z,-0.294114,0.192285,-0.157682,2025-04-04T03:49:31Z
16,252.529548,0.308016,7.258975,44.940087,279.939548,90.211678,4.748652,4.029364,-93.175332,9.59,2025-04-04T03:49:33Z,-0.241953,-0.990948,0.051471,2025-04-04T03:49:32Z,-0.359978,-0.128375,-0.119864,2025-04-04T03:49:32Z
17,254.41007,1.264113,10.75289,44.940086,281.820069,90.211678,2,3,-93.175215,9.520608,2025-04-04T03:49:34Z,-0.227336,-0.962596,0.044888,2025-04-04T03:49:33Z,-0.204685,0.118846,-0.144132,2025-04-04T03:49:33Z
18,254.824005,1.267031,10.847962,44.940088,282.234005,90.211678,2,3,-93.175096,9.453761,2025-04-04T03:49:35Z,-0.216907,-0.964857,0.046561,2025-04-04T03:49:34Z,-0.096397,0.143757,-0.219248,2025-04-04T03:49:34Z
19,254.887603,1.267084,10.691624,44.940087,282.297603,90.292641,2,3,-93.174974,9.597638,2025-04-04T03:49:36Z,-0.201081,-0.980209,0.064863,2025-04-04T03:49:35Z,0.089673,-0.077848,-0.014009,2025-04-04T03:49:35Z
20,254.948368,1.265878,10.538315,44.940087,282.358368,90.292641,2,3,-93.174848,9.730004,2025-04-04T03:49:37Z,-0.210931,-0.973532,0.056421,2025-04-04T03:49:36Z,-0.005873,0.017753,-0.142859,2025-04-04T03:49:36Z
21,255.273836,1.390856,13.582179,44.940081,282.683836,90.292641,2.141558,3,-93.174751,8.289749,2025-04-04T03:49:38Z,-0.213705,-0.974227,0.062509,2025-04-04T03:49:37Z,-0.024425,0.008955,-0.030707,2025-04-04T03:49:37Z
22,255.538371,1.266645,10.254493,44.940082,282.948371,90.142525,2.080605,3,-93.174602,10.002225,2025-04-04T03:49:39Z,-0.204148,-0.965341,0.042241,2025-04-04T03:49:38Z,0.061781,0.111026,-0.158592,2025-04-04T03:49:38Z
23,255.763143,0.896776,7.255184,44.940082,283.173142,90.142525,2.044915,3,-93.174467,10.060255,2025-04-04T03:49:40Z,-0.228883,-0.980877,0.056484,2025-04-04T03:49:39Z,-0.134484,-0.066296,-0.058349,2025-04-04T03:49:39Z
24,255.940891,0.895919,7.255612,44.940081,283.350891,90.142525,2.12129,3,-93.174337,10.099275,2025-04-04T03:49:41Z,-0.220862,-0.959103,0.060581,2025-04-04T03:49:40Z,-0.048907,0.137178,-0.024026,2025-04-04T03:49:40Z
25,256.126777,0.895282,7.256646,44.940084,283.536777,90.142525,2.06799,3,-93.174199,10.491903,2025-04-04T03:49:42Z,-0.24381,-0.967141,0.044921,2025-04-04T03:49:41Z,-0.114326,0.043381,-0.085029,2025-04-04T03:49:41Z
26,255.892809,0.894718,7.258883,44.940084,283.302809,90,2.038141,3,-93.174067,10.454406,2025-04-04T03:49:43Z,-0.228039,-0.955679,0.061168,2025-04-04T03:49:42Z,-0.014692,0.176994,-0.023991,2025-04-04T03:49:42Z
