seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.316342,0.304686,13.235018,44.934275,289.726342,250.90541,3.04386,3,-93.167272,4.223263,2025-04-04T03:27:08Z,-0.182146,-0.984922,-0.063227,2025-04-04T03:27:08Z,0.55481,-0.162456,0.138286,2025-04-04T03:27:08Z
1,262.12234,0.297592,7.262699,44.934274,289.53234,262.763552,2.998855,3,-93.167342,5.047224,2025-04-04T03:27:09Z,-0.116084,-1.003997,0.014526,2025-04-04T03:27:09Z,1.017277,-0.305274,0.835053,2025-04-04T03:27:09Z
2,262.155087,0.222383,8.552606,44.934277,289.565087,270.332489,2.90805,3,-93.16742,6.259722,2025-04-04T03:27:10Z,-0.128664,-0.998385,0.011515,2025-04-04T03:27:10Z,0.824017,-0.233313,0.777446,2025-04-04T03:27:10Z
3,262.115168,0.362567,7.949607,44.934279,289.525168,270.332489,2.807274,3,-93.167521,7.705955,2025-04-04T03:27:11Z,-0.143139,-0.99305,0.020845,2025-04-04T03:27:11Z,0.64937,-0.167722,0.796091,2025-04-04T03:27:11Z
4,262.076712,0.356381,7.257233,44.934281,289.486712,270.332489,2.640674,3,-93.167638,8.968577,2025-04-04T03:27:12Z,-0.156387,-0.990908,0.022759,2025-04-04T03:27:12Z,0.487284,-0.137668,0.768315,2025-04-04T03:27:12Z
5,262.003119,0.353284,7.258086,44.934285,289.413119,270.332489,2.439693,3,-93.167768,10.064786,2025-04-04T03:27:13Z,-0.181643,-0.982191,0.018551,2025-04-04T03:27:13Z,0.202453,-0.035162,0.719869,2025-04-04T03:27:13Z
6,261.92644,0.334546,7.258716,44.934288,289.336439,270.332489,2.264277,3,-93.16791,11.033991,2025-04-04T03:27:14Z,-0.202248,-0.987114,0.013159,2025-04-04T03:27:14Z,-0.0203,-0.090253,0.611344,2025-04-04T03:27:14Z
7,261.67226,0.330172,7.258752,44.93429,289.08226,270.332489,2.150473,3,-93.168058,11.658092,2025-04-04T03:27:15Z,-0.204576,-0.977501,0.01877,2025-04-04T03:27:15Z,-0.092724,0.021498,0.605577,2025-04-04T03:27:15Z
8,261.633109,0.323104,7.258885,44.934292,289.043109,270.332489,2.080052,3,-93.168214,12.230991,2025-04-04T03:27:16Z,-0.209389,-0.975966,0.010232,2025-04-04T03:27:16Z,-0.13185,0.041328,0.463887,2025-04-04T03:27:16Z
9,261.467176,0.327624,7.258803,44.934292,288.877176,270.332489,2.041763,3,-93.168372,12.607943,2025-04-04T03:27:17Z,-0.218899,-0.971513,0.012689,2025-04-04T03:27:17Z,-0.250839,0.07195,0.45523,2025-04-04T03:27:17Z
10,261.423742,0.321188,7.258891,44.934291,288.833742,270.313019,2.021134,3,-93.16854,13.060603,2025-04-04T03:27:18Z,-0.239547,-0.967692,0.008678,2025-04-04T03:27:18Z,-0.446878,0.143011,0.361295,2025-04-04T03:27:18Z
11,261.522687,0.319988,7.25891,44.93429,288.932687,270.313019,2.5757,3,-93.168712,13.406607,2025-04-04T03:27:19Z,-0.249415,-0.972064,-3.83e-4,2025-04-04T03:27:19Z,-0.522041,0.078703,0.195564,2025-04-04T03:27:19Z
12,261.527407,0.31012,7.258971,44.934291,288.937407,270.313019,2.279378,3,-93.168888,13.588077,2025-04-04T03:27:20Z,-0.252578,-0.966945,-0.007522,2025-04-04T03:27:20Z,-0.52719,0.126246,0.113568,2025-04-04T03:27:20Z
13,261.526188,0.306474,7.258971,44.934292,288.936188,270.364532,2.13555,3,-93.169061,13.618161,2025-04-04T03:27:21Z,-0.274729,-0.959915,-8.73e-4,2025-04-04T03:27:21Z,-0.689582,0.193703,0.086994,2025-04-04T03:27:21Z
14,261.546496,0.309545,7.258969,44.934296,288.956496,270.364532,2.066016,3,-93.169231,13.434283,2025-04-04T03:27:22Z,-0.282918,-0.959015,-0.005202,2025-04-04T03:27:22Z,-0.68478000000000006,0.171057,0.013433,2025-04-04T03:27:22Z
15,261.271823,0.304764,7.258946,44.934294,288.681823,270.364532,2.03153,3,-93.169406,13.368942,2025-04-04T03:27:23Z,-0.280385,-0.964864,-0.012859,2025-04-04T03:27:23Z,-0.624408,0.113029,-0.067664,2025-04-04T03:27:23Z
16,261.002785,0.302115,7.2588800000000004,44.934294,288.412785,270.364532,2.015226,3,-93.169579,13.30165,2025-04-04T03:27:24Z,-0.271557,-0.953101,-0.018114,2025-04-04T03:27:24Z,-0.518812,0.216703,-0.047409,2025-04-04T03:27:24Z
17,260.91254,0.299899,7.258814,44.934294,288.32254,270.248383,2.007465,3,-93.169747,13.157893,2025-04-04T03:27:25Z,-0.267294,-0.949241,-0.016445,2025-04-04T03:27:25Z,-0.378813,0.240645,0.007522,2025-04-04T03:27:25Z
18,260.80749,0.293564,7.258526,44.934296,288.21749,270.248383,2.00373,3,-93.169909,12.949955,2025-04-04T03:27:26Z,-0.273109,-0.967768,-0.008309,2025-04-04T03:27:26Z,-0.391404,0.046865,0.079262,2025-04-04T03:27:26Z
19,260.783037,0.297286,7.258706,44.934297,288.193037,270.248383,2.001867,3,-93.170073,12.941332,2025-04-04T03:27:27Z,-0.274605,-0.958403,-0.008688,2025-04-04T03:27:27Z,-0.370925,0.124304,0.07074,2025-04-04T03:27:27Z
20,260.44696,0.293795,7.258489,44.934299,287.85696,270.248383,2.000937,3,-93.170236,12.873947,2025-04-04T03:27:28Z,-0.263064,-0.957766,-0.008997,2025-04-04T03:27:28Z,-0.247619,0.129704,0.078262,2025-04-04T03:27:28Z
21,260.31219,0.295037,7.258585,44.9343,287.722189,270.303314,2.000471,3,-93.170399,12.907472,2025-04-04T03:27:29Z,-0.273097,-0.966905,-0.013965,2025-04-04T03:27:29Z,-0.315144,0.03522,0.052274,2025-04-04T03:27:29Z
22,260.051069,0.296394,7.258674,44.9343,287.461068,270.303314,2.000237,3,-93.170562,12.874139,2025-04-04T03:27:30Z,-0.273981,-0.95909,-0.011514,2025-04-04T03:27:30Z,-0.308003,0.104199,0.041243,2025-04-04T03:27:30Z
23,259.892409,0.297241,7.258725,44.934301,287.302409,270.303314,2.000119,3,-93.170725,12.829717,2025-04-04T03:27:31Z,-0.272288,-0.952775,-0.008631,2025-04-04T03:27:31Z,-0.248864,0.161043,0.046862,2025-04-04T03:27:31Z
24,259.864877,0.294271,7.25859,44.9343,287.274877,270.303314,2.000059,3,-93.17089,12.845326,2025-04-04T03:27:32Z,-0.28479,-0.967198,-0.001399,2025-04-04T03:27:32Z,-0.341628,0.006626,0.070088,2025-04-04T03:27:32Z
25,259.73101,0.297535,7.258763,44.9343,287.14101,270.303314,2.00003,3,-93.171052,12.802441,2025-04-04T03:27:33Z,-0.275355,-0.955009,-0.020463,2025-04-04T03:27:33Z,-0.264441,0.132527,0.035508,2025-04-04T03:27:33Z
26,259.369191,0.292575,7.258495,44.9343,286.779191,270.288544,2.000015,3,-93.17121,12.55672,2025-04-04T03:27:34Z,-0.275688,-0.962167,-0.024046,2025-04-04T03:27:34Z,-0.186759,0.037765,0.011068,2025-04-04T03:27:34Z
