seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,264.43638,-1,-1,44.941621,291.846379,-1,43.571505,3,-93.166826,-1,2025-04-04T03:10:08Z,-0.160499,-0.9662,-0.011279,2025-04-04T03:10:08Z,1.1111,-0.034733,0.156768,2025-04-04T03:10:08Z
1,253.640228,1.345,11.790502,44.941541,281.050228,274.921875,5.367445,8,-93.1671,9.21,2025-04-04T03:10:09Z,-0.186307,-0.977787,-0.003992,2025-04-04T03:10:09Z,0.947225,-0.18634,0.177643,2025-04-04T03:10:09Z
2,256.456299,1.01,5.751593,44.941536,283.866299,269.296875,3.535534,3,-93.167289,9.21,2025-04-04T03:10:11Z,-0.225459,-0.963833,-0.013626,2025-04-04T03:10:10Z,0.712836,-0.095525,0.064601,2025-04-04T03:10:10Z
3,255.107422,1.35,7.798193,44.941536,282.517422,269.648438,3.535534,3,-93.167411,9.37,2025-04-04T03:10:12Z,-0.233333,-0.981894,0.01883,2025-04-04T03:10:11Z,0.587382,-0.252912,0.235152,2025-04-04T03:10:11Z
4,253.775513,1.38,7.489098,44.941533,281.185513,269.296875,3.535534,3,-93.167537,9.37,2025-04-04T03:10:13Z,-0.234836,-0.964384,0.013868,2025-04-04T03:10:12Z,0.578736,-0.08364,0.183707,2025-04-04T03:10:12Z
5,253.448425,0.72,3.766921,44.941527,280.858425,268.242188,3.535534,3,-93.167701,12.35,2025-04-04T03:10:14Z,-0.247664,-0.971081,-0.015325,2025-04-04T03:10:13Z,0.38881,-0.130773,-0.044454,2025-04-04T03:10:13Z
6,253.218018,0.31,1.701819,44.941526,280.628017,270.069122,3.535534,3,-93.167845,12.35,2025-04-04T03:10:15Z,-0.263252,-0.954901,-0.030035,2025-04-04T03:10:14Z,0.226165,0.032155,-0.181372,2025-04-04T03:10:14Z
7,253.12146,0.13,0.748947,44.941523,280.53146,270.069122,3.535534,3,-93.167999,11.94,2025-04-04T03:10:16Z,-0.267376,-0.965943,-0.029675,2025-04-04T03:10:15Z,0.163682,-0.070052,-0.144663,2025-04-04T03:10:15Z
8,252.497192,0.26,1.404984,44.941524,279.907192,270.081268,3.535534,3,-93.168151,11.94,2025-04-04T03:10:17Z,-0.274502,-0.956144,-0.031043,2025-04-04T03:10:16Z,0.059276,0.022704,-0.127609,2025-04-04T03:10:16Z
9,252.184631,0.31,1.688011,44.941525,279.594631,270.081268,3.535534,3,-93.168304,12.02,2025-04-04T03:10:18Z,-0.285279,-0.955388,-0.02966,2025-04-04T03:10:17Z,-0.038424,0.049694,-0.109932,2025-04-04T03:10:17Z
10,251.953247,1.55,6.599803,44.941534,279.363247,270.081268,3.535534,3,-93.168453,11.69,2025-04-04T03:10:19Z,-0.290703,-0.956489,-0.02408,2025-04-04T03:10:18Z,-0.103964,0.034564,-0.057072,2025-04-04T03:10:18Z
11,251.979553,2.62,7.916918,44.941522,279.389553,270.081268,3.535534,3,-93.168598,11.69,2025-04-04T03:10:20Z,-0.277377,-0.960509,-0.026344,2025-04-04T03:10:19Z,-0.001748,3.19e-4,-0.056722,2025-04-04T03:10:19Z
