seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,249.806123,0.382908,15.160755,44.941355,277.216123,43.36174,2.448647,3,-93.177124,3.605442,2025-04-04T03:30:07Z,-0.137126,-0.993517,-0.132808,2025-04-04T03:30:07Z,0.920256,-0.215823,-0.967487,2025-04-04T03:30:07Z
1,249.97169,0.373385,11.940035,44.941374,277.38169,63.074387,2.384555,3,-93.177073,4.088766,2025-04-04T03:30:08Z,-0.125592,-0.987591,-0.103219,2025-04-04T03:30:08Z,0.857879,-0.116825,-0.473503,2025-04-04T03:30:08Z
2,250.099768,0.327363,7.692192,44.941382,277.509768,91.915314,2.400504,3,-93.176993,5.259767,2025-04-04T03:30:09Z,-0.142866,-0.991984,-0.040612,2025-04-04T03:30:09Z,0.601974,-0.156215,0.334641,2025-04-04T03:30:09Z
3,250.224098,0.323995,7.310487,44.941364,277.634098,91.915314,2.391472,3,-93.176907,6.321905,2025-04-04T03:30:10Z,-0.146686,-0.992893,-0.067362,2025-04-04T03:30:10Z,0.455315,-0.154388,0.219273,2025-04-04T03:30:10Z
4,250.348901,0.323512,7.258512,44.941362,277.7589,90.718887,2.341451,3,-93.176815,7.094385,2025-04-04T03:30:11Z,-0.151455,-0.990656,-0.056697,2025-04-04T03:30:11Z,0.298168,-0.104633,0.369045,2025-04-04T03:30:11Z
5,250.509548,0.327498,7.258562,44.941361,277.919548,90.718887,3.713275,3,-93.176711,7.894064,2025-04-04T03:30:12Z,-0.15458,-0.993152,-0.042898,2025-04-04T03:30:12Z,0.256392,-0.144426,0.426935,2025-04-04T03:30:12Z
6,250.76377,0.334184,7.258547,44.941361,278.173769,90.330261,2.206539,3,-93.176609,8.598919,2025-04-04T03:30:13Z,-0.163955,-0.989148,-0.030336,2025-04-04T03:30:13Z,0.115093,-0.070604,0.394371,2025-04-04T03:30:13Z
7,250.961318,0.331043,7.258637,44.94136,278.371318,90.330261,2.140079,3,-93.176488,9.307282,2025-04-04T03:30:14Z,-0.176005,-0.979706,-0.032845,2025-04-04T03:30:14Z,0.010547,0.021126,0.342172,2025-04-04T03:30:14Z
8,251.122633,0.320733,7.2588800000000004,44.941358,278.532632,90.330261,2.088446,3,-93.176363,9.852582,2025-04-04T03:30:15Z,-0.174451,-0.985659,-0.019978,2025-04-04T03:30:15Z,0.044668,-0.053321,0.392705,2025-04-04T03:30:15Z
9,251.298223,0.316355,7.258941,44.941355,278.708223,90.330261,2.137338,3,-93.17623,10.426307,2025-04-04T03:30:16Z,-0.182122,-0.987858,-0.01372,2025-04-04T03:30:16Z,-0.067075,-0.029274,0.380714,2025-04-04T03:30:16Z
10,251.08541,0.320258,7.258898,44.941354,278.49541,90,2.082972,3,-93.176097,10.789596,2025-04-04T03:30:17Z,-0.186006,-0.979254,-0.010933,2025-04-04T03:30:17Z,-0.093704,0.037322,0.334227,2025-04-04T03:30:17Z
