seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,256.230348,3.772577,160.384383,44.941496,283.640348,1.181658,2.597738,3,-93.170701,1.89591,2025-02-19T22:13:00Z,-0.236721,-0.962616,-0.124965,2025-02-19T22:12:59Z,-0.451019,0.153535,-0.480208,2025-02-19T22:12:59Z
1,256.703612,2.330882,44.309445,44.941474,284.113612,98.908539,2.567851,3,-93.170613,4.251707,2025-02-19T22:13:01Z,-0.202591,-0.963083,-0.206837,2025-02-19T22:13:00Z,-0.112662,0.152917,-1.273433,2025-02-19T22:13:00Z
2,256.628826,2.298419,43.386796,44.94146,284.038826,107.161735,2.539459,3,-93.17056,4.278402,2025-02-19T22:13:02Z,-0.185024,-0.96481,-0.259261,2025-02-19T22:13:01Z,0.163966,0.11719,-1.819725,2025-02-19T22:13:01Z
3,256.438931,2.293585,43.405609,44.941431,283.848931,125.926744,2.530024,3,-93.170521,4.279054,2025-02-19T22:13:03Z,-0.138954,-0.964924,-0.256972,2025-02-19T22:13:02Z,0.549243,0.119751,-1.753556,2025-02-19T22:13:02Z
4,256.550207,2.24704,37.943981,44.941383,283.960207,149.84929,2.51667,3,-93.170498,4.797495,2025-02-19T22:13:04Z,-0.149734,-0.986538,-0.217639,2025-02-19T22:13:03Z,0.345477,-0.079225,-1.175017,2025-02-19T22:13:03Z
5,256.576994,2.193668,33.355072,44.941332,283.986994,171.278503,2.490836,3,-93.170499,5.319892,2025-02-19T22:13:05Z,-0.138594,-0.959141,-0.219017,2025-02-19T22:13:04Z,0.352678,0.179496,-1.039937,2025-02-19T22:13:04Z
6,256.264784,2.148279,30.597599,44.941281,283.674783,187.055499,2.466295,3,-93.170518,5.688791,2025-02-19T22:13:06Z,-0.162805,-0.976616,-0.198674,2025-02-19T22:13:05Z,0.054189,0.015037,-0.760545,2025-02-19T22:13:05Z
7,256.11895,2.124228,28.404927,44.941227,283.52895,199.459763,2.453382,3,-93.170544,6.057638,2025-02-19T22:13:07Z,-0.165088,-0.966498,-0.154719,2025-02-19T22:13:06Z,0.121109,0.114886,-0.477703,2025-02-19T22:13:06Z
8,256.075542,2.095978,26.37543,44.941173,283.485542,204.615509,2.476713,3,-93.170576,6.408718,2025-02-19T22:13:08Z,-0.158286,-0.985284,-0.137273,2025-02-19T22:13:07Z,0.198877,-0.04755,-0.475942,2025-02-19T22:13:07Z
9,256.269213,2.05314,23.985012,44.941119,283.679213,209.604141,2.501997,3,-93.170621,6.932604,2025-02-19T22:13:09Z,-0.153039,-0.972241,-0.137813,2025-02-19T22:13:08Z,0.118608,0.072549,-0.349334,2025-02-19T22:13:08Z
10,256.27921,2.025911,22.310342,44.941065,283.68921,215.529816,2.488639,3,-93.170675,7.353604,2025-02-19T22:13:10Z,-0.205262,-0.969286,-0.131918,2025-02-19T22:13:09Z,-0.367479,0.112099,-0.263314,2025-02-19T22:13:09Z
11,256.340263,1.997284,21.498482,44.941009,283.750263,215.529816,2.532513,3,-93.170733,7.521607,2025-02-19T22:13:11Z,-0.218901,-0.965184,-0.152055,2025-02-19T22:13:10Z,-0.464903,0.123343,-0.370596,2025-02-19T22:13:10Z
12,256.32787,1.985412,21.461103,44.940958,283.73787,219.290207,2.513442,3,-93.170797,7.490754,2025-02-19T22:13:12Z,-0.195853,-0.968355,-0.161447,2025-02-19T22:13:11Z,-0.29952,0.119024,-0.445663,2025-02-19T22:13:11Z
