seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,258.919138,2.575065,66.985895,44.936605,286.329138,332.675323,2.510825,3,-93.1725,2.872443,2025-02-19T22:06:22Z,-0.192692,-0.962419,-0.210663,2025-02-19T22:06:21Z,-0.282878,0.19475,-1.136589,2025-02-19T22:06:21Z
1,258.610108,2.512656,68.406439,44.936636,286.020108,2.843182,2.663696,3,-93.17248,2.85869,2025-02-19T22:06:23Z,-0.090448,-0.991883,-0.165769,2025-02-19T22:06:22Z,0.575225,-0.065583,-0.840258,2025-02-19T22:06:22Z
2,258.601006,2.424822,55.872781,44.936664,286.011006,28.430588,2.688401,3,-93.172443,3.439254,2025-02-19T22:06:24Z,-0.139313,-1.000741,-0.033396,2025-02-19T22:06:23Z,0.03558,-0.13261,0.366982,2025-02-19T22:06:23Z
3,258.450594,2.301548,41.402948,44.936688,285.860594,48.231665,2.64676,3,-93.172384,4.459397,2025-02-19T22:06:25Z,-0.130711,-0.982805,-0.019133,2025-02-19T22:06:24Z,0.040441,0.055127,0.481877,2025-02-19T22:06:24Z
4,258.390968,2.254211,35.110835,44.936713,285.800968,48.820797,2.652617,3,-93.172324,5.05303,2025-02-19T22:06:26Z,-0.148924,-0.991479,-0.052471,2025-02-19T22:06:25Z,-0.076652,-0.041582,0.275122,2025-02-19T22:06:25Z
5,258.319426,2.201019,32.29198,44.936742,285.729426,47.899387,2.616361,3,-93.172266,5.461287,2025-02-19T22:06:27Z,-0.125572,-0.98733,-0.014379,2025-02-19T22:06:26Z,0.103717,0.011374,0.496746,2025-02-19T22:06:26Z
6,258.055727,2.131559,28.556272,44.936779,285.465727,47.899387,2.636259,3,-93.172207,5.961261,2025-02-19T22:06:28Z,-0.131973,-0.99635,-0.030244,2025-02-19T22:06:27Z,0.056602,-0.078668,0.375032,2025-02-19T22:06:27Z
7,257.95779,2.061792,24.571528,44.936823,285.36779,47.899387,2.760022,3,-93.17214,6.787329,2025-02-19T22:06:29Z,-0.142387,-0.989591,-0.033536,2025-02-19T22:06:28Z,-0.061939,-0.036671,0.434141,2025-02-19T22:06:28Z
8,258.069055,1.993427,21.676224,44.936874,285.479055,45.607681,2.905136,3,-93.172072,7.447362,2025-02-19T22:06:30Z,-0.189841,-0.979009,-0.019357,2025-02-19T22:06:29Z,-0.502316,0.108316,0.401786,2025-02-19T22:06:29Z
9,258.203397,1.983694,20.415252,44.936929,285.613397,42.776093,3.017907,3,-93.172001,7.863339,2025-02-19T22:06:31Z,-0.248329,-0.966521,-0.008362,2025-02-19T22:06:30Z,-0.945777,0.196847,0.492567,2025-02-19T22:06:30Z
10,258.159999,1.985057,21.356077,44.936984,285.569999,39.982883,2.752675,3,-93.171942,7.531375,2025-02-19T22:06:32Z,-0.24043,-0.983147,-0.035597,2025-02-19T22:06:31Z,-0.94452,0.035475,0.318671,2025-02-19T22:06:31Z
11,258.024225,2.021887,22.913799,44.93704,285.434225,36.544495,2.633145,3,-93.171892,7.144237,2025-02-19T22:06:33Z,-0.223172,-0.953711,-0.0851,2025-02-19T22:06:32Z,-0.671968,0.308451,0.042641,2025-02-19T22:06:32Z
12,257.898519,2.053845,24.827073,44.937084,285.308519,36.544495,2.573495,3,-93.171837,6.671096,2025-02-19T22:06:34Z,-0.220772,-0.968758,-0.070432,2025-02-19T22:06:33Z,-0.583607,0.132361,0.100017,2025-02-19T22:06:33Z
13,257.962382,2.081221,26.465728,44.937135,285.372382,34.095005,2.525468,3,-93.171793,6.370832,2025-02-19T22:06:35Z,-0.223953,-0.975154,-0.081944,2025-02-19T22:06:34Z,-0.592493,0.085889,-0.074593,2025-02-19T22:06:34Z
14,258.11145,2.10431,27.921348,44.937183,285.52145,32.380142,2.435186,3,-93.171751,6.106308,2025-02-19T22:06:36Z,-0.210977,-0.957083,-0.053407,2025-02-19T22:06:35Z,-0.435873,0.261633,0.116464,2025-02-19T22:06:35Z
