seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,249.799445,0.684569,32.519506,44.941485,277.209445,184.87582,2.471853,3,-93.177293,1.675085,2025-02-19T21:27:58Z,-0.010083,-0.997794,-0.035521,2025-02-19T21:27:57Z,-0.372606,0.017765,-0.194478,2025-02-19T21:27:57Z
1,250.309525,0.899464,36.314456,44.941468,277.719525,172.730372,2.474712,3,-93.17728,1.667212,2025-02-19T21:27:59Z,0.013234,-0.996929,-0.024311,2025-02-19T21:27:58Z,-0.133071,0.025173,-0.101496,2025-02-19T21:27:58Z
2,250.076621,0.665145,43.17453,44.941463,277.486621,179.870659,2.492442,3,-93.177284,1.24134,2025-02-19T21:28:00Z,0.019609,-0.998075,-0.022825,2025-02-19T21:27:59Z,-0.064472,0.014843,-0.094215,2025-02-19T21:27:59Z
3,250.056465,0.657747,41.65915,44.941451,277.466465,180.134161,2.46782,3,-93.177283,1.279185,2025-02-19T21:28:01Z,-0.008298,-0.99789,-0.031648,2025-02-19T21:28:00Z,-0.306586,0.017132,-0.180843,2025-02-19T21:28:00Z
4,249.853153,0.675693,45.967357,44.941442,277.263153,179.804158,2.476169,3,-93.177281,1.134307,2025-02-19T21:28:02Z,-0.031857,-0.99772,-0.038868,2025-02-19T21:28:01Z,-0.50353,0.019154,-0.235853,2025-02-19T21:28:01Z
5,249.943544,0.66404,79.600988,44.941437,277.353544,180.349647,2.45236,3,-93.177282,0.672132,2025-02-19T21:28:03Z,-0.015098,-0.997141,-0.036764,2025-02-19T21:28:02Z,-0.32375,0.025686,-0.180593,2025-02-19T21:28:02Z
6,249.995998,0.811641,180,44.941436,277.405998,179.426427,2.429742,3,-93.177279,0.291313,2025-02-19T21:28:04Z,-7.59e-4,-0.998181,-0.032451,2025-02-19T21:28:03Z,-0.156893,0.014784,-0.127097,2025-02-19T21:28:03Z
7,249.951982,0.896731,180,44.941437,277.361982,179.426427,2.423763,3,-93.177278,0.016348,2025-02-19T21:28:05Z,0.020445,-0.996969,-0.026002,2025-02-19T21:28:04Z,0.056043,0.025781,-0.065577,2025-02-19T21:28:04Z
8,249.990894,0.903821,180,44.941439,277.400894,179.426429,2.507513,3,-93.177276,0,2025-02-19T21:28:06Z,0.020453,-0.997296,-0.026156,2025-02-19T21:28:05Z,0.057342,0.023324,-0.063374,2025-02-19T21:28:05Z
9,249.990894,0.896618,180,44.941439,277.400894,179.426429,2.524246,3,-93.177276,0,2025-02-19T21:28:07Z,0.020337,-0.997503,-0.025872,2025-02-19T21:28:06Z,0.057342,0.021722,-0.058134,2025-02-19T21:28:06Z
