seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,263.234357,0.573597,14.359757,44.94006,290.644357,350.701149,3.410361,3,-93.167066,3.664437,2025-02-19T21:33:02Z,0.073046,-1.001994,0.097054,2025-02-19T21:33:02Z,0.4335,-0.044268,1.477102,2025-02-19T21:33:02Z
1,263.072193,0.669227,12.359335,44.940091,290.482193,331.520855,3.339843,3,-93.1671,4.959039,2025-02-19T21:33:03Z,0.051026,-1.003656,0.122786,2025-02-19T21:33:03Z,0.25798,-0.050051,1.690021,2025-02-19T21:33:03Z
2,262.862854,0.602625,9.578099,44.940114,290.272854,311.032826,3.27285,3,-93.167157,5.908606,2025-02-19T21:33:04Z,0.060521,-0.991752,0.14351,2025-02-19T21:33:04Z,0.321861,0.074909,1.802677,2025-02-19T21:33:04Z
3,262.684312,0.535055,7.408208,44.940127,290.094312,293.620387,3.209208,3,-93.167234,6.553175,2025-02-19T21:33:05Z,0.02258,-1.011397,0.062477,2025-02-19T21:33:05Z,-0.121513,-0.128686,0.847041,2025-02-19T21:33:05Z
4,262.570493,0.264584,6.892705,44.940135,289.980492,285.360472,3.285033,3,-93.167324,6.884915,2025-02-19T21:33:06Z,-0.032695,-0.994562,-0.010035,2025-02-19T21:33:06Z,-0.64533,0.047063,0.109319,2025-02-19T21:33:06Z
5,262.563734,0.301659,7.171545,44.940134,289.973734,280.263225,3.166963,3,-93.16741,6.525798,2025-02-19T21:33:07Z,-0.041094,-1.001172,-0.032211,2025-02-19T21:33:07Z,-0.757085,-0.020143,-0.160492,2025-02-19T21:33:07Z
6,262.524394,0.307405,7.228009,44.940134,289.934394,277.666855,3.337875,3,-93.167493,6.370381,2025-02-19T21:33:08Z,-0.025572,-0.991024,-0.040962,2025-02-19T21:33:08Z,-0.571702,0.08139,-0.179243,2025-02-19T21:33:08Z
7,262.373092,0.30699,7.235102,44.940133,289.783092,275.799251,3.267033,3,-93.167573,6.216159,2025-02-19T21:33:09Z,-0.067563,-1.00034,-0.047627,2025-02-19T21:33:09Z,-0.932806,-0.011444,-0.28163,2025-02-19T21:33:09Z
8,262.301751,0.292965,7.20573,44.940131,289.711751,274.557369,3.294077,3,-93.167642,5.336929,2025-02-19T21:33:10Z,-0.179799,-0.99614,-0.088869,2025-02-19T21:33:10Z,-1.977091,0.034424,-0.652549,2025-02-19T21:33:10Z
9,262.205787,0.269839,8.927431,44.940128,289.615787,273.895924,3.132317,3,-93.167685,3.619729,2025-02-19T21:33:11Z,-0.170507,-0.995579,-0.089533,2025-02-19T21:33:11Z,-1.770751,0.03948,-0.633441,2025-02-19T21:33:11Z
10,262.12545,0.291456,11.896003,44.940125,289.53545,273.554257,3.016024,3,-93.167709,2.083598,2025-02-19T21:33:12Z,-0.100152,-0.998708,-0.064727,2025-02-19T21:33:12Z,-0.974116,0.009999,-0.386586,2025-02-19T21:33:12Z
11,262.065299,0.295805,16.513086,44.940123,289.475299,273.610451,2.998257,3,-93.167728,1.504158,2025-02-19T21:33:13Z,0.020873,-0.996265,-0.032678,2025-02-19T21:33:13Z,0.235099,0.033335,-0.061538,2025-02-19T21:33:13Z
12,262.037572,0.297638,12.887152,44.940121,289.447572,273.426399,2.974859,3,-93.167752,1.926038,2025-02-19T21:33:14Z,0.07824,-0.998179,-0.014816,2025-02-19T21:33:14Z,0.790504,0.013344,0.103392,2025-02-19T21:33:14Z
13,261.983731,0.285219,9.368967,44.94012,289.393731,272.84088,2.893621,3,-93.16779,3.037218,2025-02-19T21:33:15Z,0.155982,-0.993753,0.013766,2025-02-19T21:33:15Z,1.545087,0.060506,0.343786,2025-02-19T21:33:15Z
14,261.758596,0.307117,14.426929,44.94012,289.168596,271.935828,2.824881,3,-93.167851,4.649864,2025-02-19T21:33:16Z,0.125906,-0.996506,3.09e-4,2025-02-19T21:33:16Z,1.227208,0.030514,0.221533,2025-02-19T21:33:16Z
15,261.4858,0.306739,12.76739,44.94012,288.8958,271.51695,2.863038,3,-93.167928,5.921478,2025-02-19T21:33:17Z,0.107266,-0.99545,-0.003247,2025-02-19T21:33:17Z,1.005808,0.044321,0.209272,2025-02-19T21:33:17Z
16,261.20445,0.306438,12.328438,44.940119,288.614449,271.059322,2.899854,3,-93.168018,6.978773,2025-02-19T21:33:18Z,0.071433,-0.998015,-0.01628,2025-02-19T21:33:18Z,0.630649,0.016583,0.090307,2025-02-19T21:33:18Z
17,260.936617,0.306157,11.732097,44.940118,288.346617,270.597919,2.82794,3,-93.168119,7.732377,2025-02-19T21:33:19Z,0.039646,-1.001016,-0.023866,2025-02-19T21:33:19Z,0.304329,-0.018055,-0.002818,2025-02-19T21:33:19Z
18,260.635394,0.306238,11.604425,44.940117,288.045394,270.424514,2.82736,3,-93.168226,8.347847,2025-02-19T21:33:20Z,0.055971,-0.99097,-0.027902,2025-02-19T21:33:20Z,0.402422,0.088446,-0.021082,2025-02-19T21:33:20Z
19,260.297879,0.30613,11.298541,44.940117,287.707879,270.26762,2.829875,3,-93.168338,8.888038,2025-02-19T21:33:21Z,0.045968,-0.997023,-0.016327,2025-02-19T21:33:21Z,0.294392,0.028905,0.014969,2025-02-19T21:33:21Z
20,259.893224,0.305997,11.109402,44.940116,287.303223,269.890126,2.778858,3,-93.16846,9.441819,2025-02-19T21:33:22Z,0.014638,-0.993919,-0.02656,2025-02-19T21:33:22Z,-0.015474,0.056858,-0.09813,2025-02-19T21:33:22Z
21,259.549983,0.305853,10.50774,44.940116,286.959982,269.964871,2.485782,3,-93.168584,9.599699,2025-02-19T21:33:23Z,-0.010022,-0.995445,-0.043483,2025-02-19T21:33:23Z,-0.284306,0.03993,-0.218606,2025-02-19T21:33:23Z
22,259.260668,0.306002,10.387754,44.940117,286.670668,269.978145,2.301815,3,-93.168705,9.503553,2025-02-19T21:33:24Z,-0.053735,-0.999594,-0.044772,2025-02-19T21:33:24Z,-0.708145,0.002541,-0.281739,2025-02-19T21:33:24Z
23,258.951444,0.306334,10.025962,44.940118,286.361444,270.183106,2.21804,3,-93.168816,8.872164,2025-02-19T21:33:25Z,-0.124745,-0.999071,-0.069164,2025-02-19T21:33:25Z,-1.368084,-0.001546,-0.449767,2025-02-19T21:33:25Z
24,258.719203,0.306853,9.192715,44.940116,286.129203,270.375652,2.27221,3,-93.168917,7.874071,2025-02-19T21:33:27Z,-0.12106,-0.996975,-0.067489,2025-02-19T21:33:26Z,-1.354896,0.029669,-0.379146,2025-02-19T21:33:26Z
25,258.815701,0.157849,7.090705,44.940117,286.2257,270.696326,2.182444,3,-93.169008,6.925432,2025-02-19T21:33:28Z,-0.127025,-1.003248,-0.069054,2025-02-19T21:33:27Z,-1.322453,-0.039317,-0.385595,2025-02-19T21:33:27Z
26,258.736008,0.303351,7.21895,44.940117,286.146008,270.487511,2.180772,3,-93.169082,5.812577,2025-02-19T21:33:29Z,-0.112274,-0.99179,-0.062602,2025-02-19T21:33:28Z,-1.110357,0.07793,-0.349063,2025-02-19T21:33:28Z
27,258.578041,0.276347,7.198154,44.940116,285.988041,270.384682,2.306387,3,-93.169144,4.877558,2025-02-19T21:33:30Z,-0.110897,-1.001198,-0.06419,2025-02-19T21:33:29Z,-1.000844,-0.016687,-0.315239,2025-02-19T21:33:29Z
28,258.464847,0.28685,8.787214,44.940117,285.874847,270.392956,2.383717,3,-93.169193,3.998395,2025-02-19T21:33:31Z,-0.110818,-0.995076,-0.07584,2025-02-19T21:33:30Z,-0.924335,0.036589000000000003,-0.290107,2025-02-19T21:33:30Z
29,258.453048,0.302149,8.848064,44.940116,285.863047,270.64981,2.506133,3,-93.169232,3.066125,2025-02-19T21:33:32Z,-0.110676,-0.998682,-0.080612,2025-02-19T21:33:31Z,-0.754142,-0.00898,-0.249926,2025-02-19T21:33:31Z
30,258.67248,0.310737,12.114454,44.940115,286.08248,270.824616,2.507104,3,-93.169256,2.059407,2025-02-19T21:33:33Z,-0.085172,-0.999104,-0.071909,2025-02-19T21:33:32Z,-0.436024,-0.01589,-0.133545,2025-02-19T21:33:32Z
31,258.643101,0.312812,17.729015,44.940116,286.053101,271.119059,2.493822,3,-93.169272,1.404323,2025-02-19T21:33:34Z,-0.023935,-0.995941,-0.057676,2025-02-19T21:33:33Z,0.146752,0.014875,0.018586,2025-02-19T21:33:33Z
32,258.74112,0.314338,19.144787,44.940116,286.15112,271.415839,2.44444,3,-93.169288,1.297686,2025-02-19T21:33:35Z,-0.006809,-0.997514,-0.052476,2025-02-19T21:33:34Z,0.307965,5e-6,0.071269,2025-02-19T21:33:34Z
33,258.757623,0.312929,18.863435,44.940116,286.167623,271.697602,2.404036,3,-93.169305,1.317987,2025-02-19T21:33:36Z,-0.008603,-0.9967,-0.052481,2025-02-19T21:33:35Z,0.312876,0.00758,0.070063,2025-02-19T21:33:35Z
34,258.822396,0.3126,18.547359,44.940115,286.232396,271.78429,2.489914,3,-93.169322,1.340458,2025-02-19T21:33:37Z,-0.019805,-0.99669,-0.054536,2025-02-19T21:33:36Z,0.210922,0.008091,0.04312,2025-02-19T21:33:36Z
35,258.806331,0.312154,19.584884,44.940114,286.216331,271.910507,2.480767,3,-93.169337,1.270507,2025-02-19T21:33:38Z,0.037612,-0.995743,-0.036245,2025-02-19T21:33:37Z,0.762618,0.016971,0.195105,2025-02-19T21:33:37Z
36,258.849889,0.311237,13.404157,44.940114,286.259889,271.764832,2.47388,3,-93.169363,1.861081,2025-02-19T21:33:39Z,0.046042,-0.997732,-0.02925,2025-02-19T21:33:38Z,0.844528,-0.001747,0.219965,2025-02-19T21:33:38Z
37,258.856403,0.305692,9.824157,44.940113,286.266403,271.245609,2.442288,3,-93.169394,2.539617,2025-02-19T21:33:40Z,0.139378,-0.996114,0.004964,2025-02-19T21:33:39Z,1.658862,0.026115,0.493427,2025-02-19T21:33:39Z
38,258.686369,0.245333,9.860536,44.940112,286.096369,270.419073,2.414645,3,-93.169446,4.086111,2025-02-19T21:33:41Z,0.156951,-1.002059,0.010727,2025-02-19T21:33:40Z,1.658464,-0.029519,0.465693,2025-02-19T21:33:40Z
39,258.431304,0.307399,13.447678,44.940111,285.841304,269.777872,2.489478,3,-93.169517,5.524742,2025-02-19T21:33:42Z,0.137488,-0.984669,-0.00578,2025-02-19T21:33:41Z,1.341893,0.144261,0.318821,2025-02-19T21:33:41Z
40,258.050005,0.306726,12.431062,44.940111,285.460005,269.632554,2.486132,3,-93.169606,6.922459,2025-02-19T21:33:43Z,0.129439,-0.994534,-0.017716,2025-02-19T21:33:42Z,1.131383,0.039069,0.256146,2025-02-19T21:33:42Z
41,257.854577,0.306654,12.65037,44.94011,285.264577,269.553984,2.435822,3,-93.169707,7.97501,2025-02-19T21:33:44Z,0.096575,-0.997134,-0.0248,2025-02-19T21:33:43Z,0.74613,0.031354,0.099797,2025-02-19T21:33:43Z
