seconds_elapsed,location_local_time,accelerometer_z,accelerometer_y_new,accelerometer_x_new,geometry
0,2025-03-28T02:56:24Z,-0.245766,0.200735,-0.215367,"c(-93.177088, 44.939021)"
1,2025-03-28T02:56:25Z,0.410563,-0.058234,0.13931,"c(-93.177036, 44.939004)"
2,2025-03-28T02:56:26Z,0.858499,0.235043,0.383959,"c(-93.176978, 44.939006)"
3,2025-03-28T02:56:27Z,0.743675,0.181522,0.415114,"c(-93.176919, 44.939006)"
4,2025-03-28T02:56:28Z,0.661516,0.155789,0.542091,"c(-93.176832, 44.939006)"
5,2025-03-28T02:56:29Z,0.599471,0.1319,0.475962,"c(-93.176713, 44.939005)"
6,2025-03-28T02:56:30Z,0.366369,0.101054,0.385633,"c(-93.176609, 44.939005)"
7,2025-03-28T02:56:31Z,0.08211,0.084496,0.438719,"c(-93.176503, 44.939005)"
8,2025-03-28T02:56:32Z,-0.092385,-0.027003,0.461683,"c(-93.176376, 44.939005)"
9,2025-03-28T02:56:33Z,-0.375226,-0.188764,0.500169,"c(-93.17625, 44.939013)"
10,2025-03-28T02:56:34Z,-0.177686,0.060624,0.327951,"c(-93.176125, 44.939014)"
11,2025-03-28T02:56:35Z,-0.090807,0.051381,0.27874,"c(-93.175999, 44.939015)"
12,2025-03-28T02:56:36Z,-0.223246,-0.11408,0.348768,"c(-93.175868, 44.939017)"
13,2025-03-28T02:56:37Z,-0.560394,-0.236571,0.573336,"c(-93.175724, 44.939004)"
14,2025-03-28T02:56:38Z,-0.549214,-0.002239,0.387364,"c(-93.175594, 44.939015)"
15,2025-03-28T02:56:39Z,-0.184858,-0.039529,0.303955,"c(-93.175467, 44.939019)"
16,2025-03-28T02:56:40Z,-0.251188,0.057759,0.230286,"c(-93.175345, 44.939012)"
17,2025-03-28T02:56:41Z,-0.026664,-0.198553,0.111344,"c(-93.175222, 44.939012)"
18,2025-03-28T02:56:42Z,-0.502177,-0.043713,0.153905,"c(-93.175096, 44.939011)"
19,2025-03-28T02:56:43Z,-0.36205,-0.089287,0.2602,"c(-93.174961, 44.939013)"
20,2025-03-28T02:56:44Z,-0.898702,-0.347615,0.400758,"c(-93.174852, 44.939003)"
21,2025-03-28T02:56:45Z,-1.350789,-0.297754,0.466479,"c(-93.174738, 44.939003)"
22,2025-03-28T02:56:46Z,-1.318424,-0.329073,0.403034,"c(-93.17463, 44.939003)"
23,2025-03-28T02:56:47Z,-1.152403,-0.267216,0.337609,"c(-93.174552, 44.939011)"
24,2025-03-28T02:56:48Z,-1.18383,-0.236001,0.315182,"c(-93.174491, 44.939011)"
25,2025-03-28T02:56:49Z,-1.121826,-0.309602,0.2775,"c(-93.174422, 44.939005)"
26,2025-03-28T02:56:50Z,-0.095316,0.003008,0.046705000000000003,"c(-93.174416, 44.939008)"
27,2025-03-28T02:56:51Z,1.072084,0.214549,-0.184964,"c(-93.17441, 44.939008)"
28,2025-03-28T02:56:52Z,1.951727,0.433158,-0.362129,"c(-93.174395, 44.939009)"
29,2025-03-28T02:56:53Z,1.81644,0.394425,-0.355291,"c(-93.17436, 44.939007)"
30,2025-03-28T02:56:54Z,1.276438,0.28632,-0.188211,"c(-93.174285, 44.939008)"
31,2025-03-28T02:56:55Z,1.161378,0.167193,-0.177656,"c(-93.174202, 44.939009)"
32,2025-03-28T02:56:56Z,1.045505,0.172056,-0.114622,"c(-93.174114, 44.939011)"
