seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,258.747313,2.310139,44.9341,44.939993,286.157312,212.94917,2.357121,3,-93.16962,4.139575,2025-02-19T22:03:06Z,-0.245317,-0.986108,0.084873,2025-02-19T22:03:06Z,-0.455812,-0.081015,1.430114,2025-02-19T22:03:06Z
1,258.679986,2.272201,41.393697,44.93995,286.089985,195.023233,2.384744,3,-93.169626,4.441419,2025-02-19T22:03:07Z,-0.195214,-0.995331,0.04174,2025-02-19T22:03:07Z,-0.246652,-0.107174,0.855251,2025-02-19T22:03:07Z
2,258.935502,2.243637,37.140228,44.939903,286.345502,180.151602,2.38278,3,-93.169618,4.87885,2025-02-19T22:03:08Z,-0.158118,-0.987123,-0.038607,2025-02-19T22:03:08Z,-0.048983,0.002279,0.00427,2025-02-19T22:03:08Z
3,258.976028,2.216459,34.345863,44.939854,286.386028,180,2.379188,3,-93.16961,5.209018,2025-02-19T22:03:09Z,-0.146461,-0.982409,-0.015566,2025-02-19T22:03:09Z,0.080862,0.046723,0.192682,2025-02-19T22:03:09Z
4,259.091962,2.143535,28.985879,44.939798,286.501962,180,2.455346,3,-93.169604,5.941655,2025-02-19T22:03:10Z,-0.114339,-0.994202,-0.074374,2025-02-19T22:03:10Z,0.312347,-0.065073,-0.248189,2025-02-19T22:03:10Z
5,259.07532200000003,2.094543,26.117831,44.93974,286.485322,180,2.432642,3,-93.169598,6.483195,2025-02-19T22:03:12Z,-0.149008,-0.980882,-0.108037,2025-02-19T22:03:11Z,0.027364,0.068831,-0.591568,2025-02-19T22:03:11Z
6,259.821748,2.128358,26.429605,44.939685,287.231748,180,2.402249,3,-93.169593,6.313725,2025-02-19T22:03:13Z,-0.216509,-0.969172,-0.094262,2025-02-19T22:03:12Z,-0.612466,0.169512,-0.441209,2025-02-19T22:03:12Z
7,259.643745,2.130887,27.213601,44.939628,287.053745,180,2.402249,3,-93.169592,6.199993,2025-02-19T22:03:14Z,-0.155721,-0.987143,-0.062656,2025-02-19T22:03:13Z,0.011393,-0.004455,-0.126516,2025-02-19T22:03:13Z
8,259.474657,2.080792,24.730029,44.939566,286.884657,180,2.20469,3,-93.169593,6.660328,2025-02-19T22:03:15Z,-0.134676,-0.987758,-0.058892,2025-02-19T22:03:14Z,0.231362,-0.017451,-0.069795,2025-02-19T22:03:14Z
9,259.587821,2.044107,22.325191,44.939499,286.997821,180,2.206691,3,-93.169591,7.25107,2025-02-19T22:03:16Z,-0.153781,-0.98452,-0.072842,2025-02-19T22:03:15Z,0.013352,0.016553,-0.162353,2025-02-19T22:03:15Z
10,259.674076,2.009385,21.507638,44.93943,287.084076,179.512619,2.144222,3,-93.169588,7.457993,2025-02-19T22:03:17Z,-0.203851,-0.984043,-0.068076,2025-02-19T22:03:16Z,-0.453969,0.010487,-0.090005,2025-02-19T22:03:16Z
11,259.885459,2.015523,21.408989,44.939361,287.295459,179.512619,2.099948,3,-93.169585,7.4539859999999996,2025-02-19T22:03:18Z,-0.165172,-0.972113,-0.069925,2025-02-19T22:03:17Z,-0.122015,0.145717,-0.120865,2025-02-19T22:03:17Z
12,259.965463,2.02603,20.614189,44.939291,287.375462,179.512619,2.262191,3,-93.169584,7.677113,2025-02-19T22:03:19Z,-0.168267,-0.980154,-0.071424,2025-02-19T22:03:18Z,-0.105061,0.05168,-0.119333,2025-02-19T22:03:18Z
13,260.099567,2.026617,20.313752,44.939219,287.509567,179.512619,2.547822,3,-93.169584,7.815786,2025-02-19T22:03:20Z,-0.18131,-0.982322,-0.071305,2025-02-19T22:03:19Z,-0.219464,0.037881,-0.122632,2025-02-19T22:03:19Z
14,260.21982,2.031075,20.192961,44.939148,287.62982,179.512619,2.373468,3,-93.169585,7.835922,2025-02-19T22:03:21Z,-0.204549,-0.970818,-0.077266,2025-02-19T22:03:20Z,-0.413088,0.136259,-0.152184,2025-02-19T22:03:20Z
15,260.282133,2.009082,21.20608,44.93908,287.692132,180,2.255766,3,-93.169589,7.589601,2025-02-19T22:03:22Z,-0.223596,-0.970996,-0.078174,2025-02-19T22:03:21Z,-0.553365,0.125675,-0.155363,2025-02-19T22:03:21Z
16,260.556999,2.016883,22.192242,44.939013,287.966998,180,2.175493,3,-93.169591,7.260821,2025-02-19T22:03:23Z,-0.201149,-0.969194,-0.073048,2025-02-19T22:03:22Z,-0.304403,0.138494,-0.053021,2025-02-19T22:03:22Z
17,260.526133,2.010951,22.341583,44.938947,287.936133,180.236633,2.248825,3,-93.169591,7.290772,2025-02-19T22:03:24Z,-0.175906,-0.96767,-0.055835,2025-02-19T22:03:23Z,0.071783,0.1282,0.052864,2025-02-19T22:03:23Z
18,260.610744,2.013838,21.544242,44.938879,288.020744,180.236633,2.174826,3,-93.169591,7.487086,2025-02-19T22:03:25Z,-0.194692,-0.99183,-0.064166,2025-02-19T22:03:24Z,-0.128065,-0.09414,-0.155713,2025-02-19T22:03:24Z
19,260.561924,2.001952,21.261852,44.938811,287.971924,180.236633,2.122052,3,-93.169588,7.575557,2025-02-19T22:03:26Z,-0.190972,-0.984443,-0.05465,2025-02-19T22:03:25Z,-0.118886,-0.022361,-0.053471,2025-02-19T22:03:25Z
20,260.513384,1.996478,21.183903,44.938743,287.923384,180.236633,2.093046,3,-93.169588,7.626109,2025-02-19T22:03:27Z,-0.180398,-0.977365,-0.074839,2025-02-19T22:03:26Z,-0.014771,0.049169,-0.149954,2025-02-19T22:03:26Z
21,260.549372,1.989769,20.854907,44.938674,287.959372,180.236633,2.186776,3,-93.169588,7.688402,2025-02-19T22:03:28Z,-0.209517,-0.982957,-0.069501,2025-02-19T22:03:27Z,-0.227012,-0.021716,-0.0827,2025-02-19T22:03:27Z
22,260.729562,1.988924,20.879035,44.938606,288.139562,180.236633,2.12911,3,-93.169589,7.655188,2025-02-19T22:03:29Z,-0.211012,-0.964921,-0.065172,2025-02-19T22:03:28Z,-0.32019,0.170839,-0.056983,2025-02-19T22:03:28Z
23,260.905971,2.015696,21.909213,44.938541,288.315971,180.236633,2.479286,3,-93.169589,7.332959,2025-02-19T22:03:30Z,-0.256969,-0.958508,-0.079223,2025-02-19T22:03:29Z,-0.721531,0.21978,-0.184793,2025-02-19T22:03:29Z
24,260.989427,2.046621,25.112872,44.938482,288.399427,180.236633,2.560874,3,-93.169592,6.597,2025-02-19T22:03:31Z,-0.290668,-0.957634,-0.09589,2025-02-19T22:03:30Z,-0.909064,0.202699,-0.331338,2025-02-19T22:03:30Z
25,261.225014,2.187402,29.753313,44.938431,288.635014,180.236633,2.409811,3,-93.169596,5.726302,2025-02-19T22:03:32Z,-0.269998,-0.958512,-0.112212,2025-02-19T22:03:31Z,-0.795428,0.212684,-0.513782,2025-02-19T22:03:31Z
26,261.140658,2.236983,36.080072,44.938389,288.550658,180.545914,2.327848,3,-93.169603,4.961673,2025-02-19T22:03:33Z,-0.204168,-0.972874,-0.195106,2025-02-19T22:03:32Z,-0.14168,0.061175,-1.190973,2025-02-19T22:03:32Z
27,261.354646,2.243725,37.620046,44.938349,288.764646,180.545914,2.393151,3,-93.169638,4.796684,2025-02-19T22:03:34Z,-0.201399,-0.967714,-0.253976,2025-02-19T22:03:33Z,-0.193822,0.118262,-1.70333,2025-02-19T22:03:33Z
28,261.278256,2.277203,40.361939,44.938324,288.688256,221.399917,5.293967,3,-93.169625,4.537126,2025-02-19T22:03:35Z,-0.183604,-0.963585,-0.196343,2025-02-19T22:03:34Z,-0.152076,0.192777,-1.245855,2025-02-19T22:03:34Z
