seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,263.018204,0.670845,17.006409,44.934274,290.428203,207.673167,3.113519,3,-93.167169,3.162828,2025-02-19T21:43:08Z,-0.042807,-0.986094,-0.233004,2025-02-19T21:43:07Z,0.770748,0.022591,-1.489789,2025-02-19T21:43:07Z
1,262.699498,0.819152,19.18043,44.934256,290.109498,232.396803,3.215342,3,-93.167217,3.439847,2025-02-19T21:43:09Z,-0.013092,-0.982048,-0.237486,2025-02-19T21:43:08Z,0.771061,0.09739,-1.453,2025-02-19T21:43:08Z
2,262.166974,0.652187,11.27502,44.934255,289.576974,261.565568,3.154575,3,-93.167298,4.642069,2025-02-19T21:43:10Z,0.001263,-1.01181,-0.065152,2025-02-19T21:43:09Z,0.706429,-0.162979,-0.133356,2025-02-19T21:43:09Z
3,262.296929,0.677506,8.84154,44.934262,289.706929,270.066534,3.099829,3,-93.16739,6.196825,2025-02-19T21:43:11Z,-0.02118,-0.997092,-0.013851,2025-02-19T21:43:10Z,0.358131,0.00668,0.378602,2025-02-19T21:43:10Z
4,262.292966,0.654779,7.520119,44.934263,289.702966,270.05115,3.006512,3,-93.167485,7.05309,2025-02-19T21:43:12Z,-0.039282,-1.003079,-0.004704,2025-02-19T21:43:11Z,0.068084,-0.054786,0.368345,2025-02-19T21:43:11Z
5,262.334639,0.660141,7.258952,44.934266,289.744639,270.812567,2.841113,3,-93.167586,7.698164,2025-02-19T21:43:13Z,-0.028085,-0.998322,-0.014004,2025-02-19T21:43:12Z,0.163574,-0.001678,0.307937,2025-02-19T21:43:12Z
6,262.246123,0.6541,7.258017,44.934266,289.656123,270.529505,2.633716,3,-93.167698,8.481879,2025-02-19T21:43:14Z,-0.029525,-1.001719,-0.013,2025-02-19T21:43:13Z,0.141094,-0.031898,0.274161,2025-02-19T21:43:13Z
7,262.441163,0.654249,7.258465,44.934266,289.851163,270.111188,2.427974,3,-93.167823,9.359067,2025-02-19T21:43:15Z,-0.04924,-0.993354,-0.019748,2025-02-19T21:43:14Z,-0.053056,0.045135,0.181714,2025-02-19T21:43:14Z
8,262.326261,0.65795,7.258956,44.934268,289.736261,270.613753,2.265952,3,-93.167952,9.958561,2025-02-19T21:43:16Z,-0.061935,-1.002781,-0.02524,2025-02-19T21:43:15Z,-0.175075,-0.043152,0.120905,2025-02-19T21:43:15Z
9,262.056523,0.652516,7.258144,44.934271,289.466523,270.716646,2.16017,3,-93.168085,10.345969,2025-02-19T21:43:17Z,-0.067961,-0.995644,-0.016452,2025-02-19T21:43:16Z,-0.244903,0.028971,0.149395,2025-02-19T21:43:16Z
10,261.930301,0.654795,7.258728,44.934273,289.340301,270.465363,2.110165,3,-93.168225,10.790332,2025-02-19T21:43:18Z,-0.071027,-0.998123,-0.012443,2025-02-19T21:43:17Z,-0.252661,0.004827,0.160454,2025-02-19T21:43:17Z
11,262.171036,0.6538,7.258837,44.934272,289.581036,269.776227,2.060107,3,-93.168372,11.243051,2025-02-19T21:43:19Z,-0.072606,-0.993709,-0.017489,2025-02-19T21:43:18Z,-0.234543,0.043321,0.091039,2025-02-19T21:43:18Z
12,262.031677,0.650441,7.258974,44.934274,289.441677,270.168121,2.032265,3,-93.168522,11.632222,2025-02-19T21:43:20Z,-0.081099,-0.988125,-0.027074,2025-02-19T21:43:19Z,-0.318756,0.101634,0.028804,2025-02-19T21:43:19Z
13,261.901589,0.646438,7.258858,44.934276,289.311589,270.289743,2.168487,3,-93.168674,11.870676,2025-02-19T21:43:21Z,-0.106569,-1.000439,-0.028126,2025-02-19T21:43:20Z,-0.512107,-0.02004,-0.013592,2025-02-19T21:43:20Z
14,261.840634,0.649942,7.258966,44.934278,289.250634,270.440326,2.088302,3,-93.168827,11.990273,2025-02-19T21:43:22Z,-0.111323,-0.991112,-0.030676,2025-02-19T21:43:21Z,-0.543209,0.064607,-0.029081,2025-02-19T21:43:21Z
15,261.699746,0.643304,7.258866,44.934279,289.109746,270.133439,2.088302,3,-93.168976,11.850591,2025-02-19T21:43:23Z,-0.107686,-0.990374,-0.031998,2025-02-19T21:43:22Z,-0.46973,0.075365,-0.045825,2025-02-19T21:43:22Z
16,261.784012,0.652347,7.258974,44.934279,289.194012,269.872358,2.226922,3,-93.16913,11.976973,2025-02-19T21:43:24Z,-0.110353,-0.993652,-0.035339,2025-02-19T21:43:23Z,-0.441769,0.034982,-0.10271,2025-02-19T21:43:23Z
17,261.753674,0.642406,7.258974,44.934278,289.163674,269.908864,2.459924,3,-93.169282,11.960083,2025-02-19T21:43:25Z,-0.110383,-0.994871,-0.024454,2025-02-19T21:43:24Z,-0.403832,0.027177,-0.060308,2025-02-19T21:43:24Z
18,261.644179,0.665086,7.258929,44.934281,289.054179,271.019618,3.065689,3,-93.169436,12.067962,2025-02-19T21:43:26Z,-0.114735,-0.993767,-0.022235,2025-02-19T21:43:25Z,-0.413301,0.030747,-0.040545,2025-02-19T21:43:25Z
19,261.475747,0.650268,7.258863,44.934284,288.885746,270.868307,2.562199,3,-93.169584,11.881008,2025-02-19T21:43:27Z,-0.106081,-0.990437,-0.025834,2025-02-19T21:43:26Z,-0.333655,0.061691,0.007449,2025-02-19T21:43:26Z
20,261.204376,0.650996,7.258592,44.934284,288.614376,270.285897,2.294787,3,-93.169735,11.871105,2025-02-19T21:43:28Z,-0.10534,-0.979996,-0.040585,2025-02-19T21:43:27Z,-0.303316,0.163374,-0.011773,2025-02-19T21:43:27Z
21,261.002376,0.6476,7.258128,44.934287,288.412376,270.681108,2.154677,3,-93.169887,11.916853,2025-02-19T21:43:29Z,-0.112393,-0.99278,-0.033555,2025-02-19T21:43:28Z,-0.252373,0.030812,0.050767,2025-02-19T21:43:28Z
22,260.61846,0.652482,7.256414,44.934287,288.02846,269.888858,2.081271,3,-93.170038,11.937192,2025-02-19T21:43:30Z,-0.11008,-0.991142,-0.034953,2025-02-19T21:43:29Z,-0.240811,0.043765,0.02844,2025-02-19T21:43:29Z
23,260.690772,0.652632,7.258469,44.934288,288.100772,270.051052,2.042329,3,-93.170194,12.067464,2025-02-19T21:43:31Z,-0.113053,-0.993105,-0.029749,2025-02-19T21:43:30Z,-0.259405,0.037572,0.074699,2025-02-19T21:43:30Z
24,260.236609,0.651989,7.257143,44.934289,287.646609,269.502897,2.021976,3,-93.170351,12.303358,2025-02-19T21:43:32Z,-0.10853,-0.986269,-0.03441,2025-02-19T21:43:31Z,-0.141318,0.067419,0.028395,2025-02-19T21:43:31Z
25,260.052513,0.660799,7.257389,44.93429,287.462513,270.218267,2.025364,3,-93.170504,12.177036,2025-02-19T21:43:33Z,-0.110452,-0.995826,-0.035645,2025-02-19T21:43:32Z,-0.174323,-0.009092,0.021956,2025-02-19T21:43:32Z
26,260.100757,0.658436,7.25867,44.934285,287.510757,268.752926,2.410869,3,-93.170659,12.223191,2025-02-19T21:43:34Z,-0.10707,-0.98955,-0.036402,2025-02-19T21:43:33Z,-0.14265,0.053118,-0.008078,2025-02-19T21:43:33Z
27,259.994384,0.654605,7.258479,44.934286,287.404384,269.520324,2.212149,3,-93.170817,12.386313,2025-02-19T21:43:35Z,-0.109714,-0.989991,-0.031712,2025-02-19T21:43:34Z,-0.139646,0.047844,6e-6,2025-02-19T21:43:34Z
28,259.718693,0.657253,7.257814,44.934285,287.128692,269.701069,2.109068,3,-93.170975,12.436154,2025-02-19T21:43:36Z,-0.122743,-0.997787,-0.026337,2025-02-19T21:43:35Z,-0.220277,-0.031108,-0.005828,2025-02-19T21:43:35Z
29,259.466993,0.649429,7.257677,44.934284,286.876992,269.689553,2.055849,3,-93.171133,12.440118,2025-02-19T21:43:37Z,-0.110059,-0.983704,-0.048738,2025-02-19T21:43:36Z,-0.151579,0.101977,-0.014135,2025-02-19T21:43:36Z
30,259.143754,0.655052,7.257468,44.934283,286.553753,269.507388,2.02871,3,-93.17129,12.433319,2025-02-19T21:43:38Z,-0.125142,-0.995268,-0.056002,2025-02-19T21:43:37Z,-0.218388,-0.00893,-0.104358,2025-02-19T21:43:37Z
31,258.912697,0.658049,7.25776,44.934281,286.322697,269.095703,2.014806,3,-93.171446,12.408638,2025-02-19T21:43:39Z,-0.126636,-0.988163,-0.057743,2025-02-19T21:43:38Z,-0.22329,0.056558,-0.146678,2025-02-19T21:43:38Z
32,258.890288,0.653795,7.258629,44.934282,286.300288,270.09137,2.15464,3,-93.171604,12.382516,2025-02-19T21:43:40Z,-0.126928,-0.979055,-0.044185,2025-02-19T21:43:39Z,-0.203788,0.13898,-0.04861,2025-02-19T21:43:39Z
