seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,255.227521,3.767916,180,44.934362,282.637521,179.916322,2.671471,3,-93.177233,0.54176,2025-02-19T21:29:41Z,0.100377,-0.99629,-0.039515,2025-02-19T21:29:41Z,0.761078,0.012008,0.259811,2025-02-19T21:29:41Z
1,255.271317,3.751065,180,44.93435,282.681317,179.916321,2.711143,3,-93.177234,1.196408,2025-02-19T21:29:42Z,0.183777,-1.000476,0.075605,2025-02-19T21:29:42Z,1.482441,-0.026933,1.310194,2025-02-19T21:29:42Z
2,255.448572,2.51796,71.581571,44.93432,282.858572,169.257764,2.688402,3,-93.177225,2.842865,2025-02-19T21:29:43Z,0.057611,-1.005995,0.12746,2025-02-19T21:29:43Z,0.221797,-0.076367,1.773767,2025-02-19T21:29:43Z
3,255.223045,2.373944,51.848032,44.934287,282.633045,156.456618,2.653982,3,-93.177198,3.709899,2025-02-19T21:29:44Z,-0.003179,-0.998827,0.169571,2025-02-19T21:29:44Z,-0.31424,-0.001977,2.091748,2025-02-19T21:29:44Z
4,255.136795,2.30363,42.34569,44.934267,282.546795,129.40908,2.65404,3,-93.177138,4.394224,2025-02-19T21:29:45Z,0.025378,-1.010745,0.160534,2025-02-19T21:29:45Z,-0.094397,-0.116612,1.758012,2025-02-19T21:29:45Z
5,255.138313,2.17784,31.571613,44.934267,282.548313,99.743365,2.621338,3,-93.177052,5.589183,2025-02-19T21:29:46Z,0.085681,-0.982556,0.04073,2025-02-19T21:29:46Z,0.338873,0.153402,0.500965,2025-02-19T21:29:46Z
6,255.196506,2.084953,25.770198,44.934274,282.606506,89.938284,2.584555,3,-93.176963,6.550538,2025-02-19T21:29:47Z,0.126016,-1.012257,-0.014608,2025-02-19T21:29:47Z,0.596887,-0.13846,-0.004652,2025-02-19T21:29:47Z
7,255.138944,1.996624,21.803693,44.934276,282.548944,89.45437,2.534007,3,-93.176866,7.419175,2025-02-19T21:29:48Z,0.115849,-0.989905,-0.011979,2025-02-19T21:29:48Z,0.393778,0.072477,-0.013532,2025-02-19T21:29:48Z
8,255.055051,1.934788,18.713948,44.934275,282.465051,89.812987,2.624585,3,-93.176756,8.362451,2025-02-19T21:29:49Z,0.104988,-0.99547,-0.019941,2025-02-19T21:29:49Z,0.251866,0.01026,-0.064451,2025-02-19T21:29:49Z
9,255.130591,1.874044,16.441074,44.934275,282.540591,90.032598,2.49549,3,-93.176634,9.228869,2025-02-19T21:29:50Z,0.099784,-1.000254,-0.02576,2025-02-19T21:29:50Z,0.156927,-0.034938,-0.103435,2025-02-19T21:29:50Z
10,255.159443,1.844471,15.03496,44.934276,282.569443,90.045514,2.312564,3,-93.176506,9.938248,2025-02-19T21:29:51Z,0.097152,-0.991272,-0.029045,2025-02-19T21:29:51Z,0.098205,0.046067,-0.142886,2025-02-19T21:29:51Z
11,255.177439,1.844915,14.103491,44.934275,282.587439,90.21029,2.189206,3,-93.17637,10.599536,2025-02-19T21:29:52Z,0.075511,-1.000172,-0.039894,2025-02-19T21:29:52Z,-0.127523,-0.043365,-0.193345,2025-02-19T21:29:52Z
12,255.255919,1.816482,13.329609,44.934275,282.665919,90.136343,2.462981,3,-93.176229,11.025657,2025-02-19T21:29:53Z,0.08099,-1.001517,-0.03111,2025-02-19T21:29:53Z,-0.085469,-0.057702,-0.115223,2025-02-19T21:29:53Z
13,255.655604,1.808213,12.662095,44.934272,283.065604,90.70761,2.877935,3,-93.176079,11.570563,2025-02-19T21:29:54Z,0.07369,-0.985846,-0.030428,2025-02-19T21:29:54Z,-0.134699,0.100485,-0.101582,2025-02-19T21:29:54Z
14,255.777181,1.778231,12.055301,44.934274,283.187181,90.23717,2.471592,3,-93.175929,11.951823,2025-02-19T21:29:55Z,0.03299,-1.000835,-0.050247,2025-02-19T21:29:55Z,-0.520528,-0.051577,-0.212868,2025-02-19T21:29:55Z
15,256.089576,1.780167,12.054728,44.934274,283.499576,90.086342,2.248158,3,-93.175778,11.963784,2025-02-19T21:29:56Z,0.042029,-0.991868,-0.051234,2025-02-19T21:29:56Z,-0.427331,0.046091,-0.199558,2025-02-19T21:29:56Z
16,256.316328,1.757039,11.774512,44.934275,283.726328,89.942006,2.319356,3,-93.175624,12.089543,2025-02-19T21:29:57Z,0.044575,-0.991347,-0.06467,2025-02-19T21:29:57Z,-0.379399,0.040821,-0.314952,2025-02-19T21:29:57Z
17,256.453687,1.791536,12.163231,44.934284,283.863687,88.860436000000007,3.576456,3,-93.175478,11.933007,2025-02-19T21:29:58Z,0.028687,-1.001589,-0.055356,2025-02-19T21:29:58Z,-0.503054,-0.053253,-0.221652,2025-02-19T21:29:58Z
