seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,261.987446,2.205025,35.293429,44.941362,289.397446,157.573191,2.70224,3,-93.167073,5.057222,2025-02-19T21:47:44Z,-0.0984,-0.991154,-0.147998,2025-02-19T21:47:43Z,0.421092,-0.023938,-0.970739,2025-02-19T21:47:43Z
1,262.018268,2.165999,31.06,44.941306,289.428268,175.687511,2.667128,3,-93.167078,5.648979,2025-02-19T21:47:45Z,-0.106468,-0.993618,-0.035028,2025-02-19T21:47:44Z,0.382025,-0.049486,0.06071,2025-02-19T21:47:44Z
2,262.043191,2.083239,25.615887,44.941243,289.453191,181.557327,2.667223,3,-93.167087,6.589655,2025-02-19T21:47:46Z,-0.160046,-1.001202,0.054304,2025-02-19T21:47:45Z,-0.095966,-0.124895,0.759835,2025-02-19T21:47:45Z
3,262.046619,2.023268,22.9014,44.941177,289.456619,181.25354,2.617733,3,-93.167087,7.138676,2025-02-19T21:47:47Z,-0.143534,-0.987571,-0.010515,2025-02-19T21:47:46Z,-0.15229,0.032153,0.28261,2025-02-19T21:47:46Z
4,262.139627,2.029333,21.713491,44.941108,289.549627,181.25354,2.514888,3,-93.167079,7.514,2025-02-19T21:47:48Z,-0.141805,-0.983501,-0.045322,2025-02-19T21:47:47Z,-0.143973,0.072035,-0.071283,2025-02-19T21:47:47Z
5,262.219801,1.983677,20.329672,44.941036,289.629801,181.25354,2.525354,3,-93.167069,7.857388,2025-02-19T21:47:49Z,-0.14058,-0.988572,-0.04692,2025-02-19T21:47:48Z,-0.109819,0.022941,-0.08251,2025-02-19T21:47:48Z
6,262.274354,1.932235,18.97678,44.940961,289.684354,180.86116,2.37471,3,-93.167062,8.229759,2025-02-19T21:47:50Z,-0.165542,-0.981017,-0.049861,2025-02-19T21:47:49Z,-0.329495,0.092241,-0.135122,2025-02-19T21:47:49Z
7,262.283867,1.93793,18.587352,44.940885,289.693867,180.86116,2.387285,3,-93.167061,8.43897,2025-02-19T21:47:51Z,-0.215186,-0.976427,-0.038916,2025-02-19T21:47:50Z,-0.734206,0.129461,-0.108712,2025-02-19T21:47:50Z
8,262.335273,1.949655,19.216314,44.94081,289.745273,180.112579,2.25565,3,-93.167063,8.212526,2025-02-19T21:47:52Z,-0.220405,-0.974074,-0.051223,2025-02-19T21:47:51Z,-0.78037,0.151428,-0.12451,2025-02-19T21:47:51Z
9,262.441565,1.969622,20.206435,44.940737,289.851565,180.112579,2.711455,3,-93.167063,7.887237,2025-02-19T21:47:53Z,-0.21977,-0.97337,-0.033084,2025-02-19T21:47:52Z,-0.725088,0.148921,-0.00177,2025-02-19T21:47:52Z
