seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,266.863662,-0.52,1.991763,44.940031,294.273662,33.552083,70.926639,6.03822,-93.167129,0.256667,2025-02-19T21:41:54Z,-0.097123,-0.990429,-0.038175,2025-02-19T21:41:54Z,-0.03572,0.045088,-0.260571,2025-02-19T21:41:54Z
1,261.009521,0.86,17.793871,44.940054,288.419521,103.710938,14,4,-93.167164,3.1,2025-02-19T21:41:56Z,-0.020785,-0.998881,-0.094799,2025-02-19T21:41:55Z,0.436765,-0.014237,-0.798976,2025-02-19T21:41:55Z
2,260.728516,0.7,12.570187,44.940046,288.138515,135.703125,3.535534,3,-93.167135,2.77,2025-02-19T21:41:57Z,0.009451,-1.0033,-0.082485,2025-02-19T21:41:56Z,0.875604,-0.06181,-0.681545,2025-02-19T21:41:56Z
3,261.124634,0.72,15.653767,44.940027,288.534634,129.726562,3.535534,3,-93.167113,2.98,2025-02-19T21:41:58Z,0.026002,-1.002146,-0.110017,2025-02-19T21:41:57Z,0.975063,-0.050469,-0.918803,2025-02-19T21:41:57Z
4,261.095215,0.22,3.086824,44.939994,288.505215,158.554688,3.535534,3,-93.167093,2.98,2025-02-19T21:41:59Z,0.016696,-1.016173,-0.024505,2025-02-19T21:41:58Z,0.891478,-0.190825,-0.239587,2025-02-19T21:41:58Z
5,261.96936,0.27,2.967119,44.939918,289.37936,178.945312,3.535534,3,-93.167109,6.03,2025-02-19T21:42:00Z,0.003968,-1.001412,0.015861,2025-02-19T21:41:59Z,0.54703,-0.020034,0.098129,2025-02-19T21:41:59Z
6,262.620667,1.96,28.383196,44.939874,290.030666,184.21875,3.535534,3,-93.167112,6.03,2025-02-19T21:42:01Z,-0.011907,-0.999178,0.020486,2025-02-19T21:42:00Z,0.337826,-0.004461,0.207517,2025-02-19T21:42:00Z
7,263.399902,1.87,14.851586,44.939781,290.809902,182.460938,3.535534,3,-93.167118,6.03,2025-02-19T21:42:02Z,-0.016503,-1.000701,0.027876,2025-02-19T21:42:01Z,0.271362,-0.019231,0.303448,2025-02-19T21:42:01Z
8,263.785278,0.47,3.649253,44.939704,291.195278,178.59375,3.535534,3,-93.16712,8.15,2025-02-19T21:42:03Z,-0.017338,-1.00312,6.85e-4,2025-02-19T21:42:02Z,0.176612,-0.035028,0.140941,2025-02-19T21:42:02Z
9,263.693359,0.05,0.410447,44.939625,291.103359,180,3.535534,3,-93.16712,8.36,2025-02-19T21:42:04Z,-0.034258,-0.998271,-0.001328,2025-02-19T21:42:03Z,0.00382,0.003561,0.182518,2025-02-19T21:42:03Z
10,263.700439,0.05,0.33977,44.939543,291.110439,180.351562,3.535534,3,-93.167121,9.51,2025-02-19T21:42:05Z,-0.069749,-0.999288,-0.013624,2025-02-19T21:42:04Z,-0.341737,0.001565,0.064426,2025-02-19T21:42:04Z
11,263.612244,0.04,0.290827,44.939457,291.022243,180,3.535534,3,-93.16712,9.64,2025-02-19T21:42:06Z,-0.058736,-0.995073,-0.00956,2025-02-19T21:42:05Z,-0.243852,0.044815,0.103702,2025-02-19T21:42:05Z
12,263.545654,0.04,0.290462,44.939369,290.955654,179.648438,3.535534,3,-93.167119,9.64,2025-02-19T21:42:07Z,-0.054778,-1.005406,-0.013125,2025-02-19T21:42:06Z,-0.21131,-0.062257,0.055601,2025-02-19T21:42:06Z
13,263.545662,0.308017,7.258975,44.939282,290.955661,179.648438,4.748652,4.029364,-93.167118,9.64,2025-02-19T21:42:08Z,-0.052334,-0.989072,-0.009333,2025-02-19T21:42:07Z,-0.151181,0.100695,0.071583,2025-02-19T21:42:07Z
14,263.756844,0.308016,7.258975,44.939187,291.166844,179.648438,4.748652,4.029364,-93.167118,9.98,2025-02-19T21:42:09Z,-0.055724,-0.998189,-0.012547,2025-02-19T21:42:08Z,-0.169264,0.004418,0.077423,2025-02-19T21:42:08Z
15,263.750984,0.35,7.258975,44.939102,291.160984,169.804703,4.748652,4.029364,-93.167077,9.79,2025-02-19T21:42:10Z,-0.058997,-1.003271,-0.021199,2025-02-19T21:42:09Z,-0.174287,-0.036825,0.012592,2025-02-19T21:42:09Z
16,263.771251,0.308016,7.258975,44.938986,291.18125,183.164057,4.748652,4.029364,-93.16712,11.48,2025-02-19T21:42:11Z,-0.057816,-0.99022,-0.011014,2025-02-19T21:42:10Z,-0.111609,0.078975,0.056308,2025-02-19T21:42:10Z
17,263.664439,0.308017,7.258975,44.938885,291.074439,180,4.748652,4.029364,-93.167113,11.39,2025-02-19T21:42:12Z,-0.059564,-0.994754,-0.021321,2025-02-19T21:42:11Z,-0.180155,0.043797,0.010622,2025-02-19T21:42:11Z
18,263.897227,0.308017,7.258975,44.938779,291.307227,180,4.748652,4.029364,-93.167115,11.48,2025-02-19T21:42:13Z,-0.061823,-0.997583,-0.024038,2025-02-19T21:42:12Z,-0.167432,0.008779,0.023612,2025-02-19T21:42:12Z
19,264.191906,0.308017,7.258975,44.938665,291.601906,180.351562,4.748652,4.029364,-93.167116,12.02,2025-02-19T21:42:14Z,-0.066887,-0.997137,-0.024805,2025-02-19T21:42:13Z,-0.208206,0.016862,0.022796,2025-02-19T21:42:13Z
20,264.437817,0.87,7.258975,44.938556,291.847817,177.890629,4.748652,4.029364,-93.167106,12.12,2025-02-19T21:42:15Z,-0.066006,-0.995484,-0.026183,2025-02-19T21:42:14Z,-0.18361,0.028837,0.012754,2025-02-19T21:42:14Z
