seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,264.112126,2.13611,30.092747,44.934431,291.522125,354.282598,2.984692,3,-93.166969,5.739409,2025-02-19T21:54:17Z,-0.133054,-0.993941,-0.062755,2025-02-19T21:54:16Z,0.286702,-0.083666,-0.165599,2025-02-19T21:54:16Z
1,263.961351,2.092863,25.985964,44.934494,291.371351,358.458121,2.985435,3,-93.166964,6.505003,2025-02-19T21:54:18Z,-0.123244,-0.990051,-0.022009,2025-02-19T21:54:17Z,0.341547,-0.039747,0.272568,2025-02-19T21:54:17Z
2,264.03713,2.036448,22.638453,44.934563,291.44713,0.15017,3.016219,3,-93.166966,7.234162,2025-02-19T21:54:19Z,-0.112403,-1.001819,-0.034756,2025-02-19T21:54:18Z,0.367984,-0.138677,0.259879,2025-02-19T21:54:18Z
3,264.052037,1.968077,19.058262,44.934641,291.462036,359.502319,3.00236,3,-93.166967,8.306578,2025-02-19T21:54:20Z,-0.110888,-0.993215,-0.038619,2025-02-19T21:54:19Z,0.340302,-0.067652,0.280306,2025-02-19T21:54:19Z
4,263.859899,1.89292,16.802979,44.934726,291.269898,359.502319,2.932343,3,-93.166969,9.10934,2025-02-19T21:54:21Z,-0.130272,-0.99236,-0.069119,2025-02-19T21:54:20Z,0.081207,-0.043771,0.11353100000000001,2025-02-19T21:54:20Z
5,263.78986,1.859622,15.471929,44.934815,291.19986,0,2.591189,3,-93.16697,9.691667,2025-02-19T21:54:22Z,-0.139015,-0.989283,-0.05826,2025-02-19T21:54:21Z,0.007307,-0.027637,0.20867,2025-02-19T21:54:21Z
6,263.627673,1.834029,14.409283,44.934909,291.037673,0,2.837645,3,-93.16697,10.290435,2025-02-19T21:54:23Z,-0.137878,-0.991074,-0.06811,2025-02-19T21:54:22Z,-0.019396,-0.033798,0.113049,2025-02-19T21:54:22Z
7,263.860562,1.824502,13.499826,44.935009,291.270562,0,3.032682,3,-93.166971,10.922729,2025-02-19T21:54:24Z,-0.135679,-0.991171,-0.059049,2025-02-19T21:54:23Z,-0.005301,-0.031522,0.138677,2025-02-19T21:54:23Z
8,263.893659,1.818671,12.826244,44.935115,291.303659,0,2.693676,3,-93.166969,11.48732,2025-02-19T21:54:25Z,-0.139104,-0.984869,-0.062317,2025-02-19T21:54:24Z,-0.067001,0.033216,0.126979,2025-02-19T21:54:24Z
9,263.993006,1.798856,12.13385,44.935224,291.403006,0,2.817841,3,-93.166972,12.012537,2025-02-19T21:54:26Z,-0.141176,-0.97194,-0.067282,2025-02-19T21:54:25Z,-0.034622,0.151695,0.10604,2025-02-19T21:54:25Z
10,263.837626,1.766347,11.455648,44.935339,291.247626,0,2.500886,3,-93.166971,12.49355,2025-02-19T21:54:27Z,-0.176178,-1.008604,-0.045537,2025-02-19T21:54:26Z,-0.334562,-0.202642,0.101701,2025-02-19T21:54:26Z
11,264.080766,1.742365,10.959294,44.935458,291.490766,0,3.509031,3,-93.166975,12.880923,2025-02-19T21:54:28Z,-0.160651,-0.978178,-0.052347,2025-02-19T21:54:27Z,-0.256798,0.101275,0.134512,2025-02-19T21:54:27Z
12,264.075451,1.745695,10.754528,44.935577,291.485451,0,2.806162,3,-93.166972,13.151629,2025-02-19T21:54:29Z,-0.167114,-0.978933,-0.059756,2025-02-19T21:54:28Z,-0.302286,0.093922,0.120823,2025-02-19T21:54:28Z
13,264.054422,1.757124,10.614121,44.935698,291.464422,0,2.398869,3,-93.166973,13.412699,2025-02-19T21:54:30Z,-0.16414,-0.98159,-0.063806,2025-02-19T21:54:29Z,-0.262867,0.058198,0.106898,2025-02-19T21:54:29Z
14,264.089017,1.722554,10.173497,44.935823,291.499017,0.230499,2.193983,3,-93.166974,13.717567,2025-02-19T21:54:31Z,-0.168323,-0.993666,-0.08868,2025-02-19T21:54:30Z,-0.251836,-0.064466,-0.118557,2025-02-19T21:54:30Z
15,264.024459,1.72576,10.038978,44.935948,291.434459,0.230499,3.106605,3,-93.166975,13.928499,2025-02-19T21:54:32Z,-0.162017,-0.969879,-0.068114,2025-02-19T21:54:31Z,-0.156774,0.16255,-0.044978,2025-02-19T21:54:31Z
16,264.431482,0.306179,7.258143,44.936081,291.841482,0.230499,2.516571,3,-93.16697,14.188107,2025-02-19T21:54:33Z,-0.18354,-0.985615,-0.058626,2025-02-19T21:54:32Z,-0.350687,0.017005,0.071039,2025-02-19T21:54:32Z
17,264.212443,0.303787,7.258367,44.936212,291.622443,359.878601,2.240891,3,-93.166966,14.393006,2025-02-19T21:54:34Z,-0.173548,-0.957977,-0.060107,2025-02-19T21:54:33Z,-0.198716,0.274004,0.07485,2025-02-19T21:54:33Z
18,264.164339,0.300856,7.257899,44.936346,291.574339,359.878601,2.111023,3,-93.166966,14.622053,2025-02-19T21:54:35Z,-0.183139,-1.003015,-0.056112,2025-02-19T21:54:34Z,-0.305142,-0.168339,0.076587,2025-02-19T21:54:34Z
