seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,253.182206,1.834064,14.18681,44.941342,280.592206,86.857887,2.72441,3,-93.174703,10.466892,2025-02-19T22:00:24Z,-0.23465,-0.964916,-0.12049,2025-02-19T22:00:23Z,-0.567949,0.175148,-0.445872,2025-02-19T22:00:23Z
1,253.260998,1.863571,15.382593,44.941338,280.670998,82.935677,2.746984,3,-93.17458,9.814745,2025-02-19T22:00:25Z,-0.204128,-0.959433,-0.12412,2025-02-19T22:00:24Z,-0.33131,0.202792,-0.363553,2025-02-19T22:00:24Z
2,253.4255,1.876501,16.267763,44.94133,280.8355,95.066447,2.432026,3,-93.174464,9.314915,2025-02-19T22:00:26Z,-0.230163,-0.968974,-0.059648,2025-02-19T22:00:25Z,-0.402631,0.11007,-0.039503,2025-02-19T22:00:25Z
3,253.420811,1.905021,17.069425,44.941321,280.830811,95.942789,2.427179,3,-93.174349,9.033937,2025-02-19T22:00:27Z,-0.233492,-0.970053,-0.080734,2025-02-19T22:00:26Z,-0.493432,0.104407,0.015464,2025-02-19T22:00:26Z
4,253.609614,1.930744,17.988057,44.941312,281.019614,96.33484,2.470545,3,-93.174242,8.619494,2025-02-19T22:00:28Z,-0.2002,-0.970864,-0.097704,2025-02-19T22:00:27Z,-0.120358,0.018334,0.224124,2025-02-19T22:00:27Z
5,253.789782,1.948203,18.627706,44.941305,281.199781,95.724492,2.31526,3,-93.174134,8.453547,2025-02-19T22:00:29Z,-0.202421,-0.969622,-0.101993,2025-02-19T22:00:28Z,-0.026526,0.025296,0.234649,2025-02-19T22:00:28Z
6,253.462825,1.946528,18.963374,44.941299,280.872825,94.871712,2.404027,3,-93.17403,8.281855,2025-02-19T22:00:30Z,-0.176109,-0.971527,-0.082684,2025-02-19T22:00:29Z,0.127483,0.039626,0.291009,2025-02-19T22:00:29Z
7,253.429593,1.961228,19.287846,44.941295,280.839593,93.900284,2.324836,3,-93.173927,8.230708,2025-02-19T22:00:31Z,-0.159288,-0.988008,-0.090394,2025-02-19T22:00:30Z,0.240678,-0.131745,0.334629,2025-02-19T22:00:30Z
8,253.556587,1.934257,18.828908,44.941295,280.966587,92.663669,2.216429,3,-93.173821,8.319728,2025-02-19T22:00:32Z,-0.156985,-0.975613,-0.128925,2025-02-19T22:00:31Z,0.28197,-0.026935,0.061974,2025-02-19T22:00:31Z
9,253.533739,1.94566,18.493721,44.941295,280.943739,91.903384,2.14135,3,-93.173708,8.523478,2025-02-19T22:00:33Z,-0.14231,-0.977028,-0.118457,2025-02-19T22:00:32Z,0.413133,-0.029312,0.150888,2025-02-19T22:00:32Z
10,253.371044,1.926903,17.642536,44.941299,280.781044,91.068062,2.479286,3,-93.173595,8.839843,2025-02-19T22:00:34Z,-0.154114,-0.986851,-0.121935,2025-02-19T22:00:33Z,0.306797,-0.089094,-0.212425,2025-02-19T22:00:33Z
11,253.412196,1.901281,16.874045,44.9413,280.822195,91.311474,2.309061,3,-93.173478,9.129799,2025-02-19T22:00:35Z,-0.172903,-0.972254,-0.092976,2025-02-19T22:00:34Z,0.155882,0.048416,-0.00326,2025-02-19T22:00:34Z
12,253.552284,1.885927,16.525887,44.941297,280.962284,92.596195,2.771112,3,-93.173356,9.237863,2025-02-19T22:00:36Z,-0.177068,-0.980428,-0.070978,2025-02-19T22:00:35Z,0.139021,-0.025683,0.142072,2025-02-19T22:00:35Z
13,253.57758,1.889558,16.264755,44.9413,280.987579,91.954948,2.489828,3,-93.173237,9.389587,2025-02-19T22:00:37Z,-0.169198,-0.979836,-0.085223,2025-02-19T22:00:36Z,0.177105,-0.009793,-0.002003,2025-02-19T22:00:36Z
