seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,260.094391,2.170766,33.988031,44.934322,287.504391,280.391898,2.237004,3,-93.171009,5.171002,2025-02-19T22:05:24Z,-0.204873,-0.956744,-0.335416,2025-02-19T22:05:24Z,-0.347474,0.208594,-2.191001,2025-02-19T22:05:24Z
1,259.964467,2.237538,39.191641,44.934349,287.374467,300.182789,2.330581,3,-93.171056,4.615451,2025-02-19T22:05:25Z,-0.178014,-0.960604,-0.318988,2025-02-19T22:05:25Z,-0.289486,0.218987,-2.012329,2025-02-19T22:05:25Z
2,259.940154,2.261042,40.277873,44.934392,287.350154,326.668337,2.635976,3,-93.171083,4.548381,2025-02-19T22:05:26Z,-0.071889,-0.982827,-0.178719,2025-02-19T22:05:26Z,0.500863,0.047988,-0.805986,2025-02-19T22:05:26Z
3,260.254529,2.221861,34.573158,44.934442,287.664528,349.418457,2.689118,3,-93.171085,5.179846,2025-02-19T22:05:27Z,-0.097908,-0.998483,-0.116595,2025-02-19T22:05:27Z,0.347553,-0.119103,-0.196879,2025-02-19T22:05:27Z
4,259.96559,2.112127,27.50711,44.934503,287.37559,359.91333,2.728254,3,-93.171044,6.221748,2025-02-19T22:05:29Z,-0.119503,-0.992204,-0.079901,2025-02-19T22:05:28Z,0.075376,-0.040269,0.138127,2025-02-19T22:05:28Z
5,259.936974,2.042303,23.540877,44.934568,287.346974,359.91333,2.980866,3,-93.171044,7.029123,2025-02-19T22:05:30Z,-0.12285,-0.977449,-0.081137,2025-02-19T22:05:29Z,0.019924,0.103668,0.091138,2025-02-19T22:05:29Z
6,260.065462,2.008576,21.091478,44.934639,287.475462,359.91333,2.794206,3,-93.171044,7.62809,2025-02-19T22:05:31Z,-0.171991,-0.98284,-0.093576,2025-02-19T22:05:30Z,-0.456182,0.039922,-0.030901,2025-02-19T22:05:30Z
7,259.897371,1.967086,20.199209,44.93471,287.307371,359.91333,2.807625,3,-93.171066,7.849539,2025-02-19T22:05:32Z,-0.188312,-0.970293,-0.05779,2025-02-19T22:05:31Z,-0.590412,0.191878,0.190227,2025-02-19T22:05:31Z
8,260.050416,1.974723,20.064169,44.934783,287.460416,359.91333,2.957489,3,-93.171061,7.935406,2025-02-19T22:05:33Z,-0.219058,-0.988159,-0.035108,2025-02-19T22:05:32Z,-0.935572,0.003231,0.384605,2025-02-19T22:05:32Z
9,260.789745,1.996068,20.236595,44.934854,288.199744,359.91333,2.756759,3,-93.171055,7.867965,2025-02-19T22:05:34Z,-0.195538,-0.967424,-0.084745,2025-02-19T22:05:33Z,-0.630972,0.200582,0.024862,2025-02-19T22:05:33Z
