seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,253.408047,1.014351,64.227826,44.934382,280.818047,305.12363,3.136386,3.5,-93.177142,2.335779,2025-02-28T01:38:09Z,-0.161789,-0.994756,-0.165647,2025-02-28T01:38:09Z,1.226445,-0.369809,-1.229299,2025-02-28T01:38:09Z
1,252.713135,1.48,28.184813,44.934469,280.123135,348.046875,4.113969,3,-93.17719,4.17,2025-02-28T01:38:10Z,-0.141529,-0.991983,-0.147658,2025-02-28T01:38:10Z,1.105468,-0.25046,-1.180219,2025-02-28T01:38:10Z
2,252.370911,0.98,10.562052,44.93453,279.78091,360,3.535534,3,-93.177202,4.17,2025-02-28T01:38:11Z,-0.161831,-0.993247,0.060492,2025-02-28T01:38:11Z,0.723468,-0.208088,0.720825,2025-02-28T01:38:11Z
3,251.93396,0.29,2.518869,44.934589,279.34396,2.109375,3.535534,3,-93.177197,6.05,2025-02-28T01:38:12Z,-0.16928,-0.992604,0.05847,2025-02-28T01:38:12Z,0.553052,-0.177265,0.758619,2025-02-28T01:38:12Z
4,251.840088,0.62,4.300615,44.934659,279.250088,358.945312,3.535534,3,-93.177207,9.39,2025-02-28T01:38:13Z,-0.2151,-0.973536,0.036697,2025-02-28T01:38:13Z,0.07651,0.008739,0.510879,2025-02-28T01:38:13Z
5,252.311218,0.42,2.837932,44.934745,279.721218,1.40625,3.535534,3,-93.177206,9.56,2025-02-28T01:38:14Z,-0.261337,-0.96706,0.023651,2025-02-28T01:38:14Z,-0.370516,0.070657,0.284263,2025-02-28T01:38:14Z
6,251.725708,0.14,0.9626,44.934822,279.135708,0,3.535534,3,-93.177202,9.56,2025-02-28T01:38:15Z,-0.287353,-0.957715,0.032341,2025-02-28T01:38:15Z,-0.63071,0.164919,0.287017,2025-02-28T01:38:15Z
7,251.97998,0.08,0.545753,44.934905,279.38998,0.247819,3.535534,3,-93.17721,9.7,2025-02-28T01:38:16Z,-0.294275,-0.95241,0.015276,2025-02-28T01:38:16Z,-0.606753,0.201481,0.134122,2025-02-28T01:38:16Z
8,252.143494,0.12,0.856375,44.934993,279.553493,0.247819,3.535534,3,-93.177209,9.7,2025-02-28T01:38:17Z,-0.257773,-0.957741,0.023198,2025-02-28T01:38:17Z,-0.233399,0.156528,0.17998,2025-02-28T01:38:17Z
9,251.87561,1.69,7.637747,44.935086,279.28561,0.247819,3.535534,3,-93.177211,9.89,2025-02-28T01:38:18Z,-0.256223,-0.9653,0.034988,2025-02-28T01:38:18Z,-0.18346,0.044795,0.203386,2025-02-28T01:38:18Z
10,252.318481,2.52,8.640729,44.935175,279.728481,0.247819,3.535534,3,-93.177177,9.89,2025-02-28T01:38:19Z,-0.245647,-0.984873,0.042872,2025-02-28T01:38:19Z,-0.088777,-0.134788,0.234936,2025-02-28T01:38:19Z
11,252.183472,1.65,5.743115,44.935264,279.593472,0.247819,3.535534,3,-93.177188,10.14,2025-02-28T01:38:20Z,-0.221771,-0.945949,0.010616,2025-02-28T01:38:20Z,0.075658,0.264136,0.22369,2025-02-28T01:38:20Z
12,251.920776,0.74,3.844578,44.935378,279.330776,0,3.535534,3,-93.177187,12.46,2025-02-28T01:38:21Z,-0.245053,-0.980029,0.032083,2025-02-28T01:38:21Z,-0.023719,-0.088316,0.34544,2025-02-28T01:38:21Z
13,251.920789,0.74,7.258975,44.93549,279.330788,0,4.748652,4.029364,-93.177183,12.46,2025-02-28T01:38:22Z,-0.240062,-0.969291,0.025136,2025-02-28T01:38:22Z,0.003402,0.003083,0.183538,2025-02-28T01:38:22Z
14,251.559583,0.46,7.258975,44.935591,278.969582,0,4.748652,4.029364,-93.177191,12.46,2025-02-28T01:38:23Z,-0.256487,-0.958453,0.049507,2025-02-28T01:38:23Z,-0.131516,0.133751,0.210204,2025-02-28T01:38:23Z
15,251.257703,0.308016,7.258975,44.935708,278.667703,0,4.748652,4.029364,-93.177192,12.46,2025-02-28T01:38:24Z,-0.26591,-0.960975,0.051038,2025-02-28T01:38:24Z,-0.134387,0.037026,0.201265,2025-02-28T01:38:24Z
16,251.234022,0.308016,7.258975,44.935827,278.644022,0,4.748652,4.029364,-93.177196,12.81,2025-02-28T01:38:25Z,-0.261202,-0.961247,0.039217,2025-02-28T01:38:25Z,-0.150104,0.077828,0.156577,2025-02-28T01:38:25Z
17,250.966749,1.78,11.052159,44.935948,278.376749,0,4.748652,4.029364,-93.177185,13.05,2025-02-28T01:38:26Z,-0.263685,-0.976858,0.018357,2025-02-28T01:38:26Z,-0.167217,-0.062859,0.019989,2025-02-28T01:38:26Z
18,251.553846,3.03,18.813506,44.936055,278.963846,0,4.748652,4.029364,-93.177172,13.05,2025-02-28T01:38:27Z,-0.256252,-0.953635,0.028401,2025-02-28T01:38:27Z,-0.18436,0.15226,0.077675,2025-02-28T01:38:27Z
19,250.49585,0.72,3.31236,44.936207,277.905849,0.115846,3.535534,3,-93.177192,14.03,2025-02-28T01:38:28Z,-0.264352,-0.953135,0.010641,2025-02-28T01:38:28Z,-0.077191,0.113638,0.02757,2025-02-28T01:38:28Z
