seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,248.511428,0.165,3.53459,44.94043,275.921427,86.863281,28.936419,5.5,-93.177222,3.67,2025-02-28T01:07:08Z,-0.358481,-0.941665,0.137583,2025-02-28T01:07:08Z,-0.882133,0.207299,0.993154,2025-02-28T01:07:08Z
1,250.354858,1.21,10.706094,44.940157,277.764858,166.992188,4.946431,4,-93.177207,8.34,2025-02-28T01:07:09Z,-0.358182,-0.932788,0.188252,2025-02-28T01:07:09Z,-0.934151,0.307064,1.583546,2025-02-28T01:07:09Z
2,249.338623,0.51,5.52323,44.940126,276.748623,129.726562,3.844276,4,-93.177134,7.33,2025-02-28T01:07:10Z,-0.30986,-0.958812,0.155761,2025-02-28T01:07:10Z,-0.585175,0.076099,1.208089,2025-02-28T01:07:10Z
3,249.240601,0.22,2.453246,44.940097,276.6506,119.882812,3.535534,3,-93.177076,5.98,2025-02-28T01:07:11Z,-0.312538,-0.938969,0.228826,2025-02-28T01:07:11Z,-0.630298,0.27668,1.687407,2025-02-28T01:07:11Z
4,247.516479,0.13,1.281941,44.940087,274.926479,100.898438,3.535534,3,-93.177006,5.98,2025-02-28T01:07:12Z,-0.252222,-0.963772,0.192931,2025-02-28T01:07:12Z,-0.129869,0.055595,1.272222,2025-02-28T01:07:12Z
5,247.995361,0.34,2.929026,44.940078,275.405361,90,3.535534,3,-93.176914,7.56,2025-02-28T01:07:13Z,-0.19147,-0.987557,0.101685,2025-02-28T01:07:13Z,0.339328,-0.156051,0.353121,2025-02-28T01:07:13Z
6,247.855347,1,8.1305789999999991,44.940073,275.265347,90.305824,3.535534,3,-93.176817,8.03,2025-02-28T01:07:15Z,-0.191526,-0.981184,0.044654,2025-02-28T01:07:14Z,0.223858,-0.042741,-0.118552,2025-02-28T01:07:14Z
7,247.247681,2.13,18.30503,44.940073,274.657681,90.305824,3.535534,3,-93.176724,7.56,2025-02-28T01:07:16Z,-0.178947,-0.972317,0.023569,2025-02-28T01:07:15Z,0.33528,0.020116,-0.254705,2025-02-28T01:07:15Z
8,247.688782,0.7,4.368653,44.940081,275.09878200000003,90,3.535534,3,-93.176587,8.03,2025-02-28T01:07:17Z,-0.188119,-0.990551,0.011812,2025-02-28T01:07:16Z,0.181512,-0.124205,-0.347746,2025-02-28T01:07:16Z
9,248.193115,1.11,6.614242,44.940084,275.603115,90,3.535534,3,-93.176461,10.27,2025-02-28T01:07:18Z,-0.208165,-0.973694,0.001735,2025-02-28T01:07:17Z,0.015024,0.022721,-0.427759,2025-02-28T01:07:17Z
