seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,250.802725,-0.53,0.801015,44.939259,278.212725,38.122396,59.202093,4,-93.177348,1.17,2025-02-28T01:24:59Z,-0.347833,-0.958251,0.136883,2025-02-28T01:24:59Z,-1.189181,0.135062,0.912523,2025-02-28T01:24:59Z
1,250.807312,1.3,13.530907,44.939068,278.217312,114.960938,3.535534,3,-93.176974,6.25,2025-02-28T01:25:00Z,-0.277513,-0.946117,0.099412,2025-02-28T01:25:00Z,-0.571551,0.277142,0.474573,2025-02-28T01:25:00Z
2,251.509338,1.01,11.548553,44.939006,278.919338,90.161171,6.718116,3,-93.176903,5.69,2025-02-28T01:25:01Z,-0.235179,-0.967931,0.074908,2025-02-28T01:25:01Z,-0.16398,0.056074,0.185746,2025-02-28T01:25:01Z
3,251.358826,0.24,2.224887,44.939005,278.768826,90.161171,6.938842,3,-93.176817,6.25,2025-02-28T01:25:02Z,-0.188176,-0.984093,0.056028,2025-02-28T01:25:02Z,0.215215,-0.076773,0.054,2025-02-28T01:25:02Z
4,251.401306,0.16,1.385426,44.939005,278.811306,90.161171,3.535534,3,-93.176724,7.79,2025-02-28T01:25:03Z,-0.194074,-0.981404,0.038188,2025-02-28T01:25:03Z,0.138363,-0.04567,-0.082385,2025-02-28T01:25:03Z
5,251.503235,0.2,1.523559,44.939005,278.913235,90.161171,6.216754,3,-93.176621,8.59,2025-02-28T01:25:04Z,-0.203433,-0.978616,3.9e-4,2025-02-28T01:25:04Z,0.024617,-0.016867,-0.380925,2025-02-28T01:25:04Z
6,251.258911,0.15,1.123711,44.939005,278.668911,90.161171,6.280497,3,-93.176515,8.59,2025-02-28T01:25:06Z,-0.230064,-0.970826,0.003279,2025-02-28T01:25:05Z,-0.225423,0.066237,-0.416065,2025-02-28T01:25:05Z
7,251.237671,0.15,1.161617,44.939005,278.647671,90.161171,6.643427,3,-93.176406,8.59,2025-02-28T01:25:07Z,-0.263786,-0.96774,0.003313,2025-02-28T01:25:06Z,-0.523863,0.099228,-0.343445,2025-02-28T01:25:06Z
8,251.090332,0.52,3.967905,44.939004,278.500332,90.161171,7.275791,3,-93.176294,8.62,2025-02-28T01:25:08Z,-0.236345,-0.961099,-0.055113,2025-02-28T01:25:07Z,-0.260116,0.15643,-0.722658,2025-02-28T01:25:07Z
9,250.942322,1.53,8.709446,44.939004,278.352322,90.161171,7.492618,3,-93.176182,8.83,2025-02-28T01:25:09Z,-0.216125,-0.967253,-0.055326,2025-02-28T01:25:08Z,-0.021604,0.083043,-0.656215,2025-02-28T01:25:08Z
10,251.344055,1,6.194858,44.939004,278.754055,90.075394,6.938835,3,-93.176069,8.83,2025-02-28T01:25:10Z,-0.225264,-0.973599,-0.037433,2025-02-28T01:25:09Z,-0.090873,0.0271,-0.484259,2025-02-28T01:25:09Z
11,251.844482,0.27,1.836923,44.939004,279.254482,90.075394,6.820142,3,-93.175946,8.9,2025-02-28T01:25:11Z,-0.226892,-0.975904,-0.019629,2025-02-28T01:25:10Z,-0.08507,0.010206,-0.272043,2025-02-28T01:25:10Z
12,252.136658,0.15,1.027983,44.939004,279.546658,90.075394,6.736029,3,-93.175821,9.8,2025-02-28T01:25:12Z,-0.225681,-0.970054,-0.006869,2025-02-28T01:25:11Z,-0.032147,0.034738,-0.169247,2025-02-28T01:25:11Z
13,252.136665,0.308016,7.258975,44.939004,279.546665,90.075394,4.748652,4.029364,-93.175697,9.8,2025-02-28T01:25:13Z,-0.251844,-0.967781,-0.011179,2025-02-28T01:25:12Z,-0.289066,0.072497,-0.200002,2025-02-28T01:25:12Z
14,252.55024,0.308016,7.258975,44.939004,279.96024,90.075394,4.748652,4.029364,-93.175563,10.18,2025-02-28T01:25:14Z,-0.250554,-0.965883,-0.016228,2025-02-28T01:25:13Z,-0.223675,0.082306,-0.269738,2025-02-28T01:25:13Z
15,252.476754,0.8,7.258975,44.939004,279.886754,90.075394,4.748652,4.029364,-93.175429,10.25,2025-02-28T01:25:15Z,-0.23763,-0.970005,-0.008035,2025-02-28T01:25:14Z,-0.089537,0.041704,-0.206703,2025-02-28T01:25:14Z
16,252.096322,1.84,14.645617,44.939003,279.506321,90.075394,4.748652,4.029364,-93.17531,10.18,2025-02-28T01:25:16Z,-0.235342,-0.971624,0.001157,2025-02-28T01:25:15Z,-0.077883,-0.00638,-0.073985,2025-02-28T01:25:15Z
17,252.402291,0.83,7.258975,44.939003,279.812291,90,4.748652,4.029364,-93.175171,10.25,2025-02-28T01:25:17Z,-0.228232,-0.959122,-0.018747,2025-02-28T01:25:16Z,-0.039253,0.171857,-0.219061,2025-02-28T01:25:16Z
18,252.551523,1.17,8.649937,44.939003,279.961523,90,4.748652,4.029364,-93.17503,10.96,2025-02-28T01:25:18Z,-0.254299,-0.982611,-0.002923,2025-02-28T01:25:17Z,-0.155831,-0.114192,-0.125759,2025-02-28T01:25:17Z
19,253.556652,1.39,9.292869,44.939003,280.966652,90,4.748652,4.029364,-93.174871,12.12,2025-02-28T01:25:19Z,-0.243946,-0.95885,-0.023086,2025-02-28T01:25:18Z,-0.134743,0.151371,-0.245009,2025-02-28T01:25:18Z
20,252.567761,1.41,9.426579,44.939003,279.97776,90,4.748652,4.029364,-93.174739,12.12,2025-02-28T01:25:20Z,-0.320673,-0.925978,-0.038383,2025-02-28T01:25:19Z,-0.776474,0.432231,-0.443921,2025-02-28T01:25:19Z
21,253.873546,0.56,7.258975,44.939003,281.283545,90,4.748652,4.029364,-93.174598,11.48,2025-02-28T01:25:21Z,-0.619259,-0.864212,-0.13263,2025-02-28T01:25:20Z,-3.585132,1.019363,-1.339272,2025-02-28T01:25:20Z
22,253.819771,0.55,7.258975,44.939003,281.229771,90,4.748652,4.029364,-93.174511,10.02,2025-02-28T01:25:21Z,-0.454727,-0.904919,-0.072973,2025-02-28T01:25:21Z,-1.934699,0.598888,-0.718901,2025-02-28T01:25:21Z
23,253.925664,0.308016,7.258975,44.939003,281.335664,90,4.748652,4.029364,-93.17447,7.89,2025-02-28T01:25:22Z,-0.398663,-0.922053,-0.05016,2025-02-28T01:25:22Z,-1.268732,0.401533,-0.495898,2025-02-28T01:25:22Z
24,253.920777,0.308016,7.726948,44.939003,281.330777,90,4.748652,4.029364,-93.174472,3.23,2025-02-28T01:25:23Z,-0.373319,-0.926789,-0.032888,2025-02-28T01:25:23Z,-0.928782,0.32854,-0.302433,2025-02-28T01:25:23Z
25,254.039063,0.308016,7.726948,44.939003,281.449063,90,4.748652,4.029364,-93.174433,3.23,2025-02-28T01:25:24Z,-0.386597,-0.927849,-0.051946,2025-02-28T01:25:24Z,-0.931918,0.280685,-0.391105,2025-02-28T01:25:24Z
26,254.753418,0.71,25.122363,44.939003,282.163418,90,4.748652,4.029364,-93.174416,2.29,2025-02-28T01:25:25Z,-0.344955,-0.938291,-0.037391,2025-02-28T01:25:25Z,-0.420969,0.147204,-0.216464,2025-02-28T01:25:25Z
27,254.557434,1.03,48.242381,44.939003,281.967434,90,4.748652,4.029364,-93.174412,1.73,2025-02-28T01:25:26Z,-0.223904,-0.97399,-9.34e-4,2025-02-28T01:25:26Z,0.683599,-0.181461,0.150456,2025-02-28T01:25:26Z
28,254.146423,0.91,85.739427,44.939003,281.556423,90,4.748652,4.029364,-93.174419,0.86,2025-02-28T01:25:27Z,-0.125641,-1.000155,0.030782,2025-02-28T01:25:27Z,1.535255,-0.400213,0.430384,2025-02-28T01:25:27Z
29,254.025391,0.308016,17.955426,44.939003,281.435391,90,4.748652,4.029364,-93.174397,1.39,2025-02-28T01:25:28Z,-0.108318,-1.007171,0.039618,2025-02-28T01:25:28Z,1.64896,-0.452791,0.476815,2025-02-28T01:25:28Z
30,254.058412,0.71,17.539699,44.939003,281.468411,90,4.748652,4.029364,-93.174337,3.28,2025-02-28T01:25:29Z,-0.126933,-0.999044,0.034307,2025-02-28T01:25:29Z,1.472997,-0.372874,0.40558,2025-02-28T01:25:29Z
31,254.1261,0.64,15.810433,44.939003,281.536099,90,4.748652,4.029364,-93.174279,3.28,2025-02-28T01:25:30Z,-0.150677,-0.990657,0.033142,2025-02-28T01:25:30Z,1.241727,-0.29696,0.381353,2025-02-28T01:25:30Z
