seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,260.035489,-0.446667,9.263943,44.935288,287.445489,33.200521,267.937104,7.333333,-93.171038,-0.203333,2025-02-28T01:29:01Z,-0.219677,-0.973377,-0.044047,2025-02-28T01:29:01Z,0.341455,-0.073411,0.100248,2025-02-28T01:29:01Z
1,260.759766,1.71,44.149554,44.934464,288.169765,188.085938,5.422101,4,-93.170282,2.22,2025-02-28T01:29:02Z,-0.058576,-1.018989,-0.005235,2025-02-28T01:29:02Z,1.807148,-0.494855,0.46517,2025-02-28T01:29:02Z
2,260.661133,0.99,17.110613,44.934525,288.071133,356.484375,3.723915,3,-93.170286,2.22,2025-02-28T01:29:03Z,-0.090007,-1.010341,-0.016334,2025-02-28T01:29:03Z,1.387187,-0.375237,0.311604,2025-02-28T01:29:03Z
3,260.444946,0.99,14.368638,44.93457,287.854946,359.753693,3.535534,3,-93.170289,3.12,2025-02-28T01:29:04Z,-0.140787,-0.994909,-0.020666,2025-02-28T01:29:04Z,0.797525,-0.206876,0.197896,2025-02-28T01:29:04Z
4,259.712219,0.15,1.645668,44.934617,287.122219,359.753693,3.535534,3,-93.170294,6.2,2025-02-28T01:29:05Z,-0.166358,-0.990482,-0.042211,2025-02-28T01:29:05Z,0.511579,-0.145854,-0.094169,2025-02-28T01:29:05Z
5,260.678406,0.12,1.168018,44.934686,288.088406,359.753693,3.535534,3,-93.170274,6.86,2025-02-28T01:29:06Z,-0.206211,-0.975686,-0.025422,2025-02-28T01:29:06Z,0.014798,0.0273,0.0237,2025-02-28T01:29:06Z
6,261.454041,0.08,0.790025,44.934753,288.86404,359.753693,3.535534,3,-93.170275,6.66,2025-02-28T01:29:08Z,-0.286296,-0.953692,-0.053581,2025-02-28T01:29:07Z,-0.739778,0.222599,-0.217104,2025-02-28T01:29:07Z
7,261.503296,0.09,1.00549,44.934805,288.913296,359.753693,3.535534,3,-93.170275,6.66,2025-02-28T01:29:09Z,-0.304758,-0.950777,-0.059187,2025-02-28T01:29:08Z,-0.935762,0.263708,-0.2537,2025-02-28T01:29:08Z
8,261.473633,0.12,1.737895,44.934854,288.883633,359.753693,3.535534,3,-93.170275,4.77,2025-02-28T01:29:10Z,-0.335801,-0.939583,-0.07258,2025-02-28T01:29:09Z,-1.172615,0.347871,-0.340392,2025-02-28T01:29:09Z
9,260.828369,0.7,11.057193,44.934892,288.238369,359.753693,3.535534,3,-93.170276,4.77,2025-02-28T01:29:11Z,-0.364726,-0.930368,-0.089342,2025-02-28T01:29:10Z,-1.436676,0.433112,-0.41954,2025-02-28T01:29:10Z
10,260.256836,1.91,29.030664,44.93493,287.666836,359.753693,3.535534,3,-93.170276,4.12,2025-02-28T01:29:12Z,-0.389119,-0.921497,-0.103173,2025-02-28T01:29:11Z,-1.609207,0.510992,-0.517778,2025-02-28T01:29:11Z
11,260.724976,0.77,12.010738,44.934939,288.134975,0.631466,3.535534,3,-93.170276,4.1,2025-02-28T01:29:13Z,-0.265801,-0.950922,-0.076417,2025-02-28T01:29:12Z,-0.401068,0.212407,-0.227142,2025-02-28T01:29:12Z
12,260.552979,0.1,3.34726,44.934964,287.962978,0.631466,3.535534,3,-93.170275,1.94,2025-02-28T01:29:14Z,-0.232904,-0.979712,-0.031611,2025-02-28T01:29:13Z,0.084678,-0.095587,0.15943,2025-02-28T01:29:13Z
13,260.552979,0.308016,12.864969,44.934981,287.962979,0.631466,4.748652,4.029364,-93.170275,1.94,2025-02-28T01:29:15Z,-0.178102,-0.975873,-0.043467,2025-02-28T01:29:14Z,0.80091,-0.118579,0.086884,2025-02-28T01:29:14Z
14,261.08899,0.308016,8.665986,44.935013,288.49899,0.631466,4.748652,4.029364,-93.170275,2.88,2025-02-28T01:29:16Z,-0.14276,-0.998062,-0.014185,2025-02-28T01:29:15Z,1.160707,-0.332237,0.292641,2025-02-28T01:29:15Z
15,261.325075,0.308016,7.258975,44.935057,288.735075,0.631466,4.748652,4.029364,-93.170274,4.23,2025-02-28T01:29:17Z,-0.184095,-0.98122,-0.025689,2025-02-28T01:29:16Z,0.740966,-0.15952,0.164989,2025-02-28T01:29:16Z
16,261.270204,0.308016,7.258975,44.935102,288.680204,0.631466,4.748652,4.029364,-93.170273,4.23,2025-02-28T01:29:18Z,-0.208968,-0.973145,-0.023855,2025-02-28T01:29:17Z,0.505217,-0.089921,0.202226,2025-02-28T01:29:17Z
17,261.318118,0.308016,7.258975,44.935164,288.728117,0.631466,4.748652,4.029364,-93.170293,5.49,2025-02-28T01:29:19Z,-0.213932,-0.983484,-0.033546,2025-02-28T01:29:18Z,0.390551,-0.163374,0.133416,2025-02-28T01:29:18Z
18,261.49805,0.308016,7.258975,44.935223,288.90805,0.631466,4.748652,4.029364,-93.170291,6.1,2025-02-28T01:29:20Z,-0.229215,-0.970209,-0.033531,2025-02-28T01:29:19Z,0.212262,-0.040694,0.193494,2025-02-28T01:29:19Z
19,262.025821,1.22,15.816757,44.935278,289.435821,0.631466,4.748652,4.029364,-93.170271,6.25,2025-02-28T01:29:21Z,-0.217296,-0.973978,-0.041687,2025-02-28T01:29:20Z,0.175736,-0.03444,0.107615,2025-02-28T01:29:20Z
20,262.322513,2.47,32.022451,44.935325,289.732513,0.631466,4.748652,4.029364,-93.17027,6.25,2025-02-28T01:29:22Z,-0.223322,-0.973318,-0.040594,2025-02-28T01:29:21Z,0.147398,-0.026613,0.041724,2025-02-28T01:29:21Z
21,261.52338,1.41,18.280022,44.935414,288.933379,0.631466,4.748652,4.029364,-93.170268,6.25,2025-02-28T01:29:23Z,-0.233111,-0.97302,-0.049995,2025-02-28T01:29:22Z,0.072811,-0.035082,-0.060534,2025-02-28T01:29:22Z
22,261.827032,0.31,7.258975,44.935501,289.237031,0.631466,4.748652,4.029364,-93.170267,8.07,2025-02-28T01:29:24Z,-0.257305,-0.956817,-0.047636,2025-02-28T01:29:23Z,-0.169626,0.125727,-0.053783,2025-02-28T01:29:23Z
23,261.748846,0.308016,7.258975,44.93558,289.158846,0.075205,4.748652,4.029364,-93.170266,8.46,2025-02-28T01:29:25Z,-0.278324,-0.949395,-0.054846,2025-02-28T01:29:24Z,-0.349422,0.198661,-0.066226,2025-02-28T01:29:24Z
24,260.85376,2.03,15.979374,44.93565,288.26376,0.075205,3.535534,3,-93.170266,8.19,2025-02-28T01:29:26Z,-0.289419,-0.955824,-0.075868,2025-02-28T01:29:25Z,-0.418897,0.108979,-0.203851,2025-02-28T01:29:25Z
25,260.853765,2.03,20.08398,44.935723,288.263765,0.075205,4.748652,4.029364,-93.170266,8.19,2025-02-28T01:29:27Z,-0.283046,-0.954634,-0.074176,2025-02-28T01:29:26Z,-0.343238,0.1245,-0.187421,2025-02-28T01:29:26Z
26,260.827154,2.14,21.172276,44.935804,288.237154,0.075205,4.748652,4.029364,-93.170266,8.19,2025-02-28T01:29:28Z,-0.274116,-0.960679,-0.055347,2025-02-28T01:29:27Z,-0.217475,0.056824,-0.005342,2025-02-28T01:29:27Z
27,261.186285,1.91,18.89675,44.935867,288.596284,0.075205,4.748652,4.029364,-93.170266,8.19,2025-02-28T01:29:29Z,-0.248061,-0.966027,-0.057283,2025-02-28T01:29:28Z,-0.032322,0.026287,-0.058486,2025-02-28T01:29:28Z
28,261.753178,2.57,27.877264,44.93592,289.163178,0.075205,4.748652,4.029364,-93.170266,7.47,2025-02-28T01:29:30Z,-0.243049,-0.967247,-0.046258,2025-02-28T01:29:29Z,0.0379,0.005301,-0.052153,2025-02-28T01:29:29Z
29,261.44544,0.96,9.48626,44.936002,288.85544,0.075205,4.748652,4.029364,-93.170266,8.2,2025-02-28T01:29:31Z,-0.249223,-0.956499,-0.040521,2025-02-28T01:29:30Z,0.079986,0.079329,0.037617,2025-02-28T01:29:30Z
