seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,259.851913,-1,-1,44.942579,287.261913,-1,71.971495,3.030459,-93.166851,-1,2025-02-28T01:35:22Z,-0.259698,-0.961989,0.024308,2025-02-28T01:35:22Z,-0.385701,0.118702,0.001352,2025-02-28T01:35:22Z
1,261.108521,1.49,9.44292,44.94174,288.51852,188.085938,23.65553,4,-93.167116,10.27,2025-02-28T01:35:23Z,-0.238926,-0.964356,0.017375,2025-02-28T01:35:23Z,-0.159764,0.10077,-0.021471,2025-02-28T01:35:23Z
2,260.796875,1.56,7.837222,44.94165,288.206875,187.03125,3.670949,4,-93.167131,9.94,2025-02-28T01:35:24Z,-0.239557,-0.961353,0.014772,2025-02-28T01:35:24Z,-0.042587,0.101526,-0.029207,2025-02-28T01:35:24Z
3,260.401733,1.46,6.743227,44.941547,287.811733,182.460938,3.535534,3,-93.167133,10.27,2025-02-28T01:35:25Z,-0.27207,-0.954975,0.015914,2025-02-28T01:35:25Z,-0.383885,0.1698,-0.03194,2025-02-28T01:35:25Z
4,261.483032,2.14,5.549499,44.941413,288.893032,181.757812,3.535534,3,-93.167135,11.37,2025-02-28T01:35:26Z,-0.286667,-0.965839,0.026109,2025-02-28T01:35:26Z,-0.477324,0.050205,0.022029,2025-02-28T01:35:26Z
5,261.287415,1.83,5.189729,44.941296,288.697414,181.217926,3.535534,3,-93.16713,12.96,2025-02-28T01:35:27Z,-0.302194,-0.930038,0.009581,2025-02-28T01:35:27Z,-0.449188,0.39344,-0.120086,2025-02-28T01:35:27Z
6,260.827393,0.99,4.265652,44.941177,288.237392,181.253586,3.535534,3,-93.167124,12.96,2025-02-28T01:35:28Z,-0.300272,-0.983598,0.039932,2025-02-28T01:35:28Z,-0.591781,-0.17556,-0.187483,2025-02-28T01:35:28Z
7,261.907104,0.79,4.048448,44.94106,289.317104,181.253586,3.535534,3,-93.167123,12.83,2025-02-28T01:35:29Z,-0.304038,-0.936015,0.024364,2025-02-28T01:35:29Z,-0.537328,0.328868,-0.17745,2025-02-28T01:35:29Z
8,261.998657,1.69,5.767734,44.940945,289.408657,180.861191,3.535534,3,-93.167121,12.72,2025-02-28T01:35:30Z,-0.295464,-0.94711,0.021657,2025-02-28T01:35:30Z,-0.429008,0.177318,-0.133691,2025-02-28T01:35:30Z
9,261.93103,1.04,4.565968,44.940837,289.34103,180.861191,3.535534,3,-93.167126,11.52,2025-02-28T01:35:31Z,-0.322452,-0.950194,0.008228,2025-02-28T01:35:31Z,-0.667434,0.160744,-0.221601,2025-02-28T01:35:31Z
10,262.297852,1.27,5.780847,44.940738,289.707851,180.112579,3.535534,3,-93.167128,11.52,2025-02-28T01:35:32Z,-0.337806,-0.92709,0.003395,2025-02-28T01:35:32Z,-0.754351,0.371859,-0.21781,2025-02-28T01:35:32Z
11,262.795288,0.9,5.031767,44.940641,290.205288,180.112579,3.535534,3,-93.167131,11.01,2025-02-28T01:35:33Z,-0.367761,-0.939414,-0.009392,2025-02-28T01:35:33Z,-1.028906,0.247365,-0.272162,2025-02-28T01:35:33Z
12,262.580933,0.68,4.65232,44.940551,289.990932,180.112579,3.535534,3,-93.167132,10.46,2025-02-28T01:35:34Z,-0.360093,-0.922458,-0.00447,2025-02-28T01:35:34Z,-0.828779,0.378454,-0.241276,2025-02-28T01:35:34Z
13,262.580941,0.68,7.258975,44.940456,289.990941,180.112579,4.748652,4.029364,-93.167133,10.46,2025-02-28T01:35:35Z,-0.40262,-0.938957,-9.32e-4,2025-02-28T01:35:35Z,-1.198644,0.201124,-0.255022,2025-02-28T01:35:35Z
14,262.796759,0.68,7.258975,44.94039,290.206759,180.112579,4.748652,4.029364,-93.167131,8.52,2025-02-28T01:35:36Z,-0.44224,-0.904672,-0.021261,2025-02-28T01:35:36Z,-1.500383,0.512599,-0.445572,2025-02-28T01:35:36Z
15,262.924933,1.5,13.196819,44.940301,290.334933,179.591095,4.748652,4.029364,-93.167125,9.21,2025-02-28T01:35:37Z,-0.441955,-0.913411,-0.0247,2025-02-28T01:35:37Z,-1.391649,0.395368,-0.428288,2025-02-28T01:35:37Z
16,262.354071,1.31,12.458601,44.940252,289.764071,179.591095,4.748652,4.029364,-93.16712,8.52,2025-02-28T01:35:38Z,-0.412519,-0.914393,-0.019077,2025-02-28T01:35:38Z,-0.97198,0.344688,-0.289595,2025-02-28T01:35:38Z
17,262.677615,0.36,8.213579,44.940243,290.087615,179.591095,4.748652,4.029364,-93.167121,6.15,2025-02-28T01:35:39Z,-0.389425,-0.928634,-0.018347,2025-02-28T01:35:39Z,-0.603326,0.157519,-0.178723,2025-02-28T01:35:39Z
18,262.455078,0.308016,12.234334,44.940257,289.865078,179.591095,4.748652,4.029364,-93.167123,2.04,2025-02-28T01:35:40Z,-0.357505,-0.935075,-0.013967,2025-02-28T01:35:40Z,-0.205549,0.066321,-0.076879,2025-02-28T01:35:40Z
19,262.444947,0.308016,12.234334,44.940245,289.854947,179.591095,4.748652,4.029364,-93.167126,2.04,2025-02-28T01:35:41Z,-0.32762,-0.943705,-0.002572,2025-02-28T01:35:41Z,0.065598,-0.014459,0.039126,2025-02-28T01:35:41Z
