seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,265.477633,-1,-1,44.941308,292.887633,-1,618.298806,3,-93.166786,-1,2025-02-28T01:05:48Z,-0.200272,-0.987745,0.026831,2025-02-28T01:05:48Z,0.670675,-0.249768,0.18609,2025-02-28T01:05:48Z
1,256.41333,2.5,46.301644,44.941552,283.82333,356.484375,6.530797,8,-93.166924,7.01,2025-02-28T01:05:49Z,-0.21255,-0.99075,0.016656,2025-02-28T01:05:49Z,0.380732,-0.202976,0.115008,2025-02-28T01:05:49Z
2,260.660461,0.97,5.724543,44.941511,288.070461,270,3.716155,3,-93.167138,7.01,2025-02-28T01:05:50Z,-0.250291,-0.950077,-0.004023,2025-02-28T01:05:50Z,-0.036508,0.181035,-0.010084,2025-02-28T01:05:50Z
3,259.244873,0.97,5.435395,44.941514,286.654873,270,3.535534,3,-93.167239,9.05,2025-02-28T01:05:51Z,-0.256609,-0.9436,0.003543,2025-02-28T01:05:51Z,-0.04043,0.23684,0.02715,2025-02-28T01:05:51Z
4,259.319763,0.08,0.525546,44.941515,286.729763,269.296875,3.535534,3,-93.167369,10.1,2025-02-28T01:05:52Z,-0.287054,-0.963697,-8.9e-5,2025-02-28T01:05:52Z,-0.172298,-0.017848,-0.05303,2025-02-28T01:05:52Z
5,259.007446,0.08,0.509184,44.941521,286.417446,268.945312,3.535534,3,-93.167492,10.39,2025-02-28T01:05:53Z,-0.279823,-0.952171,0.026103,2025-02-28T01:05:53Z,-0.164708,0.128951,0.106403,2025-02-28T01:05:53Z
6,258.997498,0.1,0.611269,44.941519,286.407497,268.59375,3.535534,3,-93.167624,10.39,2025-02-28T01:05:54Z,-0.26527,-0.960883,0.018554,2025-02-28T01:05:54Z,0.007518,0.023316,0.055402,2025-02-28T01:05:54Z
7,258.124756,0.18,1.078606,44.94152,285.534756,268.945312,3.535534,3,-93.167763,10.91,2025-02-28T01:05:55Z,-0.24996,-0.969503,2.61e-4,2025-02-28T01:05:55Z,0.101242,-0.039365,-0.087613,2025-02-28T01:05:55Z
8,257.861267,0.57,3.148812,44.941516,285.271267,268.59375,3.535534,3,-93.167913,11.82,2025-02-28T01:05:56Z,-0.254676,-0.959843,8.3e-4,2025-02-28T01:05:56Z,0.089873,0.044898,-0.093643,2025-02-28T01:05:56Z
9,257.795288,0.54,2.752316,44.941514,285.205288,269.296875,3.535534,3,-93.168063,12.78,2025-02-28T01:05:57Z,-0.260375,-0.969795,0.003601,2025-02-28T01:05:57Z,0.010905,-0.040949,-0.032861,2025-02-28T01:05:57Z
