seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,259.128458,-1,-1,44.94204,286.538458,-1,280.715331,3,-93.167117,-1,2025-02-28T01:17:59Z,-0.253479,-0.959529,-0.22995,2025-02-28T01:17:59Z,0.241608,0.005911,-2.164225,2025-02-28T01:17:59Z
1,258.327637,2.7,23.043532,44.941716,285.737637,285.820312,3.535534,3,-93.16721,7.44,2025-02-28T01:18:00Z,-0.214226,-0.954496,-0.23023,2025-02-28T01:18:00Z,0.650429,0.046856,-2.02334,2025-02-28T01:18:00Z
2,259.284058,0.98,12.656072,44.941697,286.694057,264.726562,3.535534,3,-93.167262,5.05,2025-02-28T01:18:01Z,-0.151909,-0.987288,-0.069345,2025-02-28T01:18:01Z,1.390241,-0.324772,-0.209818,2025-02-28T01:18:01Z
3,259.371216,0.97,8.12277,44.941694,286.781216,268.242188,3.535534,3,-93.167341,6.45,2025-02-28T01:18:02Z,-0.180304,-0.979456,0.0173,2025-02-28T01:18:02Z,1.051728,-0.218082,0.648837,2025-02-28T01:18:02Z
4,258.619629,0.96,6.628011,44.941697,286.029629,270.292633,3.535534,3,-93.167443,7.78,2025-02-28T01:18:03Z,-0.211003,-0.987982,-0.010242,2025-02-28T01:18:03Z,0.651026,-0.267074,0.478823,2025-02-28T01:18:03Z
5,257.957397,0.11,0.78889,44.941703,285.367397,270.292633,3.535534,3,-93.167559,9.54,2025-02-28T01:18:04Z,-0.249657,-0.972403,0.00496,2025-02-28T01:18:04Z,0.124946,-0.100364,0.435046,2025-02-28T01:18:04Z
6,258.390442,0.46,3.042456,44.941704,285.800442,270.292633,3.535534,3,-93.167684,9.54,2025-02-28T01:18:06Z,-0.247334,-0.963113,0.01982,2025-02-28T01:18:05Z,0.132435,0.027205,0.485233,2025-02-28T01:18:05Z
7,255.72113,1.94,8.737375,44.941718,283.13113,270.292633,3.535534,3,-93.167809,9.54,2025-02-28T01:18:07Z,-0.303106,-0.955411,0.006443,2025-02-28T01:18:06Z,-0.451803,0.081873,0.383991,2025-02-28T01:18:06Z
8,256.012451,1.61,5.903942,44.94171,283.422451,270.292633,3.535534,3,-93.167948,11.03,2025-02-28T01:18:08Z,-0.288687,-0.943713,-0.018324,2025-02-28T01:18:07Z,-0.395013,0.241872,0.198054,2025-02-28T01:18:07Z
9,255.067139,0.56,3.598309,44.941712,282.477139,270.292633,3.535534,3,-93.16808,11.03,2025-02-28T01:18:09Z,-0.319682,-0.954541,-0.022163,2025-02-28T01:18:08Z,-0.64331,0.130302,0.221859,2025-02-28T01:18:08Z
10,254.794189,1.26,6.689256,44.941711,282.204189,270.2341,3.535534,3,-93.16821,10.29,2025-02-28T01:18:10Z,-0.295694,-0.935367,-0.023235,2025-02-28T01:18:09Z,-0.476169,0.31515,0.128341,2025-02-28T01:18:09Z
11,254.162842,0.78,4.923709,44.941713,281.572842,270.2341,3.535534,3,-93.16834,10.28,2025-02-28T01:18:11Z,-0.311589,-0.954925,-0.014246,2025-02-28T01:18:10Z,-0.526147,0.119169,0.164302,2025-02-28T01:18:10Z
12,254.261475,0.62,3.928447,44.941709,281.671474,270.2341,3.535534,3,-93.16847,10.28,2025-02-28T01:18:12Z,-0.334051,-0.945202,-0.018027,2025-02-28T01:18:11Z,-0.721349,0.1998,0.112352,2025-02-28T01:18:11Z
13,254.261483,0.62,7.258975,44.941705,281.671483,270.2341,4.748652,4.029364,-93.1686,10.28,2025-02-28T01:18:13Z,-0.385098,-0.925994,-0.041609,2025-02-28T01:18:12Z,-1.205401,0.36291,-0.185787,2025-02-28T01:18:12Z
14,253.840156,0.62,7.258975,44.941705,281.250156,270.2341,4.748652,4.029364,-93.168716,9.71,2025-02-28T01:18:14Z,-0.408836,-0.927557,-0.061252,2025-02-28T01:18:13Z,-1.373828,0.346513,-0.219825,2025-02-28T01:18:13Z
15,253.116463,0.4,7.258975,44.941712,280.526462,270.2341,4.748652,4.029364,-93.168828,9.71,2025-02-28T01:18:15Z,-0.473405,-0.893147,-0.084536,2025-02-28T01:18:14Z,-2.000819,0.678449,-0.407641,2025-02-28T01:18:14Z
16,253.082708,1.24,11.683174,44.941711,280.492708,270.2341,4.748652,4.029364,-93.16892,8.6,2025-02-28T01:18:16Z,-0.510037,-0.88517,-0.105603,2025-02-28T01:18:15Z,-2.199199,0.689207,-0.511806,2025-02-28T01:18:15Z
17,252.837896,1.59,19.201726,44.941718,280.247895,270.2341,4.748652,4.029364,-93.168981,7.87,2025-02-28T01:18:17Z,-0.503562,-0.888633,-0.098084,2025-02-28T01:18:16Z,-1.905406,0.598885,-0.406978,2025-02-28T01:18:16Z
18,252.52167,0.96,24.390898,44.941714,279.93167,270.2341,4.748652,4.029364,-93.168992,5.32,2025-02-28T01:18:18Z,-0.414973,-0.918742,-0.074216,2025-02-28T01:18:17Z,-0.937226,0.265084,-0.150504,2025-02-28T01:18:17Z
19,252.254089,0.45,63.969843,44.941714,279.664089,270.2341,4.748652,4.029364,-93.168951,0.57,2025-02-28T01:18:19Z,-0.304181,-0.950653,-0.045505,2025-02-28T01:18:18Z,0.153103,-0.052179,0.164615,2025-02-28T01:18:18Z
20,252.193604,0.91,129.361244,44.941714,279.603603,270.2341,4.748652,4.029364,-93.168965,0.57,2025-02-28T01:18:20Z,-0.201279,-0.978797,-0.013032,2025-02-28T01:18:19Z,1.116512,-0.310289,0.46428,2025-02-28T01:18:19Z
21,252.281189,1.31928,180,44.94171,279.691189,270.2341,4.748652,4.029364,-93.168958,0.56,2025-02-28T01:18:21Z,-0.134872,-1.002154,0.012544,2025-02-28T01:18:20Z,1.731702,-0.524604,0.685966,2025-02-28T01:18:20Z
22,252.496948,0.92,133.1182,44.941697,279.906948,270.2341,4.748652,4.029364,-93.16901,0.56,2025-02-28T01:18:22Z,-0.117482,-1.008759,0.013901,2025-02-28T01:18:21Z,1.688992,-0.524871,0.674588,2025-02-28T01:18:21Z
23,252.525575,0.51,11.773367,44.941704,279.935575,270.2341,4.748652,4.029364,-93.169085,3.51,2025-02-28T01:18:23Z,-0.149238,-0.983175,-0.002753,2025-02-28T01:18:22Z,1.359418,-0.24588,0.442043,2025-02-28T01:18:22Z
24,252.921817,0.308016,7.258975,44.941699,280.331816,270.2341,4.748652,4.029364,-93.169178,5.64,2025-02-28T01:18:24Z,-0.155873,-0.986369,0.001647,2025-02-28T01:18:23Z,1.264534,-0.28444,0.475247,2025-02-28T01:18:23Z
25,253.196476,0.308016,7.258975,44.941696,280.606475,268.945253,4.748652,4.029364,-93.169266,6.6,2025-02-28T01:18:25Z,-0.181799,-0.98312600000000006,0.010106,2025-02-28T01:18:24Z,1.136993,-0.299512,0.494033,2025-02-28T01:18:24Z
26,252.888248,0.5,7.258975,44.941698,280.298248,269.648378,4.748652,4.029364,-93.169356,6.6,2025-02-28T01:18:25Z,-0.201768,-0.98704,-0.019635,2025-02-28T01:18:25Z,0.81207,-0.280285,0.270296,2025-02-28T01:18:25Z
27,252.578252,1.42,14.981826,44.94169,279.988252,266.835869,4.748652,4.029364,-93.169476,7.68,2025-02-28T01:18:26Z,-0.2489,-0.956379,-0.032673,2025-02-28T01:18:26Z,0.241305,0.027995,0.223599,2025-02-28T01:18:26Z
28,252.313664,2.79,29.436124,44.941697,279.723664,269.648369,4.748652,4.029364,-93.169569,7.68,2025-02-28T01:18:27Z,-0.29509,-0.955294,-0.070515,2025-02-28T01:18:27Z,-0.271445,0.050242,-0.158619,2025-02-28T01:18:27Z
29,252.601996,2.31,20.345191,44.941691,280.011996,270.13382,4.748652,4.029364,-93.16971,9.2,2025-02-28T01:18:28Z,-0.289698,-0.944822,-0.054492,2025-02-28T01:18:28Z,-0.211426,0.184598,-0.05015,2025-02-28T01:18:28Z
30,252.932136,2.51,21.27421,44.941696,280.342136,270.13382,4.748652,4.029364,-93.169836,9.56,2025-02-28T01:18:29Z,-0.299875,-0.960936,-0.058507,2025-02-28T01:18:29Z,-0.349643,0.028827,-0.175936,2025-02-28T01:18:29Z
31,252.419379,1.4,12.330419,44.941687,279.829379,270.13382,4.748652,4.029364,-93.169936,9.2,2025-02-28T01:18:30Z,-0.267818,-0.951286,-0.047112,2025-02-28T01:18:30Z,-0.013452,0.116313,-0.139317,2025-02-28T01:18:30Z
32,252.601874,0.56,7.258975,44.94169,280.011874,270.13382,4.748652,4.029364,-93.170041,8.88,2025-02-28T01:18:31Z,-0.290343,-0.962799,-0.070478,2025-02-28T01:18:31Z,-0.28771,0.019831,-0.308024,2025-02-28T01:18:31Z
33,256.488341,1.266368,11.770563,44.941691,283.898341,270.13382,2.490068,3,-93.17016,8.715892,2025-02-28T01:18:32Z,-0.280585,-0.948827,-0.042393,2025-02-28T01:18:32Z,-0.216296,0.163254,-0.024266,2025-02-28T01:18:32Z
34,256.128261,1.268779,11.977314,44.941697,283.538261,270.13382,2,3,-93.170263,8.583462,2025-02-28T01:18:33Z,-0.281121,-0.954871,-0.006953,2025-02-28T01:18:33Z,-0.124455,0.05764,0.195437,2025-02-28T01:18:33Z
35,256.047216,1.272968,12.347405,44.941703,283.457216,270.13382,2,3,-93.170371,8.353707,2025-02-28T01:18:34Z,-0.326884,-0.945048,-0.015361,2025-02-28T01:18:34Z,-0.484609,0.153756,-0.042239,2025-02-28T01:18:34Z
36,256.3002,1.368837,14.178918,44.941708,283.7102,270.13382,2.431163,3,-93.17047,7.822375,2025-02-28T01:18:35Z,-0.437188,-0.907451,-0.051171,2025-02-28T01:18:35Z,-1.527031,0.500555,-0.366867,2025-02-28T01:18:35Z
