seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,249.842436,0.694068,10.135898,44.941375,277.252436,47.287937,2.623466,3,-93.177084,5.539976,2025-02-28T01:39:20Z,-0.231975,-0.974722,-0.185717,2025-02-28T01:39:20Z,0.303795,-0.115454,-1.190899,2025-02-28T01:39:20Z
1,249.470706,0.679694,8.11807,44.941394,276.880705,65.378021,2.557858,3,-93.177001,6.779603,2025-02-28T01:39:21Z,-0.162101,-0.981195,-0.110515,2025-02-28T01:39:21Z,0.680836,-0.126997,-0.217943,2025-02-28T01:39:21Z
2,249.841163,0.689892,8.103549,44.941395,277.251163,80.226503,2.658763,3,-93.176926,6.89683,2025-02-28T01:39:22Z,-0.169864,-0.985989,-0.066395,2025-02-28T01:39:22Z,0.490349,-0.159213,0.400731,2025-02-28T01:39:22Z
3,250.306961,0.675575,8.132947,44.941363,277.71696,90.71888,2.702375,3,-93.176852,6.731395,2025-02-28T01:39:23Z,-0.150068,-0.992256,-0.068358,2025-02-28T01:39:23Z,0.537032,-0.1998,0.487066,2025-02-28T01:39:23Z
4,249.985762,0.675567,8.115117,44.941362,277.395761,90.71888,2.626525,3,-93.176768,6.734847,2025-02-28T01:39:24Z,-0.144428,-0.992379,-0.045984,2025-02-28T01:39:24Z,0.447906,-0.182763,0.756088,2025-02-28T01:39:24Z
5,250.117113,0.683913,7.257904,44.941361,277.527113,90.330254,2.489605,3,-93.176656,7.914519,2025-02-28T01:39:25Z,-0.157121,-0.998951,-0.037569,2025-02-28T01:39:25Z,0.284375,-0.216494,0.707777,2025-02-28T01:39:25Z
6,250.22633,0.685641,7.258607,44.941374,277.63633,90.330254,2.904818,3,-93.176526,9.226641,2025-02-28T01:39:26Z,-0.165641,-0.982818,-0.024217,2025-02-28T01:39:26Z,0.190641,-0.050115,0.667629,2025-02-28T01:39:26Z
7,250.413109,0.689242,7.25896,44.941367,277.823109,90.330254,2.750813,3,-93.17639,10.225951,2025-02-28T01:39:27Z,-0.182204,-0.984961,-0.019922,2025-02-28T01:39:27Z,0.04445,-0.062046,0.650918,2025-02-28T01:39:27Z
8,250.851658,0.660557,7.256166,44.941372,278.261657,90.330254,2.445229,3,-93.176246,11.092911,2025-02-28T01:39:28Z,-0.200343,-0.974196,-0.012156,2025-02-28T01:39:28Z,-0.125926,0.049884,0.615998,2025-02-28T01:39:28Z
9,251.320405,0.658678,7.25618,44.941371,278.730405,90,2.391979,3,-93.17609,11.855592,2025-02-28T01:39:29Z,-0.216259,-0.978455,-0.016416,2025-02-28T01:39:29Z,-0.29194,0.015298,0.48718,2025-02-28T01:39:29Z
10,251.140987,0.653646,7.258829,44.941372,278.550987,90,2.207185,3,-93.17594,11.922528,2025-02-28T01:39:30Z,-0.25368,-0.961907,-0.023318,2025-02-28T01:39:30Z,-0.579151,0.171579,0.319292,2025-02-28T01:39:30Z
