seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,261.990253,-1,-1,44.934455,289.400253,-1,126.151703,3.400768,-93.17048,-1,2025-02-28T00:53:24Z,-0.272556,-0.960931,-0.206668,2025-02-28T00:53:24Z,-0.185503,0.056068,-1.674084,2025-02-28T00:53:24Z
1,258.948914,3.51,45.019911,44.934518,286.358913,335.742188,14.484062,7.5,-93.171061,4.365,2025-02-28T00:53:25Z,-0.220752,-0.97296,-0.191062,2025-02-28T00:53:25Z,0.148808,-0.021562,-1.546973,2025-02-28T00:53:25Z
2,258.895508,1.66,39.422213,44.934436,286.305508,326.601562,14,3,-93.171102,3.86,2025-02-28T00:53:27Z,-0.146099,-0.991891,-0.042633,2025-02-28T00:53:26Z,0.751668,-0.166528,-0.291575,2025-02-28T00:53:26Z
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.175414,-0.986085,-0.017207,2025-02-28T00:53:27Z,0.581788,-0.142469,0.060382,2025-02-28T00:53:27Z
4,261.627808,0.91,9.295085,44.934499,289.037807,357.363281,3.535534,3,-93.171082,5.17,2025-02-28T00:53:28Z,-0.201508,-0.975785,-0.024767,2025-02-28T00:53:28Z,0.273241,-0.038609,0.057195,2025-02-28T00:53:28Z
5,261.450195,0.97,7.456405,44.934592,288.860195,359.648438,3.535534,3,-93.171078,6.97,2025-02-28T00:53:30Z,-0.220913,-0.979181,-0.023897,2025-02-28T00:53:29Z,0.018878,-0.054763,0.048614,2025-02-28T00:53:29Z
6,261.478638,0.42,3.512932,44.934655,288.888638,1.40625,3.535534,3,-93.171089,7.86,2025-02-28T00:53:30Z,-0.257624,-0.960786,-0.021667,2025-02-28T00:53:30Z,-0.312338,0.121045,0.051762,2025-02-28T00:53:30Z
7,261.455322,0.21,1.764649,44.93473,288.865322,359.9133,3.535534,3,-93.171044,7.86,2025-02-28T00:53:31Z,-0.275137,-0.96081,-0.026187,2025-02-28T00:53:31Z,-0.539984,0.170637,-0.00884,2025-02-28T00:53:31Z
8,261.336304,0.11,0.932932,44.934798,288.746304,359.9133,3.535534,3,-93.171044,7.86,2025-02-28T00:53:32Z,-0.268768,-0.956076,-0.013665,2025-02-28T00:53:32Z,-0.434152,0.164701,0.191105,2025-02-28T00:53:32Z
9,261.35376,0.09,0.817187,44.93487,288.76376,359.9133,3.535534,3,-93.171044,7.77,2025-02-28T00:53:33Z,-0.226601,-0.977847,-0.021802,2025-02-28T00:53:33Z,-0.177644,0.009218,0.067209,2025-02-28T00:53:33Z
