seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.131921,-0.995058,-0.154097,2025-03-07T00:50:24Z,1.102062,-0.251778,-1.548417,2025-03-07T00:50:24Z
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.106024,-1.003514,-0.019967,2025-03-07T00:50:25Z,1.111802,-0.275544,-0.364365,2025-03-07T00:50:25Z
2,250.176697,3.1,39.991468,44.934395,277.586697,328.007812,4.155193,3,-93.177244,4.02,2025-03-07T00:50:26Z,-0.122178,-0.995791,0.046929,2025-03-07T00:50:26Z,0.780231,-0.165821,0.31032,2025-03-07T00:50:26Z
3,251.8526,0.95,6.800313,44.934534,279.2626,7.03125,3.535534,3,-93.177203,9.12,2025-03-07T00:50:27Z,-0.090816,-1.006189,0.053697,2025-03-07T00:50:27Z,0.958705,-0.234314,0.409664,2025-03-07T00:50:27Z
4,251.721924,0.09,0.644818,44.934608,279.131924,359.296875,3.535534,3,-93.177206,9.38,2025-03-07T00:50:28Z,-0.175448,-0.980899,0.05709,2025-03-07T00:50:28Z,0.101689,0.016456,0.380987,2025-03-07T00:50:28Z
5,251.825684,0.33,2.113462,44.934692,279.235683,1.054688,3.535534,3,-93.177205,9.38,2025-03-07T00:50:29Z,-0.172218,-0.983588,0.055583,2025-03-07T00:50:29Z,0.099517,-0.007101,0.290543,2025-03-07T00:50:29Z
6,251.737915,0.43,2.585604,44.934789,279.147915,0.351562,3.535534,3,-93.177208,10.19,2025-03-07T00:50:30Z,-0.185899,-0.983641,0.057403,2025-03-07T00:50:30Z,-0.04164,-0.002488,0.28128,2025-03-07T00:50:30Z
7,251.673401,0.68,3.817937,44.934889,279.083401,0.247816,3.535534,3,-93.17721,10.93,2025-03-07T00:50:31Z,-0.20671,-0.972194,0.049714,2025-03-07T00:50:31Z,-0.27436,0.103376,0.148534,2025-03-07T00:50:31Z
8,251.492798,0.47,2.497146,44.934996,278.902798,0.247816,3.535534,3,-93.177203,12.18,2025-03-07T00:50:33Z,-0.228993,-0.964258,0.055242,2025-03-07T00:50:32Z,-0.436662,0.173408,0.129511,2025-03-07T00:50:32Z
9,251.68689,0.44,2.431629,44.935104,279.096889,0.247816,3.535534,3,-93.177199,12.18,2025-03-07T00:50:34Z,-0.241124,-0.993003,0.069319,2025-03-07T00:50:33Z,-0.608225,-0.087349,0.207964,2025-03-07T00:50:33Z
10,251.794434,0.51,2.709783,44.935213,279.204433,0.247816,3.535534,3,-93.177201,12.18,2025-03-07T00:50:35Z,-0.229786,-0.949744,0.016313,2025-03-07T00:50:34Z,-0.438145,0.310766,0.02151,2025-03-07T00:50:34Z
11,251.51001,0.96,4.98516,44.935319,278.92001,0,3.535534,3,-93.177208,11.91,2025-03-07T00:50:36Z,-0.23302,-0.968014,0.032898,2025-03-07T00:50:35Z,-0.406114,0.124255,0.065415,2025-03-07T00:50:35Z
12,251.752258,1.61,5.142439,44.935434,279.162258,0,3.535534,3,-93.177189,12.76,2025-03-07T00:50:37Z,-0.254141,-0.96873,0.039392,2025-03-07T00:50:36Z,-0.581439,0.117176,0.007205,2025-03-07T00:50:36Z
13,251.414307,0.64,3.263379,44.935555,278.824306,0,3.535534,3,-93.177209,12.85,2025-03-07T00:50:38Z,-0.25255,-0.967617,0.054919,2025-03-07T00:50:37Z,-0.493487,0.101931,-0.005152,2025-03-07T00:50:37Z
14,251.334656,0.49,2.507634,44.935669,278.744656,0,3.535534,3,-93.177208,12.77,2025-03-07T00:50:39Z,-0.236244,-0.958371,0.062444,2025-03-07T00:50:38Z,-0.315759,0.182272,0.082005,2025-03-07T00:50:38Z
15,251.334669,0.49,7.258975,44.935784,278.744668,0,4.748652,4.029364,-93.177206,12.77,2025-03-07T00:50:40Z,-0.246116,-0.966186,0.05142,2025-03-07T00:50:39Z,-0.413809,0.115789,0.066049,2025-03-07T00:50:39Z
16,250.971204,1.75,11.104136,44.935898,278.381204,0,4.748652,4.029364,-93.1772,12.77,2025-03-07T00:50:41Z,-0.261618,-0.977906,0.032416,2025-03-07T00:50:40Z,-0.555929,7.17e-4,-0.086668,2025-03-07T00:50:40Z
17,251.534071,1.21,7.438881,44.936024,278.944071,0,4.748652,4.029364,-93.177201,13.18,2025-03-07T00:50:42Z,-0.245833,-0.944788,0.044949,2025-03-07T00:50:41Z,-0.442229,0.327543,0.071057,2025-03-07T00:50:41Z
