seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,254.214334,-0.295,7.235477,44.939032,281.624334,2.589844,136.046746,4.25,-93.177149,0.125,2025-03-07T01:08:12Z,-0.258353,-0.97237,-0.12692,2025-03-07T01:08:12Z,0.14501,-0.116255,-1.144837,2025-03-07T01:08:12Z
1,252.885559,1.99,36.272505,44.938965,280.295559,10.546875,6.975187,3,-93.177193,3.5,2025-03-07T01:08:13Z,-0.269088,-0.949655,-0.154878,2025-03-07T01:08:13Z,0.002622,0.113987,-0.979134,2025-03-07T01:08:13Z
2,253.268738,1.03,16.413373,44.938997,280.678738,42.890625,4.08911,3,-93.177124,3.5,2025-03-07T01:08:14Z,-0.267635,-0.973619,-0.118232,2025-03-07T01:08:14Z,-0.378079,-0.019957,-0.564501,2025-03-07T01:08:14Z
3,252.361572,0.99,17.894278,44.939016,279.771572,72.070312,3.653486,3,-93.177073,3.39,2025-03-07T01:08:15Z,-0.118158,-0.993689,-0.040397,2025-03-07T01:08:15Z,0.74829,-0.139815,0.024951,2025-03-07T01:08:15Z
4,250.912415,0.13,2.064237,44.939022,278.322414,90.161156,3.535534,3,-93.177021,4.04,2025-03-07T01:08:16Z,-0.113838,-0.997124,0.026903,2025-03-07T01:08:16Z,0.659313,-0.13246,0.471054,2025-03-07T01:08:16Z
5,251.352417,0.12,1.503795,44.939006,278.762417,90.161156,3.535534,3,-93.176956,5.4,2025-03-07T01:08:17Z,-0.142829,-0.991208,0.044126,2025-03-07T01:08:17Z,0.331234,-0.070163,0.562279,2025-03-07T01:08:17Z
6,251.065552,0.1,1.086898,44.939006,278.475552,90.161156,3.535534,3,-93.17689,5.99,2025-03-07T01:08:19Z,-0.15412,-0.985161,0.071862,2025-03-07T01:08:18Z,0.176451,-0.004193,0.780965,2025-03-07T01:08:18Z
7,250.824585,0.12,1.20477,44.939005,278.234585,90.161156,3.535534,3,-93.176811,5.99,2025-03-07T01:08:20Z,-0.161067,-0.985302,0.061694,2025-03-07T01:08:19Z,0.069674,0.009874,0.724388,2025-03-07T01:08:19Z
8,250.209595,0.13,1.233189,44.939005,277.619595,90.161156,3.535534,3,-93.176728,6.57,2025-03-07T01:08:21Z,-0.16138,-0.982194,0.05049,2025-03-07T01:08:20Z,0.007006,0.051704,0.624413,2025-03-07T01:08:20Z
9,250.522156,0.52,4.439579,44.939005,277.932156,90.161156,3.535534,3,-93.176632,7.63,2025-03-07T01:08:22Z,-0.188131,-0.977799,0.055149,2025-03-07T01:08:21Z,-0.216774,0.072791,0.591566,2025-03-07T01:08:21Z
10,249.619141,1.72,15.763546,44.939005,277.02914,90.161156,3.535534,3,-93.176546,7.63,2025-03-07T01:08:23Z,-0.207101,-0.977999,0.043252,2025-03-07T01:08:22Z,-0.354934,0.066945,0.379057,2025-03-07T01:08:22Z
11,249.483337,2.66,17.07091,44.939006,276.893337,90.161156,3.535534,3,-93.176411,7.63,2025-03-07T01:08:24Z,-0.205278,-0.972702,0.042367,2025-03-07T01:08:23Z,-0.368289,0.135437,0.325858,2025-03-07T01:08:23Z
12,250.151428,1.17,6.885414,44.939015,277.561428,90.161156,3.535534,3,-93.176316,7.43,2025-03-07T01:08:25Z,-0.211727,-0.974403,0.040973,2025-03-07T01:08:24Z,-0.353052,0.094004,0.306491,2025-03-07T01:08:24Z
13,250.151433,1.17,12.75953,44.939016,277.561432,90.161156,4.748652,4.029364,-93.176222,7.43,2025-03-07T01:08:26Z,-0.207086,-0.983229,0.039668,2025-03-07T01:08:25Z,-0.299674,0.01268,0.320344,2025-03-07T01:08:25Z
14,250.007818,0.72,7.258975,44.939018,277.417818,90.075386,4.748652,4.029364,-93.176115,8.11,2025-03-07T01:08:27Z,-0.19546,-0.968631,0.027493,2025-03-07T01:08:26Z,-0.195282,0.150061,0.251336,2025-03-07T01:08:26Z
15,249.942998,0.47,7.258975,44.939017,277.352998,90.075386,4.748652,4.029364,-93.176014,8.11,2025-03-07T01:08:28Z,-0.205374,-0.982937,0.013564,2025-03-07T01:08:27Z,-0.242915,-7.6e-4,0.134483,2025-03-07T01:08:27Z
16,250.114995,0.45,7.258975,44.939021,277.524995,90.075386,4.748652,4.029364,-93.175911,8.11,2025-03-07T01:08:29Z,-0.18804,-0.96934,0.01863,2025-03-07T01:08:28Z,-0.091124,0.146457,0.2076,2025-03-07T01:08:28Z
17,250.304571,0.87,8.303271,44.939004,277.714571,90.075386,4.748652,4.029364,-93.1758,8.49,2025-03-07T01:08:30Z,-0.201377,-0.977611,-7.96e-4,2025-03-07T01:08:29Z,-0.22361,0.05913,0.057768,2025-03-07T01:08:29Z
18,250.344671,0.308016,7.258975,44.939004,277.754671,90.075386,4.748652,4.029364,-93.175688,8.6,2025-03-07T01:08:31Z,-0.230792,-0.978698,-0.009495,2025-03-07T01:08:30Z,-0.428089,0.039263,-0.07017,2025-03-07T01:08:30Z
19,250.394293,0.308016,7.258975,44.939004,277.804293,90.075386,4.748652,4.029364,-93.175576,8.76,2025-03-07T01:08:32Z,-0.218791,-0.961023,0.012042,2025-03-07T01:08:31Z,-0.363144,0.23677,0.034687,2025-03-07T01:08:31Z
20,250.633185,0.33,7.258975,44.939004,278.043185,90.075386,4.748652,4.029364,-93.175463,8.76,2025-03-07T01:08:33Z,-0.235899,-0.970867,0.042381,2025-03-07T01:08:32Z,-0.406434,0.07601,0.252766,2025-03-07T01:08:32Z
21,250.513922,0.6,7.258975,44.939004,277.923922,90.075386,4.748652,4.029364,-93.175357,8.73,2025-03-07T01:08:34Z,-0.22131,-0.982101,0.044129,2025-03-07T01:08:33Z,-0.316141,-0.003891,0.270445,2025-03-07T01:08:33Z
22,250.758917,0.308016,7.258975,44.939003,278.168917,90.075386,4.748652,4.029364,-93.175249,8.6,2025-03-07T01:08:35Z,-0.201223,-0.958938,0.022038,2025-03-07T01:08:34Z,-0.138444,0.231895,0.067583,2025-03-07T01:08:34Z
23,251.036199,0.308016,7.258975,44.939003,278.446199,90,4.748652,4.029364,-93.175148,8.31,2025-03-07T01:08:35Z,-0.230509,-0.971698,0.01777,2025-03-07T01:08:35Z,-0.260694,0.062377,-0.078328,2025-03-07T01:08:35Z
24,251.345159,0.308016,7.258975,44.939003,278.755159,90,4.748652,4.029364,-93.17504,8.43,2025-03-07T01:08:36Z,-0.253653,-0.966492,0.004404,2025-03-07T01:08:36Z,-0.539443,0.14733,-0.113619,2025-03-07T01:08:36Z
25,251.666632,0.42,7.258975,44.939019,279.076631,90,4.748652,4.029364,-93.174932,8.43,2025-03-07T01:08:37Z,-0.271703,-0.943869,0.032121,2025-03-07T01:08:37Z,-0.724943,0.339316,0.131845,2025-03-07T01:08:37Z
26,251.765508,0.47,7.258975,44.939019,279.175508,90,4.748652,4.029364,-93.174837,8.36,2025-03-07T01:08:38Z,-0.279389,-0.962827,0.024661,2025-03-07T01:08:38Z,-0.589227,0.139336,0.031663,2025-03-07T01:08:38Z
27,251.956486,0.308016,7.258975,44.93902,279.366486,90,4.748652,4.029364,-93.174752,7.59,2025-03-07T01:08:39Z,-0.279339,-0.957032,0.008303,2025-03-07T01:08:39Z,-0.520912,0.160532,-0.15781800000000001,2025-03-07T01:08:39Z
28,252.065068,1.69,19.179008,44.93902,279.475067,90,4.748652,4.029364,-93.174676,7.14,2025-03-07T01:08:40Z,-0.312524,-0.954099,0.017367,2025-03-07T01:08:40Z,-0.814667,0.185386,-0.127178,2025-03-07T01:08:40Z
29,252.159061,2.31,29.38395,44.939003,279.569061,90,4.748652,4.029364,-93.174611,6.37,2025-03-07T01:08:41Z,-0.305713,-0.945537,0.015954,2025-03-07T01:08:41Z,-0.719433,0.263489,-0.091284,2025-03-07T01:08:41Z
30,252.095584,1.12,14.246764,44.939012,279.505584,90,4.748652,4.029364,-93.174549,6.37,2025-03-07T01:08:42Z,-0.371298,-0.935832,0.0082,2025-03-07T01:08:42Z,-1.25243,0.325874,-0.182689,2025-03-07T01:08:42Z
31,252.266238,0.308016,7.258975,44.939014,279.676237,90,4.748652,4.029364,-93.174499,5.21,2025-03-07T01:08:43Z,-0.375661,-0.935026,0.009751,2025-03-07T01:08:43Z,-1.25978,0.333556,-0.166388,2025-03-07T01:08:43Z
32,252.408083,0.308016,7.258975,44.939012,279.818082,90,4.748652,4.029364,-93.174459,4.32,2025-03-07T01:08:44Z,-0.275904,-0.956519,0.032608,2025-03-07T01:08:44Z,-0.215308,0.09847,0.002777,2025-03-07T01:08:44Z
33,254.528106,1.269515,51.645981,44.939016,281.938106,90,2.495496,3,-93.174423,1.991788,2025-03-07T01:08:45Z,-0.189137,-0.979807,0.049685,2025-03-07T01:08:45Z,0.664509,-0.13211,0.190919,2025-03-07T01:08:45Z
34,254.111258,1.26696,83.679313,44.939008,281.521258,90,2,3,-93.174419,1.192802,2025-03-07T01:08:46Z,-0.131584,-0.992056,0.069904,2025-03-07T01:08:46Z,1.224538,-0.251746,0.376441,2025-03-07T01:08:46Z
35,254.127643,1.269063,65.661272,44.939008,281.537643,90,2.072943,3,-93.17439,1.555225,2025-03-07T01:08:47Z,-0.121823,-0.995618,0.072695,2025-03-07T01:08:47Z,1.303014,-0.290007,0.390896,2025-03-07T01:08:47Z
