seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,259.422577,0.265,3.037214,44.934299,286.832577,310.605469,3.604351,4.5,-93.166804,5.7,2025-03-07T00:38:19Z,-0.142454,-0.982859,-0.210979,2025-03-07T00:38:19Z,0.837751,-0.102575,-1.583624,2025-03-07T00:38:19Z
1,258.886963,0.85,12.048676,44.934392,286.296963,343.828125,3.651643,3,-93.166957,5.09,2025-03-07T00:38:20Z,-0.155363,-0.993227,-0.098466,2025-03-07T00:38:20Z,0.695577,-0.192373,-0.742349,2025-03-07T00:38:20Z
2,259.079834,0.99,10.995441,44.934448,286.489834,0.150174,3.535534,3,-93.166963,5.09,2025-03-07T00:38:21Z,-0.159569,-0.990051,-0.030299,2025-03-07T00:38:21Z,0.353127,-0.092099,-0.336785,2025-03-07T00:38:21Z
3,258.480225,0.98,8.141395,44.934506,285.890224,0.150174,3.535534,3,-93.166962,5.87,2025-03-07T00:38:22Z,-0.189285,-0.98503,0.036779,2025-03-07T00:38:22Z,0.058683,-0.041769,0.326346,2025-03-07T00:38:22Z
4,258.91095,0.13,1.173505,44.934574,286.32095,0.150174,3.535534,3,-93.166974,7.63,2025-03-07T00:38:23Z,-0.128357,-0.991985,0.043797,2025-03-07T00:38:23Z,0.592222,-0.099934,0.449267,2025-03-07T00:38:23Z
5,259.552307,0.36,2.702649,44.934649,286.962307,359.502319,3.535534,3,-93.166978,8.74,2025-03-07T00:38:24Z,-0.131411,-0.999357,0.031379,2025-03-07T00:38:24Z,0.484637,-0.150289,0.430529,2025-03-07T00:38:24Z
6,259.82251,1.69,12.478448,44.934731,287.23251,359.502319,3.535534,3,-93.166983,8.74,2025-03-07T00:38:25Z,-0.139186,-0.992045,0.01471,2025-03-07T00:38:25Z,0.357762,-0.070886,0.342235,2025-03-07T00:38:25Z
7,260.43103,0.72,4.20881,44.93483,287.84103,0,3.535534,3,-93.16698,8.76,2025-03-07T00:38:26Z,-0.181352,-0.984505,0.002351,2025-03-07T00:38:26Z,-0.094367,-0.004015,0.23842,2025-03-07T00:38:26Z
8,260.530273,0.09,0.576222,44.934927,287.940273,0,3.535534,3,-93.166978,11.03,2025-03-07T00:38:27Z,-0.174166,-0.989415,0.005239,2025-03-07T00:38:27Z,-0.050901,-0.03888,0.251094,2025-03-07T00:38:27Z
9,260.760498,0.06,0.375776,44.935029,288.170498,0,3.535534,3,-93.166978,11.48,2025-03-07T00:38:28Z,-0.185656,-0.983217,0.007681,2025-03-07T00:38:28Z,-0.166622,0.023196,0.205306,2025-03-07T00:38:28Z
10,260.74176,0.07,0.419214,44.935136,288.15176,0,3.535534,3,-93.166975,11.48,2025-03-07T00:38:29Z,-0.208029,-0.97029,0.010999,2025-03-07T00:38:29Z,-0.39878,0.149921,0.24539,2025-03-07T00:38:29Z
11,260.730408,0.06,0.355044,44.935245,288.140408,359.259125,3.535534,3,-93.166976,11.94,2025-03-07T00:38:30Z,-0.203624,-0.96027,0.001442,2025-03-07T00:38:30Z,-0.298253,0.247871,0.129963,2025-03-07T00:38:30Z
12,260.979492,0.3,1.599004,44.935351,288.389492,0,3.535534,3,-93.166972,12.25,2025-03-07T00:38:31Z,-0.235936,-0.998957,0.026568,2025-03-07T00:38:31Z,-0.557305,-0.154593,0.161696,2025-03-07T00:38:31Z
13,260.979504,0.308016,7.258975,44.935462,288.389504,0,4.748652,4.029364,-93.166972,12.25,2025-03-07T00:38:32Z,-0.214392,-0.967639,0.007062,2025-03-07T00:38:32Z,-0.405915,0.166927,0.073058,2025-03-07T00:38:32Z
14,261.15614,0.308016,7.258975,44.935571,288.56614,0,4.748652,4.029364,-93.166973,12.25,2025-03-07T00:38:33Z,-0.219463,-0.97149,0.004182,2025-03-07T00:38:33Z,-0.39823,0.1207,0.071488,2025-03-07T00:38:33Z
15,261.327526,0.308016,7.258975,44.935685,288.737526,0.230505,4.748652,4.029364,-93.166971,12.25,2025-03-07T00:38:34Z,-0.232773,-0.972223,0.005741,2025-03-07T00:38:34Z,-0.482936,0.107444,0.093467,2025-03-07T00:38:34Z
16,261.344373,0.308018,7.258975,44.935802,288.754373,0.230505,4.748652,4.029364,-93.166971,12.54,2025-03-07T00:38:35Z,-0.238136,-0.971634,-0.00338,2025-03-07T00:38:35Z,-0.496423,0.103928,0.023211,2025-03-07T00:38:35Z
17,261.276502,0.42,7.258975,44.935914,288.686502,0.230505,4.748652,4.029364,-93.166977,12.54,2025-03-07T00:38:36Z,-0.237186,-0.970015,0.010724,2025-03-07T00:38:36Z,-0.405922,0.103426,0.04514,2025-03-07T00:38:36Z
18,261.125134,0.308016,7.258975,44.936023,288.535134,0.230505,4.748652,4.029364,-93.166975,12.46,2025-03-07T00:38:37Z,-0.233166,-0.968789,0.005159,2025-03-07T00:38:37Z,-0.39765,0.118269,-0.030907,2025-03-07T00:38:37Z
19,261.080505,0.1,0.564798,44.936134,288.490505,0.230505,3.535534,3,-93.166981,12.42,2025-03-07T00:38:38Z,-0.232571,-0.961914,0.0094,2025-03-07T00:38:38Z,-0.322007,0.17438,0.051115,2025-03-07T00:38:38Z
20,261.080518,0.308016,7.258975,44.936245,288.490517,359.878601,4.748652,4.029364,-93.166981,12.42,2025-03-07T00:38:39Z,-0.238586,-0.979997,0.018531,2025-03-07T00:38:39Z,-0.322645,-0.005808,0.082644,2025-03-07T00:38:39Z
21,261.096191,0.06,0.340066,44.936357,288.506191,359.878601,3.535534,3,-93.166988,12.42,2025-03-07T00:38:40Z,-0.235547,-0.966818,5.58e-4,2025-03-07T00:38:40Z,-0.314019,0.117532,-0.035755,2025-03-07T00:38:40Z
22,261.096204,0.308017,7.258975,44.936468,288.506203,359.878601,4.748652,4.029364,-93.16699,12.42,2025-03-07T00:38:41Z,-0.234922,-0.971415,-0.011832,2025-03-07T00:38:41Z,-0.275317,0.065507,-0.132482,2025-03-07T00:38:41Z
23,261.101086,0.308017,7.258975,44.936581,288.511086,359.878601,4.748652,4.029364,-93.166988,12.42,2025-03-07T00:38:42Z,-0.226495,-0.972935,-0.005452,2025-03-07T00:38:42Z,-0.199084,0.051928,-0.082744,2025-03-07T00:38:42Z
24,261.112683,0.308017,7.258975,44.936692,288.522683,0.133635,4.748652,4.029364,-93.166988,12.36,2025-03-07T00:38:43Z,-0.236259,-0.966515,0.0059,2025-03-07T00:38:43Z,-0.240117,0.111542,0.022264,2025-03-07T00:38:43Z
25,261.062573,0.308016,7.258975,44.936799,288.472573,0.133635,4.748652,4.029364,-93.166987,12.35,2025-03-07T00:38:44Z,-0.237952,-0.973141,0.009072,2025-03-07T00:38:44Z,-0.272866,0.040539,0.069728,2025-03-07T00:38:44Z
26,261.283093,0.308016,7.258975,44.936913,288.693093,0.133635,4.748652,4.029364,-93.166988,12.45,2025-03-07T00:38:45Z,-0.233808,-0.972526,0.007664,2025-03-07T00:38:45Z,-0.241452,0.056283,0.047575,2025-03-07T00:38:45Z
27,261.403088,0.308017,7.258975,44.937027,288.813088,0.679126,4.748652,4.029364,-93.166988,12.45,2025-03-07T00:38:46Z,-0.227895,-0.968764,0.006543,2025-03-07T00:38:46Z,-0.135279,0.083722,0.020922,2025-03-07T00:38:46Z
28,261.719177,0.08,0.453662,44.937136,289.129177,359.884857,3.535534,3,-93.166986,12.25,2025-03-07T00:38:47Z,-0.235656,-0.975636,-0.003703,2025-03-07T00:38:47Z,-0.136793,-0.012528,-0.060463,2025-03-07T00:38:47Z
29,261.866455,0.36,1.93208,44.937246,289.276455,359.884857,3.535534,3,-93.166986,12.26,2025-03-07T00:38:48Z,-0.225947,-0.96884,-0.005547,2025-03-07T00:38:48Z,-0.114281,0.079591,-0.047814,2025-03-07T00:38:48Z
30,261.866467,0.36,7.258975,44.937356,289.276467,359.884857,4.748652,4.029364,-93.166985,12.26,2025-03-07T00:38:49Z,-0.227623,-0.972302,-0.00188,2025-03-07T00:38:49Z,-0.108325,0.043213,-0.011241,2025-03-07T00:38:49Z
31,262.367993,0.55,7.258975,44.937464,289.777993,359.884857,4.748652,4.029364,-93.166987,12.26,2025-03-07T00:38:50Z,-0.223358,-0.97408,0.008546,2025-03-07T00:38:50Z,-0.061577,0.020482,0.007897,2025-03-07T00:38:50Z
32,262.015026,1.95,12.887889,44.937578,289.425026,0.56581,4.748652,4.029364,-93.166972,12.26,2025-03-07T00:38:51Z,-0.227797,-0.96704,0.003009,2025-03-07T00:38:51Z,-0.092913,0.084222,-0.021183,2025-03-07T00:38:51Z
33,264.647945,1.276465,8.354291,44.937672,292.057945,0.56581,2,3,-93.166969,12.378183,2025-03-07T00:38:52Z,-0.227277,-0.976967,0.009302,2025-03-07T00:38:52Z,-0.086361,-0.006297,0.017384,2025-03-07T00:38:52Z
34,264.892941,1.271984,8.35608,44.937784,292.302941,0,2,3,-93.166968,12.331103,2025-03-07T00:38:53Z,-0.243159,-0.964007,0.030406,2025-03-07T00:38:53Z,-0.187541,0.097223,0.174673,2025-03-07T00:38:53Z
35,265.024811,1.168061,7.647949,44.937897,292.434811,0,2.04572,3,-93.166966,12.373014,2025-03-07T00:38:54Z,-0.243778,-0.96176,0.002254,2025-03-07T00:38:54Z,-0.201969,0.12824,0.027654,2025-03-07T00:38:54Z
36,265.02377,1.167731,7.70122,44.938009,292.43377,0,2.023402,3,-93.166974,12.285544,2025-03-07T00:38:55Z,-0.239979,-0.939938,-0.015197,2025-03-07T00:38:55Z,-8.53e-4,0.302727,-0.157215,2025-03-07T00:38:55Z
37,264.95376,1.275601,8.52715,44.938122,292.36376,0,2.239742,3,-93.166975,12.121297,2025-03-07T00:38:56Z,-0.26178,-0.964603,-0.006757,2025-03-07T00:38:56Z,-0.122771,0.037319,-0.074699,2025-03-07T00:38:56Z
38,264.901059,1.271667,8.46322,44.938237,292.311058,0.435847,2.342405,3,-93.166972,12.174761,2025-03-07T00:38:57Z,-0.259968,-0.966507,-6.79e-4,2025-03-07T00:38:57Z,-0.081474,0.015784,-0.085556,2025-03-07T00:38:57Z
39,264.5846,0.695929,7.258484,44.938339,291.9946,0.435847,2.542873,3,-93.166972,12.061819,2025-03-07T00:38:58Z,-0.253048,-0.967024,0.011896,2025-03-07T00:38:58Z,-0.017464,0.002895,-0.038022,2025-03-07T00:38:58Z
40,264.467971,0.690967,7.25832,44.938448,291.877971,0.435847,2.393869,3,-93.166969,12.074838,2025-03-07T00:38:59Z,-0.256276,-0.96398,0.012053,2025-03-07T00:38:59Z,-0.056406,0.037694,-0.014439,2025-03-07T00:38:59Z
41,264.243251,0.678181,7.258202,44.938557,291.653251,0.435847,2.261725,3,-93.166969,12.137684,2025-03-07T00:39:00Z,-0.273982,-0.960797,0.015742,2025-03-07T00:39:00Z,-0.192235,0.064432,0.015272,2025-03-07T00:39:00Z
42,263.36657,0.743302,7.251061,44.93867,290.77657,0.435847,2.98459,3,-93.166964,12.365885,2025-03-07T00:39:01Z,-0.280727,-0.961712,0.008288,2025-03-07T00:39:01Z,-0.288755,0.058408,0.022633,2025-03-07T00:39:01Z
43,263.710633,0.768257,7.257928,44.938774,291.120632,0.435847,2.621267,3,-93.166972,12.008159,2025-03-07T00:39:02Z,-0.297433,-0.95097,-0.017938,2025-03-07T00:39:02Z,-0.434283,0.162059,-0.204558,2025-03-07T00:39:02Z
44,263.74177100000003,0.702166,7.258742,44.938872,291.151771,0.435847,2.5813990000000002,3,-93.166975,11.399636,2025-03-07T00:39:03Z,-0.33231,-0.951968,-0.01438,2025-03-07T00:39:03Z,-0.755933,0.143442,-0.187164,2025-03-07T00:39:03Z
45,263.680588,0.696665,7.258789,44.938964,291.090588,0.283038,2.564058,3,-93.16697,10.659909,2025-03-07T00:39:04Z,-0.325912,-0.950205,-0.021115,2025-03-07T00:39:04Z,-0.734005,0.173139,-0.152668,2025-03-07T00:39:04Z
46,263.628023,0.695474,7.258631,44.939046,291.038023,0.283038,2.61791,3,-93.166968,9.667776,2025-03-07T00:39:05Z,-0.310765,-0.946995,-0.029275,2025-03-07T00:39:05Z,-0.500793,0.181391,-0.126119,2025-03-07T00:39:05Z
47,263.32528,0.7028,7.253935,44.93912,290.73528,0.225612,2.368359,3,-93.166968,8.595094,2025-03-07T00:39:06Z,-0.304388,-0.943147,-0.042999,2025-03-07T00:39:06Z,-0.385281,0.203622,-0.143649,2025-03-07T00:39:06Z
48,263.256666,0.686863,7.252468,44.939195,290.666666,0.225612,2.936422,3,-93.16697,8.158946,2025-03-07T00:39:07Z,-0.32682,-0.948013,-0.046403,2025-03-07T00:39:07Z,-0.546725,0.13993,-0.180323,2025-03-07T00:39:07Z
49,263.180261,0.688009,7.253614,44.939267,290.59026,0.225593,2.94011,3,-93.166967,7.837759,2025-03-07T00:39:08Z,-0.335188,-0.943151,-0.042846,2025-03-07T00:39:08Z,-0.595871,0.178728,-0.163052,2025-03-07T00:39:08Z
