seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,260.053086,0.5475,-1,44.934348,288.403788,-1,170.72631,40.096472,-93.170899,-0.47,2025-03-07T00:20:45Z,-0.275833,-0.956766,-0.120202,2025-03-07T00:20:45Z,-0.395698,0.13386,-1.244847,2025-03-07T00:20:45Z
1,252.97821,5.66,-1,44.934283,280.38821,-1,17.613614,16,-93.170937,1.12,2025-03-07T00:20:46Z,-0.312852,-0.959578,-0.123293,2025-03-07T00:20:46Z,-0.662927,0.071625,-1.37228,2025-03-07T00:20:46Z
2,255.008606,4.19,34.82233,44.934442,282.418606,332.226562,14,3,-93.171088,1.12,2025-03-07T00:20:47Z,-0.270567,-0.969039,-0.139528,2025-03-07T00:20:47Z,-0.506564,0.094092,-1.337138,2025-03-07T00:20:47Z
3,258.612305,1.08,17.039946,44.934376,286.022305,315.351562,14,3,-93.171149,4.11,2025-03-07T00:20:48Z,-0.263281,-0.963852,-0.10692,2025-03-07T00:20:48Z,-0.577592,0.14839,-0.888238,2025-03-07T00:20:48Z
4,257.046143,0.99,16.126761,44.934416,284.456142,344.179688,3.535534,3,-93.171117,4.11,2025-03-07T00:20:50Z,-0.208979,-0.965108,-0.101445,2025-03-07T00:20:49Z,-0.140516,0.144988,-0.659219,2025-03-07T00:20:49Z
5,257.211609,0.99,15.680118,44.934452,284.621609,355.429688,3.535534,3,-93.171118,4.08,2025-03-07T00:20:51Z,-0.182045,-0.987881,-0.040911,2025-03-07T00:20:50Z,0.227187,-0.094352,-0.108566,2025-03-07T00:20:50Z
6,257.26416,1.93,26.403066,44.934492,284.67416,8.085938,3.535534,3,-93.171111,4.6,2025-03-07T00:20:52Z,-0.157254,-0.983676,0.015562,2025-03-07T00:20:51Z,0.435309,-0.039657,0.339763,2025-03-07T00:20:51Z
7,257.936279,2.72,31.795197,44.93454,285.346279,356.132812,3.535534,3,-93.17112,4.6,2025-03-07T00:20:53Z,-0.18616,-0.99298,-0.012452,2025-03-07T00:20:52Z,0.060804,-0.117262,0.142105,2025-03-07T00:20:52Z
8,258.246826,1.05,10.072715,44.934608,285.656826,1.757812,3.535534,3,-93.171127,5.28,2025-03-07T00:20:54Z,-0.193703,-0.965894,-0.011724,2025-03-07T00:20:53Z,-0.011234,0.152373,0.127368,2025-03-07T00:20:53Z
9,258.189819,0.17,1.692402,44.934665,285.599819,1.054688,3.535534,3,-93.171124,6.75,2025-03-07T00:20:55Z,-0.262483,-0.967972,0.001362,2025-03-07T00:20:54Z,-0.631564,0.109627,0.132028,2025-03-07T00:20:54Z
