seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,264.082741,-0.3075,4.863878,44.940547,291.492741,38.009766,156.308726,4.25,-93.167025,0.5025,2025-03-14T02:36:14Z,-0.270251,-0.978095,-0.151022,2025-03-14T02:36:14Z,-0.070453,-0.146513,-1.754965,2025-03-14T02:36:14Z
1,274.494446,2,25.246322,44.940106,301.904446,155.039062,14,8,-93.16725,5.01,2025-03-14T02:36:15Z,-0.230161,-0.972534,-0.101798,2025-03-14T02:36:15Z,0.095533,-0.00638,-1.024505,2025-03-14T02:36:15Z
2,265.475769,2.08,28.540381,44.940115,292.885769,154.6875,3.535534,3,-93.167259,5.01,2025-03-14T02:36:16Z,-0.207994,-0.9681,0.003637,2025-03-14T02:36:16Z,0.316268,0.016277,0.069752,2025-03-14T02:36:16Z
3,263.474487,0.99,13.737789,44.940116,290.884487,269.613403,3.535534,3,-93.167346,4.69,2025-03-14T02:36:17Z,-0.189258,-0.984497,0.022883,2025-03-14T02:36:17Z,0.468113,-0.116736,0.307948,2025-03-14T02:36:17Z
4,262.70166,1.01,11.885474,44.940116,290.11166,269.613403,3.535534,3,-93.16742,4.69,2025-03-14T02:36:18Z,-0.190738,-0.979303,0.046158,2025-03-14T02:36:18Z,0.393341,-0.074664,0.539035,2025-03-14T02:36:18Z
5,262.366272,0.32,2.912724,44.940116,289.776272,269.802124,3.535534,3,-93.167513,7.29,2025-03-14T02:36:19Z,-0.202043,-0.977653,0.06478,2025-03-14T02:36:19Z,0.318095,-0.045798,0.700374,2025-03-14T02:36:19Z
6,260.903503,0.36,2.824642,44.940115,288.313503,269.802124,3.535534,3,-93.167613,8.29,2025-03-14T02:36:20Z,-0.22081,-0.960081,0.047722,2025-03-14T02:36:20Z,0.132001,0.115056,0.536745,2025-03-14T02:36:20Z
7,260.080566,0.18,1.271176,44.940115,287.490566,269.802124,3.535534,3,-93.167726,8.29,2025-03-14T02:36:21Z,-0.275116,-0.965415,0.041792,2025-03-14T02:36:21Z,-0.327442,0.051097,0.477043,2025-03-14T02:36:21Z
8,259.477478,0.08,0.58022,44.940115,286.887478,269.802124,3.535534,3,-93.167838,9.13,2025-03-14T02:36:22Z,-0.294617,-0.956384,0.028167,2025-03-14T02:36:22Z,-0.543511,0.152022,0.287232,2025-03-14T02:36:22Z
9,259.214478,0.19,1.293262,44.940115,286.624477,270.143555,3.535534,3,-93.167957,9.48,2025-03-14T02:36:23Z,-0.305457,-0.94857,0.028434,2025-03-14T02:36:23Z,-0.619941,0.202553,0.273573,2025-03-14T02:36:23Z
10,258.64563,0.36,2.537682,44.940115,286.05563,270.143555,3.535534,3,-93.16807,9.48,2025-03-14T02:36:24Z,-0.351713,-0.94046,0.001914,2025-03-14T02:36:24Z,-1.008688,0.254194,0.010753,2025-03-14T02:36:24Z
11,258.369385,1.59,7.932566,44.940115,285.779385,270.143555,3.535534,3,-93.168183,9.33,2025-03-14T02:36:25Z,-0.297172,-0.943932,0.014718,2025-03-14T02:36:25Z,-0.500706,0.268314,0.099369,2025-03-14T02:36:25Z
12,258.111084,1.07,6.186647,44.940116,285.521084,270.143555,3.535534,3,-93.168292,9.01,2025-03-14T02:36:26Z,-0.28725,-0.962503,0.028419,2025-03-14T02:36:26Z,-0.32293,0.057957,0.183132,2025-03-14T02:36:26Z
