seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.506278,1.189518,99.459225,44.941299,289.916278,94.355113,3.847486,3,-93.167221,0.251024,2025-03-14T02:04:00Z,-0.19387,-0.985906,-0.129589,2025-03-14T02:04:00Z,0.730908,-0.230931,-1.474095,2025-03-14T02:04:00Z
1,262.345581,1.3,26.038156,44.941299,289.755581,91.054688,14,3,-93.167213,0.29,2025-03-14T02:04:01Z,-0.214728,-0.987715,-0.137431,2025-03-14T02:04:01Z,0.511285,-0.235629,-1.527267,2025-03-14T02:04:01Z
2,263.391113,1,10.732377,44.941226,290.801113,170.507812,3.535534,3,-93.167141,6.04,2025-03-14T02:04:02Z,-0.163596,-0.988579,-0.028994,2025-03-14T02:04:02Z,0.782905,-0.179256,-0.652776,2025-03-14T02:04:02Z
3,263.23468,0.38,4.492307,44.941169,290.64468,183.164062,3.535534,3,-93.167123,6.04,2025-03-14T02:04:03Z,-0.192169,-0.976629,0.071548,2025-03-14T02:04:03Z,0.477986,-0.066206,0.308929,2025-03-14T02:04:03Z
4,262.719116,0.24,2.517295,44.941112,290.129116,181.253555,3.535534,3,-93.167122,6.04,2025-03-14T02:04:04Z,-0.207832,-0.973129,0.082591,2025-03-14T02:04:04Z,0.308819,-0.040342,0.363667,2025-03-14T02:04:04Z
5,262.259155,0.09,0.906213,44.941055,289.669155,181.253555,3.535534,3,-93.167123,6.25,2025-03-14T02:04:05Z,-0.203753,-0.980305,0.06807,2025-03-14T02:04:05Z,0.292693,-0.082628,0.258695,2025-03-14T02:04:05Z
6,262.42688,0.05,0.519858,44.940992,289.83688,180.86116,3.535534,3,-93.167125,7.37,2025-03-14T02:04:07Z,-0.214525,-0.971336,0.075609,2025-03-14T02:04:06Z,0.141696,0.010662,0.315342,2025-03-14T02:04:06Z
7,262.285828,0.53,4.40215,44.940923,289.695827,180.86116,3.535534,3,-93.167125,7.85,2025-03-14T02:04:08Z,-0.228836,-0.965108,0.066051,2025-03-14T02:04:07Z,-0.027819,0.083111,0.235436,2025-03-14T02:04:07Z
8,262.245911,0.06,0.512621,44.940848,289.65591,180.86116,3.535534,3,-93.167122,7.85,2025-03-14T02:04:09Z,-0.258589,-0.966559,0.050962,2025-03-14T02:04:08Z,-0.335662,0.062405,0.079717,2025-03-14T02:04:08Z
9,262.35437,0.06,0.520144,44.940774,289.76437,180.112579,3.535534,3,-93.167124,8.18,2025-03-14T02:04:10Z,-0.301016,-0.952503,0.046945,2025-03-14T02:04:09Z,-0.741569,0.20538,0.065209,2025-03-14T02:04:09Z
10,262.301147,0.06,0.558041,44.940702,289.711147,180.112579,3.535534,3,-93.167124,7.71,2025-03-14T02:04:11Z,-0.305801,-0.953098,0.034325,2025-03-14T02:04:10Z,-0.747187,0.193502,-0.017259,2025-03-14T02:04:10Z
11,261.921997,0.8,7.144491,44.940636,289.331997,180.112579,3.535534,3,-93.167128,7.71,2025-03-14T02:04:12Z,-0.295367,-0.9437,0.025102,2025-03-14T02:04:11Z,-0.702603,0.288626,-0.059346,2025-03-14T02:04:11Z
12,261.741577,1.97,16.904563,44.940567,289.151577,180.112579,3.535534,3,-93.167118,7.49,2025-03-14T02:04:13Z,-0.331903,-0.942974,0.029921,2025-03-14T02:04:12Z,-0.935268,0.274964,-0.080632,2025-03-14T02:04:12Z
13,261.741582,1.97,21.311895,44.9405,289.151581,180.112579,4.748652,4.029364,-93.167108,7.49,2025-03-14T02:04:14Z,-0.364602,-0.940975,0.014183,2025-03-14T02:04:13Z,-1.213934,0.280579,-0.216617,2025-03-14T02:04:13Z
14,261.595341,2,22.291187999999998,44.940446,289.005341,180.112579,4.748652,4.029364,-93.167111,7.27,2025-03-14T02:04:15Z,-0.36257,-0.929029,0.035053,2025-03-14T02:04:14Z,-1.22189,0.412195,-0.127254,2025-03-14T02:04:14Z
15,261.424686,1.05,13.377341,44.940402,288.834686,180.112579,4.748652,4.029364,-93.167111,6.36,2025-03-14T02:04:16Z,-0.367912,-0.930066,0.020094,2025-03-14T02:04:15Z,-1.197697,0.37279,-0.230422,2025-03-14T02:04:15Z
16,261.705141,0.32,7.258975,44.940373,289.11514,180.112579,4.748652,4.029364,-93.167109,4.22,2025-03-14T02:04:17Z,-0.378931,-0.929458,0.023112,2025-03-14T02:04:16Z,-1.265749,0.370735,-0.212059,2025-03-14T02:04:16Z
17,261.821413,0.308016,7.258975,44.94034,289.231412,179.59111,4.748652,4.029364,-93.167108,4.22,2025-03-14T02:04:18Z,-0.344526,-0.939618,0.029175,2025-03-14T02:04:17Z,-0.865792,0.253251,-0.131214,2025-03-14T02:04:17Z
18,260.952637,0.308016,8.182965,44.940335,288.362637,179.59111,4.748652,4.029364,-93.167117,3.05,2025-03-14T02:04:19Z,-0.309845,-0.94849000000000006,0.037956,2025-03-14T02:04:18Z,-0.470723,0.15607,-0.029428,2025-03-14T02:04:18Z
19,260.781372,0.308016,13.205313,44.940335,288.191372,179.59111,4.748652,4.029364,-93.167121,1.89,2025-03-14T02:04:20Z,-0.292,-0.9535,0.040879,2025-03-14T02:04:19Z,-0.258299,0.095767,0.013135,2025-03-14T02:04:19Z
20,260.565186,0.54,36.462811,44.940333,287.975186,179.59111,4.748652,4.029364,-93.167125,1.2,2025-03-14T02:04:21Z,-0.297545,-0.95222,0.039637,2025-03-14T02:04:20Z,-0.267763,0.09712,0.006955,2025-03-14T02:04:20Z
21,260.370972,0.73,62.263983,44.940329,287.780972,179.59111,4.748652,4.029364,-93.167129,0.95,2025-03-14T02:04:22Z,-0.290095,-0.954257,0.040855,2025-03-14T02:04:21Z,-0.162823,0.066502,0.021683,2025-03-14T02:04:21Z
22,260.191162,0.69,58.852257,44.940327,287.601162,179.59111,4.748652,4.029364,-93.167132,0.95,2025-03-14T02:04:23Z,-0.284521,-0.95579,0.042517,2025-03-14T02:04:22Z,-0.073398,0.043053,0.040194,2025-03-14T02:04:22Z
23,259.999634,0.69,96.395939,44.940328,287.409634,179.59111,4.748652,4.029364,-93.167135,0.58,2025-03-14T02:04:24Z,-0.269643,-0.959823,0.045334,2025-03-14T02:04:23Z,0.094965,-0.004078,0.065919,2025-03-14T02:04:23Z
24,259.837891,0.827345,180,44.940334,287.247891,179.59111,4.748652,4.029364,-93.167136,0,2025-03-14T02:04:25Z,-0.263481,-0.961378,0.048595,2025-03-14T02:04:24Z,0.17593,-0.026941,0.090302,2025-03-14T02:04:24Z
25,259.797852,0.804985,180,44.940333,287.207851,179.59111,4.748652,4.029364,-93.167137,0,2025-03-14T02:04:26Z,-0.26334,-0.961777,0.047694,2025-03-14T02:04:25Z,0.190624,-0.031243,0.095301,2025-03-14T02:04:25Z
26,259.797852,0.827345,180,44.940333,287.207851,179.59111,4.748652,4.029364,-93.167137,0,2025-03-14T02:04:27Z,-0.263563,-0.961555,0.0472,2025-03-14T02:04:26Z,0.199782,-0.034025,0.080437,2025-03-14T02:04:26Z
27,259.819702,0.804985,180,44.940332,287.229702,179.59111,4.748652,4.029364,-93.167137,0,2025-03-14T02:04:28Z,-0.263459,-0.961488,0.048076,2025-03-14T02:04:27Z,0.197627,-0.034255,0.079732,2025-03-14T02:04:27Z
