seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.318208,0.669894,8.406688,44.941542,289.728208,304.588816,2.321269,3,-93.1672,6.456064,2025-03-14T02:24:21Z,-0.325209,-0.93594,0.147463,2025-03-14T02:24:21Z,-0.382782,0.218055,0.998949,2025-03-14T02:24:21Z
1,262.300258,0.674648,8.312543,44.941548,289.710258,284.374791,2.285533,3,-93.167288,6.576759,2025-03-14T02:24:22Z,-0.272262,-0.962093,0.084251,2025-03-14T02:24:22Z,0.039694,-0.043606,0.176038,2025-03-14T02:24:22Z
2,261.572246,0.702231,8.253683,44.94155,288.982246,276.135567,2.280491,3,-93.167377,6.870837,2025-03-14T02:24:23Z,-0.230487,-0.976791,0.036982,2025-03-14T02:24:23Z,0.393312,-0.142839,-0.276062,2025-03-14T02:24:23Z
3,261.17748,0.74871,7.61759,44.941552,288.58748,272.597596,2.619567,3,-93.167487,7.916178,2025-03-14T02:24:24Z,-0.192537,-0.974744,0.020611,2025-03-14T02:24:24Z,0.658185,-0.114824,-0.435797,2025-03-14T02:24:24Z
4,260.891659,0.682784,7.25668,44.941544,288.301659,268.9118,2.636825,3,-93.167605,8.890025,2025-03-14T02:24:25Z,-0.200923,-0.986228,0.032213,2025-03-14T02:24:25Z,0.51771,-0.209203,-0.334331,2025-03-14T02:24:25Z
5,259.511461,0.683183,7.225237,44.941545,286.921461,269.950789,2.574486,3,-93.167737,9.923405,2025-03-14T02:24:26Z,-0.197192,-0.974454,0.030889,2025-03-14T02:24:26Z,0.519106,-0.078586,-0.333667,2025-03-14T02:24:26Z
6,259.214297,0.681907,7.24737,44.941545,286.624297,270.552054,2.388536,3,-93.167879,10.795967,2025-03-14T02:24:27Z,-0.215617,-0.982495,0.012267,2025-03-14T02:24:27Z,0.294811,-0.148242,-0.454239,2025-03-14T02:24:27Z
7,258.381726,0.684814,7.250453,44.941545,285.791726,270.684946,2.209083,3,-93.168037,11.856632,2025-03-14T02:24:28Z,-0.238045,-0.965389,0.002309,2025-03-14T02:24:28Z,0.037206,0.03243,-0.468621,2025-03-14T02:24:28Z
8,258.501914,0.683309,7.257691,44.941539,285.911914,268.797093,2.471162,3,-93.168207,12.755039,2025-03-14T02:24:29Z,-0.251571,-0.965631,2.23e-4,2025-03-14T02:24:29Z,-0.085005,0.0247,-0.453088,2025-03-14T02:24:29Z
9,257.91707,0.667071,7.256155,44.941539,285.32707,269.212792,2.374909,3,-93.168379,13.335897,2025-03-14T02:24:30Z,-0.266744,-0.960448,-8.27e-4,2025-03-14T02:24:30Z,-0.226023,0.093231,-0.424266,2025-03-14T02:24:30Z
10,257.090286,0.687179,7.250918,44.941542,284.500285,270.420334,2.18424,3,-93.168551,13.540277,2025-03-14T02:24:31Z,-0.287248,-0.957649,-0.016568,2025-03-14T02:24:31Z,-0.444892,0.118754,-0.510211,2025-03-14T02:24:31Z
11,256.668734,0.742647,7.253626,44.941545,284.078734,270.726298,2.77707,3,-93.168729,13.805121,2025-03-14T02:24:32Z,-0.300001,-0.956001,-0.029823,2025-03-14T02:24:32Z,-0.53843,0.125183,-0.613876,2025-03-14T02:24:32Z
12,257.168877,0.908836,7.258936,44.941541,284.578877,269.838595,2.741359,3,-93.168905,13.782406,2025-03-14T02:24:33Z,-0.298758,-0.968104,-0.018892,2025-03-14T02:24:33Z,-0.51899,-2.57e-4,-0.562537,2025-03-14T02:24:33Z
13,257.217513,0.695309,7.258661,44.941532,284.627513,268.292381,2.751685,3,-93.169094,14.270743,2025-03-14T02:24:34Z,-0.286512,-0.955412,-0.025361,2025-03-14T02:24:34Z,-0.479271,0.149409,-0.496911,2025-03-14T02:24:34Z
14,256.619916,0.684274,7.258513,44.941535,284.029915,270.022467,2.355018,3,-93.169274,14.258035,2025-03-14T02:24:35Z,-0.303582,-0.964403,0.002321,2025-03-14T02:24:35Z,-0.567677,0.060601,-0.305163,2025-03-14T02:24:35Z
15,256.52902,0.679188,7.258697,44.941539,283.93902,271.037488,2.663913,3,-93.169447,13.932638,2025-03-14T02:24:36Z,-0.281672,-0.95952,-0.001695,2025-03-14T02:24:36Z,-0.343498,0.086346,-0.355774,2025-03-14T02:24:36Z
16,256.625373,0.692574,7.258899,44.941539,284.035373,270.749623,2.656728,3,-93.169629,14.107233,2025-03-14T02:24:37Z,-0.286854,-0.952732,0.009775,2025-03-14T02:24:37Z,-0.334754,0.143644,-0.240492,2025-03-14T02:24:37Z
17,256.413254,0.670492,7.258779,44.941536,283.823254,270.074281,2.781866,3,-93.169804,14.002767,2025-03-14T02:24:38Z,-0.27389,-0.962611,0.007158,2025-03-14T02:24:38Z,-0.181703,0.021083,-0.277277,2025-03-14T02:24:38Z
18,256.249994,0.670375,7.258812,44.941534,283.659994,269.559169,2.421312,3,-93.169976,13.744344,2025-03-14T02:24:39Z,-0.285262,-0.963419,0.020561,2025-03-14T02:24:39Z,-0.269979,0.020757,-0.141058,2025-03-14T02:24:39Z
19,255.791784,0.67209,7.257748,44.941536,283.201784,270.103604,2.201342,3,-93.170153,13.829716,2025-03-14T02:24:40Z,-0.265225,-0.953705,0.014247,2025-03-14T02:24:40Z,-0.096635,0.132222,-0.120266,2025-03-14T02:24:40Z
20,255.624002,0.676277,7.258481,44.941536,283.034001,269.996107,2.676569,3,-93.170331,13.982817,2025-03-14T02:24:41Z,-0.283648,-0.964894,0.006176,2025-03-14T02:24:41Z,-0.226056,0.002273,-0.220265,2025-03-14T02:24:41Z
21,255.576006,0.676029,7.258875,44.941536,282.986005,270.143306,2.589181,3,-93.17051,14.011869,2025-03-14T02:24:42Z,-0.271891,-0.95804,0.012005,2025-03-14T02:24:42Z,-0.110556,0.064789,-0.168283,2025-03-14T02:24:42Z
22,255.430043,0.701058,7.258703,44.941534,282.840043,269.878761,2.415025,3,-93.170687,14.020003,2025-03-14T02:24:43Z,-0.267461,-0.970557,-0.010184,2025-03-14T02:24:43Z,-0.088371,-0.043816,-0.203501,2025-03-14T02:24:43Z
23,255.425548,0.740075,7.258864,44.94153,282.835548,269.215886,2.194369,3,-93.170873,14.326796,2025-03-14T02:24:44Z,-0.264996,-0.944016,-0.019454,2025-03-14T02:24:44Z,-0.039765,0.21837,-0.229115,2025-03-14T02:24:44Z
24,255.424621,0.709778,7.258871,44.94153,282.834621,269.76194,2.121919,3,-93.171048,14.120782,2025-03-14T02:24:45Z,-0.276336,-0.966034,0.00455,2025-03-14T02:24:45Z,-0.115661,-0.01196,-0.082488,2025-03-14T02:24:45Z
25,255.135285,0.6723,7.258179,44.941534,282.545285,270.552477,2.057399,3,-93.171231,14.317899,2025-03-14T02:24:46Z,-0.269944,-0.962017,0.00814,2025-03-14T02:24:46Z,-0.060463,0.013154,-0.075342,2025-03-14T02:24:46Z
26,254.880314,0.694961,7.257579,44.941537,282.290314,271.233236,2.350903,3,-93.171412,14.275122,2025-03-14T02:24:47Z,-0.274191,-0.963481,-0.00151,2025-03-14T02:24:47Z,-0.083919,0.00822,-0.115356,2025-03-14T02:24:47Z
27,255.281437,0.684763,7.258974,44.94153,282.691437,269.31295,2.62409,3,-93.1716,14.482079,2025-03-14T02:24:48Z,-0.2732,-0.958208,-0.01027,2025-03-14T02:24:48Z,-0.055266,0.052679,-0.189635,2025-03-14T02:24:48Z
28,254.676741,0.681538,7.257938,44.941527,282.086741,269.14171,2.28973,3,-93.171786,14.686025,2025-03-14T02:24:49Z,-0.269712,-0.959177,-0.00236,2025-03-14T02:24:49Z,-0.044238,0.048869,-0.099344,2025-03-14T02:24:49Z
29,254.661171,0.663289,7.258227,44.94153,282.071171,270.64662,2.134963,3,-93.171967,14.525877,2025-03-14T02:24:50Z,-0.269677,-0.956114,-0.001674,2025-03-14T02:24:50Z,-0.023131,0.066612,-0.071986,2025-03-14T02:24:50Z
30,254.542678,0.662042,7.258824,44.94153,281.952678,270.16446,2.06249,3,-93.172153,14.663296,2025-03-14T02:24:51Z,-0.277851,-0.969509,0.002196,2025-03-14T02:24:51Z,-0.068663,-0.059066,-0.081599,2025-03-14T02:24:51Z
31,254.240888,0.656547,7.258517,44.941529,281.650888,269.960831,2.43978,3,-93.172338,14.696798,2025-03-14T02:24:52Z,-0.272646,-0.956207,3.39e-4,2025-03-14T02:24:52Z,-0.069721,0.071042,-0.040649,2025-03-14T02:24:52Z
32,253.842462,0.807905,7.257772,44.941528,281.252462,269.896242,2.267622,3,-93.172524,14.701018,2025-03-14T02:24:53Z,-0.269819,-0.962205,-0.009673,2025-03-14T02:24:53Z,-0.003257,0.011555,-0.124801,2025-03-14T02:24:53Z
33,253.849932,0.673249,7.257889,44.941529,281.259932,270.056135,2.12152,3,-93.172717,14.983835,2025-03-14T02:24:54Z,-0.266414,-0.946674,-0.004803,2025-03-14T02:24:54Z,0.027032,0.156568,-0.110612,2025-03-14T02:24:54Z
34,253.934528,0.666255,7.258972,44.94153,281.344528,270.50679,2.055407,3,-93.172902,14.742915,2025-03-14T02:24:55Z,-0.308134,-0.963357,-0.010561,2025-03-14T02:24:55Z,-0.326933,-0.019866,-0.17321,2025-03-14T02:24:55Z
35,253.602195,0.664102,7.258849,44.941531,281.012195,269.911377,2.170953,3,-93.17309,14.739519,2025-03-14T02:24:56Z,-0.309567,-0.94974,-0.005771,2025-03-14T02:24:56Z,-0.351675,0.117325,-0.16653,2025-03-14T02:24:56Z
36,253.184432,0.663082,7.258364,44.941535,280.594432,270.068512,2.154458,3,-93.173275,14.551615,2025-03-14T02:24:57Z,-0.314326,-0.95041,-0.014038,2025-03-14T02:24:57Z,-0.403907,0.115178,-0.153003,2025-03-14T02:24:57Z
37,252.96848,0.663646,7.258634,44.941534,280.37848,270.022175,2.072047,3,-93.173453,14.192174,2025-03-14T02:24:58Z,-0.303813,-0.937904,-0.025372,2025-03-14T02:24:58Z,-0.194785,0.199589,-0.181045,2025-03-14T02:24:58Z
38,252.931141,0.668218,7.258609,44.941537,280.341141,270.622997,2.034189,3,-93.173627,13.880535,2025-03-14T02:24:59Z,-0.31293,-0.957268,-0.007753,2025-03-14T02:24:59Z,-0.257173,0.008493,-0.158638,2025-03-14T02:24:59Z
39,252.752013,0.667279,7.258599,44.941539,280.162013,270.693581,2.259839,3,-93.173796,13.51803,2025-03-14T02:25:00Z,-0.2938,-0.948944,-0.061568,2025-03-14T02:25:00Z,-0.061263,0.089888,-0.613575,2025-03-14T02:25:00Z
40,252.354864,0.668834,7.257876,44.941543,279.764864,271.660458,2.220281,3,-93.173965,13.343356,2025-03-14T02:25:01Z,-0.287311,-0.958729,-0.133663,2025-03-14T02:25:01Z,0.039898,-0.021264,-1.259864,2025-03-14T02:25:01Z
41,252.193029,0.715604,7.257952,44.941561,279.603029,283.474823,2.426316,3,-93.174129,13.118485,2025-03-14T02:25:02Z,-0.280378,-0.954452,-0.110023,2025-03-14T02:25:02Z,0.024904,0.056061,-0.929198,2025-03-14T02:25:02Z
42,251.884666,0.689255,7.257514,44.941584,279.294666,288.080261,2.277451,3,-93.174287,12.799358,2025-03-14T02:25:03Z,-0.297042,-0.949736,-0.05123,2025-03-14T02:25:03Z,-0.122894,0.061444,-0.034187,2025-03-14T02:25:03Z
43,251.746722,0.746462,7.257704,44.941612,279.156722,282.647125,2.191593,3,-93.174442,12.593139,2025-03-14T02:25:04Z,-0.287132,-0.956571,-0.014969,2025-03-14T02:25:04Z,-0.096126,0.021004,0.553565,2025-03-14T02:25:04Z
44,251.640679,0.69029,7.258526,44.941637,279.050679,277.831543,2.466174,3,-93.17459,12.234959,2025-03-14T02:25:05Z,-0.292938,-0.961769,0.036883,2025-03-14T02:25:05Z,-0.138497,-0.035884,0.988445,2025-03-14T02:25:05Z
45,251.151695,0.687452,7.256099,44.941658,278.561695,274.214722,2.422636,3,-93.174746,12.310459,2025-03-14T02:25:06Z,-0.284254,-0.950525,0.045129,2025-03-14T02:25:06Z,-0.019938,0.069486,0.952348,2025-03-14T02:25:06Z
46,251.252969,0.691763,7.258423,44.941666,278.662969,271.209137,2.353378,3,-93.1749,12.229672,2025-03-14T02:25:07Z,-0.280071,-0.964205,0.021419,2025-03-14T02:25:07Z,0.077233,-0.080325,0.682935,2025-03-14T02:25:07Z
47,251.032965,0.686735,7.257697,44.941665,278.442964,270,2.180872,3,-93.175062,12.513425,2025-03-14T02:25:08Z,-0.263679,-0.965323,-0.026822,2025-03-14T02:25:08Z,0.16975,-0.063313,0.223516,2025-03-14T02:25:08Z
48,250.607864,0.702781,7.256483,44.94166,278.017864,270,2.188605,3,-93.175225,12.751529,2025-03-14T02:25:09Z,-0.270493,-0.965918,-0.051016,2025-03-14T02:25:09Z,0.110165,-0.070221,-0.016566,2025-03-14T02:25:09Z
49,249.992768,0.748831,7.25385,44.941663,277.402768,270,2.885355,3,-93.175368,11.951285,2025-03-14T02:25:10Z,-0.280909,-0.949457,-0.044059,2025-03-14T02:25:10Z,0.017476,0.089058,-0.024322,2025-03-14T02:25:10Z
50,249.772711,0.920484,7.255286,44.941666,277.182711,270,3.350654,3,-93.175516,11.618319,2025-03-14T02:25:11Z,-0.287443,-0.949756,-0.040942,2025-03-14T02:25:11Z,-0.019455,0.066235,-0.035629,2025-03-14T02:25:11Z
51,250.043575,0.685452,7.257785,44.941663,277.453575,270,2.900703,3,-93.175701,12.694091,2025-03-14T02:25:12Z,-0.31158,-0.952661,-0.063012,2025-03-14T02:25:12Z,-0.250264,0.05478,-0.215718,2025-03-14T02:25:12Z
52,250.378759,0.681723,7.258968,44.941659,277.788759,270,2.80187,3,-93.175862,12.743666,2025-03-14T02:25:13Z,-0.325272,-0.943232,-0.064231,2025-03-14T02:25:13Z,-0.365009,0.132651,-0.223689,2025-03-14T02:25:13Z
53,250.468394,0.693664,7.258959,44.941658,277.878394,270,2.410851,3,-93.176011,12.072698,2025-03-14T02:25:14Z,-0.324219,-0.945619,-0.063878,2025-03-14T02:25:14Z,-0.336458,0.108702,-0.201638,2025-03-14T02:25:14Z
54,250.052768,0.682726,7.258362,44.941665,277.462768,270,2.218191,3,-93.176147,11.230545,2025-03-14T02:25:15Z,-0.324141,-0.940756,-0.054352,2025-03-14T02:25:15Z,-0.312312,0.136967,-0.100106,2025-03-14T02:25:15Z
55,249.374179,0.697104,7.248364,44.94166,276.784179,270,2.522121,3,-93.176284,10.791764,2025-03-14T02:25:16Z,-0.322846,-0.960043,-0.0831,2025-03-14T02:25:16Z,-0.341098,-0.043848,-0.141877,2025-03-14T02:25:16Z
56,249.27734,0.685685,7.252507,44.941662,276.68734,270,2.588329,3,-93.176416,10.396485,2025-03-14T02:25:17Z,-0.350035,-0.927487,-0.099316,2025-03-14T02:25:17Z,-0.676148,0.269688,-0.222107,2025-03-14T02:25:17Z
57,249.396156,0.68779,7.258615,44.941666,276.806156,269.798828,2.43263,3,-93.176533,9.557725,2025-03-14T02:25:18Z,-0.384317,-0.922676,-0.118625,2025-03-14T02:25:18Z,-0.849299,0.283858,-0.336055,2025-03-14T02:25:18Z
58,248.805668,0.696578,7.239781,44.94166,276.215668,269.798828,2.310531,3,-93.176636,8.42437,2025-03-14T02:25:19Z,-0.371091,-0.926446,-0.122747,2025-03-14T02:25:19Z,-0.731742,0.242601,-0.301852,2025-03-14T02:25:19Z
59,248.924436,0.696361,7.548442,44.941657,276.334435,269.798828,2.401369,3,-93.176728,7.458342,2025-03-14T02:25:20Z,-0.368213,-0.932286,-0.126056,2025-03-14T02:25:20Z,-0.638494,0.155296,-0.306903,2025-03-14T02:25:20Z
60,249.089336,0.689601,8.835697,44.941656,276.499336,269.798828,2.28419,3,-93.176803,6.324777,2025-03-14T02:25:21Z,-0.363519,-0.932514,-0.114009,2025-03-14T02:25:21Z,-0.571121,0.149006,-0.239763,2025-03-14T02:25:21Z
61,249.106846,0.672903,10.256965,44.94166,276.516846,269.798828,2.211954,3,-93.176867,5.31596,2025-03-14T02:25:22Z,-0.36901,-0.924476,-0.114891,2025-03-14T02:25:22Z,-0.57523,0.208196,-0.231692,2025-03-14T02:25:22Z
62,249.288439,0.69536,13.60863,44.941658,276.698439,269.798828,2.169563,3,-93.176917,4.134925,2025-03-14T02:25:23Z,-0.39478799999999997,-0.923199,-0.123995,2025-03-14T02:25:23Z,-0.788568,0.21297,-0.295371,2025-03-14T02:25:23Z
63,249.476711,0.700322,19.920704,44.941656,276.886711,269.798828,2.141302,3,-93.176946,2.761227,2025-03-14T02:25:24Z,-0.321294,-0.939909,-0.101582,2025-03-14T02:25:24Z,-0.066201,0.044317,-0.078083,2025-03-14T02:25:24Z
64,249.719837,0.732813,27.267796,44.941655,277.129837,269.798828,2.237134,3,-93.176969,1.939635,2025-03-14T02:25:25Z,-0.227102,-0.970856,-0.072013,2025-03-14T02:25:25Z,0.870242,-0.263276,0.203752,2025-03-14T02:25:25Z
65,249.426749,0.7007,32.817607,44.941655,276.836749,269.798828,2.275331,3,-93.176986,1.634868,2025-03-14T02:25:26Z,-0.167912,-0.986753,-0.061061,2025-03-14T02:25:26Z,1.471937,-0.419709,0.297721,2025-03-14T02:25:26Z
66,249.424193,0.682364,24.992428,44.941656,276.834192,269.798828,2.272021,3,-93.177016,2.172124,2025-03-14T02:25:27Z,-0.157239,-0.989989,-0.038529,2025-03-14T02:25:27Z,1.485877,-0.410235,0.375461,2025-03-14T02:25:27Z
67,250.127847,0.734993,15.922213,44.941657,277.537847,269.798828,2.341729,3,-93.177065,3.378487,2025-03-14T02:25:28Z,-0.201994,-0.990418,0.01135,2025-03-14T02:25:28Z,1.057744,-0.409303,0.587647,2025-03-14T02:25:28Z
