seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,250.697947,-0.58,2.013958,44.940638,278.107946,5.402344,69.636784,7.351661,-93.177304,0.25,2025-03-14T02:02:03Z,-0.259567,-0.962532,-0.170196,2025-03-14T02:02:03Z,-0.061703,0.042017,-1.928999,2025-03-14T02:02:03Z
1,244.338501,0.91,14.771334,44.941344,271.748501,24.609375,14,8,-93.177195,4,2025-03-14T02:02:05Z,-0.241228,-0.979471,-0.159947,2025-03-14T02:02:04Z,0.03377,-0.094866,-1.688545,2025-03-14T02:02:04Z
2,251.409851,4.49,55.629951,44.941324,278.81985100000003,99.140625,6.462111,4,-93.177094,4,2025-03-14T02:02:06Z,-0.210512,-0.976246,-0.152531,2025-03-14T02:02:05Z,0.319096,-0.06085,-1.428984,2025-03-14T02:02:05Z
3,251.274231,1.36,17.641023,44.941376,278.684231,67.851562,3.535534,3,-93.177026,4.21,2025-03-14T02:02:07Z,-0.142961,-0.991095,-0.09078,2025-03-14T02:02:06Z,0.837455,-0.180753,-0.646896,2025-03-14T02:02:06Z
4,249.858582,1.4,17.490579,44.941393,277.268581,72.070312,3.535534,3,-93.176973,4.96,2025-03-14T02:02:08Z,-0.148642,-0.986592,-0.075884,2025-03-14T02:02:07Z,0.692343,-0.11097,-0.237752,2025-03-14T02:02:07Z
5,249.565796,0.82,7.638919,44.941394,276.975796,88.242188,3.535534,3,-93.176882,7,2025-03-14T02:02:09Z,-0.160604,-0.990164,-0.051078,2025-03-14T02:02:08Z,0.493929,-0.148179,0.135844,2025-03-14T02:02:08Z
6,248.828735,0.16,1.388887,44.941393,276.238735,91.757812,3.535534,3,-93.176792,7.67,2025-03-14T02:02:10Z,-0.164859,-0.986178,-0.044079,2025-03-14T02:02:09Z,0.34362,-0.088907,0.307049,2025-03-14T02:02:09Z
7,248.574707,0.07,0.594983,44.941388,275.984707,89.296875,3.535534,3,-93.17669,7.67,2025-03-14T02:02:11Z,-0.173676,-0.990106,-0.034559,2025-03-14T02:02:10Z,0.231953,-0.124226,0.330559,2025-03-14T02:02:10Z
8,248.154297,0.08,0.633064,44.941384,275.564297,89.648438,3.535534,3,-93.176579,8.39,2025-03-14T02:02:12Z,-0.179405,-0.985998,-0.017382,2025-03-14T02:02:11Z,0.13513,-0.061558,0.34501,2025-03-14T02:02:11Z
9,248.247986,1.14,7.198112,44.941383,275.657986,89.648438,3.535534,3,-93.176465,9.37,2025-03-14T02:02:13Z,-0.189171,-0.978722,-0.009473,2025-03-14T02:02:12Z,0.037718,0.012497,0.395862,2025-03-14T02:02:12Z
10,247.935547,1.29,6.619026,44.941381,275.345547,89.296875,3.535534,3,-93.176341,10.06,2025-03-14T02:02:14Z,-0.196712,-0.978583,-0.001493,2025-03-14T02:02:13Z,-0.005579,0.01056,0.412288,2025-03-14T02:02:13Z
11,247.804993,1.46,6.399293,44.941372,275.214993,91.40625,3.535534,3,-93.176213,10.06,2025-03-14T02:02:15Z,-0.214772,-0.979137,-0.002403,2025-03-14T02:02:14Z,-0.190617,0.008118,0.332668,2025-03-14T02:02:14Z
12,248.357422,1.01,5.348276,44.941372,275.767422,90.351562,3.535534,3,-93.176073,10.3,2025-03-14T02:02:16Z,-0.21263,-0.973937,-9.15e-4,2025-03-14T02:02:15Z,-0.160823,0.054644,0.310103,2025-03-14T02:02:15Z
13,248.35743,1.01,7.94551,44.941371,275.76743,90.351655,4.748652,4.029364,-93.175943,10.3,2025-03-14T02:02:17Z,-0.235063,-0.96512,-9.07e-4,2025-03-14T02:02:16Z,-0.372368,0.150106,0.205492,2025-03-14T02:02:16Z
14,248.444956,0.75,7.258975,44.941372,275.854955,90.000097,4.748652,4.029364,-93.175793,10.89,2025-03-14T02:02:18Z,-0.243627,-0.968118,-0.00953,2025-03-14T02:02:17Z,-0.436573,0.107598,0.169881,2025-03-14T02:02:17Z
15,248.576609,0.308016,7.258975,44.941373,275.986609,90.000101,4.748652,4.029364,-93.175641,11.33,2025-03-14T02:02:19Z,-0.244708,-0.969658,-0.007968,2025-03-14T02:02:18Z,-0.44941,0.098251,0.140376,2025-03-14T02:02:18Z
16,249.061351,0.45,7.258975,44.941366,276.47135,91.406352,4.748652,4.029364,-93.175496,11.38,2025-03-14T02:02:20Z,-0.241316,-0.963595,-0.005637,2025-03-14T02:02:19Z,-0.349726,0.143834,0.155145,2025-03-14T02:02:19Z
17,249.492503,0.308016,7.258975,44.941372,276.902503,89.296977,4.748652,4.029364,-93.17535,11.38,2025-03-14T02:02:21Z,-0.254231,-0.968804,-0.016486,2025-03-14T02:02:20Z,-0.465986,0.094064,0.082308,2025-03-14T02:02:20Z
18,249.569896,1.44,10.137359,44.941375,276.979896,89.296978,4.748652,4.029364,-93.175203,11.51,2025-03-14T02:02:22Z,-0.294182,-0.953682,-0.024299,2025-03-14T02:02:21Z,-0.837608,0.231132,0.023365,2025-03-14T02:02:21Z
19,249.853831,0.75,7.258975,44.941371,277.263831,89.648541,4.748652,4.029364,-93.175056,11.56,2025-03-14T02:02:23Z,-0.275911,-0.962041,-0.033532,2025-03-14T02:02:22Z,-0.666337,0.161322,-0.073381,2025-03-14T02:02:22Z
20,250.185679,1.33,9.639344,44.941369,277.595679,90.0001,4.748652,4.029364,-93.174919,11.18,2025-03-14T02:02:24Z,-0.261935,-0.960028,-0.047072,2025-03-14T02:02:23Z,-0.464205,0.153074,-0.241717,2025-03-14T02:02:23Z
21,250.444468,0.66,7.258975,44.941364,277.854468,90.703225,4.748652,4.029364,-93.174784,11.18,2025-03-14T02:02:25Z,-0.237954,-0.968056,-0.075896,2025-03-14T02:02:24Z,-0.24019,0.086925,-0.522841,2025-03-14T02:02:24Z
