seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,255.51259,1.159478,26.850918,44.934373,282.92259,303.277479,2.57261,3,-93.177226,3.497747,2025-03-21T00:18:58Z,-0.119002,-1.001727,-0.178141,2025-03-21T00:18:58Z,1.005146,-0.26785,-1.970012,2025-03-21T00:18:58Z
1,256.092496,1.271935,23.217708,44.934431,283.502496,342.367033,2.580259,3,-93.177231,4.424158,2025-03-21T00:18:59Z,-0.126088,-0.998955,0.035507,2025-03-21T00:18:59Z,0.92944,-0.242112,-0.081659,2025-03-21T00:18:59Z
2,255.913091,1.45444,26.007252,44.934471,283.323091,344.868682,2.569836,3,-93.177246,4.529238,2025-03-21T00:19:00Z,-0.109161,-0.996016,0.089541,2025-03-21T00:19:00Z,1.0263,-0.194851,0.500037,2025-03-21T00:19:00Z
3,255.959626,1.309806,14.657615,44.934563,283.369626,4.762872,2.584649,3,-93.177208,7.238169,2025-03-21T00:19:01Z,-0.13077,-1.003437,0.076742,2025-03-21T00:19:01Z,0.745067,-0.2466,0.442809,2025-03-21T00:19:01Z
4,255.83123,1.273896,12.274118,44.934651,283.24123,359.927555,2.553205,3,-93.177209,8.409131,2025-03-21T00:19:02Z,-0.122449,-0.994036,0.066972,2025-03-21T00:19:02Z,0.794475,-0.161325,0.301845,2025-03-21T00:19:02Z
5,255.5689,1.279298,10.53926,44.934751,282.9789,359.221641,2.358931,3,-93.177205,9.835477,2025-03-21T00:19:03Z,-0.142879,-0.999822,0.070992,2025-03-21T00:19:03Z,0.576477,-0.205591,0.272964,2025-03-21T00:19:03Z
6,255.526755,1.273362,9.390638,44.934859,282.936755,359.200964,2.207512,3,-93.177204,10.987393,2025-03-21T00:19:04Z,-0.172116,-0.973986,0.058237,2025-03-21T00:19:04Z,0.251361,0.053277,0.164019,2025-03-21T00:19:04Z
7,255.32832,1.270282,8.454668,44.934978,282.73832,0.274053,2.255328,3,-93.177196,12.174098,2025-03-21T00:19:05Z,-0.186168,-0.992894,0.070476,2025-03-21T00:19:05Z,0.11207,-0.142823,0.212258,2025-03-21T00:19:05Z
8,255.670818,1.270796,7.8953,44.935104,283.080818,0.247808,2.127117,3,-93.177191,13.040289,2025-03-21T00:19:06Z,-0.206906,-0.983669,0.060227,2025-03-21T00:19:06Z,-0.157286,-0.030725,0.022879,2025-03-21T00:19:06Z
9,255.276879,1.276106,7.625368,44.935235,282.686879,0.247808,2.06077,3,-93.177189,13.560071,2025-03-21T00:19:07Z,-0.208619,-0.941408,0.025349,2025-03-21T00:19:07Z,-0.239675,0.394243,-0.063721,2025-03-21T00:19:07Z
10,255.351649,1.272907,7.299471,44.93537,282.761649,0,2.028366,3,-93.177188,14.129847,2025-03-21T00:19:08Z,-0.241615,-0.983708,0.051001,2025-03-21T00:19:08Z,-0.494635,-0.021027,0.12548,2025-03-21T00:19:08Z
11,254.954501,1.273447,7.258967,44.9355,282.364501,0,2.013317,3,-93.177183,14.35973,2025-03-21T00:19:09Z,-0.271073,-0.964757,0.037367,2025-03-21T00:19:09Z,-0.769709,0.141418,-0.147871,2025-03-21T00:19:09Z
12,254.665447,1.276658,7.258963,44.935635,282.075447,0,2.006053,3,-93.177188,14.434352,2025-03-21T00:19:10Z,-0.248859,-0.953894,0.057216,2025-03-21T00:19:10Z,-0.522967,0.246255,-0.104231,2025-03-21T00:19:10Z
13,254.397383,1.272048,7.258965,44.935764,281.807383,0,2.002825,3,-93.177187,14.398385,2025-03-21T00:19:11Z,-0.301423,-0.960395,0.051646,2025-03-21T00:19:11Z,-0.958917,0.162353,-0.073266,2025-03-21T00:19:11Z
14,253.953667,1.332364,8.027196,44.935877,281.363667,0,2.001369,3,-93.177189,13.443667,2025-03-21T00:19:12Z,-0.275697,-0.957152,0.040526,2025-03-21T00:19:12Z,-0.66463,0.190626,-0.094735,2025-03-21T00:19:12Z
15,253.948174,1.278387,7.342918,44.936018,281.358174,0,2.463484,3,-93.177204,14.105202,2025-03-21T00:19:13Z,-0.282633,-0.980437,0.038785,2025-03-21T00:19:13Z,-0.785508,-0.021436,-0.106736,2025-03-21T00:19:13Z
16,253.908163,1.280934,7.462249,44.936144,281.318163,0,2.466756,3,-93.177203,13.908424,2025-03-21T00:19:14Z,-0.263696,-0.932795,0.025501,2025-03-21T00:19:14Z,-0.525799,0.436178,-0.098677,2025-03-21T00:19:14Z
17,253.550876,1.277741,7.553292,44.93627,280.960876,0.115841,2.220272,3,-93.1772,13.703988,2025-03-21T00:19:15Z,-0.279461,-0.970919,0.025298,2025-03-21T00:19:15Z,-0.593839,0.031773,-0.139147,2025-03-21T00:19:15Z
18,253.318051,1.280169,7.634852,44.936392,280.728051,0.115841,2.768723,3,-93.177201,13.583655,2025-03-21T00:19:17Z,-0.248883,-0.961656,0.041353,2025-03-21T00:19:16Z,-0.272454,0.125335,-0.061461,2025-03-21T00:19:16Z
19,253.263799,0.708279,7.258812,44.93651,280.673799,0.115841,2.511765,3,-93.177193,13.289092,2025-03-21T00:19:18Z,-0.214552,-0.974721,0.05652,2025-03-21T00:19:17Z,0.113937,-0.017458,0.091125,2025-03-21T00:19:17Z
20,253.906272,0.739423,7.257728,44.936621,281.316272,0,3.309358,3,-93.177188,12.772093,2025-03-21T00:19:19Z,-0.21469,-0.98076,0.045515,2025-03-21T00:19:18Z,0.081369,-0.06442,0.057834000000000003,2025-03-21T00:19:18Z
21,253.476996,0.681537,7.258973,44.936762,280.886996,0,2.660427,3,-93.177196,14.076503,2025-03-21T00:19:20Z,-0.269608,-0.965581,0.040851,2025-03-21T00:19:19Z,-0.416905,0.070834,-0.039661,2025-03-21T00:19:19Z
22,253.447718,0.682923,7.258968,44.936893,280.857717,0,2.31148,3,-93.177198,14.38261,2025-03-21T00:19:21Z,-0.255659,-0.95117,0.041529,2025-03-21T00:19:20Z,-0.247243,0.214395,-0.011837,2025-03-21T00:19:20Z
23,253.507467,0.680649,7.258973,44.937018,280.917467,0,2.147476,3,-93.177195,14.194406,2025-03-21T00:19:22Z,-0.256741,-0.974446,0.04648,2025-03-21T00:19:21Z,-0.326425,-0.020867,-0.00662,2025-03-21T00:19:21Z
24,253.848992,0.681186,7.258323,44.937143,281.258992,0.129604,2.070091,3,-93.177196,14.000257,2025-03-21T00:19:23Z,-0.243499,-0.962541,0.029018,2025-03-21T00:19:22Z,-0.157134,0.106033,-0.020049,2025-03-21T00:19:22Z
