seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,251.901421,0.430284,13.388469,44.940056,279.311421,115.973284,2.694459,3,-93.177102,5.604791,2025-03-21T00:41:02Z,-0.243386,-0.972161,0.219101,2025-03-21T00:41:01Z,-0.30305,0.043656,1.856239,2025-03-21T00:41:01Z
1,251.929041,0.3674,9.045991,44.940052,279.339041,97.292989,2.668032,3,-93.177025,6.030405,2025-03-21T00:41:03Z,-0.196349,-0.97482,0.097605,2025-03-21T00:41:02Z,0.063023,0.042015,0.672198,2025-03-21T00:41:02Z
2,251.961903,0.349235,7.258083,44.940051,279.371903,90,2.634095,3,-93.176936,6.893057,2025-03-21T00:41:04Z,-0.146272,-0.985522,0.062345,2025-03-21T00:41:03Z,0.5226,-0.068366,0.285973,2025-03-21T00:41:03Z
3,251.991992,0.347944,7.25761,44.940052,279.401992,90.30584,2.587408,3,-93.176837,7.543399,2025-03-21T00:41:05Z,-0.147223,-0.999802,0.058146,2025-03-21T00:41:04Z,0.469169,-0.19005,0.185238,2025-03-21T00:41:04Z
4,252.144035,0.355885,7.257551,44.940053,279.554035,90.30584,2.525451,3,-93.176723,8.744911,2025-03-21T00:41:06Z,-0.140051,-0.996216,0.046388,2025-03-21T00:41:05Z,0.48369,-0.151481,0.11154,2025-03-21T00:41:05Z
5,252.22698,0.343208,7.258431,44.940055,279.636979,90,2.674228,3,-93.176598,9.780139,2025-03-21T00:41:07Z,-0.165581,-0.988656,0.03644,2025-03-21T00:41:06Z,0.212167,-0.070426,0.013637,2025-03-21T00:41:06Z
6,252.433723,0.338623,7.258307,44.940056,279.843723,90,2.415625,3,-93.176465,10.413844,2025-03-21T00:41:08Z,-0.198777,-0.979765,-3.03e-4,2025-03-21T00:41:07Z,-0.176,0.041085000000000003,-0.242264,2025-03-21T00:41:07Z
7,252.431768,0.318822,7.258846,44.940059,279.841768,90,2.41747,3,-93.176332,10.506089,2025-03-21T00:41:09Z,-0.191965,-0.97578,0.009663,2025-03-21T00:41:08Z,-0.112373,0.072181,-0.157542,2025-03-21T00:41:08Z
8,252.63851,0.323691,7.258778,44.940061,280.048509,90,2.23157,3,-93.17619,11.079346,2025-03-21T00:41:10Z,-0.19723,-0.983745,0.01103,2025-03-21T00:41:09Z,-0.1396,-0.018803,-0.177089,2025-03-21T00:41:09Z
9,252.749058,0.329663,7.258561,44.940063,280.159058,90.211685,2.440946,3,-93.176042,11.438856,2025-03-21T00:41:11Z,-0.21132600000000001,-0.974734,-0.01037,2025-03-21T00:41:10Z,-0.301072,0.087277,-0.35365,2025-03-21T00:41:10Z
10,252.8299,0.315034,7.25893,44.940062,280.239899,90.211685,2.237079,3,-93.175895,11.635316,2025-03-21T00:41:11Z,-0.215185,-0.976799,0.009609,2025-03-21T00:41:11Z,-0.320793,0.059907,-0.201527,2025-03-21T00:41:11Z
11,253.191837,0.32003,7.258728,44.940061,280.601837,90.211685,2.12679,3,-93.175748,11.706737,2025-03-21T00:41:12Z,-0.242917,-0.963679,-0.004201,2025-03-21T00:41:12Z,-0.561288,0.184176,-0.291141,2025-03-21T00:41:12Z
12,253.553507,0.326885,7.258059,44.940062,280.963507,90.211685,2.128062,3,-93.175603,11.411259,2025-03-21T00:41:14Z,-0.246521,-0.966923,0.003111,2025-03-21T00:41:13Z,-0.598974,0.153584,-0.226373,2025-03-21T00:41:13Z
13,253.78327,0.31817,7.25864,44.940063,281.193269,90.211685,2.62644,3,-93.17546,11.402438,2025-03-21T00:41:14Z,-0.240113,-0.961297,0.005798,2025-03-21T00:41:14Z,-0.456993,0.187422,-0.185076,2025-03-21T00:41:14Z
14,254.071407,0.328067,7.258332,44.940063,281.481407,90.211685,2.505951,3,-93.175318,11.205397,2025-03-21T00:41:15Z,-0.21582,-0.985043,0.015843,2025-03-21T00:41:15Z,-0.172863,-0.059522,-0.065944,2025-03-21T00:41:15Z
15,254.256525,0.321855,7.258557,44.940062,281.666525,90.211685,2.27376,3,-93.17517,11.680315,2025-03-21T00:41:17Z,-0.210351,-0.971168,0.014664,2025-03-21T00:41:16Z,-0.070193,0.093958,-0.050707,2025-03-21T00:41:16Z
16,254.444301,0.319446,7.258662,44.940062,281.854301,90.292648,3.021257,3,-93.175024,11.498819,2025-03-21T00:41:18Z,-0.244819,-0.966986,0.007479,2025-03-21T00:41:17Z,-0.389704,0.089852,-0.134229,2025-03-21T00:41:17Z
17,254.655216,0.326277,7.258155,44.940062,282.065216,90.292648,2.545156,3,-93.174877,11.393288,2025-03-21T00:41:19Z,-0.26442,-0.953456,0.00963,2025-03-21T00:41:18Z,-0.552835,0.24754,-0.159479,2025-03-21T00:41:18Z
18,254.669615,0.330819,7.257833,44.940063,282.079615,90.292648,2.585547,3,-93.174738,11.013772,2025-03-21T00:41:20Z,-0.286928,-0.963813,-0.009018,2025-03-21T00:41:19Z,-0.73804,0.127015,-0.280779,2025-03-21T00:41:19Z
19,254.81218,0.360584,7.257898,44.940065,282.22218,90.998797,2.319455,3,-93.174609,10.050041,2025-03-21T00:41:21Z,-0.378353,-0.921928,-0.059343,2025-03-21T00:41:20Z,-1.560057,0.532382,-0.675261,2025-03-21T00:41:20Z
20,254.798239,0.3829,7.352041,44.940066,282.208239,91.193475,2.180547,3,-93.174498,8.486362,2025-03-21T00:41:22Z,-0.389263,-0.933695,-0.037899,2025-03-21T00:41:21Z,-1.591462,0.386095,-0.511971,2025-03-21T00:41:21Z
21,255.120421,0.361824,7.896859,44.940063,282.530421,90.769832,2.107025,3,-93.174402,7.137584,2025-03-21T00:41:23Z,-0.403207,-0.924684,-0.029803,2025-03-21T00:41:22Z,-1.638297,0.461168,-0.416568,2025-03-21T00:41:22Z
22,255.199038,0.367093,9.302897,44.940063,282.609038,89.755072,2.068124,3,-93.174332,5.617246,2025-03-21T00:41:24Z,-0.328952,-0.941421,-0.01108,2025-03-21T00:41:23Z,-0.863206,0.290884,-0.207972,2025-03-21T00:41:23Z
23,255.293798,0.303306,7.25459,44.940063,282.703798,90.142532,2.051093,3,-93.174269,5.075758,2025-03-21T00:41:24Z,-0.284938,-0.953783,-0.004731,2025-03-21T00:41:24Z,-0.230401,0.102231,-0.059502,2025-03-21T00:41:24Z
24,255.322183,0.306201,7.258917,44.940063,282.732182,90.142532,2.040874,3,-93.174209,4.705686,2025-03-21T00:41:25Z,-0.292119,-0.956689,0.043785,2025-03-21T00:41:25Z,-0.219256,0.063186,0.366534,2025-03-21T00:41:25Z
25,255.230151,0.307597,7.25897,44.940067,282.640151,90,2.092085,3,-93.17415,4.735606,2025-03-21T00:41:26Z,-0.190405,-0.979248,0.039375,2025-03-21T00:41:26Z,0.799035,-0.173037,0.234374,2025-03-21T00:41:26Z
26,255.369051,0.279766,7.247181,44.940073,282.779051,90,2.07893,3,-93.174079,5.616696,2025-03-21T00:41:27Z,-0.097808,-0.999643,0.045447,2025-03-21T00:41:27Z,1.583066,-0.328553,0.362011,2025-03-21T00:41:27Z
27,255.556431,0.35303,7.887592,44.94008,282.966431,90,2.069064,3,-93.173983,7.316143,2025-03-21T00:41:29Z,-0.097715,-1.004127,0.017127,2025-03-21T00:41:28Z,1.590069,-0.373315,0.136538,2025-03-21T00:41:28Z
