seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.605777,0.666339,11.489411,44.934268,290.015777,222.421563,2.031571,3,-93.167198,4.683905,2025-03-21T00:17:18Z,-0.193427,-0.982065,-0.169571,2025-03-21T00:17:18Z,0.500769,-0.131436,-1.234485,2025-03-21T00:17:18Z
1,262.387313,0.668972,11.539893,44.934259,289.797312,247.848561,2.140598,3,-93.167257,4.680388,2025-03-21T00:17:19Z,-0.172054,-0.996457,-0.039518,2025-03-21T00:17:19Z,0.608291,-0.246014,0.040712,2025-03-21T00:17:19Z
2,262.043009,0.683091,10.702538,44.934265,289.453008,268.068105,2.147134,3,-93.16733,5.143291,2025-03-21T00:17:20Z,-0.117537,-0.992932,0.036264,2025-03-21T00:17:20Z,0.958106,-0.169092,0.739969,2025-03-21T00:17:20Z
3,262.219926,0.679407,8.380794,44.934266,289.629926,270.332489,2.22627,3,-93.167425,6.565436,2025-03-21T00:17:21Z,-0.146538,-0.992979,0.0309,2025-03-21T00:17:21Z,0.650701,-0.165808,0.680391,2025-03-21T00:17:21Z
4,262.700588,0.704035,7.26757,44.934269,290.110588,270.332489,2.190326,3,-93.167532,7.824381,2025-03-21T00:17:22Z,-0.147203,-0.988176,0.032971,2025-03-21T00:17:22Z,0.603457,-0.100489,0.655234,2025-03-21T00:17:22Z
5,262.239241,0.672655,7.25893,44.934272,289.649241,270.332489,2.140729,3,-93.167649,8.76881,2025-03-21T00:17:23Z,-0.168015,-0.991858,0.038993,2025-03-21T00:17:23Z,0.347248,-0.135459,0.69096900000000006,2025-03-21T00:17:23Z
6,262.143207,0.654786,7.258766,44.934274,289.553207,270.332489,2.093869,3,-93.167775,9.510804,2025-03-21T00:17:25Z,-0.203769,-0.978739,0.029501,2025-03-21T00:17:24Z,-0.014926,8.48e-4,0.592855,2025-03-21T00:17:24Z
7,261.964117,0.674809,7.257848,44.934276,289.374117,270.332489,2.15881,3,-93.167913,10.418109,2025-03-21T00:17:26Z,-0.191305,-0.982592,0.030777,2025-03-21T00:17:25Z,0.040352,-0.023401,0.596942,2025-03-21T00:17:25Z
8,261.634814,0.677937,7.255478,44.934278,289.044814,270.332489,2.093177,3,-93.168053,10.873937,2025-03-21T00:17:27Z,-0.2011,-0.980152,0.032508,2025-03-21T00:17:26Z,-0.073747,0.009095,0.55288,2025-03-21T00:17:26Z
9,261.341691,0.654267,7.257593,44.934274,288.751691,270.332489,2.273405,3,-93.168206,11.595787,2025-03-21T00:17:28Z,-0.212768,-0.979181,0.028502,2025-03-21T00:17:27Z,-0.216549,0.020266,0.472263,2025-03-21T00:17:27Z
10,261.779221,0.657193,7.258434,44.934282,289.189221,270.332489,2.294138,3,-93.16837,12.368958,2025-03-21T00:17:29Z,-0.222396,-0.970188,0.023963,2025-03-21T00:17:28Z,-0.33461,0.114996,0.416645,2025-03-21T00:17:28Z
11,261.555327,0.748684,7.258896,44.934284,288.965327,270.313049,2.151119,3,-93.168532,12.753513,2025-03-21T00:17:30Z,-0.236692,-0.968356,0.020753,2025-03-21T00:17:29Z,-0.462562,0.134852,0.363699,2025-03-21T00:17:29Z
12,261.20436,0.683773,7.258079,44.934283,288.614359,270.313049,2.25745,3,-93.168686,12.490211,2025-03-21T00:17:31Z,-0.235083,-0.97613,0.023099,2025-03-21T00:17:30Z,-0.453809,0.05669,0.329098,2025-03-21T00:17:30Z
13,261.299878,0.677205,7.258951,44.934287,288.709877,270.313049,2.131129,3,-93.168849,12.665042,2025-03-21T00:17:32Z,-0.235397,-0.970382,0.017821,2025-03-21T00:17:31Z,-0.43595,0.10719,0.241438,2025-03-21T00:17:31Z
14,260.281754,0.683562,7.253925,44.934283,287.691754,270.313049,2.115789,3,-93.169014,12.900089,2025-03-21T00:17:33Z,-0.238628,-0.967084,0.029795,2025-03-21T00:17:32Z,-0.443741,0.136312,0.289296,2025-03-21T00:17:32Z
15,260.668597,0.663209,7.258571,44.934288,288.078597,270.364532,2.330178,3,-93.169188,13.350106,2025-03-21T00:17:34Z,-0.242486,-0.974341,0.034577,2025-03-21T00:17:33Z,-0.440471,0.060056,0.276792,2025-03-21T00:17:33Z
16,260.670741,0.676765,7.258851,44.934289,288.08074,270.364532,2.243177,3,-93.169357,13.394152,2025-03-21T00:17:35Z,-0.246613,-0.97058,0.033675,2025-03-21T00:17:34Z,-0.443378,0.085519,0.239711,2025-03-21T00:17:34Z
17,260.715835,0.651682,7.258903,44.934292,288.125835,270.364532,2.120118,3,-93.169521,13.120054,2025-03-21T00:17:36Z,-0.236231,-0.968625,0.017762,2025-03-21T00:17:35Z,-0.362861,0.112889,0.13508,2025-03-21T00:17:35Z
18,260.931375,0.650635,7.258872,44.934294,288.341375,270.248413,2.571548,3,-93.169709,14.098002,2025-03-21T00:17:37Z,-0.237177,-0.951804,0.014038,2025-03-21T00:17:36Z,-0.252887,0.246504,0.147373,2025-03-21T00:17:36Z
19,260.767543,0.650459,7.258761,44.934295,288.177543,270.248413,2.27533,3,-93.169879,13.815933,2025-03-21T00:17:38Z,-0.251417,-0.970736,0.015725,2025-03-21T00:17:37Z,-0.360763,0.060951,0.132854,2025-03-21T00:17:37Z
20,260.242709,0.661588,7.256706,44.934296,287.652709,270.248413,2.496487,3,-93.170055,13.81617,2025-03-21T00:17:39Z,-0.265042,-0.963286,0.011617,2025-03-21T00:17:38Z,-0.459522,0.12312,0.091024,2025-03-21T00:17:38Z
21,259.135674,0.66075,7.24627,44.934291,286.545674,270.248413,2.238323,3,-93.17023,13.813183,2025-03-21T00:17:40Z,-0.268824,-0.956107,0.006863,2025-03-21T00:17:39Z,-0.466555,0.186422,0.055554,2025-03-21T00:17:39Z
22,259.134424,0.670654,7.255017,44.934299,286.544424,270.303345,2.112319,3,-93.170418,14.400816,2025-03-21T00:17:41Z,-0.27259,-0.967943,0.008916,2025-03-21T00:17:40Z,-0.479383,0.06385,0.078495,2025-03-21T00:17:40Z
23,259.2835,0.663578,7.25789,44.934299,286.6935,270.303345,2.053795,3,-93.170587,13.838974,2025-03-21T00:17:42Z,-0.262691,-0.963074,0.014382,2025-03-21T00:17:41Z,-0.356587,0.105972,0.097478,2025-03-21T00:17:41Z
24,259.284981,0.660023,7.258678,44.934301,286.694981,270.303345,2.025748,3,-93.17076,13.633428,2025-03-21T00:17:43Z,-0.263396,-0.964069,0.016082,2025-03-21T00:17:42Z,-0.323861,0.089745,0.075103,2025-03-21T00:17:42Z
25,259.942419,0.67918,7.257515,44.934304,287.352419,270.303345,2.749426,3,-93.170939,13.870666,2025-03-21T00:17:44Z,-0.257535,-0.965911,0.014093,2025-03-21T00:17:43Z,-0.261505,0.072927,0.064184,2025-03-21T00:17:43Z
26,259.705788,0.820176,7.258825,44.934308,287.115788,270.303345,4.822327,3.238694,-93.171111,13.780591,2025-03-21T00:17:45Z,-0.253876,-0.960388,0.003197,2025-03-21T00:17:44Z,-0.159083,0.098948,0.083223,2025-03-21T00:17:44Z
27,259.270083,0.686524,7.258586,44.934298,286.680082,270.288544,3.551001,3,-93.171287,13.905816,2025-03-21T00:17:46Z,-0.248881,-0.96792,0.005472,2025-03-21T00:17:45Z,-0.115621,0.04043,0.080545,2025-03-21T00:17:45Z
28,258.699573,0.666593,7.256332,44.934298,286.109573,270.288544,2.748518,3,-93.171458,13.738169,2025-03-21T00:17:47Z,-0.258429,-0.96235,0.014002,2025-03-21T00:17:46Z,-0.1601,0.075383,0.083528,2025-03-21T00:17:46Z
29,258.911808,0.657782,7.258639,44.934295,286.321808,270.288544,2.358555,3,-93.171635,13.838709,2025-03-21T00:17:48Z,-0.253466,-0.967668,0.012624,2025-03-21T00:17:47Z,-0.094746,0.022469,0.119001,2025-03-21T00:17:47Z
30,259.277435,0.650951,7.258701,44.934295,286.687435,270.288544,2.171236,3,-93.171817,14.160671,2025-03-21T00:17:49Z,-0.257502,-0.969439,0.013748,2025-03-21T00:17:48Z,-0.143963,0.006323,0.129761,2025-03-21T00:17:48Z
31,258.846914,0.655651,7.258672,44.934294,286.256914,270.288544,2.093936,3,-93.171996,14.23719,2025-03-21T00:17:50Z,-0.269299,-0.96351,-0.001702,2025-03-21T00:17:49Z,-0.235996,0.064232,-0.116578,2025-03-21T00:17:49Z
32,258.692984,0.655135,7.258551,44.93429,286.102984,270.288544,2.044338,3,-93.172174,14.146604,2025-03-21T00:17:51Z,-0.262189,-0.954721,-0.008977,2025-03-21T00:17:50Z,-0.135564,0.124879,-0.20083,2025-03-21T00:17:50Z
33,257.91812,0.775419,7.255334,44.934283,285.32812,270.310272,2.021186,3,-93.172346,13.817427,2025-03-21T00:17:52Z,-0.260348,-0.971375,0.005896,2025-03-21T00:17:51Z,-0.10488,-0.029351,-0.008858,2025-03-21T00:17:51Z
34,257.596904,0.912357,7.257048,44.934296,285.006904,270.310272,2.03948,3,-93.17253,14.107598,2025-03-21T00:17:53Z,-0.263984,-0.967434,0.006919,2025-03-21T00:17:52Z,-0.165962,0.01908,0.02169,2025-03-21T00:17:52Z
35,256.974443,0.775022,7.257235,44.934285,284.384443,270.310272,2.122863,3,-93.17271,14.156254,2025-03-21T00:17:54Z,-0.272213,-0.954598,0.01776,2025-03-21T00:17:53Z,-0.213249,0.133681,0.051864,2025-03-21T00:17:53Z
36,256.616051,0.696206,7.256437,44.9343,284.026051,270.310272,2.456936,3,-93.17289,14.264782,2025-03-21T00:17:55Z,-0.278751,-0.964959,0.028201,2025-03-21T00:17:54Z,-0.221766,0.014596,0.104565,2025-03-21T00:17:54Z
37,256.572002,0.671051,7.257556,44.9343,283.982002,270.310272,2.453304,3,-93.173061,13.815933,2025-03-21T00:17:56Z,-0.266637,-0.964473,0.043528,2025-03-21T00:17:55Z,-0.090213,0.013479,0.123889,2025-03-21T00:17:55Z
38,256.036388,0.682093,7.255158,44.934297,283.446388,270.310272,2.21652,3,-93.173242,14.116072,2025-03-21T00:17:57Z,-0.280136,-0.973179,0.036387,2025-03-21T00:17:56Z,-0.311601,-0.053116,0.012416,2025-03-21T00:17:56Z
39,256.411525,0.679209,7.258966,44.934296,283.821525,270.310272,2.150973,3,-93.17342,14.019308,2025-03-21T00:17:58Z,-0.281531,-0.953173,0.034061,2025-03-21T00:17:57Z,-0.252305,0.126988,0.039943,2025-03-21T00:17:57Z
40,256.055991,0.659541,7.257493,44.934305,283.465991,270.231781,2.286806,3,-93.1736,14.044188,2025-03-21T00:17:59Z,-0.280676,-0.960217,0.047868,2025-03-21T00:17:58Z,-0.231565,0.055025,0.113127,2025-03-21T00:17:58Z
41,256.37221,0.673775,7.258972,44.9343,283.782209,270.231781,2.171584,3,-93.173765,13.41016,2025-03-21T00:18:00Z,-0.2757,-0.955213,0.027675,2025-03-21T00:17:59Z,-0.160078,0.095859,-0.025442,2025-03-21T00:17:59Z
42,255.792651,0.679483,7.257676,44.934304,283.202651,270.231781,2.565045,3,-93.173941,13.517782,2025-03-21T00:18:01Z,-0.276073,-0.967276,0.015726,2025-03-21T00:18:00Z,-0.143083,-0.023875,-0.143545,2025-03-21T00:18:00Z
43,255.35264,0.687713,7.255814,44.934302,282.76264,270.231781,2.31048,3,-93.174105,13.156426,2025-03-21T00:18:02Z,-0.270602,-0.962798,0.022436,2025-03-21T00:18:01Z,-0.109558,0.022058,-0.073148,2025-03-21T00:18:01Z
44,255.755408,0.853433,7.258958,44.934294,283.165408,270.231781,3.584061,3,-93.174261,12.647737,2025-03-21T00:18:03Z,-0.270449,-0.961417,0.019046,2025-03-21T00:18:02Z,-0.119875,0.04637,-0.059675,2025-03-21T00:18:02Z
45,255.015477,0.690549,7.255483,44.934298,282.425477,270.231781,2.777566,3,-93.174436,13.03193,2025-03-21T00:18:04Z,-0.265853,-0.968501,0.020672,2025-03-21T00:18:03Z,-0.094283,-0.020317,-0.004133,2025-03-21T00:18:03Z
46,255.393362,0.670926,7.258951,44.934296,282.803362,270.231781,2.384566,3,-93.174606,13.222345,2025-03-21T00:18:05Z,-0.25691,-0.968047,0.018568,2025-03-21T00:18:04Z,-0.019375,-0.011557,-0.062881,2025-03-21T00:18:04Z
47,255.320012,0.662807,7.258822,44.934292,282.730011,270.231781,2.213839,3,-93.174761,12.710068,2025-03-21T00:18:05Z,-0.264232,-0.960956,0.023428,2025-03-21T00:18:05Z,-0.053549,0.047213,-0.052214000000000003,2025-03-21T00:18:05Z
48,255.14124,0.661643,7.257627,44.9343,282.55124,270.408173,2.108372,3,-93.174922,12.671395,2025-03-21T00:18:06Z,-0.268564,-0.954306,0.018173,2025-03-21T00:18:06Z,-0.089539,0.102081,0.030794,2025-03-21T00:18:06Z
49,255.611012,0.658307,7.258914,44.934305,283.021012,270,2.054646,3,-93.175083,12.595071,2025-03-21T00:18:07Z,-0.271707,-0.972632,0.008823,2025-03-21T00:18:07Z,-0.154867,-0.049801,0.039337,2025-03-21T00:18:07Z
50,256.10033,0.649624,7.256482,44.934301,283.51033,270,2.122062,3,-93.175231,11.990695,2025-03-21T00:18:08Z,-0.2706,-0.955255,0.01163,2025-03-21T00:18:08Z,-0.104755,0.093587,-0.031897,2025-03-21T00:18:08Z
51,255.960253,0.655669,7.258844,44.934298,283.370253,270,2.063426,3,-93.175389,12.26488,2025-03-21T00:18:09Z,-0.28051,-0.962769,0.021468,2025-03-21T00:18:09Z,-0.160846,0.014134,0.027617,2025-03-21T00:18:09Z
52,256.202855,0.702377,7.258679,44.934301,283.612855,270.199402,2.033182,3,-93.175539,12.103658,2025-03-21T00:18:10Z,-0.328155,-0.944771,0.006163,2025-03-21T00:18:10Z,-0.622759,0.194687,-0.110849,2025-03-21T00:18:10Z
53,256.129411,0.668258,7.258974,44.934298,283.53941,270.199402,2.01743,3,-93.175688,11.880653,2025-03-21T00:18:11Z,-0.355508,-0.940458,-0.005341,2025-03-21T00:18:11Z,-0.845289,0.219618,-0.203699,2025-03-21T00:18:11Z
54,255.228543,0.727351,7.24917,44.934306,282.638543,270.199402,2.009532,3,-93.175801,10.048306,2025-03-21T00:18:12Z,-0.361892,-0.942527,-0.013357,2025-03-21T00:18:12Z,-0.877998,0.191253,-0.23688,2025-03-21T00:18:12Z
55,255.942686,0.726603,7.258686,44.934306,283.352686,270.199402,2.077869,3,-93.175926,9.442106,2025-03-21T00:18:13Z,-0.368879,-0.938102,-0.016992,2025-03-21T00:18:13Z,-0.914535,0.228111,-0.246819,2025-03-21T00:18:13Z
56,256.033433,0.67085,7.257344,44.934292,283.443432,270.199402,2.488649,3,-93.176038,8.918683,2025-03-21T00:18:14Z,-0.37252,-0.934032,-0.006511,2025-03-21T00:18:14Z,-0.926152,0.260069,-0.203613,2025-03-21T00:18:14Z
57,255.696196,0.663177,7.257112,44.934294,283.106196,270.199402,2.540736,3,-93.176131,7.815438,2025-03-21T00:18:15Z,-0.378259,-0.934428,-0.00141,2025-03-21T00:18:15Z,-0.899064,0.229376,-0.17311000000000001,2025-03-21T00:18:15Z
58,255.592336,0.663475,8.623239,44.934297,283.002336,270.358215,2.383072,3,-93.1762,6.211866,2025-03-21T00:18:16Z,-0.385282,-0.938608,-0.003632,2025-03-21T00:18:16Z,-0.909553,0.168393,-0.206416,2025-03-21T00:18:16Z
59,255.515245,0.6618,10.470382,44.934297,282.925245,270.358215,2.384125,3,-93.176261,5.080685,2025-03-21T00:18:17Z,-0.411289,-0.923087,-0.005985,2025-03-21T00:18:17Z,-1.15315,0.322952,-0.265387,2025-03-21T00:18:17Z
60,255.595454,0.663318,13.555577,44.934299,283.005454,270.358215,2.3073,3,-93.176309,3.964888,2025-03-21T00:18:18Z,-0.374709,-0.934054,-0.007134,2025-03-21T00:18:18Z,-0.787086,0.21077,-0.204077,2025-03-21T00:18:18Z
61,255.712264,0.6814,24.553128,44.934301,283.122264,270.358215,2.256083,3,-93.176328,2.210745,2025-03-21T00:18:19Z,-0.316128,-0.95238,0.007844,2025-03-21T00:18:19Z,-0.194908,0.027082,-0.020254,2025-03-21T00:18:19Z
62,255.281513,0.777416,46.619427,44.9343,282.691513,270.358215,2.355047,3,-93.176337,1.072893,2025-03-21T00:18:20Z,-0.308815,-0.9525,0.003678,2025-03-21T00:18:20Z,-0.095183,0.0166,-0.028786,2025-03-21T00:18:20Z
63,255.340356,0.741916,76.201429,44.934303,282.750356,270.358215,2.310666,3,-93.176345,0.663627,2025-03-21T00:18:21Z,-0.28458,-0.95877,0.011349,2025-03-21T00:18:21Z,0.153714,-0.049283,0.052741,2025-03-21T00:18:21Z
64,255.417377,0.875055,180,44.934306,282.827377,270.358215,2.285794,3,-93.176345,0.281476,2025-03-21T00:18:22Z,-0.255503,-0.966385,0.017713,2025-03-21T00:18:22Z,0.40733,-0.113051,0.112386,2025-03-21T00:18:22Z
65,255.663896,0.91958,180,44.934306,283.073896,270.358215,2.437419,3,-93.176344,0.074765,2025-03-21T00:18:23Z,-0.255561,-0.966099,0.018152,2025-03-21T00:18:23Z,0.360623,-0.096599,0.103069,2025-03-21T00:18:23Z
66,255.760848,0.936115,180,44.934306,283.170848,270.358215,2.634057,3,-93.176345,0.059,2025-03-21T00:18:24Z,-0.256674,-0.966013,0.017655,2025-03-21T00:18:24Z,0.345951,-0.093756,0.097849,2025-03-21T00:18:24Z
67,255.825088,0.911458,180,44.934309,283.235088,270.358215,2.71909,3,-93.176344,0.070451,2025-03-21T00:18:25Z,-0.244756,-0.96866,0.021402,2025-03-21T00:18:25Z,0.48203,-0.127636,0.139492,2025-03-21T00:18:25Z
68,255.818477,0.91891,180,44.934308,283.228477,270.358215,2.686446,3,-93.176345,0.051998,2025-03-21T00:18:26Z,-0.21218,-0.977146,0.029156,2025-03-21T00:18:26Z,0.776373,-0.200001,0.20785,2025-03-21T00:18:26Z
69,255.908247,0.908509,180,44.934309,283.318247,270.358215,2.750884,3,-93.176351,0.330324,2025-03-21T00:18:27Z,-0.20888,-0.977701,0.029165,2025-03-21T00:18:27Z,0.781157,-0.199471,0.2086,2025-03-21T00:18:27Z
70,255.974671,0.669656,89.343047,44.934311,283.384671,270.358215,2.700825,3,-93.176358,0.600887,2025-03-21T00:18:28Z,-0.218634,-0.975272,0.026393,2025-03-21T00:18:28Z,0.635859,-0.161031,0.167447,2025-03-21T00:18:28Z
71,256.107977,0.687512,42.411964,44.934309,283.517977,270.358215,2.721807,3,-93.17638,1.258538,2025-03-21T00:18:29Z,-0.228827,-0.972954,0.023841,2025-03-21T00:18:29Z,0.482819,-0.122252,0.129996,2025-03-21T00:18:29Z
72,255.969279,0.800293,42.054954,44.93431,283.379279,270.358215,2.722441,3,-93.176401,1.534777,2025-03-21T00:18:30Z,-0.23246,-0.97101,0.022545,2025-03-21T00:18:30Z,0.400051,-0.089822,0.105035,2025-03-21T00:18:30Z
