seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,255.126004,0.670639,13.953174,44.934284,282.536004,152.882453,2.513962,3,-93.17718,3.878309,2025-03-21T00:07:08Z,-0.261188,-0.952112,0.243371,2025-03-21T00:07:07Z,0.343003,0.018712,1.973768,2025-03-21T00:07:07Z
1,255.263474,0.643584,11.57819,44.93426,282.673474,128.784237,2.462566,3,-93.177123,4.503513,2025-03-21T00:07:09Z,-0.242558,-0.967298,0.283538,2025-03-21T00:07:08Z,0.280353,-0.088768,1.922155,2025-03-21T00:07:08Z
2,255.099958,0.655606,9.290953,44.934255,282.509958,101.352305,2.420515,3,-93.177038,5.715369,2025-03-21T00:07:10Z,-0.165561,-0.987019,0.083607,2025-03-21T00:07:09Z,0.876936,-0.229048,0.024102,2025-03-21T00:07:09Z
3,254.946109,0.661925,8.06808,44.934261,282.356108,90.404189,2.384978,3,-93.176949,6.640375,2025-03-21T00:07:11Z,-0.147169,-0.994709,0.03711,2025-03-21T00:07:10Z,0.940892,-0.271383,-0.373925,2025-03-21T00:07:10Z
4,255.300431,0.687647,7.252226,44.934265,282.710431,89.137211,2.3579,3,-93.176836,8.104107,2025-03-21T00:07:12Z,-0.159064,-0.991113,0.038434,2025-03-21T00:07:11Z,0.828936,-0.236094,-0.346472,2025-03-21T00:07:11Z
5,255.228596,0.65254,7.258676,44.934264,282.638596,89.957147,2.26797,3,-93.176718,9.077036,2025-03-21T00:07:13Z,-0.174981,-0.985415,0.040866,2025-03-21T00:07:12Z,0.631121,-0.169281,-0.31385,2025-03-21T00:07:12Z
6,255.249313,0.657724,7.258957,44.934263,282.659312,90.233491,2.176453,3,-93.176589,9.896374,2025-03-21T00:07:14Z,-0.209692,-0.97632,0.028931,2025-03-21T00:07:13Z,0.258181,-0.070842,-0.417938,2025-03-21T00:07:13Z
7,255.011476,0.649662,7.258013,44.934262,282.421476,90.706465,2.290594,3,-93.176457,10.241175,2025-03-21T00:07:15Z,-0.205973,-0.982135,0.029964,2025-03-21T00:07:14Z,0.269273,-0.118217,-0.36664,2025-03-21T00:07:14Z
8,255.397753,0.666111,7.258456,44.934262,282.807753,90.358223,2.169247,3,-93.176311,11.03602,2025-03-21T00:07:16Z,-0.225412,-0.973,0.02289,2025-03-21T00:07:15Z,0.037197,-0.020707,-0.457695,2025-03-21T00:07:15Z
9,255.622173,0.666961,7.258386,44.934268,283.032172,90.358223,2.28166,3,-93.176161,11.618905,2025-03-21T00:07:17Z,-0.234946,-0.96712,0.018821,2025-03-21T00:07:16Z,-0.079189,0.042143,-0.477649,2025-03-21T00:07:16Z
10,256.090925,0.691145,7.257662,44.934266,283.500925,90.358223,2.148286,3,-93.176005,11.984428,2025-03-21T00:07:18Z,-0.239239,-0.972708,0.007827,2025-03-21T00:07:17Z,-0.154399,0.002468,-0.505127,2025-03-21T00:07:17Z
11,256.036383,0.658764,7.258861,44.934264,283.446383,90.199409,2.078821,3,-93.17586,11.778386,2025-03-21T00:07:19Z,-0.241256,-0.969105,0.014256,2025-03-21T00:07:18Z,-0.219729,0.05073,-0.395999,2025-03-21T00:07:18Z
12,256.438898,0.693701,7.256696,44.934262,283.848898,90.199409,2.238103,3,-93.175706,12.029008,2025-03-21T00:07:20Z,-0.240487,-0.968683,0.012831,2025-03-21T00:07:19Z,-0.229565,0.060927,-0.36446,2025-03-21T00:07:19Z
13,255.168214,0.685953,7.252999,44.934264,282.578214,90.199409,3.037216,3,-93.175564,11.579745,2025-03-21T00:07:21Z,-0.25866,-0.964508,0.003508,2025-03-21T00:07:20Z,-0.398957,0.103173,-0.399152,2025-03-21T00:07:20Z
14,255.88413,0.673814,7.258954,44.934268,283.29413,90.199409,2.876057,3,-93.175395,12.396866,2025-03-21T00:07:22Z,-0.264057,-0.964636,0.017479,2025-03-21T00:07:21Z,-0.44513200000000003,0.098722,-0.259677,2025-03-21T00:07:21Z
15,255.155088,0.661719,7.254248,44.934265,282.565088,90.199409,2.6079310000000002,3,-93.175254,11.703653,2025-03-21T00:07:23Z,-0.255295,-0.957124,0.016925,2025-03-21T00:07:22Z,-0.325925,0.166281,-0.21211,2025-03-21T00:07:22Z
16,255.255185,0.68258,7.257692,44.934265,282.665185,90,2.319108,3,-93.175098,11.999814,2025-03-21T00:07:24Z,-0.259016,-0.976793,-0.013017,2025-03-21T00:07:23Z,-0.372331,-0.018083,-0.438739,2025-03-21T00:07:23Z
17,255.957182,0.65938,7.257782,44.934268,283.367182,90.408157,2.164415,3,-93.174937,12.400325,2025-03-21T00:07:25Z,-0.237245,-0.957986,-0.021479,2025-03-21T00:07:24Z,-0.148343,0.158971,-0.536382,2025-03-21T00:07:24Z
18,256.03464,0.674966,7.258534,44.934267,283.444639,90.408157,2.08539,3,-93.174787,12.105455,2025-03-21T00:07:26Z,-0.246921,-0.962213,0.002157,2025-03-21T00:07:25Z,-0.175872,0.109419,-0.251361,2025-03-21T00:07:25Z
19,255.859974,0.663279,7.258894,44.934263,283.269974,90.408157,2.044506,3,-93.174633,12.115378,2025-03-21T00:07:27Z,-0.255197,-0.977958,0.035859,2025-03-21T00:07:26Z,-0.196396,-0.070281,-0.065306,2025-03-21T00:07:26Z
20,256.024455,0.675237,7.258955,44.934262,283.434455,90.231781,2.023108,3,-93.174477,12.284236,2025-03-21T00:07:28Z,-0.247314,-0.970542,0.038481,2025-03-21T00:07:27Z,-0.17168,0.018238,-0.083799,2025-03-21T00:07:27Z
21,256.342819,0.650281,7.258192,44.934261,283.752819,90.231781,2.011856,3,-93.174315000000007,12.568039,2025-03-21T00:07:29Z,-0.233406,-0.975284,0.026316,2025-03-21T00:07:28Z,-0.040058,-0.027321,-0.126542,2025-03-21T00:07:28Z
22,256.203718,0.676265,7.25896,44.934262,283.613718,90.231781,2.006058,3,-93.174156,12.562123,2025-03-21T00:07:30Z,-0.226585,-0.970347,0.020049,2025-03-21T00:07:29Z,0.021039,0.024751,-0.105744,2025-03-21T00:07:29Z
23,256.460345,0.686138,7.258856,44.934265,283.870345,90.231781,2.034661,3,-93.173989,12.887754,2025-03-21T00:07:31Z,-0.239691,-0.97373,0.011561,2025-03-21T00:07:30Z,-0.116963,-0.006854,-0.165292,2025-03-21T00:07:30Z
24,256.927868,0.670446,7.257346,44.934265,284.337868,90.231781,2.337689,3,-93.173821,13.17564,2025-03-21T00:07:32Z,-0.239269,-0.960825,0.014771,2025-03-21T00:07:31Z,-0.079524,0.110485,-0.157388,2025-03-21T00:07:31Z
25,256.553927,0.665805,7.258972,44.934258,283.963927,90.231781,2.169108,3,-93.173659,12.98739,2025-03-21T00:07:33Z,-0.259147,-0.965529,0.006958,2025-03-21T00:07:32Z,-0.273386,0.075771,-0.216132,2025-03-21T00:07:32Z
26,256.519063,0.667484,7.258974,44.934262,283.929063,90.231781,2.265103,3,-93.173493,13.013067,2025-03-21T00:07:34Z,-0.236737,-0.961472,0.017146,2025-03-21T00:07:33Z,-0.032263,0.091289,-0.174457,2025-03-21T00:07:33Z
27,256.459514,0.68183,7.258973,44.93426,283.869513,90.231781,2.456827,3,-93.173327,13.11087,2025-03-21T00:07:35Z,-0.261554,-0.980244,0.026429,2025-03-21T00:07:34Z,-0.23537,-0.079889,-0.005973,2025-03-21T00:07:34Z
28,256.449022,0.682458,7.258857,44.93426,283.859022,90.31028,2.226571,3,-93.173158,13.245052,2025-03-21T00:07:36Z,-0.239303,-0.972596,0.028199,2025-03-21T00:07:35Z,-0.074484,-0.004098,0.010565,2025-03-21T00:07:35Z
29,257.299378,0.656725,7.255831,44.934267,284.709378,90.31028,2.110086,3,-93.172979,13.778539,2025-03-21T00:07:37Z,-0.23997,-0.97516099999999994,0.013582,2025-03-21T00:07:36Z,-0.098494,-0.021905,-0.16996,2025-03-21T00:07:36Z
30,257.994548,0.667773,7.252861,44.93426,285.404548,90.31028,2.053346,3,-93.172807,13.757755,2025-03-21T00:07:38Z,-0.234746,-0.963867,0.027864,2025-03-21T00:07:37Z,5.52e-4,0.070717,-0.077611,2025-03-21T00:07:37Z
31,257.998176,0.67859100000000006,7.257438,44.934259,285.408176,90.31028,2.026083,3,-93.172641,13.41625,2025-03-21T00:07:39Z,-0.239184,-0.969703,0.033232,2025-03-21T00:07:38Z,-0.056785,0.022747,0.010818,2025-03-21T00:07:38Z
32,257.84763,0.660168,7.258862,44.934261,285.25763,90.31028,2.012711,3,-93.172466,13.611229,2025-03-21T00:07:40Z,-0.241628,-0.980197,0.026322,2025-03-21T00:07:39Z,-0.118807,-0.071018,-0.038169,2025-03-21T00:07:39Z
33,258.129584,0.656318,7.258291,44.934261,285.539584,90.31028,2.006107,3,-93.172289,13.800478,2025-03-21T00:07:41Z,-0.240316,-0.959761,0.018417,2025-03-21T00:07:40Z,-0.086979,0.122069,-0.072654,2025-03-21T00:07:40Z
34,258.094249,0.804446,7.258972,44.934249,285.504249,90.31028,2.002928,3,-93.172113,13.840302,2025-03-21T00:07:42Z,-0.242004,-0.963805,0.016644,2025-03-21T00:07:41Z,-0.068385,0.077622,-0.11357,2025-03-21T00:07:41Z
35,257.990514,0.692188,7.25882,44.934259,285.400514,90.288551,2.001424,3,-93.171946,13.493146,2025-03-21T00:07:43Z,-0.250522,-0.976491,0.02629,2025-03-21T00:07:42Z,-0.136818,-0.05485,-0.081061,2025-03-21T00:07:42Z
36,258.506717,0.684189,7.258681,44.93426,285.916716,90.288551,2.454588,3,-93.171765,13.79219,2025-03-21T00:07:44Z,-0.237048,-0.973716,0.031654,2025-03-21T00:07:43Z,-0.030214,-0.021855,-0.037998,2025-03-21T00:07:43Z
37,258.736699,0.673975,7.258419,44.934257,286.146699,90.288551,2.218292,3,-93.171588,13.904054,2025-03-21T00:07:45Z,-0.23525,-0.958908,0.040586,2025-03-21T00:07:44Z,6.17e-4,0.120893,0.028253,2025-03-21T00:07:44Z
38,258.899726,0.667317,7.258596,44.934258,286.309726,90.288551,2.104653,3,-93.171412,13.958068,2025-03-21T00:07:46Z,-0.234886,-0.973749,0.031967,2025-03-21T00:07:45Z,-6.74e-4,-0.02218,-0.002873,2025-03-21T00:07:45Z
39,258.619191,0.661475,7.258925,44.934256,286.029191,90.288551,2.524536,3,-93.171235,14.036552,2025-03-21T00:07:47Z,-0.247683,-0.964118,0.028731,2025-03-21T00:07:46Z,-0.078601,0.058723,-0.105525,2025-03-21T00:07:46Z
40,259.748348,0.657248,7.254425,44.934259,287.158347,90.288551,2.248418,3,-93.171054,14.133001,2025-03-21T00:07:48Z,-0.249302,-0.961622,0.035829,2025-03-21T00:07:47Z,-0.079849,0.075501,-0.066523,2025-03-21T00:07:47Z
41,258.856969,0.668562,7.258005,44.934256,286.266969,90.303337,2.118471,3,-93.170882,13.881777,2025-03-21T00:07:49Z,-0.247275,-0.970545,0.030729,2025-03-21T00:07:48Z,-0.048796,-0.007541,-0.050525,2025-03-21T00:07:48Z
42,258.891633,0.661245,7.257845,44.934258,286.301633,90.303337,2.056251,3,-93.170703,13.886236,2025-03-21T00:07:50Z,-0.233212,-0.969238,0.035452,2025-03-21T00:07:49Z,0.07686,0.007688,0.018976,2025-03-21T00:07:49Z
43,260.205359,0.651403,7.254889,44.934256,287.615359,90.303337,2.026303,3,-93.170514,14.402936,2025-03-21T00:07:51Z,-0.253243,-0.969308,0.025847,2025-03-21T00:07:50Z,-0.11972,0.00645,-0.037045,2025-03-21T00:07:50Z
44,260.313979,0.663447,7.257317,44.934255,287.723978,90.303337,2.012268,3,-93.17033,14.46273,2025-03-21T00:07:52Z,-0.263664,-0.962292,0.024579,2025-03-21T00:07:51Z,-0.232787,0.08322,-0.049082,2025-03-21T00:07:51Z
45,260.520491,0.654256,7.257945,44.934255,287.930491,90.248405,2.005752,3,-93.170152,14.248831,2025-03-21T00:07:53Z,-0.262777,-0.963016,0.024866,2025-03-21T00:07:52Z,-0.198319,0.060845,-0.04302,2025-03-21T00:07:52Z
46,260.790686,0.646105,7.258022,44.934254,288.200686,90.248405,2.002696,3,-93.169972,14.160263,2025-03-21T00:07:54Z,-0.283922,-0.958124,0.017371,2025-03-21T00:07:53Z,-0.397204,0.112272,-0.084543,2025-03-21T00:07:53Z
