seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.793853,0.662698,7.685838,44.934343,290.203852,46.713003,2.016669,3,-93.166997,6.983446,2025-03-21T00:08:16Z,-0.327064,-0.942971,0.246837,2025-03-21T00:08:16Z,-0.541323,0.154943,1.650312,2025-03-21T00:08:16Z
1,262.937491,0.678601,8.141597,44.934407,290.347491,23.341748,2.01181,3,-93.166975,6.745614,2025-03-21T00:08:17Z,-0.180906,-0.982265,0.133984,2025-03-21T00:08:17Z,0.675214,-0.161623,0.614571,2025-03-21T00:08:17Z
2,262.195653,0.711023,8.046405,44.934475,289.605653,5.531293,2.008522,3,-93.16698,7.140497,2025-03-21T00:08:18Z,-0.163375,-0.991745,0.04674,2025-03-21T00:08:18Z,0.751906,-0.227019,-0.154725,2025-03-21T00:08:18Z
3,262.688867,0.686307,7.258905,44.934553,290.098866,0.150169,2.006274,3,-93.166991,8.263071,2025-03-21T00:08:19Z,-0.180512,-0.991797,0.022588,2025-03-21T00:08:19Z,0.544842,-0.220263,-0.417154,2025-03-21T00:08:19Z
4,262.733559,0.668327,7.258705,44.934642,290.143559,359.502319,2.004301,3,-93.166989,9.346515,2025-03-21T00:08:20Z,-0.188465,-0.981832,0.027823,2025-03-21T00:08:20Z,0.457225,-0.118205,-0.443963,2025-03-21T00:08:20Z
5,262.738503,0.663299,7.258961,44.934736,290.148503,359.502319,2.257862,3,-93.166989,10.073346,2025-03-21T00:08:21Z,-0.189296,-0.98351,0.046461,2025-03-21T00:08:21Z,0.426793,-0.147088,-0.345885,2025-03-21T00:08:21Z
6,262.842785,0.678799,7.258368,44.934835,290.252784,0,2.154127,3,-93.16699,10.726144,2025-03-21T00:08:22Z,-0.188472,-0.983711,0.047037,2025-03-21T00:08:22Z,0.403713,-0.13671,-0.36607,2025-03-21T00:08:22Z
7,262.538751,0.669893,7.258287,44.934943,289.94875,0,3.20251,3,-93.166986,11.60141,2025-03-21T00:08:23Z,-0.195625,-0.984841,0.03948,2025-03-21T00:08:23Z,0.325186,-0.144859,-0.437472,2025-03-21T00:08:23Z
8,262.846376,0.656364,7.258964,44.935048,290.256376,0,2.675276,3,-93.16699,11.776129,2025-03-21T00:08:24Z,-0.194628,-0.971518,0.036785,2025-03-21T00:08:24Z,0.278527,-0.001233,-0.433489,2025-03-21T00:08:24Z
9,262.54736,0.795354,7.258892,44.935148,289.95736,0,2.46304,3,-93.166989,11.477828,2025-03-21T00:08:25Z,-0.2008,-0.983428,0.035698,2025-03-21T00:08:25Z,0.258079,-0.131656,-0.459807,2025-03-21T00:08:25Z
10,262.441625,0.732379,7.258852,44.935278,289.851625,0,3.421869,3,-93.166947,12.982801,2025-03-21T00:08:26Z,-0.207452,-0.983048,0.055988,2025-03-21T00:08:26Z,0.090153,-0.106516,-0.378163,2025-03-21T00:08:26Z
11,263.515015,1.740249,9.686476,44.935426,290.925015,0,2.825656,3,-93.16699,14.543385,2025-03-21T00:08:27Z,-0.209741,-0.977594,0.044036,2025-03-21T00:08:27Z,0.060143,-0.047667,-0.423896,2025-03-21T00:08:27Z
12,263.606704,1.709602,9.689943,44.935552,291.016704,0,2.915502,3,-93.166989,14.292284,2025-03-21T00:08:28Z,-0.218617,-0.968598,0.052766,2025-03-21T00:08:28Z,-0.027786,0.041486,-0.328702,2025-03-21T00:08:28Z
13,263.575104,1.711434,9.367413,44.935688,290.985104,0,3.248982,3,-93.166989,14.803882,2025-03-21T00:08:29Z,-0.21702,-0.979587,0.043633,2025-03-21T00:08:29Z,-0.043045,-0.060954,-0.394333,2025-03-21T00:08:29Z
14,263.712463,1.709273,9.030311,44.935828,291.122463,0.230498,2.778161,3,-93.16699,15.337178,2025-03-21T00:08:30Z,-0.230866,-0.971801,0.032792,2025-03-21T00:08:30Z,-0.216128,0.036,-0.347737,2025-03-21T00:08:30Z
15,263.801435,1.689351,8.70987,44.935971,291.211435,0.230498,2.344471,3,-93.166992,15.715941,2025-03-21T00:08:31Z,-0.220705,-0.966425,0.026707,2025-03-21T00:08:31Z,-0.146829,0.098585,-0.328385,2025-03-21T00:08:31Z
16,263.82116,1.675276,8.462731,44.936117,291.23116,0.230498,3.484812,3,-93.166991,16.040284,2025-03-21T00:08:32Z,-0.241004,-0.979811,1.07e-4,2025-03-21T00:08:32Z,-0.333038,-0.029145,-0.497954,2025-03-21T00:08:32Z
17,264.086778,1.711438,8.6044,44.936261,291.496777,359.878601,3.266617,3,-93.166996,16.116708,2025-03-21T00:08:33Z,-0.233298,-0.972628,0.00981,2025-03-21T00:08:33Z,-0.268083,0.039983,-0.442587,2025-03-21T00:08:33Z
18,264.279071,1.656607,8.217925,44.936409,291.689071,359.878601,2.538472,3,-93.166997,16.332905,2025-03-21T00:08:34Z,-0.222352,-0.964252,0.025886,2025-03-21T00:08:34Z,-0.129193,0.120095,-0.316627,2025-03-21T00:08:34Z
19,264.56849,1.669451,8.162102,44.936559,291.97849,359.878601,2.225073,3,-93.166994,16.571461,2025-03-21T00:08:35Z,-0.235674,-0.975712,0.038092,2025-03-21T00:08:35Z,-0.224196,-0.009043,-0.218626,2025-03-21T00:08:35Z
20,264.679522,1.663795,7.999377,44.936711,292.089522,0.133631,2.1518640000000002,3,-93.166993,16.851099,2025-03-21T00:08:37Z,-0.234129,-0.977925,0.032598,2025-03-21T00:08:36Z,-0.220039,-0.015127,-0.201871,2025-03-21T00:08:36Z
21,264.876526,1.659214,7.839028,44.936865,292.286526,0.133631,2.061969,3,-93.166993,17.148104,2025-03-21T00:08:38Z,-0.240169,-0.96792,0.008803,2025-03-21T00:08:37Z,-0.317777,0.08749,-0.308696,2025-03-21T00:08:37Z
22,265.118214,1.656815,7.757143,44.93702,292.528214,0.679104,2.240168,3,-93.166995,17.301872,2025-03-21T00:08:39Z,-0.260103,-0.969402,0.021628,2025-03-21T00:08:38Z,-0.421238,0.051879,-0.26607,2025-03-21T00:08:38Z
23,265.224682,1.656689,7.772433,44.937174,292.634682,359.884857,2.095668,3,-93.166994,17.268746,2025-03-21T00:08:40Z,-0.250638,-0.964111,0.038273,2025-03-21T00:08:39Z,-0.308545,0.103237,-0.201406,2025-03-21T00:08:39Z
24,265.32893,1.667814,8.060791,44.937318,292.73893,359.884857,2.039904,3,-93.166996,16.761467,2025-03-21T00:08:41Z,-0.270796,-0.96169,0.039059,2025-03-21T00:08:40Z,-0.485766,0.115275,-0.162045,2025-03-21T00:08:40Z
25,265.488355,1.669078,8.053489,44.937472,292.898355,359.884857,2.016082,3,-93.166998,16.788617,2025-03-21T00:08:42Z,-0.291283,-0.955653,0.020671,2025-03-21T00:08:41Z,-0.642332,0.168625,-0.314364,2025-03-21T00:08:41Z
26,265.815412,1.655755,8.018802,44.937627,293.225412,0.565792,2.359819,3,-93.167002,16.726953,2025-03-21T00:08:43Z,-0.297176,-0.952547,0.005313,2025-03-21T00:08:42Z,-0.658843,0.195105,-0.367378,2025-03-21T00:08:42Z
