seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,261.149489,0.309649,11.498668,44.941678,288.559489,222.099473,2.228677,3,-93.167154,3.923692,2025-03-21T00:31:06Z,-0.216617,-0.961927,-0.201995,2025-03-21T00:31:05Z,0.27736,0.070295,-1.781019,2025-03-21T00:31:05Z
1,260.843392,0.271431,8.765923,44.941667,288.253392,250.471032,2.196009,3,-93.167214,4.50787,2025-03-21T00:31:07Z,-0.140876,-0.981302,-0.08989,2025-03-21T00:31:06Z,1.201634,-0.175402,-0.466163,2025-03-21T00:31:06Z
2,260.424907,0.254381,7.292757,44.94167,287.834907,268.972403,2.199123,3,-93.167292,5.85802,2025-03-21T00:31:08Z,-0.190319,-0.976491,0.010908,2025-03-21T00:31:07Z,0.699766,-0.115334,0.488138,2025-03-21T00:31:07Z
3,260.076253,0.113791,7.563125,44.94167,287.486253,271.260025,2.176954,3,-93.167383,7.073837,2025-03-21T00:31:09Z,-0.200354,-0.985231,-0.011267,2025-03-21T00:31:08Z,0.547633,-0.195722,0.374769,2025-03-21T00:31:08Z
4,259.645137,0.212025,7.251635,44.941672,287.055136,271.298631,2.150892,3,-93.167481,7.803348,2025-03-21T00:31:10Z,-0.201427,-0.989208,-0.00407,2025-03-21T00:31:09Z,0.338405,-0.178555,0.365842,2025-03-21T00:31:09Z
5,259.298016,0.22213,7.254401,44.941672,286.708016,271.704993,2.345074,3,-93.167596,8.724516,2025-03-21T00:31:11Z,-0.221977,-0.970846,0.017715,2025-03-21T00:31:10Z,0.056292,0.026038,0.491849,2025-03-21T00:31:10Z
6,258.904484,0.170652,7.251809,44.941673,286.314484,271.37563,2.904028,3,-93.16772,9.472687,2025-03-21T00:31:12Z,-0.237544,-0.958031,0.008447,2025-03-21T00:31:11Z,-0.122139,0.142764,0.438193,2025-03-21T00:31:11Z
7,258.486115,0.125766,7.250277,44.941673,285.896115,270.998366,2.624335,3,-93.167851,10.197533,2025-03-21T00:31:13Z,-0.263483,-0.979337,-0.029059,2025-03-21T00:31:12Z,-0.426094,-0.04602,0.162962,2025-03-21T00:31:12Z
8,258.117694,0.21874,7.250038,44.94167,285.527694,270.834372,2.373178,3,-93.167983,10.120946,2025-03-21T00:31:14Z,-0.258202,-0.95702,-0.045975,2025-03-21T00:31:13Z,-0.400439,0.17943,0.095612,2025-03-21T00:31:13Z
9,257.824705,0.233784,7.249488,44.941668,285.234705,271.199852,2.371145,3,-93.168119,10.375352,2025-03-21T00:31:15Z,-0.290026,-0.966157,-0.041308,2025-03-21T00:31:14Z,-0.730126,0.082141,0.072313,2025-03-21T00:31:14Z
10,257.540979,0.261652,7.252117,44.941668,284.950979,271.504373,2.206742,3,-93.168252,10.210001,2025-03-21T00:31:16Z,-0.293961,-0.939971,-0.036276,2025-03-21T00:31:15Z,-0.687047,0.333598,0.083941,2025-03-21T00:31:15Z
11,257.248442,0.267003,7.249987,44.941667,284.658442,271.392644,2.115456,3,-93.168386,10.297534,2025-03-21T00:31:17Z,-0.3596,-0.932875,-0.053192,2025-03-21T00:31:16Z,-1.28499,0.386115,-0.086371,2025-03-21T00:31:16Z
12,256.969454,0.257102,7.250984,44.941666,284.379454,270.977291,2.239168,3,-93.168509,9.65069,2025-03-21T00:31:18Z,-0.363259,-0.942692,-0.066345,2025-03-21T00:31:17Z,-1.30536,0.286059,-0.135261,2025-03-21T00:31:17Z
13,256.766196,0.229827,7.256014,44.941665,284.176196,270.3247,2.139504,3,-93.168617,8.683769,2025-03-21T00:31:19Z,-0.397671,-0.919216,-0.072296,2025-03-21T00:31:18Z,-1.506379,0.484886,-0.24886,2025-03-21T00:31:18Z
14,256.481841,0.133806,7.526291,44.941665,283.891841,270.18685,2.083933,3,-93.16871,7.280017,2025-03-21T00:31:20Z,-0.372996,-0.940914,-0.090979,2025-03-21T00:31:19Z,-1.270019,0.264542,-0.29676,2025-03-21T00:31:19Z
15,256.49859,0.253085,7.256999,44.941668,283.90859,270.781629,2.193347,3,-93.168798,6.587078,2025-03-21T00:31:21Z,-0.428312,-0.911124,-0.081269,2025-03-21T00:31:20Z,-1.610549,0.500641,-0.216575,2025-03-21T00:31:20Z
16,256.197971,0.232642,10.146267,44.94167,283.607971,270.714765,2.18722,3,-93.168858,4.860546,2025-03-21T00:31:22Z,-0.450606,-0.915873,-0.099304,2025-03-21T00:31:21Z,-1.7065109999999999,0.424565,-0.290069,2025-03-21T00:31:21Z
17,256.109553,0.270408,13.170959999999999,44.941672,283.519552,270.237349,2.99682,3,-93.168897,3.089805,2025-03-21T00:31:23Z,-0.428434,-0.917861,-0.089919,2025-03-21T00:31:22Z,-1.429303,0.381683,-0.232238,2025-03-21T00:31:22Z
18,256.117166,0.292484,18.567006,44.941674,283.527165,270.127176,3.382612,3,-93.168915,1.499268,2025-03-21T00:31:24Z,-0.258792,-0.963689,-0.042414,2025-03-21T00:31:23Z,0.251685,-0.073693,0.223564,2025-03-21T00:31:23Z
19,256.178084,0.305152,16.538022,44.941671,283.588084,270.621491,3.262102,3,-93.168935,1.508494,2025-03-21T00:31:25Z,-0.195336,-0.982325,-0.03133,2025-03-21T00:31:24Z,0.866374,-0.251664,0.376793,2025-03-21T00:31:24Z
20,256.293031,0.300542,11.056091,44.941672,283.703031,271.188628,3.244246,3,-93.168968,2.256426,2025-03-21T00:31:26Z,-0.105053,-1.012472,-0.019626,2025-03-21T00:31:25Z,1.611997,-0.513433,0.510763,2025-03-21T00:31:25Z
21,256.284153,0.300118,8.641335,44.941674,283.69415299999997,272.355898,3.325577,3,-93.169018,3.738792,2025-03-21T00:31:27Z,-0.115507,-0.985142,-0.021756,2025-03-21T00:31:26Z,1.330256,-0.199826,0.444565,2025-03-21T00:31:26Z
22,256.496512,0.247792,10.511813,44.941675,283.906512,272.190176,3.193019,3,-93.169088,5.35381,2025-03-21T00:31:28Z,-0.147125,-1.004632,-0.011707,2025-03-21T00:31:27Z,1.073807,-0.376918,0.397148,2025-03-21T00:31:27Z
23,256.50735100000003,0.231463,7.465069,44.941675,283.917351,272.083744,3.129278,3,-93.169166,6.191388,2025-03-21T00:31:29Z,-0.119667,-0.973687,-0.002482,2025-03-21T00:31:28Z,1.374871,-0.090598,0.41868,2025-03-21T00:31:28Z
24,256.310072,0.30745,7.253213,44.941675,283.720072,272.351652,3.013838,3,-93.169267,7.736593,2025-03-21T00:31:30Z,-0.196648,-0.999384,-0.010578,2025-03-21T00:31:29Z,0.640863,-0.347805,0.283929,2025-03-21T00:31:29Z
25,256.163709,0.165352,7.25406,44.941676,283.573709,273.023696,2.890575,3,-93.169378,8.477885,2025-03-21T00:31:31Z,-0.191828,-0.978139,-0.031261,2025-03-21T00:31:30Z,0.443867,-0.068756,0.144698,2025-03-21T00:31:30Z
26,256.203982,0.194464,7.255513,44.941676,283.613982,273.380774,2.949064,3,-93.169494,9.158784,2025-03-21T00:31:32Z,-0.196652,-0.982775,-0.025662,2025-03-21T00:31:31Z,0.332199,-0.109862,0.178637,2025-03-21T00:31:31Z
27,256.103453,0.198702,7.255944,44.941677,283.513453,272.893512,2.604826,3,-93.169621,9.993416,2025-03-21T00:31:33Z,-0.247466,-0.969871,-0.029185,2025-03-21T00:31:32Z,-0.186562,0.030174,0.09706,2025-03-21T00:31:32Z
28,255.862554,0.183739,7.253748,44.941677,283.272554,270.13382,2.370339,3,-93.169749,10.119804,2025-03-21T00:31:34Z,-0.258562,-0.960276,-0.054484,2025-03-21T00:31:33Z,-0.330337,0.125497,-0.112417,2025-03-21T00:31:33Z
29,256.0505,0.285146,7.257999,44.941678,283.4605,270.13382,2.502672,3,-93.169877,10.122405,2025-03-21T00:31:35Z,-0.281452,-0.949998,-0.053374,2025-03-21T00:31:34Z,-0.508189,0.214471,-0.181958,2025-03-21T00:31:34Z
30,255.774471,0.264341,7.252597,44.941695,283.184471,270.13382,2.602083,3,-93.169998,9.978922,2025-03-21T00:31:36Z,-0.282393,-0.967448,-0.051587,2025-03-21T00:31:35Z,-0.510337,0.063346,-0.131455,2025-03-21T00:31:35Z
31,255.628879,0.282125,7.255101,44.941696,283.038879,270.13382,2.372422,3,-93.170117,9.664787,2025-03-21T00:31:37Z,-0.28637,-0.952218,-0.055472,2025-03-21T00:31:36Z,-0.538048,0.18117,-0.116679,2025-03-21T00:31:36Z
32,255.672781,0.285727,7.255713,44.941697,283.082781,270.13382,2.23144,3,-93.170234,9.22857,2025-03-21T00:31:38Z,-0.363894,-0.931749,-0.060994,2025-03-21T00:31:37Z,-1.20088,0.376057,-0.274022,2025-03-21T00:31:37Z
33,255.593429,0.251742,7.255726,44.941698,283.003429,270.13382,2.375267,3,-93.17034,8.330029,2025-03-21T00:31:39Z,-0.374675,-0.934111,-0.043291,2025-03-21T00:31:38Z,-1.216928,0.331376,-0.231175,2025-03-21T00:31:38Z
34,255.511811,0.259289,7.257652,44.941697,282.921811,270.13382,2.252376,3,-93.170426,7.03099,2025-03-21T00:31:40Z,-0.350586,-0.9405,-0.03846,2025-03-21T00:31:39Z,-0.911682,0.246184,-0.096412,2025-03-21T00:31:39Z
35,255.598402,0.281474,7.257807,44.941697,283.008402,270.13382,2.312022,3,-93.170501,6.118073,2025-03-21T00:31:41Z,-0.334256,-0.938478,-0.052963,2025-03-21T00:31:40Z,-0.689103,0.25006,-0.090786,2025-03-21T00:31:40Z
36,255.536429,0.290745,7.258577,44.941697,282.946429,270.13382,2.394595,3,-93.17057,5.329281,2025-03-21T00:31:42Z,-0.392759,-0.933494,-0.074745,2025-03-21T00:31:41Z,-1.173284,0.269111,-0.334286,2025-03-21T00:31:41Z
37,255.566678,0.296576,10.136618,44.941693,282.976678,270.13382,2.569083,3,-93.170617,3.846365,2025-03-21T00:31:43Z,-0.430954,-0.922754,-0.081075,2025-03-21T00:31:42Z,-1.431379,0.343125,-0.362898,2025-03-21T00:31:42Z
38,255.553462,0.301402,15.243195,44.941694,282.963462,270.13382,2.547545,3,-93.170649,2.198402,2025-03-21T00:31:44Z,-0.380128,-0.926066,-0.076594,2025-03-21T00:31:43Z,-0.966899,0.312898,-0.26497,2025-03-21T00:31:43Z
39,255.586365,0.307436,27.372404,44.941695,282.996365,270.13382,2.480625,3,-93.170664,0.911795,2025-03-21T00:31:45Z,-0.253945,-0.967557,-0.035967,2025-03-21T00:31:44Z,0.288258,-0.093488,0.115848,2025-03-21T00:31:44Z
40,255.602457,0.30814,27.67587,44.941696,283.012457,270.13382,2.547723,3,-93.170676,0.901797,2025-03-21T00:31:46Z,-0.188657,-0.98381,-0.01854,2025-03-21T00:31:45Z,0.96204,-0.261987,0.257043,2025-03-21T00:31:45Z
41,255.608705,0.307787,16.007151,44.941697,283.018704,270.13382,2.553677,3,-93.170699,1.559178,2025-03-21T00:31:47Z,-0.103339,-1.01134,-1.26e-4,2025-03-21T00:31:46Z,1.657372,-0.492169,0.40525,2025-03-21T00:31:46Z
42,255.682686,0.314435,8.641042,44.941699,283.092686,270.13382,2.58038,3,-93.170743,3.100034,2025-03-21T00:31:48Z,-0.125032,-0.992449,0.012591,2025-03-21T00:31:47Z,1.273873,-0.257628,0.430458,2025-03-21T00:31:47Z
43,255.626509,0.300843,9.352299,44.9417,283.036509,271.592325,2.561977,3,-93.1708,4.387968,2025-03-21T00:31:49Z,-0.129045,-0.987676,0.020003,2025-03-21T00:31:48Z,1.273166,-0.214364,0.398095,2025-03-21T00:31:48Z
44,255.615866,0.292004,7.516769,44.9417,283.025866,270.856444,2.538462,3,-93.170867,5.375784,2025-03-21T00:31:50Z,-0.154247,-1.00025,0.016258,2025-03-21T00:31:49Z,1.078112,-0.353202,0.386752,2025-03-21T00:31:49Z
45,255.537691,0.222741,7.257532,44.941699,282.94769,270.306404,2.5,3,-93.170948,6.445294,2025-03-21T00:31:51Z,-0.159643,-0.97525,-0.001107,2025-03-21T00:31:50Z,0.913369,-0.07857,0.27516,2025-03-21T00:31:50Z
