seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,256.352875,0.257618,7.257667,44.941406,283.762875,202.259527,2.421443,3,-93.169607,5.03956,2025-03-28T02:33:22Z,-0.280836,-0.96672,0.100941,2025-03-28T02:33:22Z,-0.621434,0.09001,1.137145,2025-03-28T02:33:22Z
1,256.37515,0.301286,7.258907,44.941354,283.78515,186.788077,2.368762,3,-93.169613,5.274587,2025-03-28T02:33:23Z,-0.245177,-0.985647,0.02301,2025-03-28T02:33:23Z,-0.398932,-0.057811,0.376772,2025-03-28T02:33:23Z
2,256.498909,0.303405,7.258582,44.941305,283.908909,182.630753,2.327789,3,-93.169612,5.237396,2025-03-28T02:33:24Z,-0.19570100000000001,-0.95835,-0.023334,2025-03-28T02:33:24Z,-0.043011,0.202166,0.077536,2025-03-28T02:33:24Z
3,256.575876,0.280314,7.254143,44.941253,283.985876,182.630753,2.29501,3,-93.16961,5.720243,2025-03-28T02:33:25Z,-0.159432,-1.001758,-0.017882,2025-03-28T02:33:25Z,0.470629,-0.233479,-0.019883,2025-03-28T02:33:25Z
4,256.436433,0.289405,7.258498,44.941194,283.846432,182.630753,2.268191,3,-93.169608,6.591061,2025-03-28T02:33:26Z,-0.159229,-0.993419,0.011445,2025-03-28T02:33:26Z,0.30985,-0.1114,0.004365,2025-03-28T02:33:26Z
5,256.646496,0.301577,7.258887,44.94113,284.056496,179.642807,2.237005,3,-93.169606,7.11102,2025-03-28T02:33:27Z,-0.205993,-0.97596,-0.001919,2025-03-28T02:33:27Z,-0.131288,0.061949,-0.151557,2025-03-28T02:33:27Z
6,256.753454,0.31006,7.258941,44.941065,284.163454,179.642807,2.19953,3,-93.169604,7.267311,2025-03-28T02:33:28Z,-0.194584,-0.977378,-0.007373,2025-03-28T02:33:28Z,-0.026553,0.026119,-0.225605,2025-03-28T02:33:28Z
7,256.936225,0.308685,7.258971,44.940997,284.346225,179.642807,2.165164,3,-93.169601,7.543645,2025-03-28T02:33:29Z,-0.187492,-0.985204,-0.00986,2025-03-28T02:33:29Z,-0.016546,-0.021862,-0.27408,2025-03-28T02:33:29Z
8,256.977183,0.308925,7.258971,44.940926,284.387183,179.642807,2.125521,3,-93.169601,7.833995,2025-03-28T02:33:30Z,-0.207517,-0.972255,-0.021174,2025-03-28T02:33:30Z,-0.114541,0.075025,-0.37252,2025-03-28T02:33:30Z
9,256.982353,0.304493,7.258888,44.940856,284.392352,179.642807,2.091373,3,-93.169603,7.902645,2025-03-28T02:33:31Z,-0.211173,-0.968548,-0.012527,2025-03-28T02:33:31Z,-0.159945,0.106162,-0.281083,2025-03-28T02:33:31Z
10,257.033764,0.299785,7.258363,44.940783,284.443763,180.187592,2.065121,3,-93.169599,8.045092,2025-03-28T02:33:32Z,-0.230031,-0.98077,-0.009196,2025-03-28T02:33:32Z,-0.385281,0.020028,-0.262309,2025-03-28T02:33:32Z
11,256.972111,0.30575,7.258934,44.940708,284.382111,180.187592,2.04371,3,-93.169604,8.101432,2025-03-28T02:33:33Z,-0.24171,-0.968559,-0.004391,2025-03-28T02:33:33Z,-0.480418,0.126464,-0.250892,2025-03-28T02:33:33Z
12,256.944597,0.302902,7.258735,44.940636,284.354597,180.187592,2.029409,3,-93.169601,7.936555,2025-03-28T02:33:34Z,-0.257166,-0.960658,-0.019981,2025-03-28T02:33:34Z,-0.530519,0.173669,-0.343963,2025-03-28T02:33:34Z
13,257.137995,0.298657,7.258246,44.940566,284.547995,180.187592,2.221912,3,-93.169601,7.591846,2025-03-28T02:33:35Z,-0.268623,-0.965363,-0.016555,2025-03-28T02:33:35Z,-0.670045,0.139357,-0.31694,2025-03-28T02:33:35Z
14,257.259527,0.302923,7.258871,44.9405,284.669527,180.187592,2.463982,3,-93.1696,7.23959,2025-03-28T02:33:36Z,-0.266265,-0.965998,-0.02559,2025-03-28T02:33:36Z,-0.618295,0.130641,-0.371075,2025-03-28T02:33:36Z
15,257.173708,0.305495,7.258953,44.940438,284.583708,180.485291,2.562416,3,-93.1696,6.834399,2025-03-28T02:33:37Z,-0.26487,-0.960026,-0.025589,2025-03-28T02:33:37Z,-0.527457,0.163466,-0.310177,2025-03-28T02:33:37Z
16,257.333325,0.306381,7.258968,44.940381,284.743325,180.485291,2.405024,3,-93.1696,6.348619,2025-03-28T02:33:38Z,-0.313152,-0.950773,-0.046989,2025-03-28T02:33:38Z,-0.990205,0.266261,-0.446716,2025-03-28T02:33:38Z
17,257.479978,0.314165,7.25892,44.940333,284.889978,180.485291,2.318737,3,-93.169602,5.4069,2025-03-28T02:33:39Z,-0.296967,-0.949034,-0.088596,2025-03-28T02:33:39Z,-0.718745,0.252179,-0.886721,2025-03-28T02:33:39Z
