seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0,262.66064,2.366399,50.446671,44.941246,290.07064,119.111315,3.001953,3,-93.16709,3.767554,2025-03-28T02:46:17Z,-0.164715,-0.993418,-0.175039,2025-03-28T02:46:17Z,0.363486,-0.128442,-1.5772,2025-03-28T02:46:17Z
1,262.686915,2.291168,41.705351,44.941199,290.096915,145.682074,2.943015,3,-93.167066,4.418445,2025-03-28T02:46:18Z,-0.131736,-0.987802,-0.129425,2025-03-28T02:46:18Z,0.437563,-0.055221,-1.211106,2025-03-28T02:46:18Z
2,262.944978,2.214903,34.566433,44.941147,290.354978,168.995263,2.895283,3,-93.167065,5.175571,2025-03-28T02:46:19Z,-0.108954,-1.002875,-0.008826,2025-03-28T02:46:19Z,0.643283,-0.157826,-0.136988,2025-03-28T02:46:19Z
3,263.256516,2.119442,27.235631,44.941089,290.666515,181.253586,2.890057,3,-93.167065,6.250211,2025-03-28T02:46:20Z,-0.120557,-0.997186,0.01201,2025-03-28T02:46:20Z,0.525234,-0.127632,0.152082,2025-03-28T02:46:20Z
4,263.267597,2.058608,22.911904,44.941023,290.677597,181.253586,2.821747,3,-93.167064,7.170666,2025-03-28T02:46:22Z,-0.129152,-0.994419,0.028468,2025-03-28T02:46:21Z,0.402016,-0.089516,0.356505,2025-03-28T02:46:21Z
5,263.18969,1.993913,19.877714,44.940951,290.59969,180.861191,2.710525,3,-93.167067,8.010678,2025-03-28T02:46:23Z,-0.155669,-0.992084,0.013477,2025-03-28T02:46:22Z,0.10679,-0.062731,0.22562,2025-03-28T02:46:22Z
6,263.353804,1.995937,17.984786,44.940874,290.763804,180.861191,2.545576,3,-93.167067,8.578544,2025-03-28T02:46:24Z,-0.19548,-0.978815,0.022392,2025-03-28T02:46:23Z,-0.268068,0.075675,0.214197,2025-03-28T02:46:23Z
7,263.366867,1.975054,17.167345,44.940793,290.776867,180.112579,2.374711,3,-93.167067,8.810851,2025-03-28T02:46:25Z,-0.198677,-0.978053,0.013049,2025-03-28T02:46:24Z,-0.338956,0.075632,0.154824,2025-03-28T02:46:24Z
8,263.606273,2.025922,16.654392,44.940713,291.016273,180.112579,2.244187,3,-93.167065,8.897316,2025-03-28T02:46:26Z,-0.24628,-0.96968,0.007792,2025-03-28T02:46:25Z,-0.753278,0.145996,0.088314,2025-03-28T02:46:25Z
9,263.784765,1.988986,17.808082,44.940637,291.194765,180.112579,2.328548,3,-93.167066,8.621192,2025-03-28T02:46:27Z,-0.253259,-0.967428,0.012695,2025-03-28T02:46:26Z,-0.837542,0.190946,0.066636,2025-03-28T02:46:26Z
10,263.785763,2.013115,18.916213,44.940564,291.195763,180.112579,2.221641,3,-93.167066,8.219687,2025-03-28T02:46:28Z,-0.256371,-0.965549,5.46e-4,2025-03-28T02:46:27Z,-0.74378,0.179753,0.024877,2025-03-28T02:46:27Z
11,263.909832,2.045971,19.772784,44.940492,291.319832,180.112579,2.263988,3,-93.167067,7.940323,2025-03-28T02:46:29Z,-0.262193,-0.966516,0.005305,2025-03-28T02:46:28Z,-0.802444,0.165213,0.074924,2025-03-28T02:46:28Z
