seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,257.456818,-0.615000,0.413153,44.941436,284.866818,42.228516,168.625779,5.250000,-93.169073,0.915000,2025-04-03T22:16:47.799-05:00,-0.308761,-0.951940,0.110994,2025-04-03T22:16:47.790-05:00,-0.502503,0.112198,0.528059,2025-04-03T22:16:47.803-05:00
1.000000,256.349060,1.150000,11.219918,44.941330,283.759060,171.914062,14.000000,4.000000,-93.169676,6.660000,2025-04-03T22:16:48.999-05:00,-0.271514,-0.973214,0.045978,2025-04-03T22:16:48.784-05:00,-0.389884,-0.007393,-0.034668,2025-04-03T22:16:48.778-05:00
2.000000,255.482300,1.010000,14.353596,44.941336,282.892300,176.835938,3.823758,4.000000,-93.169617,6.640000,2025-04-03T22:16:49.999-05:00,-0.209989,-0.952961,-0.015656,2025-04-03T22:16:49.779-05:00,0.044418,0.220911,-0.436142,2025-04-03T22:16:49.783-05:00
3.000000,254.548950,0.630000,8.995915,44.941296,281.958950,177.187500,3.535534,3.000000,-93.169613,4.570000,2025-04-03T22:16:50.999-05:00,-0.237450,-0.981497,0.004176,2025-04-03T22:16:50.784-05:00,0.010656,-0.100204,-0.324375,2025-04-03T22:16:50.778-05:00
4.000000,252.772400,0.620000,7.794031,44.941249,280.182400,180.705307,3.535534,3.000000,-93.169608,4.570000,2025-04-03T22:16:51.999-05:00,-0.231905,-0.990735,0.013425,2025-04-03T22:16:51.779-05:00,-0.040881,-0.186062,-0.448413,2025-04-03T22:16:51.782-05:00
5.000000,252.748596,0.750000,9.051666,44.941204,280.158596,182.630737,3.535534,3.000000,-93.169606,5.370000,2025-04-03T22:16:52.999-05:00,-0.230631,-0.957009,0.022469,2025-04-03T22:16:52.783-05:00,-0.120498,0.161258,-0.449587,2025-04-03T22:16:52.777-05:00
6.000000,252.608765,0.270000,3.125172,44.941153,280.018764,182.630737,3.535534,3.000000,-93.169605,5.620000,2025-04-03T22:16:53.999-05:00,-0.194753,-0.975813,0.031864,2025-04-03T22:16:53.778-05:00,0.278490,-0.064255,-0.310370,2025-04-03T22:16:53.782-05:00
7.000000,252.558838,0.200000,2.223512,44.941100,279.968838,179.642822,3.535534,3.000000,-93.169599,5.620000,2025-04-03T22:16:54.999-05:00,-0.193604,-0.985148,0.028902,2025-04-03T22:16:54.783-05:00,0.243072,-0.081357,-0.382478,2025-04-03T22:16:54.776-05:00
8.000000,252.459778,1.270000,13.492662,44.941046,279.869778,179.642822,3.535534,3.000000,-93.169599,6.010000,2025-04-03T22:16:55.999-05:00,-0.207225,-0.979944,0.024802,2025-04-03T22:16:55.777-05:00,0.103478,-0.040218,-0.389828,2025-04-03T22:16:55.781-05:00
9.000000,252.604126,0.470000,4.417158,44.940983,280.014126,179.642822,3.535534,3.000000,-93.169596,6.990000,2025-04-03T22:16:56.999-05:00,-0.217050,-0.968310,0.032448,2025-04-03T22:16:56.782-05:00,0.049841,0.032168,-0.284194,2025-04-03T22:16:56.776-05:00
10.000000,252.638855,0.040000,0.430784,44.940921,280.048855,179.642822,3.535534,3.000000,-93.169592,7.230000,2025-04-03T22:16:57.999-05:00,-0.215218,-0.975575,0.021280,2025-04-03T22:16:57.777-05:00,0.090986,-0.043226,-0.302621,2025-04-03T22:16:57.780-05:00
11.000000,252.688293,0.330000,2.861635,44.940858,280.098293,179.642822,3.535534,3.000000,-93.169592,7.230000,2025-04-03T22:16:58.999-05:00,-0.221240,-0.988076,0.010607,2025-04-03T22:16:58.781-05:00,-0.041431,-0.113959,-0.351954,2025-04-03T22:16:58.775-05:00
12.000000,252.645752,0.290000,2.447897,44.940791,280.055752,180.187592,3.535534,3.000000,-93.169591,7.460000,2025-04-03T22:16:59.999-05:00,-0.259864,-0.943302,0.010780,2025-04-03T22:16:59.776-05:00,-0.444454,0.313158,-0.382601,2025-04-03T22:16:59.780-05:00
13.000000,252.645756,0.308016,7.258975,44.940724,280.055756,180.187592,4.748652,4.029364,-93.169591,7.460000,2025-04-03T22:17:00.999-05:00,-0.272182,-0.959385,0.014002,2025-04-03T22:17:00.781-05:00,-0.414821,0.129618,-0.300301,2025-04-03T22:17:00.775-05:00
14.000000,252.890629,0.308016,7.258975,44.940658,280.300629,180.187592,4.748652,4.029364,-93.169593,7.460000,2025-04-03T22:17:01.999-05:00,-0.270763,-0.968368,0.022181,2025-04-03T22:17:01.775-05:00,-0.418765,0.046498,-0.223898,2025-04-03T22:17:01.779-05:00
