seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,253.946406,0.656538,11.558931,44.934292,281.356406,100.708867,2.785761,3.000000,-93.177075,4.604718,2025-04-03T22:13:04.999-05:00,-0.227535,-0.962756,0.029337,2025-04-03T22:13:04.634-05:00,0.368573,-0.007908,-0.370693,2025-04-03T22:13:04.638-05:00
1.000000,254.263252,0.837633,13.689964,44.934289,281.673252,96.946908,2.828063,3.000000,-93.177011,4.943496,2025-04-03T22:13:05.999-05:00,-0.207153,-0.987194,0.027190,2025-04-03T22:13:05.619-05:00,0.482308,-0.224860,-0.358149,2025-04-03T22:13:05.623-05:00
2.000000,255.046453,0.954573,14.234510,44.934282,282.456453,97.438884,2.863735,3.000000,-93.176941,5.356390,2025-04-03T22:13:06.999-05:00,-0.190337,-0.981587,0.022558,2025-04-03T22:13:06.624-05:00,0.544529,-0.142682,-0.417165,2025-04-03T22:13:06.617-05:00
3.000000,254.345877,0.663810,9.176027,44.934291,281.755877,90.358215,2.839982,3.000000,-93.176865,5.860321,2025-04-03T22:13:07.999-05:00,-0.151168,-0.990732,0.025944,2025-04-03T22:13:07.618-05:00,0.921160,-0.232914,-0.389106,2025-04-03T22:13:07.622-05:00
4.000000,254.178890,0.654690,7.854789,44.934292,281.588890,90.358215,2.753642,3.000000,-93.176774,6.733922,2025-04-03T22:13:08.999-05:00,-0.157098,-0.991126,0.014032,2025-04-03T22:13:08.623-05:00,0.799725,-0.211267,-0.472509,2025-04-03T22:13:08.617-05:00
5.000000,254.842612,0.656737,7.246877,44.934292,282.252612,90.358215,2.633355,3.000000,-93.176671,7.702981,2025-04-03T22:13:09.999-05:00,-0.177472,-0.988403,0.012193,2025-04-03T22:13:09.618-05:00,0.560959,-0.171229,-0.477733,2025-04-03T22:13:09.621-05:00
6.000000,254.554134,0.640727,7.258964,44.934291,281.964134,90.358215,2.476292,3.000000,-93.176557,8.573901,2025-04-03T22:13:10.999-05:00,-0.205776,-0.973967,0.006459,2025-04-03T22:13:10.622-05:00,0.261333,-0.039162,-0.533768,2025-04-03T22:13:10.616-05:00
7.000000,254.735476,0.635110,7.258071,44.934275,282.145476,90.358215,2.360646,3.000000,-93.176438,9.102104,2025-04-03T22:13:11.999-05:00,-0.202544,-0.984433,-0.001547,2025-04-03T22:13:11.617-05:00,0.234081,-0.118094,-0.563880,2025-04-03T22:13:11.621-05:00
8.000000,254.915097,0.643506,7.257315,44.934286,282.325097,90.358215,2.339184,3.000000,-93.176316,9.512305,2025-04-03T22:13:12.999-05:00,-0.198817,-0.975375,-0.006005,2025-04-03T22:13:12.622-05:00,0.232547,-0.023906,-0.603047,2025-04-03T22:13:12.616-05:00
9.000000,255.361566,0.644841,7.252621,44.934286,282.771566,90.358215,2.209662,3.000000,-93.176189,9.855293,2025-04-03T22:13:13.999-05:00,-0.203483,-0.977214,-0.006893,2025-04-03T22:13:13.617-05:00,0.140017,-0.022423,-0.567742,2025-04-03T22:13:13.620-05:00
10.000000,255.262284,0.646787,7.257973,44.934283,282.672284,90.358215,2.126365,3.000000,-93.176051,10.510139,2025-04-03T22:13:14.999-05:00,-0.207411,-0.978818,-0.006997,2025-04-03T22:13:14.621-05:00,0.090502,-0.034883,-0.482312,2025-04-03T22:13:14.615-05:00
11.000000,255.370985,0.639706,7.258125,44.934282,282.780985,90.199409,2.073895,3.000000,-93.175912,10.869796,2025-04-03T22:13:15.999-05:00,-0.210665,-0.976718,-0.005889,2025-04-03T22:13:15.616-05:00,0.003942,0.000871,-0.393451,2025-04-03T22:13:15.620-05:00
12.000000,255.277200,0.639095,7.258943,44.934282,282.687200,90.199409,2.040502,3.000000,-93.175769,11.212809,2025-04-03T22:13:16.999-05:00,-0.211956,-0.975155,-0.008616,2025-04-03T22:13:16.621-05:00,-0.020541,0.021606,-0.368741,2025-04-03T22:13:16.624-05:00
13.000000,255.281850,0.643592,7.258934,44.934282,282.691849,90.199409,2.025697,3.000000,-93.175620,11.540419,2025-04-03T22:13:17.999-05:00,-0.219475,-0.971935,-0.011349,2025-04-03T22:13:17.615-05:00,-0.087399,0.049510,-0.370428,2025-04-03T22:13:17.619-05:00
14.000000,255.426035,0.652818,7.258869,44.934281,282.836035,90.199409,2.336749,3.000000,-93.175467,11.884810,2025-04-03T22:13:18.999-05:00,-0.238332,-0.972787,-0.015233,2025-04-03T22:13:18.620-05:00,-0.263318,0.042708,-0.407468,2025-04-03T22:13:18.624-05:00
15.000000,255.200711,0.643425,7.258931,44.934279,282.610710,90.199409,2.251984,3.000000,-93.175312,12.122345,2025-04-03T22:13:19.999-05:00,-0.243223,-0.961973,-0.023560,2025-04-03T22:13:19.615-05:00,-0.296371,0.144119,-0.468524,2025-04-03T22:13:19.618-05:00
16.000000,255.169439,0.651172,7.258830,44.934281,282.579439,90.000000,2.189985,3.000000,-93.175159,12.081502,2025-04-03T22:13:20.999-05:00,-0.251103,-0.969318,-0.032463,2025-04-03T22:13:20.619-05:00,-0.360258,0.071332,-0.491055,2025-04-03T22:13:20.623-05:00
17.000000,255.700878,0.646847,7.257410,44.934277,283.110877,90.408157,2.099442,3.000000,-93.175010,11.830498,2025-04-03T22:13:21.999-05:00,-0.260551,-0.963304,-0.019661,2025-04-03T22:13:21.624-05:00,-0.434381,0.126056,-0.389020,2025-04-03T22:13:21.618-05:00
18.000000,255.713249,0.648571,7.258346,44.934274,283.123249,90.408157,2.051850,3.000000,-93.174855,11.942143,2025-04-03T22:13:22.999-05:00,-0.252547,-0.955685,-0.023042,2025-04-03T22:13:22.619-05:00,-0.345611,0.193098,-0.374068,2025-04-03T22:13:22.622-05:00
19.000000,255.970535,0.664280,7.257552,44.934277,283.380535,90.408157,2.026957,3.000000,-93.174696,12.330885,2025-04-03T22:13:23.999-05:00,-0.260025,-0.964992,-0.014213,2025-04-03T22:13:23.623-05:00,-0.319746,0.091823,-0.295137,2025-04-03T22:13:23.617-05:00
