seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,246.703258,1.678303,112.570862,44.941663,274.113257,255.650023,4.767740,7.500000,-93.177021,1.561735,2025-04-03T22:11:31.590-05:00,-0.323128,-0.950411,0.050265,2025-04-03T22:11:31.580-05:00,-0.590435,0.132184,0.235292,2025-04-03T22:11:31.593-05:00
1.000000,247.505188,1.280000,26.576007,44.941646,274.915188,221.132812,5.853560,4.000000,-93.177045,3.090000,2025-04-03T22:11:32.999-05:00,-0.408378,-0.923266,-0.032875,2025-04-03T22:11:32.565-05:00,-1.546578,0.435895,-0.604474,2025-04-03T22:11:32.568-05:00
2.000000,243.187500,0.530000,12.540351,44.941615,270.597500,180.000000,3.683434,4.000000,-93.177078,3.040000,2025-04-03T22:11:33.999-05:00,-0.384493,-0.928825,-0.039392,2025-04-03T22:11:33.569-05:00,-1.317595,0.380617,-0.658219,2025-04-03T22:11:33.573-05:00
3.000000,241.738281,0.060000,6.609159,44.941590,269.148281,180.000000,3.535534,3.000000,-93.177106,2.300000,2025-04-03T22:11:34.999-05:00,-0.326389,-0.946511,-0.023646,2025-04-03T22:11:34.574-05:00,-0.746874,0.209947,-0.497216,2025-04-03T22:11:34.568-05:00
4.000000,241.496887,0.930000,7.878224,44.941572,268.906887,180.000000,3.535534,3.000000,-93.177128,0.450000,2025-04-03T22:11:35.999-05:00,-0.283373,-0.957606,-0.011093,2025-04-03T22:11:35.569-05:00,-0.306534,0.098438,-0.365742,2025-04-03T22:11:35.572-05:00
5.000000,241.275879,1.000000,8.283610,44.941558,268.685879,180.000000,3.535534,3.000000,-93.177148,0.000000,2025-04-03T22:11:36.999-05:00,-0.258443,-0.964626,-0.004328,2025-04-03T22:11:36.573-05:00,-0.047109,0.020133,-0.293153,2025-04-03T22:11:36.567-05:00
6.000000,241.835754,1.000000,8.497518,44.941548,269.245754,180.000000,3.535534,3.000000,-93.177167,0.000000,2025-04-03T22:11:37.999-05:00,-0.258236,-0.964416,-0.004068,2025-04-03T22:11:37.568-05:00,-0.024489,0.019224,-0.276832,2025-04-03T22:11:37.572-05:00
7.000000,242.377197,1.140000,13.633142,44.941539,269.787197,180.000000,3.535534,3.000000,-93.177183,0.000000,2025-04-03T22:11:38.999-05:00,-0.258464,-0.964355,-0.004177,2025-04-03T22:11:38.573-05:00,-0.007463,0.016301,-0.263163,2025-04-03T22:11:38.566-05:00
8.000000,242.861206,0.990000,13.640717,44.941533,270.271206,180.000000,3.535534,3.000000,-93.177197,0.000000,2025-04-03T22:11:39.999-05:00,-0.258526,-0.964567,-0.003699,2025-04-03T22:11:39.567-05:00,0.009542,0.010130,-0.250472,2025-04-03T22:11:39.571-05:00
9.000000,243.140686,1.000000,13.739727,44.941527,270.550686,180.000000,3.535534,3.000000,-93.177209,0.000000,2025-04-03T22:11:40.999-05:00,-0.258261,-0.964437,-0.004254,2025-04-03T22:11:40.572-05:00,0.022234,0.006759,-0.237594,2025-04-03T22:11:40.566-05:00
