seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,260.790416,-0.632500,0.143768,44.934153,288.200416,2.501953,141.874661,4.250000,-93.166975,0.855000,2025-04-03T22:15:05.613-05:00,-0.208528,-0.976189,0.060989,2025-04-03T22:15:05.612-05:00,0.171521,-0.023201,0.392796,2025-04-03T22:15:05.615-05:00
1.000000,262.365479,1.130000,11.456677,44.934498,289.775478,14.765625,5.018246,4.000000,-93.167018,6.420000,2025-04-03T22:15:06.999-05:00,-0.171823,-0.987964,0.021966,2025-04-03T22:15:06.596-05:00,0.458947,-0.124302,0.041755,2025-04-03T22:15:06.600-05:00
2.000000,261.986511,0.370000,3.071562,44.934558,289.396511,0.150172,3.803991,4.000000,-93.167022,6.420000,2025-04-03T22:15:07.999-05:00,-0.170248,-0.992379,0.028201,2025-04-03T22:15:07.601-05:00,0.370789,-0.135983,0.058217,2025-04-03T22:15:07.595-05:00
3.000000,261.712158,0.060000,0.492645,44.934614,289.122158,359.502319,3.535534,3.000000,-93.167010,7.970000,2025-04-03T22:15:08.999-05:00,-0.172398,-0.987853,0.021953,2025-04-03T22:15:08.596-05:00,0.300550,-0.082927,-0.061748,2025-04-03T22:15:08.600-05:00
4.000000,260.787354,0.190000,1.355483,44.934702,288.197353,359.502319,3.535534,3.000000,-93.167020,8.700000,2025-04-03T22:15:09.999-05:00,-0.199034,-0.977410,0.019130,2025-04-03T22:15:09.600-05:00,0.069589,-0.002400,-0.136626,2025-04-03T22:15:09.594-05:00
5.000000,261.250732,0.270000,1.768409,44.934794,288.660732,0.000000,3.535534,3.000000,-93.167018,9.870000,2025-04-03T22:15:10.999-05:00,-0.189869,-0.983896,0.026628,2025-04-03T22:15:10.595-05:00,0.107595,-0.042635,-0.129479,2025-04-03T22:15:10.599-05:00
6.000000,261.738464,0.470000,3.006444,44.934889,289.148464,0.000000,3.535534,3.000000,-93.167011,10.280000,2025-04-03T22:15:11.999-05:00,-0.192714,-0.983132,0.029841,2025-04-03T22:15:11.600-05:00,0.093544,-0.053420,-0.112182,2025-04-03T22:15:11.594-05:00
7.000000,261.957031,0.940000,5.441115,44.934984,289.367031,0.000000,3.535534,3.000000,-93.167009,10.280000,2025-04-03T22:15:12.999-05:00,-0.201634,-0.978322,0.027483,2025-04-03T22:15:12.595-05:00,0.009892,-0.006249,-0.126931,2025-04-03T22:15:12.598-05:00
8.000000,262.506104,0.320000,1.825266,44.935084,289.916103,0.000000,3.535534,3.000000,-93.167003,10.800000,2025-04-03T22:15:13.999-05:00,-0.200615,-0.979761,0.023718,2025-04-03T22:15:13.599-05:00,-0.031807,0.004819,-0.134361,2025-04-03T22:15:13.593-05:00
9.000000,262.281616,0.150000,0.814581,44.935191,289.691616,0.000000,3.535534,3.000000,-93.167005,11.860000,2025-04-03T22:15:14.999-05:00,-0.200237,-0.978550,0.019629,2025-04-03T22:15:14.594-05:00,-0.007666,-0.000381,-0.123162,2025-04-03T22:15:14.598-05:00
