seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,259.406499,2.423470,61.130907,44.934344,286.816499,300.463347,2.440980,3.000000,-93.171096,3.210222,2025-04-03T22:19:46.999-05:00,-0.147871,-0.985146,-0.106510,2025-04-03T22:19:46.879-05:00,0.629839,-0.085844,-0.785320,2025-04-03T22:19:46.893-05:00
1.000000,259.304185,2.375274,51.479747,44.934387,286.714185,328.757903,2.464023,3.000000,-93.171107,3.737014,2025-04-03T22:19:47.999-05:00,-0.136844,-0.995956,-0.021561,2025-04-03T22:19:47.864-05:00,0.529366,-0.146888,-0.072452,2025-04-03T22:19:47.858-05:00
2.000000,259.057157,2.222542,35.202277,44.934445,286.467157,353.751065,2.440822,3.000000,-93.171097,5.115684,2025-04-03T22:19:48.999-05:00,-0.160997,-0.990707,-0.005242,2025-04-03T22:19:48.859-05:00,0.401896,-0.111760,0.166023,2025-04-03T22:19:48.863-05:00
3.000000,259.096211,2.150308,29.305473,44.934502,286.506211,359.913330,3.983942,3.000000,-93.171044,5.906269,2025-04-03T22:19:49.999-05:00,-0.164125,-0.983850,-0.001458,2025-04-03T22:19:49.863-05:00,0.288462,-0.029103,0.238064,2025-04-03T22:19:49.867-05:00
4.000000,259.207183,2.071861,24.826484,44.934566,286.617183,359.913330,4.034346,3.000000,-93.171044,6.749130,2025-04-03T22:19:50.999-05:00,-0.181010,-0.980940,0.000699,2025-04-03T22:19:50.858-05:00,0.081073,0.006920,0.231579,2025-04-03T22:19:50.862-05:00
5.000000,259.055014,2.014118,21.970025,44.934635,286.465014,359.913330,3.897066,3.000000,-93.171044,7.428244,2025-04-03T22:19:51.999-05:00,-0.219793,-0.970939,-0.003317,2025-04-03T22:19:51.863-05:00,-0.279064,0.100020,0.132004,2025-04-03T22:19:51.867-05:00
6.000000,259.164638,1.989611,20.874938,44.934707,286.574638,359.913330,4.000863,3.000000,-93.171044,7.717712,2025-04-03T22:19:52.999-05:00,-0.214204,-0.975124,-0.028054,2025-04-03T22:19:52.858-05:00,-0.252452,0.065232,-0.064634,2025-04-03T22:19:52.861-05:00
7.000000,259.021322,1.975858,20.184225,44.934780,286.431322,359.913330,4.164100,3.000000,-93.171044,7.924327,2025-04-03T22:19:53.999-05:00,-0.227734,-0.973575,-0.031875,2025-04-03T22:19:53.862-05:00,-0.465690,0.123254,-0.065244,2025-04-03T22:19:53.866-05:00
8.000000,259.125172,1.955995,19.563276,44.934854,286.535171,359.913330,4.271410,3.000000,-93.171044,8.101397,2025-04-03T22:19:54.999-05:00,-0.231390,-0.968672,-0.005639,2025-04-03T22:19:54.867-05:00,-0.409728,0.100270,0.049313,2025-04-03T22:19:54.861-05:00
9.000000,259.285071,1.958865,19.402307,44.934930,286.695070,359.913330,4.143605,3.000000,-93.171045,8.180585,2025-04-03T22:19:55.999-05:00,-0.215509,-0.977727,-0.006619,2025-04-03T22:19:55.862-05:00,-0.277333,0.010559,0.023271,2025-04-03T22:19:55.865-05:00
10.000000,259.622341,1.951745,18.981766,44.935007,287.032341,359.913330,4.261290,3.000000,-93.171045,8.309210,2025-04-03T22:19:56.999-05:00,-0.219765,-0.966237,-0.012134,2025-04-03T22:19:56.866-05:00,-0.255754,0.174814,-0.032958,2025-04-03T22:19:56.860-05:00
11.000000,259.578788,1.959646,18.851171,44.935083,286.988788,359.913330,4.044330,3.000000,-93.171045,8.420876,2025-04-03T22:19:57.999-05:00,-0.239923,-0.973379,-0.006707,2025-04-03T22:19:57.861-05:00,-0.375790,0.067792,0.052029,2025-04-03T22:19:57.865-05:00
12.000000,259.611818,1.933397,18.171987,44.935162,287.021818,359.913330,3.732774,3.000000,-93.171045,8.614133,2025-04-03T22:19:58.999-05:00,-0.249585,-0.958167,0.011498,2025-04-03T22:19:58.866-05:00,-0.413192,0.187264,0.185039,2025-04-03T22:19:58.860-05:00
13.000000,259.635501,1.915449,18.006176,44.935239,287.045501,359.913330,3.699971,3.000000,-93.171045,8.608661,2025-04-03T22:19:59.999-05:00,-0.266100,-0.954757,-0.004232,2025-04-03T22:19:59.860-05:00,-0.476705,0.185300,-0.023306,2025-04-03T22:19:59.864-05:00
14.000000,259.174100,1.953318,18.437442,44.935316,286.584100,359.913330,2.538746,3.000000,-93.171045,8.470150,2025-04-03T22:20:00.999-05:00,-0.275746,-0.959895,-0.017249,2025-04-03T22:20:00.865-05:00,-0.618480,0.191659,-0.093809,2025-04-03T22:20:00.859-05:00
15.000000,258.748415,1.975632,19.239634,44.935389,286.158415,359.913330,3.189269,3.000000,-93.171068,8.193698,2025-04-03T22:20:01.999-05:00,-0.272090,-0.964615,-0.018961,2025-04-03T22:20:01.860-05:00,-0.482010,0.100802,-0.057845,2025-04-03T22:20:01.864-05:00
16.000000,258.695080,1.997235,19.798982,44.935462,286.105080,359.913330,2.792088,3.000000,-93.171064,7.988500,2025-04-03T22:20:02.999-05:00,-0.253858,-0.961011,-0.042567,2025-04-03T22:20:02.865-05:00,-0.275127,0.121964,-0.151447,2025-04-03T22:20:02.858-05:00
17.000000,258.767809,1.997457,20.230178,44.935532,286.177809,359.913330,2.693492,3.000000,-93.171065,7.856537,2025-04-03T22:20:03.999-05:00,-0.259455,-0.964526,-0.017752,2025-04-03T22:20:03.859-05:00,-0.362758,0.081930,0.036455,2025-04-03T22:20:03.863-05:00
18.000000,258.779321,2.004691,20.478438,44.935602,286.189321,0.248375,2.497329,3.000000,-93.171062,7.794593,2025-04-03T22:20:04.999-05:00,-0.267511,-0.948879,-0.004478,2025-04-03T22:20:04.864-05:00,-0.425517,0.271028,0.092400,2025-04-03T22:20:04.858-05:00
19.000000,258.818164,2.006529,21.166103,44.935671,286.228164,0.248375,2.392614,3.000000,-93.171065,7.595777,2025-04-03T22:20:05.999-05:00,-0.271510,-0.966408,-0.047839,2025-04-03T22:20:05.859-05:00,-0.382746,0.055460,-0.215716,2025-04-03T22:20:05.862-05:00
