seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,251.493712,0.508753,10.873521,44.938982,278.903712,14.035763,2.297594,3.000000,-93.177161,4.830120,2025-02-19T16:17:31.000-06:00,-0.204868,-0.966700,-0.277720,2025-02-19T16:17:30.856-06:00,0.320101,-0.000236,-1.837961,2025-02-19T16:17:30.864-06:00
1.000000,251.488036,0.490833,10.487404,44.939018,278.898036,37.238153,2.238075,3.000000,-93.177126,4.489405,2025-02-19T16:17:32.000-06:00,-0.160076,-0.991254,-0.227196,2025-02-19T16:17:31.850-06:00,0.362967,-0.148968,-1.295837,2025-02-19T16:17:31.849-06:00
2.000000,251.517484,0.347159,10.969910,44.939036,278.927484,63.600706,2.302416,3.000000,-93.177067,4.415672,2025-02-19T16:17:33.000-06:00,-0.054314,-1.012376,-0.056029,2025-02-19T16:17:32.845-06:00,1.112327,-0.290827,0.108427,2025-02-19T16:17:32.844-06:00
3.000000,251.686676,0.249860,8.979675,44.939044,279.096676,82.750555,2.259214,3.000000,-93.176988,5.560245,2025-02-19T16:17:34.000-06:00,-0.090864,-1.000860,-0.000679,2025-02-19T16:17:33.850-06:00,0.640873,-0.147601,0.600549,2025-02-19T16:17:33.849-06:00
4.000000,251.978326,0.293422,7.252713,44.939006,279.388326,90.161163,4.777466,3.000000,-93.176894,6.950119,2025-02-19T16:17:35.000-06:00,-0.104973,-0.992510,0.006383,2025-02-19T16:17:34.845-06:00,0.451640,-0.058137,0.719906,2025-02-19T16:17:34.843-06:00
5.000000,252.353943,0.060019,7.741137,44.939005,279.763943,90.161163,5.241440,3.000000,-93.176791,7.946521,2025-02-19T16:17:36.000-06:00,-0.123332,-0.995143,0.000872,2025-02-19T16:17:35.849-06:00,0.183319,-0.079348,0.749946,2025-02-19T16:17:35.848-06:00
6.000000,252.557293,0.307643,7.861864,44.939005,279.967293,90.161163,5.675256,3.000000,-93.176679,8.713986,2025-02-19T16:17:37.000-06:00,-0.181412,-0.981181,-0.011226,2025-02-19T16:17:36.844-06:00,-0.378184,0.043045,0.642567,2025-02-19T16:17:36.843-06:00
7.000000,252.727513,0.257537,9.236118,44.939005,280.137513,90.161163,5.832026,3.000000,-93.176561,9.149958,2025-02-19T16:17:38.000-06:00,-0.181861,-0.978347,-0.008565,2025-02-19T16:17:37.849-06:00,-0.409001,0.106456,0.569080,2025-02-19T16:17:37.848-06:00
8.000000,252.701405,0.360126,7.249887,44.939005,280.111404,90.161163,5.678931,3.000000,-93.176441,9.454323,2025-02-19T16:17:39.000-06:00,-0.235155,-0.965309,-0.012160,2025-02-19T16:17:38.844-06:00,-0.927272,0.228949,0.490846,2025-02-19T16:17:38.843-06:00
9.000000,252.864826,0.335358,7.251341,44.939004,280.274826,90.161163,5.683686,3.000000,-93.176325,9.263346,2025-02-19T16:17:40.000-06:00,-0.213346,-0.980107,-0.023235,2025-02-19T16:17:39.849-06:00,-0.694476,0.066536,0.367123,2025-02-19T16:17:39.847-06:00
