seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,264.112126,2.136110,30.092747,44.934431,291.522125,354.282598,2.984692,3.000000,-93.166969,5.739409,2025-02-19T15:54:17.000-06:00,-0.133054,-0.993941,-0.062755,2025-02-19T15:54:16.059-06:00,0.286702,-0.083666,-0.165599,2025-02-19T15:54:16.057-06:00
1.000000,263.961351,2.092863,25.985964,44.934494,291.371351,358.458121,2.985435,3.000000,-93.166964,6.505003,2025-02-19T15:54:18.000-06:00,-0.123244,-0.990051,-0.022009,2025-02-19T15:54:17.034-06:00,0.341547,-0.039747,0.272568,2025-02-19T15:54:17.042-06:00
2.000000,264.037130,2.036448,22.638453,44.934563,291.447130,0.150170,3.016219,3.000000,-93.166966,7.234162,2025-02-19T15:54:19.000-06:00,-0.112403,-1.001819,-0.034756,2025-02-19T15:54:18.038-06:00,0.367984,-0.138677,0.259879,2025-02-19T15:54:18.037-06:00
3.000000,264.052037,1.968077,19.058262,44.934641,291.462036,359.502319,3.002360,3.000000,-93.166967,8.306578,2025-02-19T15:54:20.000-06:00,-0.110888,-0.993215,-0.038619,2025-02-19T15:54:19.033-06:00,0.340302,-0.067652,0.280306,2025-02-19T15:54:19.042-06:00
4.000000,263.859899,1.892920,16.802979,44.934726,291.269898,359.502319,2.932343,3.000000,-93.166969,9.109340,2025-02-19T15:54:21.000-06:00,-0.130272,-0.992360,-0.069119,2025-02-19T15:54:20.038-06:00,0.081207,-0.043771,0.113531,2025-02-19T15:54:20.037-06:00
5.000000,263.789860,1.859622,15.471929,44.934815,291.199860,0.000000,2.591189,3.000000,-93.166970,9.691667,2025-02-19T15:54:22.000-06:00,-0.139015,-0.989283,-0.058260,2025-02-19T15:54:21.033-06:00,0.007307,-0.027637,0.208670,2025-02-19T15:54:21.041-06:00
6.000000,263.627673,1.834029,14.409283,44.934909,291.037673,0.000000,2.837645,3.000000,-93.166970,10.290435,2025-02-19T15:54:23.000-06:00,-0.137878,-0.991074,-0.068110,2025-02-19T15:54:22.037-06:00,-0.019396,-0.033798,0.113049,2025-02-19T15:54:22.036-06:00
7.000000,263.860562,1.824502,13.499826,44.935009,291.270562,0.000000,3.032682,3.000000,-93.166971,10.922729,2025-02-19T15:54:24.000-06:00,-0.135679,-0.991171,-0.059049,2025-02-19T15:54:23.042-06:00,-0.005301,-0.031522,0.138677,2025-02-19T15:54:23.041-06:00
8.000000,263.893659,1.818671,12.826244,44.935115,291.303659,0.000000,2.693676,3.000000,-93.166969,11.487320,2025-02-19T15:54:25.000-06:00,-0.139104,-0.984869,-0.062317,2025-02-19T15:54:24.037-06:00,-0.067001,0.033216,0.126979,2025-02-19T15:54:24.036-06:00
9.000000,263.993006,1.798856,12.133850,44.935224,291.403006,0.000000,2.817841,3.000000,-93.166972,12.012537,2025-02-19T15:54:26.000-06:00,-0.141176,-0.971940,-0.067282,2025-02-19T15:54:25.042-06:00,-0.034622,0.151695,0.106040,2025-02-19T15:54:25.040-06:00
10.000000,263.837626,1.766347,11.455648,44.935339,291.247626,0.000000,2.500886,3.000000,-93.166971,12.493550,2025-02-19T15:54:27.000-06:00,-0.176178,-1.008604,-0.045537,2025-02-19T15:54:26.036-06:00,-0.334562,-0.202642,0.101701,2025-02-19T15:54:26.035-06:00
11.000000,264.080766,1.742365,10.959294,44.935458,291.490766,0.000000,3.509031,3.000000,-93.166975,12.880923,2025-02-19T15:54:28.000-06:00,-0.160651,-0.978178,-0.052347,2025-02-19T15:54:27.041-06:00,-0.256798,0.101275,0.134512,2025-02-19T15:54:27.040-06:00
12.000000,264.075451,1.745695,10.754528,44.935577,291.485451,0.000000,2.806162,3.000000,-93.166972,13.151629,2025-02-19T15:54:29.000-06:00,-0.167114,-0.978933,-0.059756,2025-02-19T15:54:28.036-06:00,-0.302286,0.093922,0.120823,2025-02-19T15:54:28.035-06:00
13.000000,264.054422,1.757124,10.614121,44.935698,291.464422,0.000000,2.398869,3.000000,-93.166973,13.412699,2025-02-19T15:54:30.000-06:00,-0.164140,-0.981590,-0.063806,2025-02-19T15:54:29.041-06:00,-0.262867,0.058198,0.106898,2025-02-19T15:54:29.039-06:00
14.000000,264.089017,1.722554,10.173497,44.935823,291.499017,0.230499,2.193983,3.000000,-93.166974,13.717567,2025-02-19T15:54:31.000-06:00,-0.168323,-0.993666,-0.088680,2025-02-19T15:54:30.035-06:00,-0.251836,-0.064466,-0.118557,2025-02-19T15:54:30.034-06:00
15.000000,264.024459,1.725760,10.038978,44.935948,291.434459,0.230499,3.106605,3.000000,-93.166975,13.928499,2025-02-19T15:54:32.000-06:00,-0.162017,-0.969879,-0.068114,2025-02-19T15:54:31.040-06:00,-0.156774,0.162550,-0.044978,2025-02-19T15:54:31.039-06:00
16.000000,264.431482,0.306179,7.258143,44.936081,291.841482,0.230499,2.516571,3.000000,-93.166970,14.188107,2025-02-19T15:54:33.000-06:00,-0.183540,-0.985615,-0.058626,2025-02-19T15:54:32.035-06:00,-0.350687,0.017005,0.071039,2025-02-19T15:54:32.034-06:00
17.000000,264.212443,0.303787,7.258367,44.936212,291.622443,359.878601,2.240891,3.000000,-93.166966,14.393006,2025-02-19T15:54:34.000-06:00,-0.173548,-0.957977,-0.060107,2025-02-19T15:54:33.040-06:00,-0.198716,0.274004,0.074850,2025-02-19T15:54:33.038-06:00
18.000000,264.164339,0.300856,7.257899,44.936346,291.574339,359.878601,2.111023,3.000000,-93.166966,14.622053,2025-02-19T15:54:35.000-06:00,-0.183139,-1.003015,-0.056112,2025-02-19T15:54:34.035-06:00,-0.305142,-0.168339,0.076587,2025-02-19T15:54:34.033-06:00
19.000000,264.191986,0.298346,7.257973,44.936480,291.601986,359.878601,2.050723,3.000000,-93.166966,14.735634,2025-02-19T15:54:36.000-06:00,-0.175441,-0.978664,-0.077144,2025-02-19T15:54:35.039-06:00,-0.215290,0.073534,-0.063298,2025-02-19T15:54:35.038-06:00
