seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,257.552433,2.215028,35.430417,44.936503,284.962433,109.339369,2.575669,3.000000,-93.172350,5.064950,2025-02-19T16:14:52.000-06:00,-0.194709,-0.992702,0.041246,2025-02-19T16:14:51.510-06:00,-0.413687,-0.047534,0.399836,2025-02-19T16:14:51.508-06:00
1.000000,257.648057,2.220986,35.110659,44.936497,285.058057,101.630003,2.543688,3.000000,-93.172288,5.109528,2025-02-19T16:14:53.000-06:00,-0.139183,-0.990645,0.025767,2025-02-19T16:14:52.494-06:00,0.034685,-0.010201,0.226118,2025-02-19T16:14:52.493-06:00
2.000000,257.796586,2.191946,32.182780,44.936499,285.206586,88.258804,2.549247,3.000000,-93.172218,5.490580,2025-02-19T16:14:54.000-06:00,-0.139190,-0.994123,0.009131,2025-02-19T16:14:53.489-06:00,0.046601,-0.039248,0.052373,2025-02-19T16:14:53.498-06:00
3.000000,257.674884,2.118220,27.722146,44.936498,285.084884,89.599121,2.521785,3.000000,-93.172134,6.166154,2025-02-19T16:14:55.000-06:00,-0.162840,-0.985826,-0.012570,2025-02-19T16:14:54.494-06:00,-0.196844,0.033825,-0.151640,2025-02-19T16:14:54.493-06:00
4.000000,257.885954,2.073354,24.773590,44.936494,285.295954,89.599121,2.473418,3.000000,-93.172042,6.727197,2025-02-19T16:14:56.000-06:00,-0.182211,-0.978937,-0.028176,2025-02-19T16:14:55.489-06:00,-0.392781,0.109140,-0.319391,2025-02-19T16:14:55.497-06:00
5.000000,257.989093,2.056016,23.840504,44.936497,285.399093,89.662064,2.404894,3.000000,-93.171951,6.915224,2025-02-19T16:14:57.000-06:00,-0.182518,-0.990241,-0.041167,2025-02-19T16:14:56.494-06:00,-0.357154,-0.012852,-0.356797,2025-02-19T16:14:56.492-06:00
6.000000,258.185746,2.091044,22.833765,44.936501,285.595745,89.662064,2.345752,3.000000,-93.171858,7.136835,2025-02-19T16:14:58.000-06:00,-0.161820,-0.972917,-0.025045,2025-02-19T16:14:57.498-06:00,-0.160226,0.160660,-0.244822,2025-02-19T16:14:57.497-06:00
7.000000,258.445296,2.047102,22.144261,44.936496,285.855296,89.662064,3.622460,3.227211,-93.171766,7.363000,2025-02-19T16:14:59.000-06:00,-0.178329,-0.986235,-0.031605,2025-02-19T16:14:58.493-06:00,-0.303186,0.029012,-0.246554,2025-02-19T16:14:58.492-06:00
8.000000,258.562037,2.026892,21.488719,44.936501,285.972037,89.578369,3.271246,3.000000,-93.171669,7.558782,2025-02-19T16:15:00.000-06:00,-0.222232,-0.968293,-0.047778,2025-02-19T16:14:59.498-06:00,-0.649621,0.182308,-0.302694,2025-02-19T16:14:59.497-06:00
9.000000,258.502701,2.027020,22.131867,44.936503,285.912701,89.578369,2.931546,3.000000,-93.171575,7.355022,2025-02-19T16:15:01.000-06:00,-0.232014,-0.975877,-0.058302,2025-02-19T16:15:00.493-06:00,-0.720158,0.117351,-0.306909,2025-02-19T16:15:00.491-06:00
10.000000,258.568378,2.075564,23.756164,44.936505,285.978378,89.578369,2.694116,3.000000,-93.171488,6.949305,2025-02-19T16:15:02.000-06:00,-0.223046,-0.964805,-0.059776,2025-02-19T16:15:01.497-06:00,-0.597799,0.205482,-0.287809,2025-02-19T16:15:01.496-06:00
11.000000,258.808705,2.100125,25.636990,44.936490,286.218705,89.578369,2.527538,3.000000,-93.171406,6.499697,2025-02-19T16:15:03.000-06:00,-0.229749,-0.968760,-0.065634,2025-02-19T16:15:02.492-06:00,-0.625761,0.167718,-0.251177,2025-02-19T16:15:02.491-06:00
12.000000,258.757899,2.119555,28.333745,44.936489,286.167899,91.219482,2.544997,3.000000,-93.171332,6.024317,2025-02-19T16:15:04.000-06:00,-0.238682,-0.975312,-0.091210,2025-02-19T16:15:03.497-06:00,-0.683278,0.085636,-0.436713,2025-02-19T16:15:03.496-06:00
13.000000,258.978268,2.179525,31.706078,44.936488,286.388268,91.219482,2.452923,3.000000,-93.171262,5.498485,2025-02-19T16:15:05.000-06:00,-0.235044,-0.952903,-0.215002,2025-02-19T16:15:04.492-06:00,-0.587943,0.294256,-1.599930,2025-02-19T16:15:04.490-06:00
14.000000,258.949990,2.223114,38.266684,44.936486,286.359990,94.940918,2.388219,3.000000,-93.171208,4.701711,2025-02-19T16:15:06.000-06:00,-0.206783,-0.957794,-0.173974,2025-02-19T16:15:05.496-06:00,-0.157442,0.233303,-1.428816,2025-02-19T16:15:05.495-06:00
15.000000,259.147989,2.264922,40.593088,44.936485,286.557988,108.346107,2.339692,3.000000,-93.171153,4.520865,2025-02-19T16:15:07.000-06:00,-0.200110,-0.966064,-0.174404,2025-02-19T16:15:06.491-06:00,0.046804,0.121817,-1.445078,2025-02-19T16:15:06.490-06:00
16.000000,259.172936,2.273593,42.162337,44.936457,286.582936,120.471436,2.301948,3.000000,-93.171114,4.368102,2025-02-19T16:15:08.000-06:00,-0.179585,-0.988310,-0.159108,2025-02-19T16:15:07.496-06:00,0.144265,-0.071783,-1.348929,2025-02-19T16:15:07.495-06:00
17.000000,259.242589,2.281474,41.510318,44.936420,286.652589,120.471436,2.271754,3.000000,-93.171091,4.451624,2025-02-19T16:15:09.000-06:00,-0.107110,-0.997761,-0.097344,2025-02-19T16:15:08.491-06:00,0.656450,-0.142369,-0.595354,2025-02-19T16:15:08.490-06:00
