seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,261.987446,2.205025,35.293429,44.941362,289.397446,157.573191,2.702240,3.000000,-93.167073,5.057222,2025-02-19T15:47:44.000-06:00,-0.098400,-0.991154,-0.147998,2025-02-19T15:47:43.597-06:00,0.421092,-0.023938,-0.970739,2025-02-19T15:47:43.596-06:00
1.000000,262.018268,2.165999,31.060000,44.941306,289.428268,175.687511,2.667128,3.000000,-93.167078,5.648979,2025-02-19T15:47:45.000-06:00,-0.106468,-0.993618,-0.035028,2025-02-19T15:47:44.582-06:00,0.382025,-0.049486,0.060710,2025-02-19T15:47:44.581-06:00
2.000000,262.043191,2.083239,25.615887,44.941243,289.453191,181.557327,2.667223,3.000000,-93.167087,6.589655,2025-02-19T15:47:46.000-06:00,-0.160046,-1.001202,0.054304,2025-02-19T15:47:45.587-06:00,-0.095966,-0.124895,0.759835,2025-02-19T15:47:45.585-06:00
3.000000,262.046619,2.023268,22.901400,44.941177,289.456619,181.253540,2.617733,3.000000,-93.167087,7.138676,2025-02-19T15:47:47.000-06:00,-0.143534,-0.987571,-0.010515,2025-02-19T15:47:46.581-06:00,-0.152290,0.032153,0.282610,2025-02-19T15:47:46.580-06:00
4.000000,262.139627,2.029333,21.713491,44.941108,289.549627,181.253540,2.514888,3.000000,-93.167079,7.514000,2025-02-19T15:47:48.000-06:00,-0.141805,-0.983501,-0.045322,2025-02-19T15:47:47.586-06:00,-0.143973,0.072035,-0.071283,2025-02-19T15:47:47.585-06:00
5.000000,262.219801,1.983677,20.329672,44.941036,289.629801,181.253540,2.525354,3.000000,-93.167069,7.857388,2025-02-19T15:47:49.000-06:00,-0.140580,-0.988572,-0.046920,2025-02-19T15:47:48.581-06:00,-0.109819,0.022941,-0.082510,2025-02-19T15:47:48.580-06:00
6.000000,262.274354,1.932235,18.976780,44.940961,289.684354,180.861160,2.374710,3.000000,-93.167062,8.229759,2025-02-19T15:47:50.000-06:00,-0.165542,-0.981017,-0.049861,2025-02-19T15:47:49.586-06:00,-0.329495,0.092241,-0.135122,2025-02-19T15:47:49.584-06:00
7.000000,262.283867,1.937930,18.587352,44.940885,289.693867,180.861160,2.387285,3.000000,-93.167061,8.438970,2025-02-19T15:47:51.000-06:00,-0.215186,-0.976427,-0.038916,2025-02-19T15:47:50.580-06:00,-0.734206,0.129461,-0.108712,2025-02-19T15:47:50.579-06:00
8.000000,262.335273,1.949655,19.216314,44.940810,289.745273,180.112579,2.255650,3.000000,-93.167063,8.212526,2025-02-19T15:47:52.000-06:00,-0.220405,-0.974074,-0.051223,2025-02-19T15:47:51.585-06:00,-0.780370,0.151428,-0.124510,2025-02-19T15:47:51.584-06:00
9.000000,262.441565,1.969622,20.206435,44.940737,289.851565,180.112579,2.711455,3.000000,-93.167063,7.887237,2025-02-19T15:47:53.000-06:00,-0.219770,-0.973370,-0.033084,2025-02-19T15:47:52.580-06:00,-0.725088,0.148921,-0.001770,2025-02-19T15:47:52.579-06:00
