seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,261.674469,-0.170000,21.654817,44.941494,289.084469,134.148435,13.946408,10.276886,-93.166799,0.075000,2025-02-19T15:26:14.294-06:00,0.057589,-0.994562,-0.000150,2025-02-19T15:26:14.299-06:00,0.820564,0.049394,0.220925,2025-02-19T15:26:14.309-06:00
1.000000,261.300903,1.070000,29.084786,44.941509,288.710903,269.296875,3.535534,3.000000,-93.166803,1.890000,2025-02-19T15:26:16.000-06:00,0.135111,-0.998530,0.017996,2025-02-19T15:26:15.274-06:00,1.532961,0.010845,0.409629,2025-02-19T15:26:15.274-06:00
2.000000,262.257874,0.990000,17.383504,44.941504,289.667873,270.000000,3.535534,3.000000,-93.166837,1.890000,2025-02-19T15:26:17.000-06:00,0.124785,-0.997103,0.010919,2025-02-19T15:26:16.279-06:00,1.340552,0.023934,0.386225,2025-02-19T15:26:16.279-06:00
3.000000,261.901489,0.080000,0.974325,44.941505,289.311489,270.000000,3.535534,3.000000,-93.166900,3.290000,2025-02-19T15:26:18.000-06:00,0.100586,-0.998730,-0.010566,2025-02-19T15:26:17.273-06:00,0.989578,0.003259,0.248158,2025-02-19T15:26:17.273-06:00
4.000000,261.823608,0.090000,0.925407,44.941507,289.233608,269.648438,3.535534,3.000000,-93.166971,6.320000,2025-02-19T15:26:19.000-06:00,0.106923,-1.007561,0.002486,2025-02-19T15:26:18.278-06:00,0.962208,-0.082906,0.391475,2025-02-19T15:26:18.278-06:00
5.000000,261.395020,0.080000,0.724492,44.941507,288.805019,269.296875,3.535534,3.000000,-93.167046,7.220000,2025-02-19T15:26:20.000-06:00,0.101210,-0.974687,-0.017605,2025-02-19T15:26:19.273-06:00,0.699593,0.235259,0.191918,2025-02-19T15:26:19.273-06:00
6.000000,262.177490,0.320000,2.542875,44.941503,289.587490,268.945312,3.535534,3.000000,-93.167152,7.220000,2025-02-19T15:26:21.000-06:00,0.081968,-1.003287,-0.029644,2025-02-19T15:26:20.277-06:00,0.614983,-0.030553,0.151677,2025-02-19T15:26:20.277-06:00
7.000000,261.080933,0.630000,4.630471,44.941512,288.490932,277.031250,3.535534,3.000000,-93.167250,8.130000,2025-02-19T15:26:22.000-06:00,0.083072,-0.971781,-0.027726,2025-02-19T15:26:21.272-06:00,0.654308,0.255784,0.119920,2025-02-19T15:26:21.272-06:00
8.000000,261.997070,2.100000,15.794213,44.941519,289.407070,275.273438,3.535534,3.000000,-93.167357,8.570000,2025-02-19T15:26:23.000-06:00,0.052442,-1.003876,-0.019174,2025-02-19T15:26:22.277-06:00,0.437721,-0.042870,0.101125,2025-02-19T15:26:22.277-06:00
9.000000,261.100342,0.940000,5.294808,44.941509,288.510342,269.648438,3.535534,3.000000,-93.167499,10.880000,2025-02-19T15:26:24.000-06:00,0.059798,-0.994271,-0.007780,2025-02-19T15:26:23.281-06:00,0.429638,0.051930,0.169458,2025-02-19T15:26:23.281-06:00
