seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,262.087980,-1.000000,-1.000000,44.933901,289.497980,-1.000000,371.959861,3.000000,-93.165253,-1.000000,2025-02-27T19:14:57.933-06:00,-0.168344,-1.005917,-0.029143,2025-02-27T19:14:57.929-06:00,0.847393,-0.363607,-0.218005,2025-02-27T19:14:57.941-06:00
1.000000,261.186340,0.930000,9.383980,44.934531,288.596340,356.835938,14.000000,3.000000,-93.166930,6.440000,2025-02-27T19:14:58.999-06:00,-0.128520,-0.996358,0.049052,2025-02-27T19:14:58.924-06:00,0.934345,-0.244138,0.422711,2025-02-27T19:14:58.915-06:00
2.000000,259.315918,0.990000,7.691151,44.934559,286.725918,0.150174,3.535534,3.000000,-93.166942,6.440000,2025-02-27T19:14:59.999-06:00,-0.150035,-0.999281,0.071410,2025-02-27T19:14:59.919-06:00,0.693361,-0.234956,0.694625,2025-02-27T19:14:59.920-06:00
3.000000,259.098633,0.970000,6.265170,44.934615,286.508633,359.502319,3.535534,3.000000,-93.166953,6.850000,2025-02-27T19:15:00.999-06:00,-0.134128,-0.995252,0.048288,2025-02-27T19:15:00.923-06:00,0.748363,-0.173403,0.545544,2025-02-27T19:15:00.924-06:00
4.000000,259.078491,0.080000,0.490296,44.934698,286.488491,359.502319,3.535534,3.000000,-93.166948,8.300000,2025-02-27T19:15:01.999-06:00,-0.169984,-0.984780,0.026549,2025-02-27T19:15:01.918-06:00,0.330622,-0.058346,0.441350,2025-02-27T19:15:01.919-06:00
5.000000,258.720520,0.070000,0.441079,44.934791,286.130520,0.000000,3.535534,3.000000,-93.166943,11.630000,2025-02-27T19:15:02.999-06:00,-0.214607,-0.979491,0.006386,2025-02-27T19:15:02.922-06:00,-0.120585,-0.003583,0.253408,2025-02-27T19:15:02.924-06:00
6.000000,258.827271,0.680000,3.566064,44.934897,286.237270,0.000000,3.535534,3.000000,-93.166938,12.470000,2025-02-27T19:15:04.000-06:00,-0.201242,-0.972811,0.004880,2025-02-27T19:15:03.917-06:00,-0.029437,0.070549,0.211592,2025-02-27T19:15:03.918-06:00
7.000000,258.635620,1.770000,6.323364,44.934999,286.045620,0.000000,3.535534,3.000000,-93.166925,11.710000,2025-02-27T19:15:05.000-06:00,-0.216918,-0.984200,0.016945,2025-02-27T19:15:04.922-06:00,-0.198451,-0.037114,0.256390,2025-02-27T19:15:04.923-06:00
8.000000,259.489746,0.830000,4.104227,44.935116,286.899746,0.000000,3.535534,3.000000,-93.166939,12.470000,2025-02-27T19:15:06.000-06:00,-0.212114,-0.961688,0.001702,2025-02-27T19:15:05.916-06:00,-0.143623,0.181330,0.166161,2025-02-27T19:15:05.918-06:00
9.000000,259.243652,0.150000,0.708655,44.935236,286.653652,0.000000,3.535534,3.000000,-93.166940,13.660000,2025-02-27T19:15:07.000-06:00,-0.238744,-0.989181,0.032815,2025-02-27T19:15:06.921-06:00,-0.301655,-0.109660,0.240724,2025-02-27T19:15:06.922-06:00
