seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,265.477633,-1.000000,-1.000000,44.941308,292.887633,-1.000000,618.298806,3.000000,-93.166786,-1.000000,2025-02-27T19:05:48.133-06:00,-0.200272,-0.987745,0.026831,2025-02-27T19:05:48.100-06:00,0.670675,-0.249768,0.186090,2025-02-27T19:05:48.106-06:00
1.000000,256.413330,2.500000,46.301644,44.941552,283.823330,356.484375,6.530797,8.000000,-93.166924,7.010000,2025-02-27T19:05:49.999-06:00,-0.212550,-0.990750,0.016656,2025-02-27T19:05:49.085-06:00,0.380732,-0.202976,0.115008,2025-02-27T19:05:49.081-06:00
2.000000,260.660461,0.970000,5.724543,44.941511,288.070461,270.000000,3.716155,3.000000,-93.167138,7.010000,2025-02-27T19:05:50.999-06:00,-0.250291,-0.950077,-0.004023,2025-02-27T19:05:50.089-06:00,-0.036508,0.181035,-0.010084,2025-02-27T19:05:50.085-06:00
3.000000,259.244873,0.970000,5.435395,44.941514,286.654873,270.000000,3.535534,3.000000,-93.167239,9.050000,2025-02-27T19:05:51.999-06:00,-0.256609,-0.943600,0.003543,2025-02-27T19:05:51.084-06:00,-0.040430,0.236840,0.027150,2025-02-27T19:05:51.080-06:00
4.000000,259.319763,0.080000,0.525546,44.941515,286.729763,269.296875,3.535534,3.000000,-93.167369,10.100000,2025-02-27T19:05:52.999-06:00,-0.287054,-0.963697,-0.000089,2025-02-27T19:05:52.088-06:00,-0.172298,-0.017848,-0.053030,2025-02-27T19:05:52.085-06:00
5.000000,259.007446,0.080000,0.509184,44.941521,286.417446,268.945312,3.535534,3.000000,-93.167492,10.390000,2025-02-27T19:05:53.999-06:00,-0.279823,-0.952171,0.026103,2025-02-27T19:05:53.083-06:00,-0.164708,0.128951,0.106403,2025-02-27T19:05:53.089-06:00
6.000000,258.997498,0.100000,0.611269,44.941519,286.407497,268.593750,3.535534,3.000000,-93.167624,10.390000,2025-02-27T19:05:54.999-06:00,-0.265270,-0.960883,0.018554,2025-02-27T19:05:54.088-06:00,0.007518,0.023316,0.055402,2025-02-27T19:05:54.084-06:00
7.000000,258.124756,0.180000,1.078606,44.941520,285.534756,268.945312,3.535534,3.000000,-93.167763,10.910000,2025-02-27T19:05:55.999-06:00,-0.249960,-0.969503,0.000261,2025-02-27T19:05:55.082-06:00,0.101242,-0.039365,-0.087613,2025-02-27T19:05:55.089-06:00
8.000000,257.861267,0.570000,3.148812,44.941516,285.271267,268.593750,3.535534,3.000000,-93.167913,11.820000,2025-02-27T19:05:56.999-06:00,-0.254676,-0.959843,0.000830,2025-02-27T19:05:56.087-06:00,0.089873,0.044898,-0.093643,2025-02-27T19:05:56.083-06:00
9.000000,257.795288,0.540000,2.752316,44.941514,285.205288,269.296875,3.535534,3.000000,-93.168063,12.780000,2025-02-27T19:05:57.999-06:00,-0.260375,-0.969795,0.003601,2025-02-27T19:05:57.082-06:00,0.010905,-0.040949,-0.032861,2025-02-27T19:05:57.088-06:00
