seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,249.842436,0.694068,10.135898,44.941375,277.252436,47.287937,2.623466,3.000000,-93.177084,5.539976,2025-02-27T19:39:20.999-06:00,-0.231975,-0.974722,-0.185717,2025-02-27T19:39:20.317-06:00,0.303795,-0.115454,-1.190899,2025-02-27T19:39:20.323-06:00
1.000000,249.470706,0.679694,8.118070,44.941394,276.880705,65.378021,2.557858,3.000000,-93.177001,6.779603,2025-02-27T19:39:21.999-06:00,-0.162101,-0.981195,-0.110515,2025-02-27T19:39:21.302-06:00,0.680836,-0.126997,-0.217943,2025-02-27T19:39:21.298-06:00
2.000000,249.841163,0.689892,8.103549,44.941395,277.251163,80.226503,2.658763,3.000000,-93.176926,6.896830,2025-02-27T19:39:22.999-06:00,-0.169864,-0.985989,-0.066395,2025-02-27T19:39:22.306-06:00,0.490349,-0.159213,0.400731,2025-02-27T19:39:22.302-06:00
3.000000,250.306961,0.675575,8.132947,44.941363,277.716960,90.718880,2.702375,3.000000,-93.176852,6.731395,2025-02-27T19:39:23.999-06:00,-0.150068,-0.992256,-0.068358,2025-02-27T19:39:23.301-06:00,0.537032,-0.199800,0.487066,2025-02-27T19:39:23.307-06:00
4.000000,249.985762,0.675567,8.115117,44.941362,277.395761,90.718880,2.626525,3.000000,-93.176768,6.734847,2025-02-27T19:39:24.999-06:00,-0.144428,-0.992379,-0.045984,2025-02-27T19:39:24.305-06:00,0.447906,-0.182763,0.756088,2025-02-27T19:39:24.302-06:00
5.000000,250.117113,0.683913,7.257904,44.941361,277.527113,90.330254,2.489605,3.000000,-93.176656,7.914519,2025-02-27T19:39:25.999-06:00,-0.157121,-0.998951,-0.037569,2025-02-27T19:39:25.300-06:00,0.284375,-0.216494,0.707777,2025-02-27T19:39:25.306-06:00
6.000000,250.226330,0.685641,7.258607,44.941374,277.636330,90.330254,2.904818,3.000000,-93.176526,9.226641,2025-02-27T19:39:26.999-06:00,-0.165641,-0.982818,-0.024217,2025-02-27T19:39:26.305-06:00,0.190641,-0.050115,0.667629,2025-02-27T19:39:26.301-06:00
7.000000,250.413109,0.689242,7.258960,44.941367,277.823109,90.330254,2.750813,3.000000,-93.176390,10.225951,2025-02-27T19:39:27.999-06:00,-0.182204,-0.984961,-0.019922,2025-02-27T19:39:27.299-06:00,0.044450,-0.062046,0.650918,2025-02-27T19:39:27.306-06:00
8.000000,250.851658,0.660557,7.256166,44.941372,278.261657,90.330254,2.445229,3.000000,-93.176246,11.092911,2025-02-27T19:39:28.999-06:00,-0.200343,-0.974196,-0.012156,2025-02-27T19:39:28.304-06:00,-0.125926,0.049884,0.615998,2025-02-27T19:39:28.300-06:00
9.000000,251.320405,0.658678,7.256180,44.941371,278.730405,90.000000,2.391979,3.000000,-93.176090,11.855592,2025-02-27T19:39:29.999-06:00,-0.216259,-0.978455,-0.016416,2025-02-27T19:39:29.299-06:00,-0.291940,0.015298,0.487180,2025-02-27T19:39:29.305-06:00
10.000000,251.140987,0.653646,7.258829,44.941372,278.550987,90.000000,2.207185,3.000000,-93.175940,11.922528,2025-02-27T19:39:30.999-06:00,-0.253680,-0.961907,-0.023318,2025-02-27T19:39:30.303-06:00,-0.579151,0.171579,0.319292,2025-02-27T19:39:30.300-06:00
11.000000,251.341985,0.654933,7.258770,44.941368,278.751984,90.000000,2.107847,3.000000,-93.175780,12.342192,2025-02-27T19:39:31.999-06:00,-0.264556,-0.968573,-0.028632,2025-02-27T19:39:31.298-06:00,-0.675705,0.107373,0.241716,2025-02-27T19:39:31.304-06:00
12.000000,251.429522,0.661645,7.258807,44.941366,278.839522,90.000000,2.055585,3.000000,-93.175626,12.248131,2025-02-27T19:39:32.999-06:00,-0.275451,-0.954245,-0.039965,2025-02-27T19:39:32.303-06:00,-0.706837,0.241681,0.095709,2025-02-27T19:39:32.299-06:00
13.000000,251.664292,0.678352,7.258213,44.941367,279.074292,90.000000,2.028726,3.000000,-93.175474,11.970341,2025-02-27T19:39:33.999-06:00,-0.278673,-0.954311,-0.026058,2025-02-27T19:39:33.307-06:00,-0.663293,0.196776,0.143244,2025-02-27T19:39:33.303-06:00
14.000000,251.931425,0.664512,7.258150,44.941370,279.341425,90.000000,2.014959,3.000000,-93.175321,11.911015,2025-02-27T19:39:34.999-06:00,-0.266387,-0.960781,-0.022506,2025-02-27T19:39:34.302-06:00,-0.495958,0.145473,0.244836,2025-02-27T19:39:34.298-06:00
15.000000,252.167133,0.674176,7.257271,44.941366,279.577133,90.000000,2.008015,3.000000,-93.175186,11.058035,2025-02-27T19:39:35.999-06:00,-0.266508,-0.963646,-0.019674,2025-02-27T19:39:35.306-06:00,-0.491924,0.116499,0.293675,2025-02-27T19:39:35.303-06:00
16.000000,252.029232,0.679029,7.258941,44.941363,279.439232,89.140907,2.298100,3.000000,-93.175026,11.703715,2025-02-27T19:39:36.999-06:00,-0.267539,-0.965142,-0.012588,2025-02-27T19:39:36.301-06:00,-0.458246,0.086879,0.357146,2025-02-27T19:39:36.307-06:00
17.000000,252.056426,0.679806,7.258972,44.941371,279.466426,89.140907,2.156758,3.000000,-93.174873,11.915642,2025-02-27T19:39:37.999-06:00,-0.288096,-0.952045,0.022269,2025-02-27T19:39:37.306-06:00,-0.608167,0.206174,0.652785,2025-02-27T19:39:37.302-06:00
18.000000,252.426381,0.664455,7.258368,44.941376,279.836381,86.858002,2.082320,3.000000,-93.174720,12.082068,2025-02-27T19:39:38.999-06:00,-0.291835,-0.951032,0.039482,2025-02-27T19:39:38.300-06:00,-0.595857,0.204285,0.894121,2025-02-27T19:39:38.307-06:00
19.000000,252.577478,0.673711,7.258296,44.941396,279.987477,80.566086,2.068858,3.000000,-93.174576,11.777979,2025-02-27T19:39:39.999-06:00,-0.288177,-0.964447,0.016915,2025-02-27T19:39:39.305-06:00,-0.527543,0.054615,0.769567,2025-02-27T19:39:39.301-06:00
20.000000,252.602821,0.662015,7.258340,44.941402,280.012821,77.226624,2.036656,3.000000,-93.174430,11.391073,2025-02-27T19:39:40.999-06:00,-0.262290,-0.967176,-0.045016,2025-02-27T19:39:40.300-06:00,-0.316343,0.043898,0.115951,2025-02-27T19:39:40.306-06:00
21.000000,252.605117,0.672769,7.258915,44.941426,280.015116,74.546005,2.019463,3.000000,-93.174292,10.934283,2025-02-27T19:39:41.999-06:00,-0.229779,-0.962816,-0.082446,2025-02-27T19:39:41.304-06:00,0.070281,0.076821,-0.513254,2025-02-27T19:39:41.301-06:00
22.000000,252.961025,0.664649,7.258683,44.941468,280.371025,74.546005,2.010349,3.000000,-93.174152,11.171182,2025-02-27T19:39:42.999-06:00,-0.241327,-0.971575,-0.057355,2025-02-27T19:39:42.299-06:00,0.207070,-0.051349,-0.612585,2025-02-27T19:39:42.305-06:00
23.000000,253.059410,0.660458,7.258716,44.941480,280.469410,81.635922,2.005515,3.000000,-93.173995,11.909967,2025-02-27T19:39:43.999-06:00,-0.240102,-0.963511,-0.043129,2025-02-27T19:39:43.304-06:00,0.222933,-0.004199,-0.627835,2025-02-27T19:39:43.300-06:00
24.000000,252.912359,0.667373,7.258952,44.941487,280.322358,84.654006,2.154641,3.000000,-93.173841,12.202944,2025-02-27T19:39:44.999-06:00,-0.231927,-0.975327,-0.021380,2025-02-27T19:39:44.298-06:00,0.225694,-0.097501,-0.296816,2025-02-27T19:39:44.304-06:00
25.000000,253.380548,0.667506,7.258181,44.941491,280.790548,86.783314,2.080826,3.000000,-93.173688,12.237047,2025-02-27T19:39:45.999-06:00,-0.240645,-0.966868,-0.015602,2025-02-27T19:39:45.303-06:00,0.159410,0.004602,-0.149578,2025-02-27T19:39:45.299-06:00
26.000000,253.044628,0.654531,7.258930,44.941486,280.454627,89.923235,2.042247,3.000000,-93.173536,12.194709,2025-02-27T19:39:46.999-06:00,-0.242923,-0.963883,-0.004823,2025-02-27T19:39:46.307-06:00,0.128837,0.033767,-0.030735,2025-02-27T19:39:46.304-06:00
27.000000,253.230393,0.655447,7.258885,44.941488,280.640393,89.385704,2.065053,3.000000,-93.173374,12.556497,2025-02-27T19:39:47.999-06:00,-0.251324,-0.964944,0.013403,2025-02-27T19:39:47.302-06:00,0.075360,-0.000455,0.093866,2025-02-27T19:39:47.298-06:00
28.000000,253.141988,0.664434,7.258973,44.941489,280.551988,90.261200,2.033213,3.000000,-93.173213,12.689035,2025-02-27T19:39:48.999-06:00,-0.253826,-0.969785,0.011002,2025-02-27T19:39:48.307-06:00,0.050681,-0.037270,0.150718,2025-02-27T19:39:48.303-06:00
29.000000,253.382010,0.659604,7.258334,44.941488,280.792010,90.261200,2.016764,3.000000,-93.173047,12.944212,2025-02-27T19:39:49.999-06:00,-0.247955,-0.955299,0.002988,2025-02-27T19:39:49.301-06:00,0.059300,0.130265,0.136865,2025-02-27T19:39:49.298-06:00
30.000000,255.472913,0.700245,7.227271,44.941481,282.882912,90.261200,2.008500,3.000000,-93.172893,12.512362,2025-02-27T19:39:50.999-06:00,-0.244974,-0.970243,0.002334,2025-02-27T19:39:50.306-06:00,0.111068,-0.044006,0.145376,2025-02-27T19:39:50.302-06:00
31.000000,254.493165,0.681975,7.258051,44.941484,281.903165,90.261200,2.004169,3.000000,-93.172711,13.358169,2025-02-27T19:39:51.999-06:00,-0.262373,-0.964021,0.005079,2025-02-27T19:39:51.301-06:00,-0.041795,0.024102,0.117909,2025-02-27T19:39:51.307-06:00
32.000000,254.279995,0.684091,7.258968,44.941488,281.689995,90.261200,2.002029,3.000000,-93.172535,13.680772,2025-02-27T19:39:52.999-06:00,-0.253336,-0.967305,-0.004373,2025-02-27T19:39:52.305-06:00,0.020228,-0.008706,0.032899,2025-02-27T19:39:52.302-06:00
33.000000,254.628010,0.666723,7.258493,44.941491,282.038010,90.261200,2.000983,3.000000,-93.172360,13.787620,2025-02-27T19:39:53.999-06:00,-0.251590,-0.958369,-0.011727,2025-02-27T19:39:53.300-06:00,0.065439,0.067157,0.005998,2025-02-27T19:39:53.306-06:00
34.000000,254.733236,0.665420,7.258873,44.941491,282.143236,90.000000,2.329669,3.000000,-93.172182,13.897320,2025-02-27T19:39:54.999-06:00,-0.253032,-0.972703,-0.003424,2025-02-27T19:39:54.305-06:00,0.031923,-0.051344,0.039996,2025-02-27T19:39:54.301-06:00
35.000000,254.848932,0.675409,7.258802,44.941487,282.258932,90.274681,2.156489,3.000000,-93.172002,14.053948,2025-02-27T19:39:55.999-06:00,-0.266072,-0.961861,0.017102,2025-02-27T19:39:55.299-06:00,-0.076918,0.043478,0.145025,2025-02-27T19:39:55.305-06:00
36.000000,254.980497,0.676612,7.258714,44.941487,282.390497,90.274681,2.074174,3.000000,-93.171822,14.202541,2025-02-27T19:39:56.999-06:00,-0.257024,-0.958780,0.010089,2025-02-27T19:39:56.304-06:00,0.007556,0.069870,0.107939,2025-02-27T19:39:56.300-06:00
37.000000,255.241504,0.676226,7.258692,44.941487,282.651504,90.274681,2.049881,3.000000,-93.171638,14.335268,2025-02-27T19:39:57.999-06:00,-0.265829,-0.968426,0.008932,2025-02-27T19:39:57.298-06:00,-0.062278,-0.037014,0.115397,2025-02-27T19:39:57.305-06:00
38.000000,255.172382,0.681808,7.258970,44.941485,282.582382,90.274681,2.023303,3.000000,-93.171454,14.413551,2025-02-27T19:39:58.999-06:00,-0.260459,-0.957357,-0.002387,2025-02-27T19:39:58.303-06:00,-0.026115,0.095906,0.013874,2025-02-27T19:39:58.299-06:00
39.000000,255.489856,0.678141,7.258829,44.941488,282.899855,90.274681,2.010806,3.000000,-93.171268,14.534434,2025-02-27T19:39:59.999-06:00,-0.264883,-0.966307,-0.001340,2025-02-27T19:39:59.298-06:00,-0.058081,0.001578,-0.002318,2025-02-27T19:39:59.304-06:00
40.000000,255.518255,0.673003,7.258973,44.941484,282.928255,90.274681,2.072212,3.000000,-93.171081,14.594586,2025-02-27T19:40:00.999-06:00,-0.260506,-0.963392,-0.003561,2025-02-27T19:40:00.302-06:00,-0.009558,0.018522,-0.004824,2025-02-27T19:40:00.299-06:00
