seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,245.010932,-0.070000,3.575274,44.941862,272.420932,87.927083,275.261754,7.333333,-93.175650,2.380000,2025-02-27T18:56:48.936-06:00,-0.332465,-0.942239,-0.014192,2025-02-27T18:56:48.896-06:00,-0.340846,0.107871,-0.649143,2025-02-27T18:56:48.897-06:00
1.000000,,,,,,,,,,,,-0.274465,-0.959689,0.002882,2025-02-27T18:56:49.880-06:00,0.237817,-0.066189,-0.478648,2025-02-27T18:56:49.882-06:00
2.000000,248.525818,2.000000,15.248240,44.941467,275.935818,269.296875,6.513529,4.000000,-93.177394,9.140000,2025-02-27T18:56:50.999-06:00,-0.186558,-0.986091,0.032739,2025-02-27T18:56:50.885-06:00,1.054887,-0.310387,-0.171562,2025-02-27T18:56:50.886-06:00
3.000000,247.851929,1.070000,45.789909,44.941439,275.261929,220.429688,4.188083,4.000000,-93.177310,8.470000,2025-02-27T18:56:51.999-06:00,-0.110694,-1.007895,0.059221,2025-02-27T18:56:51.880-06:00,1.695212,-0.492558,0.094305,2025-02-27T18:56:51.881-06:00
4.000000,247.865723,0.300000,4.976858,44.941408,275.275723,170.507812,3.535534,3.000000,-93.177282,3.970000,2025-02-27T18:56:52.999-06:00,-0.135817,-0.997280,0.041527,2025-02-27T18:56:52.884-06:00,1.385345,-0.366761,-0.014052,2025-02-27T18:56:52.886-06:00
5.000000,247.870728,0.090000,1.089206,44.941367,275.280727,180.460403,3.535534,3.000000,-93.177270,5.360000,2025-02-27T18:56:53.999-06:00,-0.158634,-0.989737,0.025060,2025-02-27T18:56:53.879-06:00,1.120675,-0.280200,-0.155423,2025-02-27T18:56:53.880-06:00
6.000000,248.161926,0.300000,3.011961,44.941315,275.571926,180.460403,3.535534,3.000000,-93.177256,6.430000,2025-02-27T18:56:54.999-06:00,-0.190351,-0.983259,0.007758,2025-02-27T18:56:54.884-06:00,0.903581,-0.238661,-0.310497,2025-02-27T18:56:54.885-06:00
7.000000,248.092651,0.170000,1.449860,44.941251,275.502651,180.800781,3.535534,3.000000,-93.177243,6.430000,2025-02-27T18:56:55.999-06:00,-0.201653,-0.990676,0.026049,2025-02-27T18:56:55.888-06:00,0.478535,-0.239868,-0.294767,2025-02-27T18:56:55.880-06:00
8.000000,248.015015,0.090000,0.720795,44.941180,275.425014,180.800781,3.535534,3.000000,-93.177245,7.730000,2025-02-27T18:56:56.999-06:00,-0.216060,-0.971226,0.037565,2025-02-27T18:56:56.883-06:00,0.414784,-0.082721,-0.204632,2025-02-27T18:56:56.884-06:00
9.000000,247.932617,0.370000,2.618856,44.941102,275.342617,180.800781,3.535534,3.000000,-93.177243,9.120000,2025-02-27T18:56:57.999-06:00,-0.219835,-0.977961,0.023879,2025-02-27T18:56:57.888-06:00,0.213014,-0.079457,-0.386887,2025-02-27T18:56:57.879-06:00
10.000000,248.272461,0.440000,2.974685,44.941015,275.682461,179.816452,3.535534,3.000000,-93.177244,9.590000,2025-02-27T18:56:58.999-06:00,-0.231360,-0.969497,0.023890,2025-02-27T18:56:58.882-06:00,0.088116,-0.005409,-0.334806,2025-02-27T18:56:58.884-06:00
