seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,259.073682,-1.000000,-1.000000,44.941493,286.483681,-1.000000,484.722026,3.000000,-93.166835,-1.000000,2025-03-06T18:42:10.095-06:00,-0.232429,-0.961231,-0.131489,2025-03-06T18:42:10.087-06:00,0.204459,0.060957,-1.162789,2025-03-06T18:42:10.094-06:00
1.000000,256.964600,2.990000,37.452588,44.941679,284.374599,151.171875,6.784499,8.000000,-93.167136,4.780000,2025-03-06T18:42:11.999-06:00,-0.148100,-0.978431,-0.060893,2025-03-06T18:42:11.071-06:00,1.023761,-0.137295,-0.271239,2025-03-06T18:42:11.069-06:00
2.000000,260.124756,0.990000,12.896376,44.941682,287.534756,270.292633,3.535534,3.000000,-93.167292,4.780000,2025-03-06T18:42:12.999-06:00,-0.164234,-0.982242,-0.045134,2025-03-06T18:42:12.076-06:00,1.017602,-0.172369,-0.012658,2025-03-06T18:42:12.073-06:00
3.000000,259.352478,0.090000,0.911619,44.941689,286.762478,274.218750,3.535534,3.000000,-93.167369,4.970000,2025-03-06T18:42:13.999-06:00,-0.226898,-0.980895,0.007458,2025-03-06T18:42:13.071-06:00,0.342726,-0.180052,0.459686,2025-03-06T18:42:13.078-06:00
4.000000,259.495361,0.510000,4.700592,44.941689,286.905361,273.515625,3.535534,3.000000,-93.167463,7.100000,2025-03-06T18:42:14.999-06:00,-0.228472,-0.961927,-0.026782,2025-03-06T18:42:14.075-06:00,0.239374,0.050834,0.230694,2025-03-06T18:42:14.073-06:00
5.000000,259.148682,0.270000,2.414678,44.941690,286.558681,268.593750,3.535534,3.000000,-93.167562,7.380000,2025-03-06T18:42:15.999-06:00,-0.220562,-0.983963,0.016310,2025-03-06T18:42:15.070-06:00,0.209347,-0.135290,0.441190,2025-03-06T18:42:15.077-06:00
6.000000,258.697754,0.140000,1.133425,44.941694,286.107754,268.945312,3.535534,3.000000,-93.167663,7.380000,2025-03-06T18:42:17.000-06:00,-0.230730,-0.964611,0.008250,2025-03-06T18:42:16.075-06:00,0.015987,0.072515,0.313125,2025-03-06T18:42:16.072-06:00
7.000000,258.162537,0.180000,1.495451,44.941693,285.572536,269.296875,3.535534,3.000000,-93.167762,7.840000,2025-03-06T18:42:18.000-06:00,-0.270322,-0.961159,-0.016797,2025-03-06T18:42:17.069-06:00,-0.389213,0.106097,0.186456,2025-03-06T18:42:17.077-06:00
8.000000,257.302856,1.820000,17.077882,44.941692,284.712856,270.351562,3.535534,3.000000,-93.167856,6.880000,2025-03-06T18:42:19.000-06:00,-0.229300,-0.968883,-0.013974,2025-03-06T18:42:18.074-06:00,-0.011479,0.063756,0.133063,2025-03-06T18:42:18.071-06:00
9.000000,257.763916,2.160000,16.964814,44.941693,285.173916,271.406250,3.535534,3.000000,-93.167966,8.180000,2025-03-06T18:42:20.000-06:00,-0.254955,-0.972867,-0.032274,2025-03-06T18:42:19.069-06:00,-0.304710,-0.002889,0.104989,2025-03-06T18:42:19.076-06:00
