seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,259.422577,0.265000,3.037214,44.934299,286.832577,310.605469,3.604351,4.500000,-93.166804,5.700000,2025-03-06T18:38:19.214-06:00,-0.142454,-0.982859,-0.210979,2025-03-06T18:38:19.213-06:00,0.837751,-0.102575,-1.583624,2025-03-06T18:38:19.215-06:00
1.000000,258.886963,0.850000,12.048676,44.934392,286.296963,343.828125,3.651643,3.000000,-93.166957,5.090000,2025-03-06T18:38:20.999-06:00,-0.155363,-0.993227,-0.098466,2025-03-06T18:38:20.188-06:00,0.695577,-0.192373,-0.742349,2025-03-06T18:38:20.190-06:00
2.000000,259.079834,0.990000,10.995441,44.934448,286.489834,0.150174,3.535534,3.000000,-93.166963,5.090000,2025-03-06T18:38:21.999-06:00,-0.159569,-0.990051,-0.030299,2025-03-06T18:38:21.192-06:00,0.353127,-0.092099,-0.336785,2025-03-06T18:38:21.195-06:00
3.000000,258.480225,0.980000,8.141395,44.934506,285.890224,0.150174,3.535534,3.000000,-93.166962,5.870000,2025-03-06T18:38:22.999-06:00,-0.189285,-0.985030,0.036779,2025-03-06T18:38:22.187-06:00,0.058683,-0.041769,0.326346,2025-03-06T18:38:22.190-06:00
4.000000,258.910950,0.130000,1.173505,44.934574,286.320950,0.150174,3.535534,3.000000,-93.166974,7.630000,2025-03-06T18:38:23.999-06:00,-0.128357,-0.991985,0.043797,2025-03-06T18:38:23.192-06:00,0.592222,-0.099934,0.449267,2025-03-06T18:38:23.194-06:00
5.000000,259.552307,0.360000,2.702649,44.934649,286.962307,359.502319,3.535534,3.000000,-93.166978,8.740000,2025-03-06T18:38:24.999-06:00,-0.131411,-0.999357,0.031379,2025-03-06T18:38:24.196-06:00,0.484637,-0.150289,0.430529,2025-03-06T18:38:24.189-06:00
6.000000,259.822510,1.690000,12.478448,44.934731,287.232510,359.502319,3.535534,3.000000,-93.166983,8.740000,2025-03-06T18:38:25.999-06:00,-0.139186,-0.992045,0.014710,2025-03-06T18:38:25.191-06:00,0.357762,-0.070886,0.342235,2025-03-06T18:38:25.194-06:00
7.000000,260.431030,0.720000,4.208810,44.934830,287.841030,0.000000,3.535534,3.000000,-93.166980,8.760000,2025-03-06T18:38:26.999-06:00,-0.181352,-0.984505,0.002351,2025-03-06T18:38:26.196-06:00,-0.094367,-0.004015,0.238420,2025-03-06T18:38:26.188-06:00
8.000000,260.530273,0.090000,0.576222,44.934927,287.940273,0.000000,3.535534,3.000000,-93.166978,11.030000,2025-03-06T18:38:27.999-06:00,-0.174166,-0.989415,0.005239,2025-03-06T18:38:27.191-06:00,-0.050901,-0.038880,0.251094,2025-03-06T18:38:27.193-06:00
9.000000,260.760498,0.060000,0.375776,44.935029,288.170498,0.000000,3.535534,3.000000,-93.166978,11.480000,2025-03-06T18:38:28.999-06:00,-0.185656,-0.983217,0.007681,2025-03-06T18:38:28.195-06:00,-0.166622,0.023196,0.205306,2025-03-06T18:38:28.188-06:00
10.000000,260.741760,0.070000,0.419214,44.935136,288.151760,0.000000,3.535534,3.000000,-93.166975,11.480000,2025-03-06T18:38:29.999-06:00,-0.208029,-0.970290,0.010999,2025-03-06T18:38:29.190-06:00,-0.398780,0.149921,0.245390,2025-03-06T18:38:29.192-06:00
