seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,254.214334,-0.295000,7.235477,44.939032,281.624334,2.589844,136.046746,4.250000,-93.177149,0.125000,2025-03-06T19:08:12.629-06:00,-0.258353,-0.972370,-0.126920,2025-03-06T19:08:12.618-06:00,0.145010,-0.116255,-1.144837,2025-03-06T19:08:12.631-06:00
1.000000,252.885559,1.990000,36.272505,44.938965,280.295559,10.546875,6.975187,3.000000,-93.177193,3.500000,2025-03-06T19:08:13.999-06:00,-0.269088,-0.949655,-0.154878,2025-03-06T19:08:13.603-06:00,0.002622,0.113987,-0.979134,2025-03-06T19:08:13.606-06:00
2.000000,253.268738,1.030000,16.413373,44.938997,280.678738,42.890625,4.089110,3.000000,-93.177124,3.500000,2025-03-06T19:08:14.999-06:00,-0.267635,-0.973619,-0.118232,2025-03-06T19:08:14.608-06:00,-0.378079,-0.019957,-0.564501,2025-03-06T19:08:14.610-06:00
3.000000,252.361572,0.990000,17.894278,44.939016,279.771572,72.070312,3.653486,3.000000,-93.177073,3.390000,2025-03-06T19:08:15.999-06:00,-0.118158,-0.993689,-0.040397,2025-03-06T19:08:15.602-06:00,0.748290,-0.139815,0.024951,2025-03-06T19:08:15.605-06:00
4.000000,250.912415,0.130000,2.064237,44.939022,278.322414,90.161156,3.535534,3.000000,-93.177021,4.040000,2025-03-06T19:08:16.999-06:00,-0.113838,-0.997124,0.026903,2025-03-06T19:08:16.607-06:00,0.659313,-0.132460,0.471054,2025-03-06T19:08:16.609-06:00
5.000000,251.352417,0.120000,1.503795,44.939006,278.762417,90.161156,3.535534,3.000000,-93.176956,5.400000,2025-03-06T19:08:17.999-06:00,-0.142829,-0.991208,0.044126,2025-03-06T19:08:17.611-06:00,0.331234,-0.070163,0.562279,2025-03-06T19:08:17.604-06:00
6.000000,251.065552,0.100000,1.086898,44.939006,278.475552,90.161156,3.535534,3.000000,-93.176890,5.990000,2025-03-06T19:08:19.000-06:00,-0.154120,-0.985161,0.071862,2025-03-06T19:08:18.606-06:00,0.176451,-0.004193,0.780965,2025-03-06T19:08:18.609-06:00
7.000000,250.824585,0.120000,1.204770,44.939005,278.234585,90.161156,3.535534,3.000000,-93.176811,5.990000,2025-03-06T19:08:20.000-06:00,-0.161067,-0.985302,0.061694,2025-03-06T19:08:19.611-06:00,0.069674,0.009874,0.724388,2025-03-06T19:08:19.603-06:00
8.000000,250.209595,0.130000,1.233189,44.939005,277.619595,90.161156,3.535534,3.000000,-93.176728,6.570000,2025-03-06T19:08:21.000-06:00,-0.161380,-0.982194,0.050490,2025-03-06T19:08:20.605-06:00,0.007006,0.051704,0.624413,2025-03-06T19:08:20.608-06:00
9.000000,250.522156,0.520000,4.439579,44.939005,277.932156,90.161156,3.535534,3.000000,-93.176632,7.630000,2025-03-06T19:08:22.000-06:00,-0.188131,-0.977799,0.055149,2025-03-06T19:08:21.610-06:00,-0.216774,0.072791,0.591566,2025-03-06T19:08:21.602-06:00
10.000000,249.619141,1.720000,15.763546,44.939005,277.029140,90.161156,3.535534,3.000000,-93.176546,7.630000,2025-03-06T19:08:23.000-06:00,-0.207101,-0.977999,0.043252,2025-03-06T19:08:22.604-06:00,-0.354934,0.066945,0.379057,2025-03-06T19:08:22.607-06:00
11.000000,249.483337,2.660000,17.070910,44.939006,276.893337,90.161156,3.535534,3.000000,-93.176411,7.630000,2025-03-06T19:08:24.000-06:00,-0.205278,-0.972702,0.042367,2025-03-06T19:08:23.609-06:00,-0.368289,0.135437,0.325858,2025-03-06T19:08:23.602-06:00
12.000000,250.151428,1.170000,6.885414,44.939015,277.561428,90.161156,3.535534,3.000000,-93.176316,7.430000,2025-03-06T19:08:25.000-06:00,-0.211727,-0.974403,0.040973,2025-03-06T19:08:24.604-06:00,-0.353052,0.094004,0.306491,2025-03-06T19:08:24.606-06:00
13.000000,250.151433,1.170000,12.759530,44.939016,277.561432,90.161156,4.748652,4.029364,-93.176222,7.430000,2025-03-06T19:08:26.000-06:00,-0.207086,-0.983229,0.039668,2025-03-06T19:08:25.608-06:00,-0.299674,0.012680,0.320344,2025-03-06T19:08:25.611-06:00
