seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,268.206043,0.270000,12.558009,44.934291,295.616043,8.825521,18.758834,6.283020,-93.167279,0.730000,2025-03-13T21:22:41.631-05:00,-0.264161,-0.965890,0.181173,2025-03-13T21:22:41.596-05:00,-0.137379,0.034175,1.657109,2025-03-13T21:22:41.611-05:00
1.000000,263.322876,0.970000,12.699455,44.934418,290.732876,4.570312,14.000000,4.000000,-93.167086,4.950000,2025-03-13T21:22:42.999-05:00,-0.189509,-0.977435,0.115502,2025-03-13T21:22:42.581-05:00,0.407528,-0.051254,0.854771,2025-03-13T21:22:42.586-05:00
2.000000,262.438477,0.520000,4.107502,44.934491,289.848476,0.150170,4.521960,4.000000,-93.167001,4.950000,2025-03-13T21:22:43.999-05:00,-0.175437,-0.986455,0.036655,2025-03-13T21:22:43.586-05:00,0.427601,-0.110275,0.095824,2025-03-13T21:22:43.581-05:00
3.000000,260.746826,1.960000,17.518689,44.934570,288.156826,0.150170,4.077203,3.000000,-93.167000,7.200000,2025-03-13T21:22:44.999-05:00,-0.177836,-0.991096,0.010700,2025-03-13T21:22:44.581-05:00,0.344012,-0.142995,-0.170608,2025-03-13T21:22:44.586-05:00
4.000000,260.580322,1.280000,6.566808,44.934659,287.990322,359.502319,3.735979,3.000000,-93.167001,8.190000,2025-03-13T21:22:45.999-05:00,-0.179845,-0.986344,0.012755,2025-03-13T21:22:45.585-05:00,0.297560,-0.093052,-0.204966,2025-03-13T21:22:45.590-05:00
5.000000,259.759399,0.260000,1.609681,44.934741,287.169399,359.502319,3.535534,3.000000,-93.167002,10.610000,2025-03-13T21:22:46.999-05:00,-0.187987,-0.986930,0.019364,2025-03-13T21:22:46.590-05:00,0.209336,-0.093327,-0.210012,2025-03-13T21:22:46.585-05:00
6.000000,259.400879,0.090000,0.552512,44.934830,286.810879,0.000000,3.535534,3.000000,-93.167001,10.710000,2025-03-13T21:22:47.999-05:00,-0.201931,-0.976684,0.018082,2025-03-13T21:22:47.585-05:00,0.064497,0.002389,-0.262404,2025-03-13T21:22:47.590-05:00
7.000000,259.428955,0.090000,0.537118,44.934931,286.838955,0.000000,3.535534,3.000000,-93.167001,10.710000,2025-03-13T21:22:48.999-05:00,-0.191239,-0.983385,0.032565,2025-03-13T21:22:48.589-05:00,0.149685,-0.064727,-0.147121,2025-03-13T21:22:48.584-05:00
8.000000,259.734131,0.300000,1.594513,44.935039,287.144131,0.000000,3.535534,3.000000,-93.167024,11.580000,2025-03-13T21:22:49.999-05:00,-0.193520,-0.983975,0.030251,2025-03-13T21:22:49.584-05:00,0.111129,-0.056043,-0.148486,2025-03-13T21:22:49.589-05:00
9.000000,260.060059,1.300000,5.264441,44.935153,287.470058,0.000000,3.535534,3.000000,-93.167001,12.790000,2025-03-13T21:22:50.999-05:00,-0.211734,-0.967062,0.015932,2025-03-13T21:22:50.589-05:00,-0.049749,0.100836,-0.226374,2025-03-13T21:22:50.584-05:00
10.000000,259.953369,1.890000,5.597370,44.935254,287.363369,0.000000,3.535534,3.000000,-93.167007,12.790000,2025-03-13T21:22:51.999-05:00,-0.221343,-0.984814,0.016107,2025-03-13T21:22:51.583-05:00,-0.143804,-0.076962,-0.249314,2025-03-13T21:22:51.588-05:00
11.000000,260.063660,0.590000,2.652059,44.935389,287.473660,0.000000,3.535534,3.000000,-93.167024,12.790000,2025-03-13T21:22:52.999-05:00,-0.225507,-0.973711,0.033029,2025-03-13T21:22:52.588-05:00,-0.195528,0.038736,-0.171919,2025-03-13T21:22:52.583-05:00
12.000000,260.844849,1.870000,5.769386,44.935517,288.254848,0.000000,3.535534,3.000000,-93.167003,14.360000,2025-03-13T21:22:53.999-05:00,-0.234288,-0.973302,0.020105,2025-03-13T21:22:53.583-05:00,-0.273631,0.039802,-0.206681,2025-03-13T21:22:53.588-05:00
13.000000,260.844865,1.870000,10.551758,44.935646,288.254865,0.000000,4.748652,4.029364,-93.167026,14.360000,2025-03-13T21:22:55.000-05:00,-0.240677,-0.966269,0.018948,2025-03-13T21:22:54.587-05:00,-0.317687,0.108132,-0.210926,2025-03-13T21:22:54.582-05:00
14.000000,259.961565,2.710000,14.887265,44.935785,287.371565,0.230500,4.748652,4.029364,-93.167002,14.750000,2025-03-13T21:22:56.000-05:00,-0.249892,-0.967182,0.015424,2025-03-13T21:22:55.582-05:00,-0.374228,0.097749,-0.204496,2025-03-13T21:22:55.587-05:00
15.000000,260.484558,0.150000,0.668880,44.935912,287.894558,0.230500,3.535534,3.000000,-93.167001,14.630000,2025-03-13T21:22:57.000-05:00,-0.253813,-0.958849,0.002527,2025-03-13T21:22:56.587-05:00,-0.405916,0.169840,-0.190107,2025-03-13T21:22:56.582-05:00
16.000000,260.484575,0.308016,7.258975,44.936044,287.894575,0.230500,4.748652,4.029364,-93.167001,14.630000,2025-03-13T21:22:57.999-05:00,-0.247381,-0.966817,0.006060,2025-03-13T21:22:57.581-05:00,-0.334053,0.099496,-0.106996,2025-03-13T21:22:57.586-05:00
17.000000,260.218384,0.550000,2.397970,44.936182,287.628384,0.230500,3.535534,3.000000,-93.167000,14.680000,2025-03-13T21:22:58.999-05:00,-0.230538,-0.976261,-0.026475,2025-03-13T21:22:58.586-05:00,-0.132415,0.002294,-0.318561,2025-03-13T21:22:58.581-05:00
18.000000,260.218401,0.550000,7.258975,44.936315,287.628401,359.878601,4.748652,4.029364,-93.167001,14.680000,2025-03-13T21:22:59.999-05:00,-0.235593,-0.972695,0.000188,2025-03-13T21:22:59.581-05:00,-0.152874,0.029475,-0.120317,2025-03-13T21:22:59.586-05:00
19.000000,260.342364,0.308018,7.258975,44.936457,287.752364,359.878601,4.748652,4.029364,-93.167001,15.220000,2025-03-13T21:23:00.999-05:00,-0.238651,-0.976804,0.001315,2025-03-13T21:23:00.585-05:00,-0.162833,-0.019326,-0.170594,2025-03-13T21:23:00.581-05:00
20.000000,260.650879,0.070000,0.314009,44.936597,288.060879,359.878601,3.535534,3.000000,-93.167002,15.360000,2025-03-13T21:23:01.999-05:00,-0.247911,-0.961095,0.001288,2025-03-13T21:23:01.590-05:00,-0.209240,0.119694,-0.192799,2025-03-13T21:23:01.585-05:00
21.000000,260.650897,0.308018,7.258975,44.936735,288.060897,0.133632,4.748652,4.029364,-93.167001,15.360000,2025-03-13T21:23:02.999-05:00,-0.260224,-0.962840,0.008436,2025-03-13T21:23:02.585-05:00,-0.298140,0.099723,-0.144277,2025-03-13T21:23:02.590-05:00
22.000000,260.899067,0.308017,7.258975,44.936875,288.309067,0.133632,4.748652,4.029364,-93.167024,15.600000,2025-03-13T21:23:03.999-05:00,-0.260539,-0.971009,-0.004985,2025-03-13T21:23:03.590-05:00,-0.328887,0.029541,-0.182189,2025-03-13T21:23:03.585-05:00
23.000000,260.975849,0.370000,7.258975,44.937017,288.385849,0.679109,4.748652,4.029364,-93.167018,15.680000,2025-03-13T21:23:04.999-05:00,-0.254053,-0.959952,-0.006532,2025-03-13T21:23:04.584-05:00,-0.252085,0.130293,-0.106786,2025-03-13T21:23:04.589-05:00
24.000000,260.697041,1.430000,7.389713,44.937160,288.107041,359.884857,4.748652,4.029364,-93.167015,15.680000,2025-03-13T21:23:05.999-05:00,-0.258152,-0.970168,0.010493,2025-03-13T21:23:05.589-05:00,-0.216896,0.012707,-0.107837,2025-03-13T21:23:05.584-05:00
25.000000,261.508320,0.540000,7.258975,44.937298,288.918320,359.884857,4.748652,4.029364,-93.167000,15.680000,2025-03-13T21:23:06.999-05:00,-0.254942,-0.960948,0.016132,2025-03-13T21:23:06.584-05:00,-0.164518,0.100279,-0.106214,2025-03-13T21:23:06.589-05:00
26.000000,261.465717,0.308018,7.258975,44.937433,288.875717,359.884857,4.748652,4.029364,-93.167023,15.610000,2025-03-13T21:23:07.999-05:00,-0.261660,-0.964864,0.016104,2025-03-13T21:23:07.588-05:00,-0.223365,0.062881,-0.102385,2025-03-13T21:23:07.583-05:00
27.000000,261.819355,0.308018,7.258975,44.937572,289.229355,0.565796,4.748652,4.029364,-93.167022,15.610000,2025-03-13T21:23:08.999-05:00,-0.257189,-0.966460,0.017949,2025-03-13T21:23:08.583-05:00,-0.167861,0.034982,-0.058978,2025-03-13T21:23:08.588-05:00
28.000000,262.714844,1.910000,5.066538,44.937717,290.124844,0.565796,3.535534,3.000000,-93.166997,16.440001,2025-03-13T21:23:09.999-05:00,-0.268204,-0.960528,0.006826,2025-03-13T21:23:09.588-05:00,-0.247337,0.089158,-0.103751,2025-03-13T21:23:09.583-05:00
29.000000,262.714865,1.910000,9.413891,44.937865,290.124865,0.000000,4.748652,4.029364,-93.166996,16.440001,2025-03-13T21:23:10.999-05:00,-0.269216,-0.952644,-0.008685,2025-03-13T21:23:10.582-05:00,-0.230759,0.170172,-0.183409,2025-03-13T21:23:10.587-05:00
30.000000,261.737328,2.950000,13.962265,44.938030,289.147328,0.000000,4.748652,4.029364,-93.166996,17.120001,2025-03-13T21:23:11.999-05:00,-0.250067,-0.937041,-0.004782,2025-03-13T21:23:11.587-05:00,0.040043,0.290537,-0.064804,2025-03-13T21:23:11.582-05:00
31.000000,262.182434,0.360000,1.522788,44.938131,289.592434,0.000000,3.535534,3.000000,-93.166996,15.450000,2025-03-13T21:23:12.999-05:00,-0.255899,-0.958886,0.008546,2025-03-13T21:23:12.582-05:00,0.121110,0.039815,-0.000416,2025-03-13T21:23:12.587-05:00
32.000000,262.182453,0.360000,7.258975,44.938270,289.592453,0.435837,4.748652,4.029364,-93.166996,15.450000,2025-03-13T21:23:13.999-05:00,-0.292659,-0.960526,-0.005314,2025-03-13T21:23:13.586-05:00,-0.215474,0.019022,-0.144079,2025-03-13T21:23:13.581-05:00
33.000000,264.630761,1.269785,7.258970,44.938409,292.040761,0.435837,2.000000,3.000000,-93.166994,15.730014,2025-03-13T21:23:14.999-05:00,-0.280754,-0.955677,0.001782,2025-03-13T21:23:14.581-05:00,-0.083257,0.071036,-0.106839,2025-03-13T21:23:14.586-05:00
34.000000,265.197423,1.273151,7.258971,44.938544,292.607423,0.435837,2.000000,3.000000,-93.167000,15.785266,2025-03-13T21:23:15.999-05:00,-0.285691,-0.955222,0.000210,2025-03-13T21:23:15.586-05:00,-0.123500,0.060832,-0.129576,2025-03-13T21:23:15.581-05:00
35.000000,265.217639,1.275305,7.258973,44.938686,292.627639,0.435837,2.000000,3.000000,-93.166999,15.748986,2025-03-13T21:23:16.999-05:00,-0.298253,-0.950265,0.009086,2025-03-13T21:23:16.590-05:00,-0.221588,0.105120,-0.053718,2025-03-13T21:23:16.585-05:00
36.000000,264.434259,1.277683,7.258900,44.938821,291.844259,0.435837,2.000000,3.000000,-93.167002,15.455879,2025-03-13T21:23:17.999-05:00,-0.296404,-0.961013,0.004732,2025-03-13T21:23:17.585-05:00,-0.212534,-0.001033,-0.067810,2025-03-13T21:23:17.590-05:00
37.000000,264.130690,1.273186,7.258893,44.938957,291.540690,0.283031,2.000000,3.000000,-93.166994,15.432335,2025-03-13T21:23:18.999-05:00,-0.279093,-0.962014,-0.006537,2025-03-13T21:23:18.590-05:00,-0.084804,0.009536,-0.029464,2025-03-13T21:23:18.585-05:00
